Site,Date,POCS,POSP,MOSP,Notes,
OAH_OCC_010,3/7/2017,35,26,0,"No EMPTY flag used; Did not delineate MOSP, only delineated some mounding POSP",
OAH_OCC_010,5/7/2019,35,26,0,"No EMPTY flag used; Did not delineate MOSP, only delineated some mounding POSP",
MAI_SIO_OL3,7/22/2014,28,28,10,,
MAI_SIO_OL3,7/14/2015,28,28,10,,
MAI_SIO_OL3,11/4/2015,28,28,10,,
MAI_SIO_OL3,6/16/2016,28,28,10,,
MAI_SIO_OL3,11/29/2016,28,28,10,,
MAI_SIO_OL3,7/26/2017,28,28,10,,
MAI_SIO_K01,7/21/2014,10,10,10,,
MAI_SIO_K01,7/10/2015,10,10,10,,
MAI_SIO_K01,11/2/2015,10,10,10,,
MAI_SIO_K01,6/16/2016,10,10,10,,
MAI_SIO_K01,11/30/2016,10,10,10,,
MAI_SIO_K01,7/28/2017,10,10,10,,
MAI_SIO_K01,9/14/2018,10,10,10,,
MAI_SIO_K02,7/21/2014,10,10,10,,
MAI_SIO_K02,7/11/2015,10,10,10,,
MAI_SIO_K02,7/4/2016,10,10,10,,
MAI_SIO_K02,8/2/2017,10,10,10,,
MAI_SIO_K02,9/14/2018,10,10,10,,
HAW_OCC_010,8/11/2016,10,10,10,,
HAW_OCC_010,7/19/2019,10,10,10,,
HAW_SIO_K08,4/13/2015,10,10,10,circplot #9 skipped b/c of hole in models,
HAW_SIO_K08,4/8/2017,10,10,10,circplot #9 skipped b/c of hole in models,
HAW_SIO_K08,7/19/2019,10,10,10,circplot #9 skipped b/c of hole in models,
MOL_SIO_908,4/19/2017,NA,NA,NA,In progress,
MOL_SIO_908,5/3/2019,NA,NA,NA,In progress,
HAW_SIO_K10,4/15/2015,25,25,25,*No EMPTY tag used = all may have been searched for up to 25,
HAW_SIO_K10,4/8/2017,25,25,25,*No EMPTY tag used = all may have been searched for up to 25,
HAW_SIO_K10,7/17/2019,25,25,25,*No EMPTY tag used = all may have been searched for up to 25,
HAW_OCC_002,8/15/2016,66,66,66,,
HAW_OCC_002,7/15/2019,66,66,66,,
FFS_OCC_002,9/6/2013,13,13,13,"Poor overlap and circplots surveyed were: 2,4,5,6,8,14-18,20,23,24",
FFS_OCC_002,9/25/2016,21,21,21,"Poor overlap and circplots surveyed were:1,2,3,5,6,7,9,10,11,13-24",
FFS_OCC_002,8/28/2019,15,15,15,"Poor overlap and circplots surveyed were:1,2,3,6,7,9,10,11,12,13,15,18,19,21,22",
FFS_OCC_014,9/6/2013,8,8,8,on hard drive at home - no access at this time,1-9 skipped 6
FFS_OCC_014,9/2/2016,14,14,14,on hard drive at home - no access at this time,1-9 skipped 6 11-16
FFS_OCC_014,8/27/2019,7,7,7,on hard drive at home - no access at this time,17-Nov
LIS_OCC_005,9/12/2013,NA,NA,NA,In progress,
LIS_OCC_005,9/18/2016,NA,NA,NA,In progress,
LIS_OCC_005,8/30/2019,NA,NA,NA,In progress,
KUR_OCC_010,9/12/2016,14,20,0,no MOSP or holes at site,
KUR_OCC_010,9/2/2019,14,20,0,no MOSP or holes at site,
PHR_OCC_016,9/11/2013,0,11,0,no overlap between 2013 & 2016,
PHR_OCC_016,9/11/2016,0,12,0,no overlap between 2013 & 2016,
PHR_OCC_016,9/4/2019,0,16,0,"Although 3rd year surveyed, we only have 1 trasition year each. (2013-2019 & 2016-2019).",
HAW_OCC_003,8/8/2016,23,23,23,25 circplots shown on arc but skipped #2 and #9 bc of holes in plot,
HAW_OCC_003,7/13/2019,23,23,23,25 circplots shown on arc but skipped #2 and #9 bc of holes in plot,
OAH_XXX_022,8/1/2016,18,6,0,Have to confirm with Andrew that this info is from his final arcmap file = dont trust,
OAH_XXX_022,10/4/2018,18,6,0,Have to confirm with Andrew that this info is  data from his final arcmap file = dont trust,
MAI_OCC_002,7/14/2016,25,25,25,*No EMPTY tag used = all may have been searched for up to 25,
MAI_OCC_002,4/27/2019,25,25,25,*No EMPTY tag used = all may have been searched for up to 25,
