"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",2.43811327909683e-26,3.98061346996323e-26,3.50379142642206e-26,1.66271675336742e-26,5.7978169640243e-27,2.78224288964592e-27,7.98714944193911e-28,1.34744102731235e-28,1.32338102102814e-29,7.5609740992753e-31,2.62495076958243e-32,8.49348816680077e-34,8.1103503859662e-35,1.37925560062631e-34,1.99725104857586e-33,2.77499540307444e-32,3.41957311935864e-31,3.69885289984364e-30,3.47104549207401e-29,2.78641235849874e-28,1.88189418110135e-27,1.0500951256429e-26,4.7666889110261e-26,1.75079435290915e-25,5.26152714421792e-25,1.32844163032668e-24,2.91442199884779e-24,5.7388521304018e-24,1.0418504537355e-23,1.77985356695375e-23,2.90470981454309e-23,4.57835256893926e-23,7.02503427614741e-23,1.05544360395359e-22,1.5592777520255e-22,2.27247269475647e-22,3.27498398739485e-22,4.67584900675077e-22,6.6233898974694e-22,9.31890488279403e-22,1.3035012863787e-21,1.81401839104257e-21,2.51314234923567e-21,3.46774246160415e-21,4.76738907624468e-21,6.53067184407852e-21,8.90834727123679e-21,1.20586405332116e-20,1.59669730716439e-20,1.97720481690691e-20
"2",-3.61875784587311e-27,-1.0606006945542e-26,-1.67585485004391e-26,-1.42762019822657e-26,-1.33325239041669e-27,-6.39794270647567e-28,-1.83669278219624e-28,-3.09852074382501e-29,-3.04319330126189e-30,-1.73869092557826e-31,-6.03623028358071e-33,-1.95312807690602e-34,-1.86502326738895e-35,-3.17168021654856e-35,-4.59279747377672e-34,-6.38126683476777e-33,-7.86351159769519e-32,-8.50573204925184e-31,-7.98187537752397e-30,-6.40752080222385e-29,-4.32752750188336e-28,-2.41475614380921e-27,-1.09612844136197e-26,-4.02605565628685e-26,-1.20991943368374e-25,-3.05483047220062e-25,-6.70188657723916e-25,-1.31968315078276e-24,-2.39579703081467e-24,-4.09287904583977e-24,-6.67955283227942e-24,-1.05281938030159e-23,-1.61544837839444e-23,-2.42705528752047e-23,-3.58565185159144e-23,-5.22568600434392e-23,-7.53102029646775e-23,-1.07523926555348e-22,-1.52308786672695e-22,-2.14293755582606e-22,-2.99747866920067e-22,-4.17144308909265e-22,-5.77912017672549e-22,-7.9742798626744e-22,-1.09628944851475e-21,-1.50176679936835e-21,-2.04852739329069e-21,-2.77295604964666e-21,-3.67170034230786e-21,-4.54669997279728e-21
"3",-2.06345563722265e-26,-1.08563485182545e-25,-3.07938880376132e-25,-4.70909081271081e-25,-2.04991443373131e-26,-9.83687571102863e-27,-2.82390385589578e-27,-4.76394813209879e-28,-4.67888177011099e-29,-2.67322131086142e-30,-9.28064855498676e-32,-3.00291645828243e-33,-2.86745612381629e-34,-4.87642916780429e-34,-7.06138388292959e-33,-9.81113907960944e-32,-1.20900767726503e-30,-1.30774848113898e-29,-1.22720599957246e-28,-9.8515043131552e-28,-6.65353374042971e-27,-3.71266536625179e-26,-1.68528739916095e-25,-6.19002355000503e-25,-1.86024000349227e-24,-4.69677376035946e-24,-1.03040889854051e-23,-2.02900070920134e-23,-3.68351590436094e-23,-6.29276389696914e-23,-1.02697510578991e-22,-1.61870011602845e-22,-2.48373702694948e-22,-3.73157518661126e-22,-5.51290675001259e-22,-8.03444417895944e-22,-1.1578874454432e-21,-1.65317048344151e-21,-2.34173358956045e-21,-3.29474678673157e-21,-4.60859589062469e-21,-6.41355539103593e-21,-8.88534412990024e-21,-1.22603819614879e-20,-1.68553494617781e-20,-2.30895264455417e-20,-3.1495920299807e-20,-4.26339442765487e-20,-5.64520551323145e-20,-6.99050939906261e-20
"4",2.28512740122104e-26,2.15821802179402e-25,1.0989357966706e-24,3.01676246363687e-24,1.06532950940522e-25,5.11213878490723e-26,1.46752704694082e-26,2.47570333409026e-27,2.43149093345149e-28,1.38920197743894e-29,4.82290602036228e-31,1.56053575070301e-32,1.49014062060213e-33,2.53415043601881e-33,3.66961324158423e-32,5.09858782335773e-31,6.28289108087424e-30,6.7960207554363e-29,6.37746291781319e-28,5.11956456077562e-27,3.45766437882411e-26,1.92937336582195e-25,8.75799001777303e-25,3.216790470736e-24,9.66717213298968e-24,2.4407883028999e-23,5.35476076788752e-23,1.05441765992476e-22,1.9142251663878e-22,3.27018189427493e-22,5.33691626098157e-22,8.41195363176827e-22,1.29073201992887e-21,1.93920029611459e-21,2.86491089351062e-21,4.17528677617326e-21,6.01723284345745e-21,8.59108695577155e-21,1.21693661341472e-20,1.71219220434752e-20,2.39496461114797e-20,3.3329540184714e-20,4.6174768311261e-20,6.37139415427032e-20,8.75927645372671e-20,1.19990122886956e-19,1.63675914104394e-19,2.21557259953527e-19,2.93366303918093e-19,3.63278165888025e-19
"5",-8.37366905288795e-25,-1.41970118664492e-23,-1.29768775609076e-22,-6.3949221001257e-22,-3.02304215176153e-27,-1.60963621977407e-27,-2.76419877809078e-28,-1.5039180143733e-29,-2.56819768527026e-31,-1.37544324354171e-33,-2.41323538578849e-36,-2.12750421295407e-39,-2.98415929965913e-42,-4.01899445673664e-44,-2.48477916411413e-45,-7.94679696105885e-47,-1.21525852436452e-48,-8.79473983442598e-51,-2.97692312401054e-53,-4.6472528389149e-56,-3.29065184100173e-59,-1.03787110972302e-62,-1.43566084816041e-66,-8.66328644028333e-71,-2.30602527971956e-75,-2.78030000054082e-80,-1.5703294511736e-85,-4.29185215568259e-91,-5.83040475347012e-97,-4.01830980330626e-103,-1.426329754144e-109,-2.63618990200163e-116,-2.55716291204186e-123,-1.30942218649715e-130,-3.55463555845633e-138,-5.13203288322751e-146,-3.95012936079844e-154,-1.62392593900891e-162,-3.57093452437547e-171,-4.20488858150904e-180,-2.65388040587551e-189,-8.98429621367688e-199,-1.63239095642066e-208,-1.5926152326355e-218,-8.34629605650849e-229,-2.34970008538956e-239,-3.55128326042212e-250,-2.87152334710974e-261,-1.22448831436494e-272,-2.63265520359875e-284
"6",1.27026974531954e-25,3.86610249278399e-24,6.34370357074142e-23,5.6118258931509e-22,4.76221928048668e-27,4.5518629561151e-27,1.40322388690294e-27,1.37049708430585e-28,4.2012513085909e-30,4.03914218098909e-32,1.27216196685454e-34,2.01330423728133e-37,5.06940790504031e-40,1.22560041168474e-41,1.36024000603156e-42,7.8093721657874e-44,2.14382304642013e-45,2.78509178348753e-47,1.69231183250901e-49,4.74247804368691e-52,6.02819397961417e-55,3.41306817094081e-58,8.47519408909436e-62,9.18071965558732e-66,4.38686603141739e-70,9.4946339050258e-75,9.62661483805808e-80,4.72306398698078e-85,1.15179194593906e-90,1.42500046249707e-96,9.08004051718465e-103,3.01259528949724e-109,5.24588485354271e-116,4.82210106033246e-123,2.3498922547819e-130,6.09029816901706e-138,8.41504997254091e-146,6.21023244674094e-154,2.45143160180288e-162,5.18189539627684e-171,5.87099557903432e-180,3.56788398084336e-189,1.16371624685025e-198,2.03812135226236e-208,1.91738451433696e-218,9.69000761787547e-229,2.6290161630836e-239,3.81607190761671e-250,2.92115834418484e-261,1.1274328737412e-272
"7",2.9279466759536e-25,1.59969367626577e-23,4.71197092349129e-22,7.48273156239008e-21,1.13988653092601e-25,1.9558595605301e-25,1.0823599507286e-25,1.8976631190667e-26,1.04427749353596e-27,1.80228162283655e-29,1.01899529113797e-31,2.8949124444968e-34,1.30851745238898e-36,5.67894203644612e-38,1.13143689784233e-38,1.16607684122698e-39,5.74640513360857e-41,1.34011810390415e-42,1.46177392008681e-44,7.35362371478611e-47,1.67795206265727e-49,1.70542862920665e-52,7.60211605452847e-56,1.47828382355926e-59,1.26803641796592e-63,4.92665141286995e-68,8.9669234645663e-73,7.89750577901315e-78,3.45729482783245e-83,7.67845141272576e-89,8.78299585401548e-95,5.23108696500391e-101,1.63518222342769e-107,2.69823621846092e-114,2.36041228057604e-121,1.09818302680675e-128,2.72388725222381e-136,3.60858167926524e-144,2.55708238415475e-152,9.70308504774026e-161,1.97346398700253e-169,2.15290284652287e-178,1.26054124961971e-187,3.96311120953901e-197,6.69285925131735e-207,6.07187540290635e-217,2.9572513917274e-227,7.70562366130552e-238,1.05886989232813e-248,7.336255545796e-260
"8",3.30841437982494e-25,3.24481410251092e-23,1.71574147929534e-21,4.89109018299451e-20,1.33752954212857e-24,4.11979574266351e-24,4.09266302118946e-24,1.28810019673697e-24,1.2724557939511e-25,3.94226392551862e-27,4.00121119021548e-29,2.04056760112755e-31,1.6557369060647e-33,1.28995779688056e-34,4.6135439226052e-35,8.53547605312968e-36,7.55080188495308e-37,3.16108493073561e-38,6.18969936251937e-40,5.58968076846813e-42,2.28960944440816e-44,4.1774538796941e-47,3.34278824261873e-50,1.16688605917619e-53,1.79679532733835e-57,1.25318438158874e-61,4.09451869120397e-66,6.47359616038062e-71,5.08731141860144e-76,2.02825149057518e-81,4.16473235763617e-87,4.45279412069875e-93,2.49863655094799e-99,7.40138771944575e-106,1.16229751487695e-112,9.70734415432043e-120,4.32226194427081e-127,1.02790919713983e-134,1.30755265976174e-142,8.9067766557475e-151,3.25189254050816e-159,6.36836091616226e-168,6.69355065614756e-177,3.77773950610315e-186,1.14525895595284e-195,1.86513860724593e-205,1.63069508289524e-215,7.62761154419027e-226,1.88156674556256e-236,2.34017176914052e-247
"9",1.5051657052656e-25,2.65002817662131e-23,2.51540996835933e-21,1.28723800467889e-19,6.31906499228687e-24,3.49398776297172e-23,6.23085921709322e-23,3.52036629178314e-23,6.24276758925963e-24,3.47197360942789e-25,6.32584360128125e-27,5.79127540791893e-29,8.43549975211015e-31,1.17975342194442e-31,7.57437250123301e-32,2.51556766832366e-32,3.99482342348419e-33,3.00218141857106e-34,1.05527726042877e-35,1.7107253307538e-37,1.25791398164e-39,4.12000228037267e-42,5.91821740161732e-45,3.70857235048827e-48,1.02511637364958e-51,1.28347020297008e-55,7.52783221975203e-60,2.13652969136008e-64,3.01403234661814e-69,2.15713658778987e-74,7.95131931425256e-80,1.52609289001901e-85,1.53726131456486e-91,8.17436490534404e-98,2.30438177041934e-104,3.45488666093021e-111,2.7614724638659e-118,1.17890997361977e-125,2.69203892082906e-133,3.29184186593832e-141,2.15750019696819e-149,7.58470305592652e-158,1.43107938230641e-166,1.44989126811646e-175,7.89047919834628e-185,2.30678463756248e-194,3.62047002704277e-204,3.04002404188083e-214,1.34618372505676e-224,3.00558281513775e-235
"10",3.41967038591326e-26,1.08080334633575e-23,1.84162508869236e-21,1.69179428942951e-19,1.49086314699982e-23,1.47979853487703e-22,4.73724022356712e-22,4.80464804119819e-22,1.52949178469936e-22,1.52701271447169e-23,4.99437265547431e-25,8.20791723386916e-27,2.14617841658617e-28,5.38818511492027e-29,6.21003685656997e-29,3.7023696615136e-29,1.05544988772971e-29,1.42387943994117e-30,8.98460777014854e-32,2.61462304482905e-33,3.45124665731274e-35,2.02917156187808e-37,5.23249089749273e-40,5.88600435435369e-43,2.92067510847299e-46,6.56435599842384e-50,6.91150333970279e-54,3.52133853955613e-58,8.91749782874411e-63,1.14569496520999e-67,7.58100547132584e-73,2.61194988935306e-78,4.72310745181405e-84,4.50848267012766e-90,2.28153466064082e-96,6.14048536685341e-103,8.81060779701509e-110,6.75214950911852e-117,2.76782736506554e-124,6.07565191944757e-132,7.14827119269979e-140,4.51112659929661e-148,1.52794039767913e-156,2.77890934408571e-165,2.71480462293445e-174,1.42474948085698e-183,4.01414142561053e-193,6.05063544683205e-203,4.80977278806568e-213,1.92772544638846e-223
