"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",4.62255553217094e-08,4.1477677172073e-08,2.85233449785379e-08,1.49393497235754e-08,7.80770214215499e-08,6.31727259991097e-08,4.2871457767703e-08,2.53290584711499e-08,1.39631803481133e-08,7.76884859365206e-09,4.56624715841392e-09,2.90090572548085e-09,2.14000334647624e-09,2.09504909674611e-09,2.82178672032817e-09,4.5712263650342e-09,7.77081888277137e-09,1.29780235120154e-08,2.07788558925395e-08,3.1620300394218e-08,4.55938377647278e-08,6.22248707486681e-08,8.03514878814792e-08,9.81744885419833e-08,1.13516999861279e-07,1.24255518242798e-07,1.28806342540995e-07,1.26511958717619e-07,1.17796087242259e-07,1.04037219018314e-07,8.72119183227914e-08,6.94345548091419e-08,5.25388464101676e-08,3.78083770730905e-08,2.58939089259473e-08,1.68891444562753e-08,1.04981512559993e-08,6.22302910256325e-09,3.52010186895445e-09,1.90126763461722e-09,9.81121885740122e-10,4.83986824454783e-10,2.28342526520255e-10,1.03073201293824e-10,4.4521657366786e-11,1.83941022368416e-11,7.25528746839359e-12,2.71769635929501e-12,9.5536114848386e-13,3.08592525265993e-13
"2",1.22355936908433e-07,1.43421266848318e-07,1.28841508021297e-07,8.81542502972465e-08,2.10558208710741e-07,1.69077705647629e-07,1.1437773910786e-07,6.75117734865781e-08,3.72095070097498e-08,2.0701945588575e-08,1.216779884254e-08,7.73011648497888e-09,5.70252058970063e-09,5.5827298629566e-09,7.51928583138533e-09,1.21810615206828e-08,2.07070959340703e-08,3.45828646828634e-08,5.53699383369989e-08,8.42594073552361e-08,1.21495042779835e-07,1.65812173403567e-07,2.14114624611311e-07,2.61608021391964e-07,3.02491596025596e-07,3.31106795230521e-07,3.43233490852108e-07,3.37119588745143e-07,3.13894187469939e-07,2.77230586303125e-07,2.32395785636982e-07,1.85023999305926e-07,1.40001581466885e-07,1.00748930450529e-07,6.90001484176203e-08,4.50049267363364e-08,2.79746868982268e-08,1.6582661695151e-08,9.38010371850852e-09,5.06635554119632e-09,2.61442009105109e-09,1.28969182733506e-09,6.08470056220975e-10,2.74661744099454e-10,1.18637976787982e-10,4.90152254717763e-11,1.93333464469711e-11,7.24191363620167e-12,2.54577480852103e-12,8.22314240187387e-13
"3",2.34728287338853e-07,3.59426550610426e-07,4.21801983439309e-07,3.77009498521618e-07,5.52575414912589e-07,4.39199799248185e-07,2.95089323465969e-07,1.73667068070292e-07,9.56321658707895e-08,5.31954148051728e-08,3.12651396886301e-08,1.98624358127596e-08,1.46525477555105e-08,1.43447466794335e-08,1.93207002501233e-08,3.12990679736189e-08,5.3206594685886e-08,8.886018928566e-08,1.42272285609674e-07,2.16503374007473e-07,3.12179820777981e-07,4.26052070862963e-07,5.50164546698672e-07,6.72198168448899e-07,7.77247944224677e-07,8.50774300155986e-07,8.81933675708752e-07,8.66224089372252e-07,8.06546744176129e-07,7.12340131466241e-07,5.97137735415098e-07,4.7541659002186e-07,3.59732114257259e-07,2.58872974007789e-07,1.77294920630638e-07,1.15639532619742e-07,7.1880568477466e-08,4.26089183358297e-08,2.41020459001714e-08,1.30179300213449e-08,6.71771602189308e-09,3.31384519322225e-09,1.56345533738401e-09,7.05739527191364e-10,3.04838629492476e-10,1.25943939382777e-10,4.96767645062783e-11,1.86079962549245e-11,6.54133292421952e-12,2.11292499061112e-12
"4",3.29463724792903e-07,6.59035101581029e-07,1.01032994871468e-06,1.17967701824395e-06,1.41618105249013e-06,1.11949386827602e-06,7.45497481734434e-07,4.3606395079443e-07,2.39478520679033e-07,1.33098513161843e-07,7.82125124986287e-08,4.96860061058881e-08,3.66532815501392e-08,3.58833031744928e-08,4.83306214666804e-08,7.8294439847515e-08,1.33095992834835e-07,2.22283256168736e-07,3.55893310177625e-07,5.41581953997263e-07,7.80916039348276e-07,1.06576682280517e-06,1.376233472513e-06,1.6814998805948e-06,1.94428129493736e-06,2.1282070545156e-06,2.20615205456266e-06,2.16685461403263e-06,2.01757207574032e-06,1.78191477190022e-06,1.49373663590318e-06,1.18925188564437e-06,8.99867829996443e-07,6.47569266497352e-07,4.43502231727882e-07,2.89271630627652e-07,1.79808831658746e-07,1.06585965950036e-07,6.02911302134995e-08,3.25642776251434e-08,1.68043282753183e-08,8.28956483111342e-09,3.9109746002326e-09,1.76540339799144e-09,7.6255209126064e-10,3.15048045314449e-10,1.24266142792969e-10,4.65477963930848e-11,1.63631069635116e-11,5.28546980069382e-12
"5",4.59353844988367e-07,1.20034065594282e-06,2.4038945547782e-06,3.66666745096738e-06,3.5490977928289e-07,2.07943736148664e-07,7.92224912196312e-08,2.04217071942464e-08,3.82055201073904e-09,5.6120669257868e-10,6.7751540281391e-11,6.87793128897821e-12,6.30774579590749e-13,5.97255989089874e-14,6.05296465647859e-15,5.74017841412108e-16,4.4440529710785e-17,2.62973411054039e-18,1.16061137683805e-19,3.78760044703948e-21,9.11188770650712e-23,1.61414044799443e-24,2.10483188698052e-26,2.02040939393779e-28,1.42787418820955e-30,7.43197253558861e-33,2.85007375301401e-35,8.05660246730037e-38,1.67966932793045e-40,2.58419510266888e-43,2.93580433680666e-46,2.46440847548655e-49,1.52958778791827e-52,7.02440936131886e-56,2.38846214407908e-59,6.01725520829187e-63,1.12394409036568e-66,1.55756393233802e-70,1.60244272356824e-74,1.2246862411788e-78,6.95712670996479e-83,2.93925266783144e-87,9.23969600329546e-92,2.16199761340161e-96,3.76608744341096e-101,4.88178186543108e-106,4.70008986789194e-111,3.34329962436965e-116,1.73634427241993e-121,6.44642044479624e-127
"6",3.12666798489868e-07,1.06732122107518e-06,2.79230117840615e-06,5.56383941489236e-06,7.03521294131995e-07,5.38469787941056e-07,2.67991001140562e-07,9.02443411490307e-08,2.20551627785055e-08,4.23217103151418e-09,6.67445423047795e-10,8.85137288189133e-11,1.06043292650583e-11,1.31167352352459e-12,1.73655920520922e-13,2.1513103427005e-14,2.17577067175926e-15,1.68190688633824e-16,9.69690520366478e-18,4.13396412333838e-19,1.29917340181836e-20,3.00646601985672e-22,5.12139898663435e-24,6.42194812952578e-26,5.92889248315629e-28,4.03128911116352e-30,2.01953863354937e-32,7.45768815878278e-35,2.03110461881247e-37,4.08215996081714e-40,6.05826191062843e-43,6.64339152912325e-46,5.38651383676688e-49,3.23146460055748e-52,1.43537100678222e-55,4.72389739885686e-59,1.15266458672201e-62,2.08670156535338e-66,2.80448546088593e-70,2.79995939838374e-74,2.07784441730882e-78,1.14676981007539e-82,4.70926609020817e-87,1.43948444209763e-91,3.27565671757087e-96,5.54680080672772e-101,6.97632299614106e-106,6.48264045184729e-111,4.39813637621094e-116,2.13308272168196e-121
"7",1.67729246109456e-07,7.4796002962946e-07,2.556240567989e-06,6.65380804204104e-06,1.09907959628939e-06,1.0989285518575e-06,7.14470899450941e-07,3.14297212748624e-07,1.00342989559826e-07,2.51533709883981e-08,5.18209013817965e-09,8.97751331346456e-10,1.40502755915844e-10,2.27030187883723e-11,3.92648251910818e-12,6.35438254418991e-13,8.39536586740542e-14,8.4778294430079e-15,6.38516455268666e-16,3.55600092127983e-17,1.45988450713353e-18,4.41330453308785e-20,9.82092569923285e-22,1.60874357389952e-23,1.9402148488647e-25,1.72336160209602e-27,1.12782274785849e-29,5.44062911640114e-32,1.93567933309023e-34,5.08214855515398e-37,9.85284383364859e-40,1.41143089801457e-42,1.49497444663997e-45,1.17160606149421e-48,6.79833551522203e-52,2.92277307953031e-55,9.31652192466909e-59,2.20326846828948e-62,3.86826740006343e-66,5.04511704519229e-70,4.89089969001403e-74,3.52621021069202e-78,1.89165265963948e-82,7.55355434230976e-87,2.24542721665985e-91,4.96705978956714e-96,8.1609292904717e-101,9.90652152842677e-106,8.77999284575689e-111,5.5627479930774e-116
"8",6.93240971344993e-08,4.0384065240379e-07,1.80297450296976e-06,6.13076045433984e-06,1.32290739106944e-06,1.72792931245775e-06,1.46756476779113e-06,8.43353165875215e-07,3.51732260768348e-07,1.15180134498737e-07,3.09986346463169e-08,7.01535863980486e-09,1.4342830978132e-09,3.02753981874151e-10,6.84015811808018e-11,1.4460790915335e-11,2.49582732482336e-12,3.29242431666792e-13,3.23936165403435e-14,2.35670609656519e-15,1.26391619226806e-16,4.9913714645823e-18,1.45099073211002e-19,3.10495460994247e-21,4.89186509944217e-23,5.67619462395079e-25,4.85263842968822e-27,3.05803479226112e-29,1.42129075649754e-31,4.8747583468987e-34,1.23459226813892e-36,2.3103500764015e-39,3.19674620254444e-42,3.27274536148246e-45,2.48078666034915e-48,1.39327915541365e-51,5.80167062295083e-55,1.79235031054105e-58,4.11081735679351e-62,7.00388743447391e-66,8.86978074794579e-70,8.35388601293292e-74,5.8543402450698e-78,3.05382495366567e-82,1.18589976081088e-86,3.42692503600857e-91,7.35531114704078e-96,1.16637671060018e-100,1.3504174190215e-105,1.11768512876601e-110
"9",2.17010241732141e-08,1.65143795206966e-07,9.63159092449574e-07,4.27837658382257e-06,1.20600836924862e-06,2.05779955216968e-06,2.2831297383039e-06,1.71395340439523e-06,9.33808778837435e-07,3.9946574889467e-07,1.40443210749042e-07,4.15206629892265e-08,1.10893349060955e-08,3.05785368084979e-09,9.02504124395164e-10,2.49247791344559e-10,5.61965978960459e-11,9.68428378639249e-12,1.24470765742762e-12,1.18295865816699e-13,8.28778807315299e-15,4.27559409788821e-16,1.62366875363929e-17,4.53883367028818e-19,9.34156633024299e-21,1.41598523633947e-22,1.58137765533995e-24,1.30183608241259e-26,7.90411101561324e-29,3.54143609163173e-31,1.17167209772248e-33,2.86428707952247e-36,5.17729757942893e-39,6.92410114958501e-42,6.85641068530144e-45,5.03039122472678e-48,2.73635795829741e-51,1.10433021078394e-54,3.30872335398625e-58,7.36423519601244e-62,1.21830939985537e-65,1.49895803006209e-69,1.3722558940175e-73,9.35098806146455e-78,4.74370378308271e-82,1.79073120834884e-86,5.02091726122616e-91,1.04010473279462e-95,1.5731222800984e-100,1.70086616064334e-105
"10",5.08787871835538e-09,5.05795543062497e-08,3.85360310753056e-07,2.23616672572336e-06,8.23439529141621e-07,1.83544204372832e-06,2.66026202961689e-06,2.60884966386244e-06,1.85679608782572e-06,1.03762881910402e-06,4.76562038272465e-07,1.8405142833949e-07,6.42150211323668e-08,2.31315134172711e-08,8.91851938246025e-09,3.21759294755704e-09,9.47689403811116e-10,2.13343652120394e-10,3.5820842545844e-11,4.44727740676361e-12,4.07023521754239e-13,2.74304894498272e-14,1.36078883911752e-15,4.96928369295359e-17,1.33605840207519e-18,2.64557868838514e-20,3.85970198912568e-22,4.15078938863736e-24,3.29218053062218e-26,1.9269313271382e-28,8.32816140804111e-31,2.65959683467662e-33,6.27998503708138e-36,1.09717297593286e-38,1.41926907269542e-41,1.36027243057836e-44,9.666143994283e-48,5.09607160789156e-51,1.99458818934718e-54,5.79931440350072e-58,1.25332244244155e-61,2.0144241155694e-65,2.40908853753606e-69,2.14452629907534e-73,1.42117530882273e-77,7.00836499087985e-82,2.56699836107257e-86,6.94665637860967e-91,1.3725160878705e-95,1.93856925200565e-100
