"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",1.76271594505227e-17,1.14154260210447e-18,2.4631757007988e-21,1.78733220507988e-25,5.68036534406355e-18,4.06735581963359e-19,2.97892178567407e-20,2.62173084122916e-21,2.68539810064451e-22,3.22699509603356e-23,4.54679254545501e-24,7.50969346885434e-25,1.45183810268657e-25,3.27722100014459e-26,8.60647253284699e-27,2.61732525907219e-27,9.16547598698e-28,3.67184513085881e-28,1.67097861602942e-28,8.61131568790463e-29,5.4691139926179e-29,9.10308409804624e-29,5.75465706181356e-28,4.49475066743252e-27,3.19496997100636e-26,2.02497163490609e-25,1.15028121427079e-24,5.8968203628071e-24,2.74596848860711e-23,1.16845371507979e-22,4.56740091209514e-22,1.6478038619979e-21,5.50936852698629e-21,1.71315205527469e-20,4.96930296755711e-20,1.34800096956593e-19,3.42658499805622e-19,8.17500974057774e-19,1.83251164265453e-18,3.86190592898678e-18,7.65217223939978e-18,1.42479463531698e-17,2.48948645932789e-17,4.07170786590208e-17,6.20779694126144e-17,8.76106655115455e-17,1.13067499451398e-16,1.30360724454729e-16,1.27366679179418e-16,8.91110962262995e-17
"2",3.28517238735871e-17,6.45573268273704e-17,4.22694299470863e-18,9.30708894438527e-21,1.63390284259168e-17,1.1699360559845e-18,8.56858401272542e-20,7.5411583747715e-21,7.72429116589881e-22,9.28214319757969e-23,1.30784145127695e-23,2.16009160452439e-24,4.17607364368273e-25,9.42661321389906e-26,2.47556962742565e-26,7.52848613845484e-27,2.63636163220998e-27,1.0561711837077e-27,4.80641040116326e-28,2.47696271472313e-28,1.57313840686537e-28,2.61841520123577e-28,1.65527214362278e-27,1.29287210209295e-26,9.1900259840183e-26,5.82463751163999e-25,3.30867405453172e-24,1.69616405941418e-23,7.89851610206089e-23,3.36094551753287e-22,1.3137692511195e-21,4.7397504345108e-21,1.58471723922302e-20,4.92771827135192e-20,1.42937253898272e-19,3.87739604729076e-19,9.85624448879092e-19,2.35146347594146e-18,5.27104472493887e-18,1.11084035710182e-17,2.20107426211949e-17,4.09828569259717e-17,7.16077004031394e-17,1.17118788052914e-16,1.78561350220554e-16,2.5200371203321e-16,3.25227863590539e-16,3.7497017371248e-16,3.66358088426192e-16,2.56319557684637e-16
"3",1.26321551663637e-17,7.5325567276897e-16,1.4965831363635e-15,9.99921496267286e-17,3.01257526102025e-16,2.15706960599886e-17,1.57983267734625e-18,1.3904010753485e-19,1.42416618371259e-20,1.71139515205376e-21,2.41133267579187e-22,3.98266889584185e-23,7.69963578054003e-24,1.73803181131264e-24,4.56433150056605e-25,1.38806463177761e-25,4.86079175938715e-26,1.94731561996108e-26,8.86181917714477e-27,4.56690000527077e-27,2.90047393765803e-27,4.82770302727846e-27,3.05190801480449e-26,2.38373293823388e-25,1.69441104080337e-24,1.07391754120862e-23,6.10036778804286e-23,3.12730248454489e-22,1.45628890631748e-21,6.19674329795123e-21,2.42226205675158e-20,8.73891486362929e-20,2.92182240981745e-19,9.08548056280509e-19,2.63540561874939e-18,7.14894896219234e-18,1.81724507762083e-17,4.33551078376707e-17,9.71848871160603e-17,2.04811190840647e-16,4.05823067078281e-16,7.55621424572603e-16,1.32026697618288e-15,2.1593776547256e-15,3.29222489469146e-15,4.6463184406123e-15,5.99638873495056e-15,6.91351257782386e-15,6.75472725535791e-15,4.72589184481049e-15
"4",2.70300906065468e-19,4.8909142104219e-16,2.94866928238176e-14,5.97817614865793e-14,9.72871512593026e-15,6.87937690798942e-16,5.0383274061145e-17,4.43420112436566e-18,4.5418832055485e-19,5.45790020017686e-20,7.69010773350845e-21,1.27013386346034e-21,2.45553130248544e-22,5.54284856977264e-23,1.45563494092628e-23,4.42674984941145e-24,1.55018063973947e-24,6.2102865602013e-25,2.826169315884e-25,1.4564540762572e-25,9.2500538323684e-26,1.53962813832663e-25,9.73300020450192e-25,7.60208796030654e-24,5.40373527860276e-23,3.42488685684432e-22,1.94550034406465e-21,9.97344466935535e-21,4.6443274680118e-20,1.97623596430933e-19,7.72496319658267e-19,2.78697325549235e-18,9.31813736663136e-18,2.89749834355493e-17,8.4047105292184e-17,2.27990887580697e-16,5.79547175940906e-16,1.38266052385358e-15,3.09937429826405e-15,6.53174129975867e-15,1.29423166612626e-14,2.40979198724713e-14,4.21053278370459e-14,6.88658473751133e-14,1.04994073929686e-13,1.48178182675527e-13,1.91233983791237e-13,2.20482462142938e-13,2.15418555994601e-13,1.50715899918566e-13
"5",1.40031048740741e-22,7.68855046512368e-18,1.40655938881151e-14,8.65323105423729e-13,5.33071827823168e-14,2.03783416865226e-16,2.68215294340425e-20,1.42791008577489e-25,2.97803851370312e-32,2.4527278758527e-40,7.97271398397631e-50,1.02257175665917e-60,5.16750452592532e-73,1.02631352423575e-86,7.98236737223349e-102,2.42000897690044e-118,2.84372512537609e-136,1.28679928803034e-155,2.22644396023591e-176,1.46840333147555e-198,4.0174303377506e-222,9.69607615079318e-247,2.99173793577837e-272,3.83907767056948e-299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",2.01623961366809e-27,3.35923089078708e-21,1.86479477777784e-16,3.48119903725022e-13,6.5074954035631e-13,7.54874166189722e-14,3.01485789234594e-16,4.87036772455519e-20,3.08225656181385e-25,7.70309807080736e-32,7.59800943769226e-40,2.95709326383972e-49,4.53450284288349e-60,2.73279119010858e-72,6.4496432450176e-86,5.93333053243193e-101,2.11566433524383e-117,2.90500942696346e-135,1.52519750702896e-154,3.05237061349951e-175,2.53406553181105e-197,1.85585092973399e-220,1.73759358192958e-244,6.76595551874397e-270,8.07059668318867e-297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",8.07001594941392e-34,4.07990160590912e-26,6.87255877477634e-20,3.89308474294788e-15,2.20829178519996e-13,7.77310857567725e-13,9.42029713491207e-14,4.61782097822544e-16,8.86791883877836e-20,6.72505646591383e-25,2.01283382059022e-31,2.37711777002815e-39,1.10609629956382e-48,2.02277368026722e-59,1.44861881682806e-71,4.04384551612063e-85,4.37542619884104e-100,1.82305062199583e-116,2.90438946740077e-134,1.76377675389693e-153,4.44326050773345e-174,9.87426112523422e-196,2.80535164682315e-218,3.31471219403227e-242,1.19977529924041e-267,1.30336348613991e-294,4.44659081257122e-323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",8.89373614435107e-42,1.3643855822174e-32,6.9740246640171e-25,1.19877163404462e-18,2.06336776594311e-15,2.2039031370151e-13,8.10475619065131e-13,1.20556333132978e-13,7.02509548443981e-16,1.61660545987976e-19,1.46822836947918e-24,5.26155328753718e-31,7.4290588423676e-39,4.12254815378575e-48,8.95880635702919e-59,7.5887136882988e-71,2.49156119753029e-84,3.1501229757929e-99,1.52286434106658e-115,2.80625778412505e-133,2.14517787689773e-152,1.44658422588436e-172,1.24710783743048e-193,4.47136488217482e-216,4.91102094522511e-240,1.61888129128671e-265,1.60994743316359e-292,4.86160595507787e-321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",2.68754224020777e-51,1.25108196537456e-40,1.94048238810167e-31,1.01213925424022e-23,5.28637584220928e-19,1.71337127779199e-15,1.91194994535924e-13,8.62986849140046e-13,1.5259628597409e-13,1.06554883228794e-15,2.93657104221832e-19,3.19329071284946e-24,1.36815678081465e-30,2.30380327021979e-38,1.51917353816672e-47,3.9048377172506e-58,3.89030780738956e-70,1.49251085544028e-83,2.18941854321341e-98,1.22425735491765e-114,2.8397888684647e-132,5.81090870563538e-151,1.52013416570891e-170,1.65384805695374e-191,5.51194488615904e-214,5.51347828503484e-238,1.66379549692802e-263,1.52518864332059e-290,4.27495240720597e-319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2.22440400940361e-62,3.14211241251157e-50,1.4788469988836e-39,2.34062258767747e-30,3.70959710599766e-24,3.64836074281154e-19,1.23537951106788e-15,1.69202056745685e-13,9.07868625704388e-13,1.92366740450242e-13,1.60869875162163e-15,5.30823639229394e-19,6.90121009088092e-24,3.52624396681387e-30,7.05589219895841e-38,5.50332452923092e-47,1.66373320045386e-57,1.93684470772047e-69,8.62151680320138e-83,1.46286817890287e-97,1.02966537304586e-113,6.39339728193008e-131,5.07512968254142e-149,1.67547678828841e-168,1.69443634729742e-189,5.14308432716394e-212,4.70950763742067e-236,1.31001632601214e-261,1.11419766946323e-288,2.91478573167985e-317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",5.03645233769701e-75,2.15878982163379e-61,3.08311320973923e-49,1.48072770986836e-38,7.12111731106218e-31,2.12518506117509e-24,2.18361947467424e-19,9.07527485001024e-16,1.47759271464028e-13,9.50034340014574e-13,2.41080246302769e-13,2.41387480105742e-15,9.52285822968043e-19,1.47649510187402e-23,8.96497691679321e-30,2.12177802292269e-37,1.94641790250593e-46,6.87582465209672e-57,9.28733807071e-69,4.78178838728072e-82,1.02131298174522e-96,1.9242966356683e-112,4.63516348739547e-129,4.64337664416515e-147,1.42494578210252e-166,1.31242444434506e-187,3.64673122158441e-210,3.0780987041827e-234,7.94411758920953e-260,6.30619874415363e-287,1.54793191222187e-315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
