"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",-2.50127409577789e-15,-6.47556839955767e-45,-1.12262235239322e-57,-4.83081887394649e-73,-4.68981901373825e-90,-9.19777519617617e-110,-9.08008504108317e-132,-9.83948935606964e-156,-2.63083999332871e-182,-4.19109861948673e-211,-4.18159872531269e-242,-2.22971597985002e-275,-4.56223873454203e-311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",-6.56119489734199e-17,-1.06242470212021e-34,-7.47063371804663e-45,-1.30391117287309e-57,-5.13436606222178e-72,-4.08429432144137e-89,-1.63541376801477e-108,-7.18809465928322e-130,-7.7954134924556e-154,-5.03704806629295e-180,-2.03842183832008e-208,-4.40864113820188e-239,-3.65878343140643e-272,-9.85964623778947e-308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",-6.97217527069147e-17,-7.51039374218506e-26,-2.14202967788044e-33,-1.51642012860562e-43,-2.42193150536923e-55,-7.81439845276426e-70,-1.26914038750637e-86,-2.26255578873408e-105,-9.95240771311276e-127,-2.6083663668668e-150,-4.28144188766013e-176,-3.7558153527356e-204,-1.26426956017022e-234,-1.38187195966515e-267,-2.04683109393377e-302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",-9.95608338158367e-17,-5.74576009783439e-20,-6.64681758841674e-25,-1.90858414175321e-32,-1.23639466080502e-41,-1.61805883806263e-53,-1.06588884358953e-67,-7.70734930610855e-84,-1.37510986755081e-102,-1.46177767480195e-123,-9.73209367679816e-147,-3.46277244994256e-172,-4.72784136445381e-200,-2.09601560972144e-230,-1.25925072003026e-262,-2.76194370380959e-297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",-4.77679152759034e-17,-4.59710624222761e-17,-2.15702066544894e-19,-2.51220658861213e-24,-6.60092280686637e-31,-3.50384863718377e-40,-9.36195258365442e-52,-2.74576305109737e-65,-1.987004756244e-81,-8.56734639634415e-100,-2.31352808688247e-120,-3.33884257763275e-143,-1.8490062505933e-168,-3.32486096876589e-196,-8.10204551664898e-226,-7.20776779173603e-258,-3.3151994736501e-292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",-9.6277576857087e-20,-3.7581741230589e-17,-7.15237302961658e-17,-3.37873939064478e-19,-3.60087041406296e-23,-7.7526766210792e-30,-8.40187591460406e-39,-9.99485220179261e-50,-2.93370013135e-63,-5.13058201142242e-79,-5.61951167068727e-97,-3.2894496104878e-117,-7.38871930266529e-140,-5.38899489537804e-165,-5.32638377605405e-192,-1.92194987456436e-221,-3.58553881771407e-253,-3.38006441228105e-287,-9.88131291682493e-324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",-2.00776142936245e-25,-3.17883032375968e-20,-2.45382789942263e-17,-4.70166987255556e-17,-2.03239642913191e-18,-1.77482727231153e-22,-7.80160901558051e-29,-3.76433086286801e-37,-4.48157455885664e-48,-3.17895978286575e-61,-1.41227890065276e-76,-3.35311636420892e-94,-3.05490738891137e-114,-9.03733012398884e-137,-3.62299991138625e-161,-5.30250905805162e-188,-4.01233590913347e-217,-1.53416237044338e-248,-1.89410647392192e-282,-2.48234884636955e-318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",-4.45082445109478e-34,-2.85824333451429e-26,-8.94910174867206e-21,-6.95490130803888e-18,-1.21941282035324e-16,-4.31918613968408e-18,-7.70075847567789e-22,-1.50709491052446e-27,-7.27757910312479e-36,-2.0938464792358e-46,-3.77297360514155e-59,-3.63341843265313e-74,-1.34266705455174e-91,-1.61106819605128e-111,-2.61966401633406e-133,-1.5551138315887e-157,-4.77289129747728e-184,-7.40217040706401e-213,-3.70676996032019e-244,-1.97041625294711e-277,-2.69625598792822e-313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",-1.05999532712126e-45,-2.76099855062259e-35,-3.50630684041899e-27,-1.10526123559487e-21,-7.8601026408401e-18,-1.12923121625483e-16,-8.16616123836102e-18,-6.48229132663219e-21,-1.26963349234872e-26,-1.48163000865668e-34,-1.08288463172403e-44,-4.2297756440969e-57,-6.33977351836643e-72,-3.08548066284368e-89,-2.03496991527303e-108,-4.89979687385183e-130,-6.09959401148195e-154,-3.83691305893605e-180,-7.79331101401979e-209,-1.68030395027281e-239,-9.3259800836035e-273,-4.7494468416953e-308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",-2.7753287301944e-60,-2.93210928508761e-47,-1.51031448394346e-36,-1.93101612581015e-28,-5.56996765464489e-22,-3.24571830531345e-18,-9.52027282233638e-17,-3.06523292878178e-17,-2.43510000395465e-20,-1.15260816117497e-25,-3.4168633368897e-33,-5.41335170969798e-43,-3.29098686974945e-55,-6.49648932063269e-70,-1.73787040197919e-86,-1.69723103183238e-105,-8.56973338288229e-127,-2.18651184091109e-150,-1.8013386900282e-176,-1.57530521576726e-204,-3.54629483871472e-235,-7.32532472434691e-268,-8.68878404975161e-303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",-8.1075057705028e-78,-3.47421332731883e-62,-7.25850549260525e-49,-3.7641698936932e-38,-4.40392062973371e-29,-1.04088111407523e-22,-1.23834938196223e-18,-1.61718898189783e-16,-5.21095816504363e-17,-1.00042830174739e-19,-1.202916221727e-24,-7.72996470524588e-32,-1.90607905811109e-41,-1.52614916325743e-53,-1.65591917265233e-67,-6.55943156376845e-84,-1.34337123887244e-102,-1.39022169870237e-123,-4.64548540575831e-147,-1.64779783398582e-172,-1.5045878500885e-200,-1.26058775895367e-230,-6.06469132542367e-263,2.87476279126496e-297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",-2.55463813169222e-98,-4.44019557445986e-80,-3.76267165047212e-64,-7.91446972389025e-51,-3.75574054212647e-39,-3.6004826417764e-30,-1.73742584803722e-23,-9.2029561798203e-19,-1.20278405096514e-16,-9.36611610617239e-17,-4.56785640742979e-19,-1.1905785844586e-23,-1.19076197869161e-30,-3.86709219277905e-40,-1.70188484639933e-51,-2.7343917552313e-65,-2.27140234759409e-81,-9.53422904265719e-100,-1.2922189690152e-120,-1.85914144850139e-143,-6.88540594087267e-169,-2.33985302607067e-196,-4.5659135930551e-226,8.77858453950534e-258,4.32093327470187e-288,1.7835769814869e-321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",-8.30751173154415e-122,-5.85662161873748e-101,-2.01300513019751e-82,-1.71740956083162e-66,-3.30560632059519e-52,-1.28534515028006e-40,-2.51575771878525e-31,-5.4049711907382e-24,-2.86521478665181e-19,-9.04966606753807e-17,-1.79014806687639e-16,-1.89250951131035e-18,-7.67729904091009e-23,-1.01128023189444e-29,-1.80518059801881e-38,-1.17639918626807e-49,-3.96361573313583e-63,-6.74817828410576e-79,-3.70971522824059e-97,-2.16481300355768e-117,-3.25192857586061e-140,-4.48232683976236e-165,-3.54769376301496e-192,2.76660033754344e-221,5.52335533130529e-249,9.26094316309017e-280,1.90601517258932e-313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",-2.74606229516405e-148,-7.8521770220783e-125,-1.09469035362018e-103,-3.78812044793847e-85,-2.95736226566129e-68,-4.66419451614803e-54,-3.7027909907168e-42,-3.22669013821951e-32,-6.93784440747071e-25,-8.88798718791314e-20,-7.13121144082022e-17,-3.05784821553799e-16,-5.03141111061009e-18,-2.68816770244485e-22,-1.94629645597902e-28,-5.14453994821859e-37,-7.03051057651602e-48,-4.85495673475468e-61,-1.08253733310885e-76,-2.5622776689815e-94,-1.5611703544911e-114,-8.72803164451503e-137,-2.80196308586309e-161,8.86270317370507e-188,7.17672418641043e-213,4.88069855295455e-241,4.07433386321263e-272,4.07819447591631e-306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
