"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",8.86595271605944,0.0572115645987121,0.015095462803946,0.00209150044909138,8.36281218141203e-06,1.66145722066794e-07,1.15800116284474e-09,3.55265024594918e-12,6.44833578891309e-15,6.88628222239714e-18,4.05862881139984e-21,1.34450781563348e-24,2.51665513556218e-28,2.65055150106434e-32,1.56939640515848e-36,5.21671888623167e-41,9.70868070341804e-46,1.00757551900433e-50,5.79482426629947e-56,1.82981534925968e-61,3.13270109736695e-67,2.8646006316287e-73,1.37722703787961e-79,3.43035202635155e-86,4.37121074582522e-93,2.82139637796597e-100,9.15534762101549e-108,1.48556657555302e-115,1.20083570535008e-123,4.82330476482169e-132,9.6106229393524e-141,9.4896228225558e-150,4.64054090145604e-159,1.12349264034519e-168,1.34648062000132e-178,7.98843950677782e-189,2.34637096479638e-199,3.41246630893473e-210,2.45784604807923e-221,8.76880087164565e-233,1.54993023851178e-244,1.35755469083369e-256,5.89332436627752e-269,1.26824261435595e-281,1.35319442675101e-294,7.15986248407735e-308,1.88239011065515e-321,0,0,0
"2",0.0569547691657237,0.000958206533841114,0.000490796870112064,0.000132005906363286,1.02463171293584e-06,3.9517063315636e-08,5.34668432863598e-10,3.18425655309821e-12,1.12197528720031e-14,2.3259507413736e-17,2.66118507201977e-20,1.71135112531512e-23,6.21841281511973e-27,1.27137052556597e-30,1.46133098984036e-34,9.42960334004179e-39,3.40671856545746e-43,6.86331125615166e-48,7.6626044435734e-53,4.69703128022992e-58,1.56104417966388e-63,2.77102451237398e-69,2.58619860727894e-75,1.2504751694274e-81,3.0932724720228e-88,3.87579309717138e-95,2.44146986541785e-102,7.69039590400249e-110,1.20675809349849e-117,9.40938807619079e-126,3.63955481222609e-134,6.97630928089351e-143,6.62255278765533e-152,3.11248383615273e-161,7.24130814758574e-171,8.33986310209681e-181,4.75525374066624e-191,1.34253445841923e-201,1.87711895286687e-212,1.30004197605874e-223,4.46076523624188e-235,7.58463350247385e-247,6.39171879051078e-259,2.67017487638905e-271,5.53066830462991e-284,5.68070376780135e-297,2.89377701018971e-310,4.94065645841247e-324,0,0
"3",0.0151455180833578,0.000332994930408667,0.000331100874193257,0.000172874905340801,2.60487228148677e-06,1.95021886370235e-07,5.12227962610939e-09,5.92197867868165e-11,4.0506258360247e-13,1.63011933766736e-15,3.62054553544006e-18,4.51978846214369e-21,3.18814880160476e-24,1.2653516082463e-27,2.82336954566504e-31,3.53665425450825e-35,2.48036438610789e-39,9.70047439509212e-44,2.1024018737422e-48,2.50174378339714e-53,1.61404121470828e-58,5.56185730652026e-64,1.00767711956794e-69,9.4583339870788e-76,4.54190241364486e-82,1.10474045036869e-88,1.35092453267513e-95,8.26054054756505e-103,2.5162862161304e-110,3.80873930883369e-118,2.85988243776243e-126,1.06415696404869e-134,1.96103544431201e-143,1.78915171214246e-152,8.0804796638721e-162,1.80658784361975e-171,1.99964962808632e-181,1.09593728232893e-191,2.97462417827205e-202,3.99924244578113e-213,2.66385005093167e-224,8.79255424152791e-236,1.43839499990644e-247,1.16648795731236e-259,4.69027401972232e-272,9.35196332497788e-285,9.24795618399685e-298,4.53457306883524e-311,0,0
"4",0.00230660966694069,3.29308633252794e-05,6.35632172890112e-05,6.44254629689351e-05,1.88448235901513e-06,2.73885502073772e-07,1.39646168047461e-08,3.13409840547728e-10,4.16148148296799e-12,3.25106225936461e-14,1.40171574018274e-16,3.39691042161546e-19,4.65140994938985e-22,3.58374668954968e-25,1.55229356921057e-28,3.7746682355701e-32,5.13903668044655e-36,3.90156865289206e-40,1.64150444694159e-44,3.791833044638e-49,4.74898772519692e-54,3.17677399071692e-59,1.1172951727712e-64,2.03582863869945e-70,1.89777369162768e-76,8.96080296990985e-83,2.1271484989699e-89,2.52496427321224e-96,1.49309299466265e-103,4.38720690299721e-111,6.3949197390186e-119,4.6192626613537e-127,1.6524657193696e-135,2.92667321485688e-144,2.56592675502724e-153,1.1136436529128e-162,2.3928810940221e-172,2.54585088132565e-182,1.34140343285343e-192,3.50094341958462e-203,4.52686124050835e-214,2.900564405122e-225,9.21140061547193e-237,1.45013292963102e-248,1.13189416305408e-260,4.38117346035347e-273,8.41033830646647e-286,8.00542062328008e-299,3.76678735700845e-312,0
"5",1.59542883994523e-07,1.12540797114101e-06,4.21689503264507e-06,8.29706546356053e-06,4.71128193071978e-07,1.32921768381421e-07,1.31563718154232e-08,5.73191568279611e-10,1.47745812385189e-11,2.24064239729102e-13,1.87537128560071e-15,8.82249570158546e-18,2.34515756723416e-20,3.507557214659e-23,2.94931640481029e-26,1.39221511247608e-29,3.67950437634525e-33,5.42284147050115e-37,4.42904168728603e-41,1.98608101706028e-45,4.82868471655127e-50,6.27038446160424e-55,4.28110444212165e-60,1.51429040006395e-65,2.74026409668567e-71,2.51174170081484e-77,1.15745977360343e-83,2.66712508085728e-90,3.06164655291414e-97,1.74637039497341e-104,4.94155224347194e-112,6.92916654709582e-120,4.8119471626166e-128,1.65440819676872e-136,2.8157412582863e-145,2.3723282720494e-154,9.89531686910179e-164,2.04372095772378e-173,2.09039375347588e-183,1.05909233902633e-193,2.65843451071878e-204,3.30667373538876e-215,2.03851800885352e-226,6.22983788483332e-238,9.43962627015687e-250,7.09282879573371e-262,2.6431544636077e-274,4.88397331885263e-287,4.46108276011467e-300,1.97489955861851e-313
"6",1.50307758326679e-09,2.05823043311862e-08,1.49712081389841e-07,5.71832221571944e-07,6.30323138041607e-08,3.45223471340062e-08,6.63315876825008e-09,5.61001595128581e-10,2.8071106525548e-11,8.26412638630535e-13,1.34273933672513e-14,1.22624134345034e-16,6.32756442530719e-19,1.83717006807527e-21,2.99878971550545e-24,2.74796400081118e-27,1.40985376417084e-30,4.03358953931619e-34,6.39520706190586e-38,5.56700808443832e-42,2.62744594625399e-46,6.62337218020504e-51,8.77851108266124e-56,6.02773647001842e-61,2.11747142058427e-66,3.76773337187444e-72,3.37047524243269e-78,1.50767824205017e-84,3.35969912186087e-91,3.72016106016982e-98,2.04347261669773e-105,5.56245461138186e-113,7.4987069077252e-121,5.00481756749726e-129,1.65355396067478e-137,2.70445936833149e-146,2.18985536343419e-155,8.77985559676019e-165,1.74330719497825e-174,1.71458768167559e-184,8.35471977578401e-195,2.01733171681405e-205,2.41424072901589e-216,1.43226313688024e-227,4.21289774581368e-239,6.14505315833741e-251,4.44537865374696e-263,1.59455516218023e-275,2.82739570767149e-288,2.42980474594308e-301
"7",9.19834853272825e-12,2.44513311789774e-10,3.45259319195617e-09,2.5599838998181e-08,5.47787236975922e-09,5.82410269238208e-09,2.17234675891381e-09,3.56658766299743e-10,3.46440285809563e-11,1.97991185194385e-12,6.24483066013001e-14,1.1070951740624e-15,1.10898488737574e-17,6.25055329216436e-20,1.98059264987673e-22,3.52322385943211e-25,3.50899958272694e-28,1.94886160470377e-31,5.99824163445573e-35,1.01361084260162e-38,9.28673888735477e-43,4.54452663643835e-47,1.16925814666915e-51,1.55856115800083e-56,1.06283830527483e-61,3.67121527552494e-67,6.37530373381108e-73,5.53603026109995e-79,2.39480536781746e-85,5.14768103217552e-92,5.48906985276975e-99,2.90052400766257e-106,7.59060535527545e-114,9.83463698272992e-122,6.30766330637366e-130,2.00267576109428e-138,3.14793430821334e-147,2.45006525580727e-156,9.44374496676354e-166,1.80305957262463e-175,1.70554158759587e-185,7.99443528828815e-196,1.85725311830639e-206,2.13891431594334e-217,1.22132582440288e-228,3.45824943910768e-240,4.85645624025023e-252,3.3816629318713e-264,1.16401187938526e-276,1.94187934907759e-289
"8",3.09808707570227e-14,1.59869757316045e-12,4.38217045653602e-11,6.30755636082531e-10,2.62008791645612e-10,5.4077054472329e-10,3.91555386997072e-10,1.24794948188868e-10,2.35316586209798e-11,2.61065844022788e-12,1.59847156636727e-13,5.50109640568507e-15,1.0697196541109e-16,1.17042303021552e-18,7.1994547842967e-21,2.48613514459977e-23,4.80670932750788e-26,5.1823362960836e-29,3.09633968245532e-32,1.01572452394892e-35,1.80654163284982e-39,1.71614287718778e-43,8.57146867691358e-48,2.21793459825915e-52,2.93610872956872e-57,1.96876933746483e-62,6.63690978760292e-68,1.11877702348903e-73,9.39496908146907e-80,3.92027750032323e-86,8.11491523898869e-93,8.32418538979925e-100,4.22884474475449e-107,1.06361318251096e-114,1.32426203916689e-122,8.16199110496227e-131,2.49052660566457e-139,3.7629047519353e-148,2.81559297564595e-157,1.0435559721314e-166,1.91623176265942e-176,1.74362690365457e-186,7.86351854340969e-197,1.75800155698884e-207,1.94866622262459e-218,1.07113024241659e-229,2.92001777483632e-241,3.94708411272204e-253,2.63744569304597e-265,8.54138711879038e-278
"9",5.70457095790728e-17,5.71446702979346e-15,3.0407361083586e-13,8.4963159415955e-12,6.85118077646334e-12,2.74500183960674e-11,3.85836104582915e-11,2.38718850787201e-11,8.7382063939087e-12,1.88191439256374e-12,2.23683923903675e-13,1.49437351595212e-14,5.64104975781274e-16,1.19815460999372e-17,1.43070357344731e-19,9.59080001632276e-22,3.59963123509062e-24,7.53382959263198e-27,8.73813697664374e-30,5.56450115616778e-33,1.92122541165714e-36,3.54294033723622e-40,3.43514986121589e-44,1.72551695310149e-48,4.43427556175675e-53,5.77198813733683e-58,3.77725719035692e-63,1.23604485081192e-68,2.01495845135153e-74,1.63217829889388e-80,6.55865559804706e-87,1.30602843114691e-93,1.28799055240759e-100,6.28861050489046e-108,1.51993482036896e-115,1.81855818415002e-123,1.07721481630992e-131,3.15947124508169e-140,4.58924352460175e-149,3.30192365557753e-158,1.1770078610461e-167,2.07905002563365e-177,1.82015487094049e-187,7.89933862604302e-198,1.69976539148242e-208,1.81373509105705e-219,9.59836184728253e-231,2.51865135082954e-242,3.26704598408958e-254,2.05390416735037e-266
"10",5.96772225633045e-20,1.1604899833928e-17,1.19873847645439e-15,6.5021415030014e-14,1.01782060624021e-13,7.91641405099023e-13,2.16007472102001e-12,2.59437454353401e-12,1.84352192359706e-12,7.70736490328469e-13,1.77836490414913e-13,2.30635054881882e-14,1.6900756126285e-15,6.96849698792061e-17,1.61531030808069e-18,2.10204102137388e-20,1.53152613541243e-22,6.22246184823262e-25,1.40102326518254e-27,1.7319397700165e-30,1.16082009961466e-33,4.15556887681233e-37,7.82154202952083e-41,7.626863516521e-45,3.80477931123351e-49,9.61418051441841e-54,1.22135931190501e-58,7.75856084077872e-64,2.45523510379198e-69,3.86077629263604e-75,3.01163207425433e-81,1.16417901838256e-87,2.22874233759221e-94,2.1124280786833e-101,9.91133711757826e-109,2.30204884113031e-116,2.64709605054826e-124,1.50716860178607e-132,4.24980089653202e-141,5.93573572436275e-150,4.10739945880217e-159,1.40842124195437e-168,2.39362448357948e-178,2.01659393497154e-188,8.42358100834526e-199,1.74486438795608e-209,1.7925240480444e-220,9.13095022020332e-232,2.29923423745287e-243,2.80600341799703e-255
"11",3.52484843084852e-23,1.33061768063719e-20,2.66818776241172e-18,2.8094959366687e-16,8.53735380613132e-16,1.28902277521022e-14,6.82780191928732e-14,1.59193328115032e-13,2.19594037443773e-13,1.78220725430015e-13,7.9827626033101e-14,2.0097299368971e-14,2.8588973905361e-15,2.28829282541813e-16,1.02969474384899e-17,2.6012001323411e-19,3.67906145096598e-21,2.90171611076796e-23,1.26828855887195e-25,3.04358588629648e-28,3.9600233341614e-31,2.75196787381946e-34,1.00550748339325e-37,1.90335127587292e-41,1.84324257582918e-45,9.04160110592014e-50,2.22975202968437e-54,2.74963051684762e-59,1.68914255336444e-64,5.15617804059698e-70,7.80791775496244e-76,5.85912998791645e-82,2.1774755011042e-88,4.00641003479237e-95,3.64909996399614e-102,1.6453113553789e-109,3.67268186608282e-117,4.05934064925081e-125,2.22199098444769e-133,6.02460134530409e-142,8.09283616359032e-151,5.38699313857301e-160,1.77725573114299e-169,2.90664779591696e-179,2.35695211784978e-189,9.47754229117897e-200,1.89007523574656e-210,1.86900354585092e-221,9.13602789834085e-233,2.16442451384888e-244
"12",1.17037993891979e-26,8.57669094798054e-24,3.33858861593927e-21,6.82425077263695e-19,4.02559331486074e-18,1.17990558864608e-16,1.21324254054058e-15,5.49125520274011e-15,1.47044016947309e-14,2.31667477929164e-14,2.01437409062209e-14,9.84474935383933e-15,2.71860166809951e-15,4.22414345540124e-16,3.68990856646369e-17,1.80950974112313e-18,4.96825923953791e-20,7.60680313964563e-22,6.45424400236837e-24,3.00671951038672e-26,7.59425451781706e-29,1.02449728536701e-31,7.26662600112776e-35,2.67021663996729e-38,5.01984251898455e-42,4.78005607752242e-46,2.2883595663851e-50,5.47800073032731e-55,6.53272081831571e-60,3.87111211648153e-65,1.13794985239289e-70,1.6576814439928e-76,1.19591763310793e-82,4.27152975483051e-89,7.55255420116615e-96,6.6105292947001e-103,2.864517625289e-110,6.14615820351118e-118,6.5308630786e-126,3.43745205767425e-134,8.96373755861438e-143,1.15828346277216e-151,7.41819774221637e-161,2.35516284994675e-170,3.70731373687822e-180,2.89390560318669e-190,1.12033465635889e-200,2.15059609597338e-211,2.04073303077215e-222,9.3853672206485e-234
"13",2.18906810671255e-30,3.11409756270293e-27,2.35318142085021e-24,9.33743366041742e-22,1.06925797717436e-20,6.08386975513435e-19,1.21439600170844e-17,1.06699989255059e-16,5.54651453283979e-16,1.69635958388705e-15,2.86334067007667e-15,2.71654940425596e-15,1.4562588318395e-15,4.39249930099431e-16,7.4484978388533e-17,7.09078089317342e-18,3.7793528297915e-19,1.12329911204019e-20,1.85019996081388e-22,1.67319382190659e-24,8.20386554295088e-27,2.14844503190531e-29,2.9581915506705e-32,2.11018256682514e-35,7.70093884739096e-39,1.42352999505361e-42,1.32293329131926e-46,6.14774457004072e-51,1.42320636295975e-55,1.63715416335873e-60,9.34236863950403e-66,2.64189164446555e-71,3.69994479057318e-77,2.56541399354031e-83,8.80537635614639e-90,1.49613352867559e-96,1.25853607669632e-103,5.24201132098e-111,1.08129662498594e-118,1.10481857551571e-126,5.59272544275318e-135,1.40290825812504e-143,1.74418629940871e-152,1.07496780187856e-161,3.28483760157339e-171,4.97758829812693e-181,3.7407822758782e-191,1.39397043650023e-201,2.56779857302186e-212,2.29248275926005e-223
"14",2.30535938465131e-34,6.36636636926866e-31,9.33888167560718e-28,7.1936125091633e-25,1.59912369750258e-23,1.76627986127686e-21,6.84415737161875e-20,1.16735805139598e-18,1.17798541039963e-17,6.99387268459008e-17,2.29167420525404e-16,4.22063223241232e-16,4.39216376665008e-16,2.57176749405801e-16,8.46581447470283e-17,1.56449494978652e-17,1.61874182138598e-18,9.33975778496613e-20,2.98633768270836e-21,5.24259788964499e-23,4.98998085042554e-25,2.53679072319723e-27,6.78057830068361e-30,9.38945798750173e-33,6.65187709092341e-36,2.38697138609079e-39,4.3062435121287e-43,3.88469121417918e-47,1.74577638403379e-51,3.89843559237896e-56,4.31854884161683e-61,2.37069610425041e-66,6.44519672087764e-72,8.67517895129452e-78,5.7802810465186e-84,1.90656421183199e-90,3.11334177702656e-97,2.51732409980374e-104,1.00801286642301e-111,1.99936573377614e-119,1.96473881804219e-127,9.56732764000564e-136,2.30905509299382e-144,2.7625931432736e-153,1.63876026798696e-162,4.82059387116772e-172,7.03273174860107e-182,5.08739235355356e-192,1.8192093181363e-202,3.15288293525509e-213
"15",1.36512149993403e-38,7.31820120504692e-35,2.08395165677449e-31,3.11616077564482e-28,1.34472947556199e-26,2.88331725881176e-24,2.16886714714525e-22,7.18120121126885e-21,1.40673720316128e-19,1.62132781265544e-18,1.03130241805191e-17,3.68714927042304e-17,7.44855077520635e-17,8.46652138195146e-17,5.41030940992592e-17,1.94091971069358e-17,3.89844167537829e-18,4.36645628431131e-19,2.71026942919033e-20,9.2363450628322e-22,1.70660309592448e-23,1.68421813778383e-25,8.7389747346338e-28,2.34916932027125e-30,3.23071064311607e-33,2.25051083600713e-36,7.88156623171509e-40,1.38022693043196e-43,1.20410027867196e-47,5.21968692726667e-52,1.12246285083058e-56,1.19616220467285e-61,6.31292189719968e-67,1.64950155795059e-72,2.13355229388099e-78,1.36611047882243e-84,4.33053182366462e-91,6.79725585873752e-98,5.28372990004236e-105,2.03444909165001e-112,3.8809625954118e-120,3.66864194577065e-128,1.71881456239669e-136,3.99201080436651e-145,4.59695501027619e-154,2.6250369496737e-163,7.43428109381368e-173,1.04397526159521e-182,7.24699055986639e-193,2.43816402369472e-203
"16",4.53765109745318e-43,4.72219794464324e-39,2.61040282767506e-35,7.57739272846585e-32,6.34767837451274e-30,2.64211958243046e-27,3.8580960699184e-25,2.47980329045518e-23,9.43003183031083e-22,2.10984750853435e-20,2.60523149427244e-19,1.80813583153454e-18,7.09074984845472e-18,1.56460761743024e-17,1.94089741907032e-17,1.35166198433796e-17,5.2702548803803e-18,1.14590797919014e-18,1.38074392958392e-19,9.13441785558196e-21,3.27637273605369e-22,6.27681261079925e-24,6.3223910780381e-26,3.29925012460522e-28,8.80803502297934e-31,1.19108327900094e-33,8.09754924771541e-37,2.75278069863124e-40,4.66190934003598e-44,3.92306650833083e-48,1.63769582251887e-52,3.38790629367417e-57,3.47097734616935e-62,1.76057342460648e-67,4.42063596830217e-73,5.4947423453137e-79,3.38129290752136e-85,1.03027989699755e-91,1.55468449006636e-98,1.1620599487887e-105,4.30329592613263e-113,7.89672713703958e-121,7.18209057757576e-129,3.23812500675141e-137,7.2385604393774e-146,8.0241201215137e-155,4.41144661132714e-164,1.20257537422836e-173,1.62054032886074e-183,1.05838850791619e-193
"17",8.44484994112794e-48,1.70602375505589e-43,1.83074757070941e-39,1.03162244196017e-35,1.67762908601757e-33,1.35554379195284e-30,3.84250259333501e-28,4.79444579025783e-26,3.5392756510204e-24,1.53720697376969e-22,3.68474677496769e-21,4.964464728049e-20,3.77931934268726e-19,1.61885113930096e-18,3.89837942736343e-18,5.27023125710361e-18,3.98908454785962e-18,1.68372598593986e-18,3.93835502028862e-19,5.05781155029585e-20,3.52172241605622e-21,1.30972775433607e-22,2.56096281450864e-24,2.59428214862927e-26,1.34450074554552e-28,3.52942690047223e-31,4.65795952717792e-34,3.07392860416616e-37,1.01056914555944e-40,1.65085120353128e-44,1.33781342595083e-48,5.37246688919278e-53,1.06849916275209e-57,1.05209897639313e-62,5.12822720308068e-68,1.23739935939898e-73,1.4781734475421e-79,8.74335029062823e-86,2.56120869358563e-92,3.71630443449743e-99,2.67155433741478e-106,9.51677891285721e-114,1.6802495027062e-121,1.47060675723102e-129,6.38168260522317e-138,1.37328433533564e-146,1.46562924214e-155,7.75595800981779e-165,2.02891118011764e-174,2.5723399139844e-184
"18",8.76412308812262e-53,3.43701679770688e-48,7.15986932673481e-44,7.83208622259897e-40,2.47247936025757e-37,3.87820113556324e-34,2.13408147124575e-31,5.16910420683307e-29,7.40749406665891e-27,6.2455302914548e-25,2.9061944529795e-23,7.60097843839233e-22,1.12328694227525e-20,9.34037009092897e-20,4.3663779465709e-19,1.14590058144148e-18,1.68372266322975e-18,1.37958600523233e-18,6.26429609379172e-19,1.56170897972375e-19,2.11092417849329e-20,1.52397763087135e-21,5.78470056374323e-23,1.13756145248041e-24,1.14445509325376e-26,5.83205954422749e-29,1.49414765532462e-31,1.91413089174022e-34,1.22158569791529e-37,3.87387751370297e-41,6.09415580495562e-45,4.75085526551906e-49,1.83422364454208e-53,3.5060229003782e-58,3.31745818539923e-63,1.55391813572881e-68,3.60349309608439e-74,4.13767356552e-80,2.35289942158763e-86,6.62749987647159e-93,9.24873861282644e-100,6.39570646111571e-107,2.19205964751704e-114,3.72439039640365e-122,3.13742888536438e-130,1.31062728592299e-138,2.71533182354712e-147,2.78942241443286e-156,1.41651742583225e-165,3.48632035740421e-175
"19",5.04043031158182e-58,3.83725667241332e-53,1.55175924144602e-48,3.29516186827163e-44,2.01935194633685e-41,6.14879084769087e-38,6.5682615124037e-35,3.08840877014502e-32,8.59153672701555e-30,1.40620587094831e-27,1.27023567617641e-25,6.44924961496879e-24,1.85016493299775e-22,2.98650927918099e-21,2.71019885727861e-20,1.38072383452454e-19,3.9383153553102e-19,6.26424536522492e-19,5.52169363359353e-19,2.67226907472758e-19,7.01185233675546e-20,9.82695050865619e-21,7.24104270393897e-22,2.76423614576986e-23,5.39857426193745e-25,5.34050495105248e-27,2.65603589083823e-29,6.60529324443309e-32,8.18322437550893e-35,5.03763217028239e-38,1.53841735738461e-41,2.32815808870638e-45,1.74490988743358e-49,6.47463832372283e-54,1.18928590466147e-58,1.08140655700242e-63,4.86815734335933e-69,1.08511854580699e-74,1.19785534013208e-80,6.54984145672762e-87,1.77436766312443e-93,2.3819337638906e-100,1.58479675774057e-107,5.22704758505381e-115,8.54781659776051e-123,6.9317127784266e-131,2.78781732286622e-139,5.55950004693337e-148,5.48054089147104e-157,2.61847747218708e-166
"20",1.59157585187745e-63,2.35212623305669e-58,1.84647811740609e-53,7.61161173610813e-49,9.05507267255415e-46,5.35241393312597e-42,1.10991688072777e-38,1.01310590580168e-35,5.47105360518591e-33,1.73831739023212e-30,3.04820747285523e-28,3.00434257739604e-26,1.67313413843014e-24,5.24281137213635e-23,9.23594995905384e-22,9.13413201821183e-21,5.05767594992094e-20,1.56167019200984e-19,2.67222434415348e-19,2.51050357659422e-19,1.27877303353758e-19,3.4790408296352e-20,4.9764760072209e-21,3.68787333750995e-22,1.39817001412431e-23,2.68499372483238e-25,2.59223840993192e-27,1.25144899584778e-29,3.00971629372576e-32,3.59672805873236e-35,2.13223648097413e-38,6.26402834401012e-42,9.11369100497862e-46,6.56472985272726e-50,2.34081809620938e-54,4.13190608823578e-59,3.61082216091679e-64,1.56242337531161e-69,3.34815815312056e-75,3.55395911656312e-81,1.86898279274806e-87,4.87047612181197e-94,6.29064766037548e-101,4.02771089512063e-108,1.27860700795044e-115,2.01280866411446e-123,1.57147072728642e-131,6.08355964679567e-140,1.16419439425969e-148,1.07976929194891e-157
