"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",3.27346981770023e-12,2.52106863165333e-14,4.14771709171877e-15,5.10098067000469e-16,7.51917079298323e-17,2.33118959666632e-17,4.7985951706205e-18,5.69348401216611e-19,3.83218691735532e-20,1.4610215781071e-21,3.15460222502149e-23,3.85750748689592e-25,2.6714444691408e-27,1.04777140390301e-29,2.32740435531065e-32,2.92796533219474e-35,2.08618416893228e-38,8.41852085678449e-42,1.9240623259662e-45,2.49061387198206e-49,1.82600212110526e-53,7.58241246701059e-58,1.78331633841727e-62,2.37556975449829e-67,1.79237599585071e-72,7.65977227108852e-78,1.85409265977394e-83,2.54202159101141e-89,1.97407023917969e-95,8.6833004960703e-102,2.16346152264083e-108,3.05322524084447e-115,2.44071459565125e-122,1.10516406688514e-129,2.83459612629304e-137,4.11825586661103e-145,3.38919180526736e-153,1.57994726821869e-161,4.17210809801467e-170,6.24076566129009e-179,5.28801116106506e-188,2.53817620652167e-197,6.90126617360759e-207,1.06295755333852e-216,9.27438437032807e-227,4.58389430062603e-237,1.28333062772819e-247,2.03417759595676e-258,1.81971385194533e-269,9.05199162778448e-281
"2",3.76895768670738e-14,1.54266560923762e-15,4.23738982851649e-16,8.70051851649569e-17,2.14123124411373e-17,1.10834095866105e-17,3.80900956711765e-18,7.54532968734256e-19,8.47908450330417e-20,5.39710757008988e-21,1.94558949913121e-22,3.97205771509011e-24,4.59258378377195e-26,3.00732000122666e-28,1.11528820281154e-30,2.34252028488434e-33,2.78658464596116e-36,1.87740318775918e-39,7.16379350819032e-43,1.54821934661527e-46,1.89508864532101e-50,1.31382590767661e-54,5.15894584558426e-59,1.14736746853575e-63,1.44532670880425e-68,1.03122855820547e-73,4.16747182601412e-79,9.53943465061946e-85,1.2368247514804e-90,9.08306791653687e-97,3.77832290400552e-103,8.90247788883348e-110,1.18814986307062e-116,8.98220875534988e-124,3.84635833875629e-131,9.32983671045765e-139,1.28191440886886e-146,9.9771761093399e-155,4.39868398928332e-163,1.09851818266777e-171,1.55404611491404e-180,1.2453616040855e-189,5.65333401397546e-199,1.45376414783297e-208,2.11770414763024e-218,1.74749907821659e-228,8.16813833132223e-239,2.16160111682265e-249,3.22843431415144e-260,2.68123673914751e-271
"3",1.69166622539819e-14,2.04499720274611e-15,9.37824349609057e-16,3.21492158659661e-16,1.32096400999631e-16,1.14157108693439e-16,6.55003779046903e-17,2.16626771484933e-17,4.06429323532248e-18,4.31916016789101e-19,2.59951072263754e-20,8.86049763970257e-22,1.71041625923554e-23,1.86993510715588e-25,1.15780698515652e-27,4.06007991250211e-30,8.06353778806885e-33,9.07012142155224e-36,5.77830914760791e-39,2.08493427471921e-42,4.26080415482816e-46,4.9317610807964e-50,3.23316106959397e-54,1.20052461281097e-58,2.52485666686962e-63,3.00765346550536e-68,2.02930675815105e-73,7.75532193615666e-79,1.67875579838935e-84,2.05832563920411e-90,1.42949538486193e-96,5.62337123003503e-103,1.25302356204939e-109,1.5815150312152e-116,1.1306861853951e-123,4.57897793973743e-131,1.05040239137172e-138,1.3649177299675e-146,1.00467076273735e-154,4.18900053216186e-163,9.89393908291107e-172,1.32374083505162e-180,1.00326186438276e-189,4.30730650967875e-199,1.04756088706203e-208,1.44322188943309e-218,1.12626710642041e-228,4.97617948716766e-239,1.24083661301521e-249,1.72052097257169e-260
"4",1.41257519262398e-14,3.09926503661093e-15,2.37295590192654e-15,1.35812802847321e-15,9.3167292973045e-16,1.34424248345316e-15,1.28771758388941e-15,7.11035217739603e-16,2.2272357218771e-16,3.95168776918968e-17,3.970791568034e-18,2.25967383230359e-19,7.2826866282609e-21,1.32928623085636e-22,1.37413784482829e-24,8.04508952448023e-27,2.6676207655266e-29,5.00972318390968e-32,5.32848277381626e-35,3.20994303893386e-38,1.09521326162709e-41,2.11646609048991e-45,2.31653459784873e-49,1.43610000144414e-53,5.04257663884361e-58,1.00287253912219e-62,1.12971217477069e-67,7.20812156780979e-73,2.60502539795923e-78,5.33262057853942e-84,6.18317477313156e-90,4.06095038820801e-96,1.51074905460344e-102,3.18352732468779e-109,3.79996422791093e-116,2.56926048664255e-123,9.84005334296566e-131,2.13476655651867e-138,2.62343219255863e-146,1.82624340047857e-154,7.2014448715268e-163,1.60862768573715e-171,2.03549031993091e-180,1.45902481643364e-189,5.92431770484568e-199,1.3626814291542e-208,1.77543507250112e-218,1.3096691435963e-228,5.45233237665252e-239,1.26220489008491e-249
"5",1.96044945551405e-15,3.30071619915289e-15,4.21930868487927e-15,4.03175848362285e-15,4.6176332616786e-15,1.11233535637668e-14,1.77902034808288e-14,1.64003669676558e-14,8.57690898671541e-15,2.54067670284017e-15,4.26231986172488e-16,4.04964419625459e-17,2.17903847368611e-18,6.64039549262854e-20,1.14606145101915e-21,1.12023890117137e-23,6.20163243412855e-26,1.94445468528174e-28,3.45294632756678e-31,3.47284781087551e-34,1.97828694144239e-37,6.38269466837475e-41,1.16636293455656e-44,1.20720705838069e-48,7.07704171046427e-53,2.34988793583453e-57,4.41948216446583e-62,4.70790665509026e-67,2.84066399711307e-72,9.70846912469182e-78,1.87941961979016e-83,2.06082959281969e-89,1.27999682888231e-95,4.50326297233103e-102,8.97429620115619e-109,1.01305072904362e-115,6.47772747347193e-123,2.34626885011288e-130,4.81392580294865e-138,5.59487480072627e-146,3.68343930306797e-154,1.37369899558678e-162,2.90206574824889e-171,3.47298613306215e-180,2.35440339464574e-189,9.04146980898268e-199,1.96676131910708e-208,2.42220347745048e-218,1.68357905804703e-228,6.50703608205581e-239
"6",7.2525220249436e-16,2.03865508865347e-15,4.35089933054302e-15,6.94119760289958e-15,1.32727679539013e-14,5.33801721653839e-14,1.42536899673765e-13,2.19382571521375e-13,1.91549720684992e-13,9.47332181970474e-14,2.65338999931719e-14,4.20895305706135e-15,3.78115322825702e-16,1.9237803715446e-17,5.54334121963533e-19,9.0464153076888e-21,8.36130486293406e-23,4.37691413797098e-25,1.29766380921751e-27,2.17901530727259e-30,2.07236370673313e-33,1.11630514757419e-36,3.40576542490256e-40,5.88525049773756e-44,5.76019394473743e-48,3.19326283920044e-52,1.00267702855798e-56,1.78328061026921e-61,1.79644479353373e-66,1.02505442932778e-71,3.31300501599783e-77,6.0651644889807e-83,6.2894339345113e-89,3.69429982151536e-95,1.22915709995132e-101,2.31654292685985e-108,2.47305625807895e-115,1.49551668408706e-122,5.12289015899176e-130,9.94049906660495e-138,1.09263095059598e-145,6.80320763219025e-154,2.39955968539353e-162,4.79434765418631e-171,5.42637137818683e-180,3.4791234480244e-189,1.26352728625003e-198,2.59803952822317e-208,3.01488541229502e-218,1.945461652666e-228
"7",1.52215553525974e-16,7.14357970653678e-16,2.54538416796043e-15,6.77970623268908e-15,2.16441300171941e-14,1.45331838266214e-13,6.47903415306357e-13,1.66489653028178e-12,2.42699461538139e-12,2.00397244288702e-12,9.3711460490065e-13,2.4818061981311e-13,3.72237587055688e-14,3.16193982644092e-15,1.52114946216252e-16,4.14456506448392e-18,6.3955612597252e-20,5.58952362424804e-22,2.76675769155135e-24,7.75659969348281e-27,1.23162711010782e-29,1.1076392929166e-32,5.64199014094092e-36,1.62773876994679e-39,2.65986151424214e-43,2.46183391717801e-47,1.29058708091115e-51,3.83219941208974e-56,6.44531952480547e-61,6.14015971173384e-66,3.3132713023534e-71,1.0126973030324e-76,1.75327804201649e-82,1.71938659896681e-88,9.55104644557093e-95,3.00528787777383e-101,5.35650959970606e-108,5.40805772238345e-115,3.09290986992452e-122,1.00198812261823e-129,1.83878116894598e-137,1.91149179898112e-145,1.12562164189211e-153,3.75484976390682e-162,7.09536464693035e-171,7.5951649400047e-180,4.60526006274419e-189,1.58094752085658e-198,3.06298361935267e-208,3.29988422362887e-218
"8",1.8094514396559e-17,1.41777058065295e-16,8.43423249249233e-16,3.75063904387196e-15,1.9991100045849e-14,2.24109099077475e-13,1.66805803480642e-12,7.15632902439049e-12,1.74170271451354e-11,2.40103850832662e-11,1.87457254049859e-11,8.28856931704905e-12,2.07555428997149e-12,2.94353794375605e-13,2.36423199458525e-14,1.07547254554602e-15,2.77077457536912e-17,4.04296043351047e-19,3.34116547719833e-21,1.56386911393855e-23,4.1458198633676e-26,6.22489035512707e-29,5.29380378041714e-32,2.54989553775732e-35,6.95662945393871e-39,1.07498093158712e-42,9.40874043727136e-47,4.66438552041259e-51,1.30976371617956e-55,2.08319696908745e-60,1.87676471871424e-65,9.5771138316076e-71,2.76826686291292e-76,4.53244833376091e-82,4.20351349523248e-88,2.20825759589059e-94,6.57124569225964e-101,1.10766721223186e-107,1.05763888812476e-114,5.7205117808057e-122,1.75268763439976e-129,3.04192903767191e-137,2.99068889692436e-145,1.66561081942676e-153,5.25482009841563e-162,9.39123064000724e-171,9.50695901074235e-180,5.44887794114536e-189,1.76252978229745e-198,3.17024376625278e-208
"9",1.21815204263605e-18,1.59353897521253e-17,1.58272135586375e-16,1.17507700779702e-15,1.04568268160411e-14,1.95715344612629e-13,2.43208476889648e-12,1.7420475921426e-11,7.07857615657317e-11,1.62919538030683e-10,2.12362808324959e-10,1.56768191052849e-10,6.55412372107312e-11,1.55185928998691e-11,2.08101378243493e-12,1.58047037232923e-13,6.7981444572047e-15,1.65611637176605e-16,2.28502791020068e-18,1.78564898216389e-20,7.90329659385575e-23,1.98121552703818e-25,2.8130018698577e-28,2.26217779111158e-31,1.03039888723698e-34,2.65833331978823e-38,3.88456440339066e-42,3.21519591472803e-46,1.50732923473279e-50,4.00265046471207e-55,6.02045516441868e-60,5.12927884759298e-65,2.47532243871145e-70,6.76641843692162e-76,1.04770881850946e-81,9.18924965465044e-88,4.56541422162095e-94,1.28482490639344e-100,2.04820877134205e-107,1.84958314630508e-114,9.46118777713378e-122,2.74152608442039e-129,4.500043443793e-137,4.18428411556484e-145,2.20397999974671e-153,6.5761917464755e-162,1.11146488651685e-170,1.06356336492498e-179,5.74374192864756e-189,1.72485771612404e-198
"10",4.64431502957695e-20,1.01434344590641e-18,1.68201151291511e-17,2.08493727951336e-16,3.09762432302705e-15,9.67956569276578e-14,2.00822267795415e-12,2.40157049368049e-11,1.62923374502709e-10,6.26055481067739e-10,1.36244906881287e-09,1.67919807582986e-09,1.17208951364314e-09,4.63340912877653e-10,1.03735028465894e-10,1.3153429372771e-11,9.44594019311455e-13,3.84191557780049e-14,8.85015018035298e-16,1.15466868096082e-17,8.53241047930346e-20,3.57106164599379e-22,8.46521142845515e-25,1.13657130568797e-27,8.64325843041467e-31,3.72292010811149e-34,9.08277952540503e-38,1.25512231739972e-41,9.82401229305481e-46,4.35542566337118e-50,1.09374084289603e-54,1.55576349758221e-59,1.25349097366575e-64,5.72071678552073e-70,1.47888485120071e-75,2.16558869666219e-81,1.79629754773362e-87,8.44003409126419e-94,2.24634594547348e-100,3.38671336882447e-107,2.89236041495766e-114,1.39926926124151e-121,3.834668114362e-129,5.95297975847951e-137,5.23507675583158e-145,2.60790661869017e-153,7.35894369686611e-162,1.17566954147514e-170,1.06003201091847e-179,5.31470914430023e-189
