"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",9.01734838428206,4.03388089710954e-06,3.55067789439215e-06,1.68496666812872e-06,6.91021883096695e-13,3.54315243219767e-14,5.85928640004926e-16,3.06978274029403e-18,5.04764268342489e-21,2.60162115619176e-24,4.37093341670587e-28,3.56421190724615e-32,4.1559059637447e-36,4.08197642210101e-40,1.87413261244373e-44,4.26714974292624e-49,6.35850271546834e-54,7.00105445663646e-59,4.47415171137124e-64,1.36752464104376e-69,1.86596015934581e-75,1.10265646616863e-81,2.75962289565138e-88,2.88236636394842e-95,1.25414004180286e-102,2.29729959462995e-110,1.80015834409759e-118,6.12261384083646e-127,9.13369722847243e-136,6.02532423145272e-145,1.77829270647174e-154,2.41623070348596e-164,1.62578244444533e-174,6.20790141663902e-185,1.49853483554099e-195,2.16358679134846e-206,1.64839352791684e-217,6.15355104117287e-229,1.09538660991325e-240,9.22254616933837e-253,3.66395675046106e-265,6.86283904509994e-278,6.058122076889e-291,2.51991288318024e-304,4.93960409858682e-318,0,0,0,0,0
"2",4.03387623938243e-06,2.0908558683693e-12,3.30376050646018e-12,2.81439370758517e-12,2.07196108240533e-18,1.90711062610426e-19,5.66144160282609e-21,5.32459035718229e-23,1.57167744823112e-25,1.45416982705659e-28,4.38572625248984e-32,6.4198828399858e-36,1.34377189617081e-39,2.36933565377872e-43,1.95277709326816e-47,7.98153630567319e-52,2.13500908425812e-56,4.2199234998294e-61,4.8411449323071e-66,2.65624906745056e-71,6.50627262782829e-77,6.90186364782364e-83,3.10078848196016e-89,5.81390377925302e-96,4.54109877977967e-103,1.49323722139654e-110,2.10047798888726e-118,1.28245032528179e-126,3.43436579719048e-135,4.0670228945521e-144,2.15474409220314e-153,5.25565811395145e-163,6.34815311463257e-173,4.35137018040366e-183,1.88557720334925e-193,4.88706430101255e-204,6.68391454309323e-215,4.47911333201455e-226,1.43129754995916e-237,2.16326435466897e-249,1.54278479804958e-261,5.18746383280083e-274,8.22025982670022e-287,6.13803424963453e-300,2.15989349173026e-313,0,0,0,0,0
"3",3.55067590863269e-06,1.22527042482447e-12,3.47546298971308e-12,5.3147790938697e-12,7.02389833305696e-18,1.16056311854138e-18,6.18466480934461e-20,1.04417091650641e-21,5.53280123975392e-24,9.18952434258987e-27,4.97525883931355e-30,1.30736699866065e-33,4.91238306642377e-37,1.55485365008988e-40,2.30044500762847e-44,1.68788142333817e-48,8.10497021647139e-53,2.87575928128078e-57,5.92232576709133e-62,5.83323212936496e-67,2.56489137793304e-72,4.88426649264061e-78,3.93913962346318e-84,1.32584675040666e-90,1.85901414246868e-97,1.09735414319857e-104,2.77097362337188e-112,3.03704386801434e-120,1.46000155872906e-128,3.10369932928278e-137,2.95185472476185e-146,1.29247646453293e-155,2.80245847769109e-165,3.44837176731119e-175,2.68243140201106e-185,1.24804031649625e-195,3.06413366525365e-206,3.68608312791945e-217,2.11445894828058e-228,5.73687226666616e-240,7.34458384418874e-252,4.43315769373151e-264,1.26107204728934e-276,1.69036276594903e-289,1.06777365735408e-302,3.17989720708684e-316,0,0,0,0
"4",1.68497403791271e-06,2.2243095112824e-13,1.1325886165314e-12,3.10914515591856e-12,7.37615871828654e-18,2.18784755304966e-18,2.09295897535548e-19,6.34325831203913e-21,6.03367800352091e-23,1.79898005894347e-25,1.74841793555426e-28,8.24751942459037e-32,5.56306725939509e-35,3.16087890945256e-38,8.39511120130193e-42,1.10573940513223e-45,9.53144031576585e-50,6.07093937055026e-54,2.24435687094814e-58,3.96830584736732e-63,3.13228385139587e-68,1.07074915801244e-73,1.55019388966732e-79,9.36643299417240e-86,2.35754424383715e-92,2.49815983737257e-99,1.13240574017606e-106,2.22800925986776e-114,1.92271760107207e-122,7.33733048756154e-131,1.25270749149222e-139,9.84631202632324e-149,3.83253732838815e-158,8.46559609235432e-168,1.18213845068979e-177,9.8733513076427e-188,4.35150951639211e-198,9.39709489322217e-209,9.67662700892698e-220,4.71298632656505e-231,1.08313963614094e-242,1.17361781076726e-254,5.99307437035594e-267,1.44206867032064e-279,1.63523992584265e-292,8.74201641651896e-306,2.20486675769573e-319,0,0,0
"5",7.37798167171975e-16,1.25088873464028e-14,1.14338347394215e-13,5.63452062441238e-13,2.39962006013492e-18,1.27769014281086e-18,2.19414567713835e-19,1.1937500318118e-20,2.03835294279708e-22,1.09098771554767e-24,1.90342171718225e-27,1.61179338990478e-30,1.95162597697025e-33,1.99061097503644e-36,9.49076554007619e-40,2.24400507318131e-43,3.47236872914618e-47,3.97026463674368e-51,2.6348247259373e-55,8.36298290329839e-60,1.18498660066576e-64,7.27170623416881e-70,1.88986534354934e-75,2.04981811556081e-81,9.26183850905372e-88,1.76178874211254e-94,1.433612987588e-101,5.06341020061891e-109,7.84400530585611e-117,5.37349332661395e-125,1.64688989035959e-133,2.32372504787855e-142,1.62365515100965e-151,6.438151631066e-161,1.6138689159659e-170,2.41969573786403e-180,1.91439857847815e-190,7.42133940694058e-201,1.37185730102094e-211,1.19943681163819e-222,4.94836695960701e-234,9.62499245317702e-246,8.82306805498183e-258,3.81111593050783e-270,7.75789605702463e-283,7.44509678710104e-296,3.37086131337546e-309,6.91691904177745e-323,0,0
"6",7.16074060691581e-18,2.17939177417571e-16,3.57605996736773e-15,3.16348741530582e-14,2.41850994837317e-19,2.31167722713519e-19,7.12628792126911e-20,6.95997306244072e-21,2.13338778110643e-22,2.04977662014659e-24,6.41974756077376e-27,9.75862337855277e-30,2.12115318354089e-32,3.88381105224249e-35,3.32406264533094e-38,1.41087340053606e-41,3.91909962764695e-45,8.04407625584225e-49,9.5830710898569e-53,5.46022381178054e-57,1.38886147466612e-61,1.52995294364951e-66,7.13787379444834e-72,1.38979129437152e-77,1.12726940580319e-83,3.84928974486578e-90,5.62283002215022e-97,3.56502349621346e-104,9.91410283124889e-112,1.21918191088446e-119,6.70768433132487e-128,1.69898305752417e-136,2.13105353261944e-145,1.516903739002e-154,6.82592219795948e-164,1.837173162281e-173,2.6092635788699e-183,1.81578380898368e-193,6.02541605378668e-204,9.45696389403717e-215,7.00378026107807e-226,2.44549774802938e-237,4.0242296331889e-249,3.12040914160598e-261,1.14024872242657e-273,1.96436524618156e-286,1.59657393477014e-299,6.12822850710427e-313,0,0
"7",2.15447837897279e-20,1.17710651010045e-18,3.46722083124243e-17,5.50603639224642e-16,7.55643760549493e-21,1.2965601617146e-20,7.17505277359616e-21,1.25795628564483e-21,6.92187974919045e-23,1.19386999713885e-24,6.71219724146045e-27,1.83160395407089e-29,7.14679466187293e-32,2.34905735426543e-34,3.60911718358849e-37,2.74989483423349e-40,1.37123092559804e-43,5.05238841450116e-47,1.08049190524814e-50,1.10515580291107e-54,5.04624405983494e-59,9.97892249542361e-64,8.3573905359962e-69,2.92110841025774e-74,4.25326130128165e-80,2.60718112308851e-86,6.83662582895528e-93,7.78118084583439e-100,3.88447908831226e-107,8.57519757472905e-115,8.4692411111219e-123,3.85085516776078e-131,8.67079168407173e-140,1.10794619640266e-148,8.94990115785723e-158,4.32417492223047e-167,1.10247149555688e-176,1.37724058661368e-186,8.20406267932377e-197,2.31147881021279e-207,3.07303108681545e-218,1.92618486026067e-229,5.68996648865612e-241,7.92017452321178e-253,5.19540084123683e-265,1.60671172901535e-277,2.34423428344135e-290,1.61526277687218e-303,5.26264941518577e-317,0
"8",2.02245789416572e-23,1.98357838117946e-21,1.04884512518009e-19,2.98995873385344e-18,7.36613160229085e-23,2.26887882698417e-22,2.25392772041754e-22,7.09376326093073e-23,7.0069891906467e-24,2.16950518090323e-25,2.18959916846246e-27,1.07257516782314e-29,7.51283284155713e-32,4.4328424730047e-34,1.2226042950249e-36,1.6722348694907e-39,1.49688365233488e-42,9.90080330616594e-46,3.80094404114253e-49,6.9789441476541e-53,5.72045694933246e-57,2.03068413577044e-61,3.05299209304285e-66,1.91557391180871e-71,5.00690739916175e-77,5.50953509537616e-83,2.59347352153344e-89,5.29885178603759e-96,4.74859692443218e-103,1.88179759975768e-110,3.33633405324851e-118,2.72319331498098e-126,1.1007185761227e-134,2.52483191015302e-143,3.66124081043425e-152,3.17548134318161e-161,1.45334907104626e-170,3.25918217580281e-180,3.48517066350503e-190,1.76271155967513e-200,4.20682596474901e-211,4.73349380672074e-222,2.51009300199433e-233,6.27207310803863e-245,7.38570023446683e-257,4.10021694985242e-269,1.07390568564368e-281,1.32832568311087e-294,7.76894540999715e-308,2.15412621586783e-321
"9",6.42324530894577e-27,1.13089072456236e-24,1.0734427715683e-22,5.49324516749591e-21,2.42940274371321e-25,1.34328325942685e-24,2.39547995463207e-24,1.35339791472766e-24,2.3998081056491e-25,1.33383471392537e-26,2.41658569308449e-28,2.12501291863741e-30,2.67198378769604e-32,2.83014474155661e-34,1.40122708050271e-36,3.44045701448197e-39,5.52844715303074e-42,6.56420001600428e-45,4.52375530119839e-48,1.49105480981242e-51,2.19397090008725e-55,1.39810173130515e-59,3.77327391347905e-64,4.24998917068259e-69,1.99413577627386e-74,3.93909428148839e-80,3.3285838086653e-86,1.22083144271805e-92,1.96397292783609e-99,1.39713816569464e-106,4.44664266360833e-114,6.51534519924348e-122,4.72749970393612e-130,1.9466323704758e-138,5.06729305335064e-147,7.88957389542428e-156,6.48201715667756e-165,2.60942687799602e-174,5.00906653813338e-184,4.54789322348379e-194,1.94840757308024e-204,3.93553095312288e-215,3.74634344137843e-226,1.68044825223631e-237,3.55223725200101e-249,3.54008247612284e-261,1.66444305507245e-273,3.69575885025493e-286,3.88022921908302e-299,1.92906296928512e-312
"10",1.46097198571292e-30,4.61747208006477e-28,7.86789921305661e-26,7.22778342161492e-24,5.73815033157378e-28,5.69555779072791e-27,1.82329716856884e-26,1.84921188325274e-26,5.88618550045861e-27,5.87294185054884e-28,1.91008256699463e-29,3.01514200858343e-31,6.80575438676032e-33,1.29403897283096e-34,1.15012087807192e-36,5.0692925758433e-39,1.46228033605773e-41,3.11677562903834e-44,3.85584080155032e-47,2.2814442131022e-50,6.02619755236851e-54,6.89362303840988e-58,3.33982219897452e-62,6.75288095092655e-67,5.68790391401545e-72,2.01692689827787e-77,3.05949349799958e-83,2.01438278113694e-89,5.81725427537091e-96,7.42879139048132e-103,4.24431191902385e-110,1.11637152207341e-117,1.45411610716728e-125,1.07484977989889e-133,5.02268692242791e-142,1.40381504099152e-150,2.07044060022684e-159,1.49621493916769e-168,5.15586944801815e-178,8.40333403251227e-188,6.46275113239628e-198,2.34335028563703e-208,4.00440250112778e-219,3.22441947168455e-230,1.22355814455985e-241,2.1889320702964e-253,1.84749852971594e-265,7.36402139680454e-278,1.38792198105203e-290,1.23865492164028e-303
