"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",7.58490211401672,0.521448225616588,0.0941506319776608,0.00594205684334989,3.12206024624418e-05,1.25973550745528e-07,1.6392426927258e-10,8.47769618282627e-14,1.71930090472827e-17,1.35608116674994e-21,4.17057321806297e-26,4.99436586130032e-31,2.32706409770816e-36,4.2152373780712e-42,2.96572208825733e-48,8.09705315999999e-55,8.57008959197086e-62,3.51286200282213e-69,5.57047565551568e-77,3.4135036524959e-85,8.0740400028921e-94,7.36299054695443e-103,2.58563029009272e-112,3.49212603129415e-122,1.81165076303254e-132,3.60543990520258e-143,2.74896264371357e-154,8.01908126571481e-166,8.93791888767672e-178,3.80110109104987e-190,6.15950390969447e-203,3.79793669603542e-216,8.89862435016008e-230,7.91208720687596e-244,2.66621772311142e-258,3.4011050729687e-273,1.64063872279262e-288,2.99035700208059e-304,2.05827748057463e-320,0,0,0,0,0,0,0,0,0,0,0
"2",0.493724411688693,0.0823238125981117,0.0395745972166003,0.00664980711666488,9.30234641031484e-05,9.9933151146138e-07,3.46220237655085e-09,4.76722911548646e-12,2.57406227934926e-15,5.4054496417774e-19,4.42609645204509e-23,1.41118665054741e-27,1.75061818092724e-32,8.44275346548676e-38,1.58150840866924e-43,1.14960071873864e-49,3.23954771208387e-56,3.53540433892298e-63,1.49262002591776e-70,2.43520954793232e-78,1.53357791357592e-86,3.72347269860267e-95,3.48128308715802e-104,1.2518197667297e-113,1.72904127067558e-123,9.16153240486628e-134,1.85976333534762e-144,1.44441649867401e-155,4.28630644617848e-167,4.85327846788908e-179,2.09387382756474e-191,3.43741111829224e-204,2.14430032731551e-217,5.0761305867089e-231,4.55424420223643e-245,1.54674861124712e-259,1.98651398019662e-274,9.64008115445775e-290,1.76677874124078e-305,1.22528280168629e-321,0,0,0,0,0,0,0,0,0,0
"3",0.109373643368774,0.0175625241307022,0.0224779626097399,0.01005607426434,0.000374533711415104,1.07124046799281e-05,9.8811802383594e-08,3.6224414806655e-10,5.20754925527039e-13,2.91155597682751e-16,6.34736064206053e-20,5.38810118483874e-24,1.77959714505047e-28,2.28503762819883e-33,1.13961914398615e-38,2.20553645184607e-44,1.65474309071843e-50,4.8079978947847e-57,5.40447391225684e-64,2.34757502775707e-71,3.936116743513e-79,2.54442282029239e-87,6.33372832154453e-96,6.06374428154471e-105,2.22988987314033e-114,3.14575691641014e-124,1.70017529818254e-134,3.51566466066944e-145,2.77764796386671e-156,8.37352224978331e-168,9.61839169082397e-180,4.20399712446019e-192,6.98225213171938e-205,4.40069919614786e-218,1.05119719776729e-231,9.50531683698512e-246,3.25025526975963e-260,4.1993833096429e-275,2.04911331457064e-290,3.7762077479178e-306,2.61854792295861e-322,0,0,0,0,0,0,0,0,0
"4",0.0184733038798724,0.00100875956063362,0.00343745211348653,0.00409437075759881,0.000406002391291304,3.09174473807133e-05,7.59284376034566e-07,7.41098617399961e-09,2.83652746867907e-11,4.22238406461566e-14,2.45078236572212e-17,5.53893536773677e-21,4.87069839040324e-25,1.66510596141894e-29,2.2109923413581e-34,1.13925442600826e-39,2.2757054176849e-45,1.76047036337402e-51,5.26861976525445e-58,6.09315036337877e-65,2.72000290504384e-72,4.68133436104713e-80,3.10255002511107e-88,7.90822873914081e-97,7.74284814904503e-106,2.90818124589885e-115,4.18474494892626e-125,2.30388988360604e-135,4.84630184025301e-146,3.88973861106945e-157,1.18958007314574e-168,1.384307635905e-180,6.12131479284742e-193,1.02718780121071e-205,6.53267941493762e-219,1.57272478756294e-232,1.43180075695726e-246,4.92526516480711e-261,6.39866033498011e-276,3.13948160665964e-291,5.82088441588217e-307,3.95252516672997e-323,0,0,0,0,0,0,0,0
"5",8.99160881478198e-07,2.31216839073099e-05,0.000209771959582355,0.000665237813781677,0.000175629447390209,3.56083095036466e-05,2.3282583634601e-06,6.05036665380101e-08,6.1655477680682e-10,2.44355089775263e-12,3.77613389284091e-15,2.27220712951051e-18,5.3197575624206e-22,4.84196294274529e-26,1.71177155908612e-30,2.34832539744381e-35,1.24891412228626e-40,2.57231549536062e-46,2.04961058284775e-52,6.31095925142588e-59,7.50070060790962e-66,3.43701246243662e-73,6.06469857558996e-81,4.11574664511664e-89,1.07287502326642e-97,1.0728743065531e-106,4.11031732571043e-116,6.02486136578632e-126,3.3742307773254e-136,7.21047247224564e-147,5.87105256023661e-158,1.81900496602817e-169,2.14153396462838e-181,9.56773390409652e-194,1.62005427232437e-206,1.03841255858966e-219,2.51697423724034e-233,2.30517967636419e-247,7.97339362124352e-262,1.04157626075251e-276,5.14163316465305e-292,9.60305555287219e-308,4.94065645841247e-324,0,0,0,0,0,0,0
"6",3.07531914710008e-09,2.10548053127501e-07,5.08578724092605e-06,4.29404570680498e-05,3.01832535903155e-05,1.62929249229779e-05,2.83633715651638e-06,1.96239920356439e-07,5.32422394703282e-09,5.61804249186306e-11,2.31147924131718e-13,3.70313473083928e-16,2.30830088533623e-19,5.59372383606943e-23,5.2650724154238e-27,1.92307313120955e-31,2.72300904488446e-36,1.49320599124318e-41,3.16771300218599e-47,2.59686175797988e-53,8.21739698143089e-60,1.00251880253886e-66,4.70976917515781e-74,8.50977382855918e-82,5.90605520670783e-90,1.57244764549174e-98,1.60391623686445e-107,6.25939520387858e-117,9.33338282616603e-127,5.31015261280897e-137,1.15116673263598e-147,9.49587806594859e-159,2.97649524950875e-170,3.54053015657386e-182,1.59612814541311e-194,2.72387457765975e-207,1.75782212836058e-220,4.28627391679149e-234,3.94727447554145e-248,1.3728534437607e-262,1.80431838807575e-277,8.97223232547002e-293,1.69106711749332e-308,0,0,0,0,0,0,0
"7",4.07960765996526e-12,7.43632597165597e-10,4.78238305880566e-08,1.07505780526801e-06,2.01191759544347e-06,2.89149319843996e-06,1.34017019637975e-06,2.46870071400971e-07,1.78326703187271e-08,5.00984244963205e-10,5.48792324556786e-12,2.34081195523046e-14,3.88479775643038e-17,2.5064324228792e-20,6.28113763380057e-24,6.1081366377299e-28,2.30271934748519e-32,3.36194521671529e-37,1.89887212051706e-42,4.14455306331789e-48,3.49174181763005e-54,1.13417315874517e-60,1.41861792745691e-67,6.82437402022863e-75,1.26101800645646e-82,8.93879470109364e-91,2.42752345430389e-99,2.52227889541859e-108,1.00133361399508e-117,1.51679085312655e-127,8.75459200462611e-138,1.92270117850215e-148,1.60457802222146e-159,5.08162866214542e-171,6.09931925950765e-183,2.77127548173756e-195,4.76152975784141e-208,3.09122402065502e-221,7.5792610717958e-235,7.01831247737936e-249,2.4558434597957e-263,3.25137452434937e-278,1.63157226918324e-293,3.10914336250628e-309,0,0,0,0,0,0
"8",2.11590553758092e-15,1.02686955498963e-12,1.75824827828117e-10,1.05231713155632e-08,5.24329140852719e-08,2.00629580032059e-07,2.47577815741313e-07,1.21422507318646e-07,2.33521094268256e-08,1.74667774675302e-09,5.09419693327301e-11,5.78513117386514e-13,2.5561955860644e-15,4.3909718076073e-18,2.92969183823143e-21,7.58527546862785e-25,7.61346939339424e-29,2.95945139058759e-33,4.45036139251993e-38,2.58616510819292e-43,5.80095705400439e-49,5.01667392698478e-55,1.67063253530018e-61,2.13972171717187e-68,1.0526760546999e-75,1.98669592705883e-83,1.4364643616386e-91,3.9737771628023e-100,4.20018269548938e-109,1.69392457813428e-118,2.60305450692098e-128,1.52208226587925e-138,3.38194200075734e-149,2.85159092788281e-160,9.1126491006982e-172,1.10235623487559e-183,5.04275360666907e-196,8.71627066306503e-209,5.68991891682422e-222,1.40278429067617e-235,1.30688645346602e-249,4.60662814603633e-264,6.15462300680483e-279,3.12258932706039e-294,6.02230624020036e-310,0,0,0,0,0
"9",4.28218909268725e-19,5.53304020766965e-16,2.52236383822631e-13,4.01932527322591e-11,5.33199202317217e-10,5.43199600945476e-09,1.78465875846473e-08,2.33035260901504e-08,1.19323928352001e-08,2.37625582949234e-09,1.84516462826958e-10,5.57893862595049e-12,6.56313648928486e-14,3.00162882077568e-16,5.33208742662557e-19,3.67557814278487e-22,9.82236099862884e-26,1.01653767448337e-29,4.0699261580458e-34,6.29689542523589e-39,3.76052833708139e-44,8.65852811621191e-50,7.67693945033987e-56,2.61784215795489e-62,3.42894002770478e-69,1.72296132545564e-76,3.31678992769871e-84,2.44289950901896e-92,6.87462885304664e-101,7.38166152031988e-110,3.02010680751051e-119,4.70171335648724e-129,2.78139814305458e-139,6.24400456500178e-150,5.31250824767084e-161,1.71102326714397e-172,2.08391827692018e-184,9.59008872597496e-197,1.66677499879833e-209,1.09405908317981e-222,2.71373053382864e-236,2.5467774986533e-250,9.05916741958657e-265,1.22371612633823e-279,6.28358697550577e-295,1.22448414105515e-310,0,0,0,0
"10",3.37926777276241e-23,1.16251770079519e-19,1.41098521211451e-16,5.98613996357365e-14,2.11427846633358e-12,5.73470550265241e-11,5.01632710436734e-10,1.74393897079318e-09,2.37747614552048e-09,1.26055210868216e-09,2.60604380221114e-10,2.09786316073008e-11,6.57076585206439e-13,8.00093099029845e-15,3.78407540495492e-17,6.94491865229018e-20,4.94124487478866e-23,1.36151661857156e-26,1.4513260148157e-30,5.97838546823705e-35,9.50572576122825e-40,5.82719389636138e-45,1.37556936569976e-50,1.24886881162514e-56,4.35524142618378e-63,5.82648800531641e-70,2.98626453067828e-77,5.85591676047626e-85,4.38750406149857e-93,1.2542998912609e-101,1.36630778297212e-110,5.66319311017654e-120,8.91964079811734e-130,5.33121747947075e-140,1.20765195065248e-150,1.03556429398621e-161,3.35800097951677e-173,4.11435482200794e-185,1.903860297531e-197,3.3271919637376e-210,2.19726676068282e-223,5.4901732743357e-237,5.19950877520591e-251,1.86996593656866e-265,2.55646367097889e-280,1.3263683247524e-295,2.59269441708506e-311,0,0,0
