"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",6.61853289165042,0.540113907655121,0.280711971976418,0.10662134165088,0.0156085847251585,0.00300238677492566,0.000411372480973585,4.18267775989684e-05,3.23747334997426e-06,1.91750302924896e-07,8.64971008064738e-09,2.9576376496679e-10,7.64162088830871e-12,1.48747214320769e-13,2.17455408754996e-15,2.37998982153994e-17,1.94422929239009e-19,1.18208939016696e-21,5.33498749527307e-24,1.78295229824769e-26,4.40259101646982e-29,8.01628320080023e-32,1.07437997519039e-34,1.05820787802946e-37,7.64887020338478e-41,4.05220346132402e-44,1.57169903555437e-47,4.45865010233154e-51,9.24301400569155e-55,1.39914663085037e-58,1.54544318027902e-62,1.24484937929912e-66,7.30831374900589e-71,3.12566307356888e-75,9.73423790345278e-80,2.20661363525442e-84,3.6396706369139e-89,4.36688085179195e-94,3.81003920107952e-99,2.41670461015773e-104,1.11416975899103e-109,3.7326714921355e-115,9.08539866523155e-121,1.60637377469627e-126,2.06279826262628e-132,1.92357483883694e-138,1.30238666239028e-144,6.40124475619424e-151,2.28274972635321e-157,5.89535841594738e-164
"2",0.541175318725283,0.0794056059057567,0.0548895831508088,0.0277291357867347,0.00539906941701244,0.00138129111233517,0.000251719585989659,3.40407698893301e-05,3.50440557551102e-06,2.76062497751089e-07,1.65628893029249e-08,7.5325618788716e-10,2.58848959608004e-11,6.70151464268976e-13,1.30303937043452e-14,1.89681780255977e-16,2.06092028187676e-18,1.66658406240996e-20,1.00039958901322e-22,4.44675310220355e-25,1.46041010587437e-27,3.53673672380736e-30,6.30450189056742e-33,8.25899224602754e-36,7.93992779637608e-39,5.59466000261309e-42,2.88612433141079e-45,1.08896077182655e-48,3.00251819758938e-52,6.0450300207498e-56,8.88078727232027e-60,9.51433471186868e-64,7.42919907491339e-68,4.22600657423958e-72,1.75046389016132e-76,5.27765128642799e-81,1.1578163357746e-85,1.84761774290548e-90,2.14404264660142e-95,1.8088007933402e-100,1.10912815440583e-105,4.94212046064506e-111,1.59992910741276e-116,3.76241372417995e-122,6.42598778057186e-128,7.96994675379848e-134,7.17710774566383e-140,4.69177474275623e-146,2.22532892591137e-152,7.6438001071471e-159
"3",0.280055268505145,0.0559686435150757,0.0514572702569504,0.0345745343212014,0.00895369115810771,0.0030467134514664,0.000738459352571503,0.000132822654064474,1.81865506599988e-05,1.9054895920936e-06,1.52054214149776e-07,9.19746753601481e-09,4.2037334755529e-10,1.44752113692965e-11,3.74345550017879e-13,7.24776240525717e-15,1.04737624085682e-16,1.12650193717721e-18,8.99376254423806e-21,5.31709136440502e-23,2.32257169809446e-25,7.48100983725542e-28,1.77366447271321e-30,3.090373278265e-33,3.95151494163305e-36,3.70325798568092e-39,2.54090541731018e-42,1.27511364185998e-45,4.67611839897069e-49,1.25216484462565e-52,2.446683006479e-56,3.48632490137193e-60,3.6207173407956e-64,2.7393403092905e-68,1.50914917250757e-72,6.05177675552678e-77,1.76581448134705e-81,3.74783721527316e-86,5.78449178376079e-91,6.49061311004353e-96,5.293463298888e-101,3.13714575765166e-106,1.3507821216883e-111,4.22487931853451e-117,9.59733926532112e-123,1.58317734203798e-128,1.89621162925304e-134,1.64868499918853e-140,1.04005891373731e-146,4.75156027110774e-153
"4",0.120970621013951,0.0250286175231609,0.0306056789290101,0.0273511006339821,0.00942071297097263,0.00426360011977351,0.00137446803664103,0.000328808773717872,5.9880411189512e-05,8.34457480047947e-06,8.8564420627625e-07,7.12512162823117e-08,4.33134109239408e-09,1.98369692655027e-10,6.82317130664640e-12,1.75703633217322e-13,3.37709055210462e-15,4.83097872128097e-17,5.12988692755759e-19,4.03370090241561e-21,2.3434834605878e-23,1.00395947511003e-25,3.16585207011287e-28,7.33657369921108e-31,1.24769710371275e-33,1.55522310742072e-36,1.41925497524833e-39,9.47292310687741e-43,4.62044508323587e-46,1.64559520857244e-49,4.27663717788705e-53,8.10505102399789e-57,1.11955571475602e-60,1.12657541931223e-64,8.2548587565553e-69,4.40274537533645e-73,1.70863358487158e-77,4.82333890026164e-82,9.90137389628545e-87,1.47767582620137e-91,1.60286352495105e-96,1.26343973398904e-101,7.23549639276566e-107,3.00995864959381e-112,9.09411124510045e-118,1.99527230612657e-123,3.17850287437803e-129,3.67567143347847e-135,3.08404091368583e-141,1.87396565324386e-147
"5",0.00360836674193528,0.00766425588576365,0.0124651740296754,0.0148161146331363,0.00678744756991173,0.00408566143693053,0.00175179687917196,0.000557385536187266,0.000135008236706841,2.50232028814199e-05,3.5323291459853e-06,3.77970021203032e-07,3.05598101744147e-08,1.86151603186555e-09,8.5161034669323e-11,2.91674585938288e-12,7.45630642785007e-14,1.41866338607467e-15,2.00361937228173e-17,2.09543558862762e-19,1.61918215928324e-21,9.22599455293705e-24,3.86946410863938e-26,1.19266008059647e-28,2.69771309137456e-31,4.47241902987443e-34,5.42841954515204e-37,4.81903617133684e-40,3.1262462270176e-43,1.48089946367361e-46,5.11880001522292e-50,1.29028218965748e-53,2.37048850844979e-57,3.1726021057368e-61,3.09191949492473e-65,2.1933366429513e-69,1.13212363489164e-73,4.25065531933415e-78,1.16055777874895e-82,2.30363500147871e-87,3.32348895595886e-92,3.48429901834625e-97,2.65394802155899e-102,1.4684115932983e-107,5.90079777944294e-113,1.72193136847719e-118,3.64837495110135e-124,5.6114711403582e-130,6.26214868907352e-136,5.0609036004716e-142
"6",0.000615294874727441,0.00173822429654887,0.0037600823803086,0.00594424275634454,0.0036218619215131,0.00289968599400146,0.00165361931924844,0.000699794746596122,0.000225443875720056,5.55756137799285e-05,1.04343579074157e-05,1.48499541713589e-06,1.59691427983378e-07,1.29378147035453e-08,7.87223897093656e-10,3.58607298059523e-11,1.21929130055561e-12,3.08550519259089e-14,5.79595943495674e-16,8.06208967730199e-18,8.28575738929491e-20,6.27932397401463e-22,3.50278687067799e-24,1.43596140588345e-26,4.32001283996238e-29,9.52565742363078e-32,1.53776181086384e-34,1.81567889613307e-37,1.56662565436949e-40,9.87031068720759e-44,4.53770860565101e-47,1.52130515721235e-50,3.71734340848039e-54,6.61719039645666e-58,8.57727617719455e-62,8.0926303703835e-66,5.55573421739736e-70,2.77438474558182e-74,1.00749003348015e-78,2.65981146812057e-83,5.10381142073807e-88,7.11670545745236e-93,7.20973297092504e-98,5.30563983921314e-103,2.83572352683366e-108,1.10060678613215e-113,3.10155157774803e-119,6.34482239758715e-125,9.41736287957187e-131,1.01227191778453e-136
"7",8.10304428034941e-05,0.000304462580948372,0.000875968849450241,0.00184183632258118,0.00149262110960089,0.00158939504464994,0.00120553442122808,0.000678543898038708,0.000290742758971014,9.53274392578581e-05,2.38046928554761e-05,4.50593746534476e-06,6.44473174548997e-07,6.94460200382391e-08,5.62014987732201e-09,3.40511627025587e-10,1.53986798986772e-11,5.18281242683806e-13,1.29487468628772e-14,2.39559402982657e-16,3.27462070952185e-18,3.30069105046402e-20,2.44888782534738e-22,1.33524555338027e-24,5.34277154402842e-27,1.56689436645306e-29,3.3643178946882e-32,5.28335987811122e-35,6.06316763756665e-38,5.08075623625795e-41,3.10668580664868e-44,1.3852886020833e-47,4.50214834003617e-51,1.06591835763722e-54,1.83765042315673e-58,2.3060377011403e-62,2.10562657787587e-66,1.39852351901283e-70,6.75471514258234e-75,2.37181236179811e-79,6.05323155393998e-84,1.12262537264933e-88,1.5126492468067e-93,1.48053955573699e-98,1.05246904080218e-103,5.43301398946902e-109,2.03634256185687e-114,5.54057061873869e-120,1.09377381960052e-125,1.56371859737661e-131
"8",8.24772247368586e-06,4.12176232510776e-05,0.000157725123770642,0.000441089217694971,0.000475431750432969,0.000673338815464435,0.000679273394995106,0.000508517769050282,0.000289801270289256,0.000126378296837469,4.19739989595819e-05,1.05673506632631e-05,2.01024503366261e-06,2.8810759551225e-07,3.10111904312291e-08,2.49899668548267e-09,1.50307419649213e-10,6.72861397654667e-12,2.23589320775673e-13,5.50173580624567e-15,1.00025494599668e-16,1.34096601972679e-18,1.32325938621193e-20,9.59622506853082e-23,5.10703792549114e-25,1.99207365366769e-27,5.68886846053971e-30,1.18823476339424e-32,1.81365563715033e-35,2.02137461226423e-38,1.64391354954425e-41,9.74956180022978e-45,4.21432311074518e-48,1.32707407494308e-51,3.04296751429095e-55,5.0788339516007e-59,6.16796866206056e-63,5.44871099212773e-67,3.50021104768239e-71,1.63467234158314e-75,5.5488229451557e-80,1.36871058984828e-84,2.45289073710024e-89,3.19317835342223e-94,3.0190873951786e-99,2.07286191621404e-104,1.0333408104977e-109,3.73947325558192e-115,9.81853414262356e-121,1.86698541751927e-126
"9",6.42320395642004e-07,4.26937018117772e-06,2.17292600734248e-05,8.08227636469381e-05,0.000115866697939349,0.000218256553620451,0.000292847446386812,0.000291585660923991,0.00022101589524183,0.000128191407532762,5.66278351516496e-05,1.8961772194056e-05,4.79761062045376e-06,9.14521460260658e-07,1.30924470126599e-07,1.40323775441139e-08,1.12255904605974e-09,6.68370975199302e-11,2.9539709428274e-12,9.66758697425315e-14,2.33771873582454e-15,4.16833405704744e-17,5.47082623528653e-19,5.27681121276062e-21,3.73511010232717e-23,1.93777304693407e-25,7.36014897733322e-28,2.0446838227249e-30,4.15089674939307e-33,6.15314431805901e-36,6.65568046161012e-39,5.25002992246625e-42,3.01833684871646e-45,1.26414891108995e-48,3.85534794878724e-52,8.55841755991277e-56,1.38240345262265e-59,1.62423781736588e-63,1.38775650009775e-67,8.62011276793236e-72,3.89176218594994e-76,1.27679227944145e-80,3.04333679968942e-85,5.26936381317979e-90,6.62634260882736e-95,6.05106430588094e-100,4.01206694726579e-105,1.93107088049611e-110,6.74369052635579e-116,1.70551324670364e-121
"10",3.80937608098648e-08,3.36766702474243e-07,2.27967776708534e-06,1.12778266859985e-05,2.15037173886076e-05,5.38747664486927e-05,9.61441230420114e-05,0.000127324112647447,0.000128360440142005,9.90215679114848e-05,5.8178703057463e-05,2.59105239363197e-05,8.7193771133167e-06,2.21063763327252e-06,4.20927865107707e-07,6.00041525563684e-08,6.38443446490292e-09,5.05584807412846e-10,2.97197975067434e-11,1.29366226037879e-12,4.16062210661764e-14,9.86714988501238e-16,1.72244484182153e-17,2.20966864452769e-19,2.08028193823946e-21,1.4354395063548e-23,7.25156564411347e-26,2.67938136455554e-28,7.23458287680514e-31,1.426368898159e-33,2.05206170800954e-36,2.15289537879342e-39,1.64623581733471e-42,9.1703470008626e-46,3.71975475844023e-49,1.09826563294857e-52,2.35945623342206e-56,3.6871425459248e-60,4.19002654048841e-64,3.46162201982825e-68,2.07862518661185e-72,9.07012626880464e-77,2.87545315326446e-81,6.62182436491864e-86,1.10753268959963e-90,1.34517141143199e-95,1.18625273186437e-100,7.59399773268394e-106,3.5272242685679e-111,1.18646172557753e-116
