"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",5.52404895004843e-14,5.99566659751381e-15,5.56035967812213e-15,1.55454114306926e-15,1.1885015708837e-16,2.47170935540743e-18,1.39789053109024e-20,2.14991711716411e-23,8.99172094472743e-27,1.02267234912555e-30,3.16302674358672e-35,2.66036928170788e-40,6.08490386205756e-46,3.78475909218934e-52,6.40170168954427e-59,2.94459257409162e-66,3.68321845986802e-74,1.25285880799601e-82,1.15890834134122e-91,2.91519969613449e-101,1.99415906234547e-111,3.70957020748471e-122,1.87654847579943e-133,2.58147828532479e-145,9.65716743320463e-158,9.82434768911341e-171,2.71788084633957e-184,2.04470113062426e-198,4.18313583994312e-213,2.32726988178277e-228,3.52098449900833e-244,1.44861839343141e-260,1.62075118895637e-277,4.93118338409055e-295,4.07998359873088e-313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",5.45345170297684e-15,5.50429874504611e-15,1.68554298488901e-14,1.55600716592233e-14,3.92809115079298e-15,2.69743894316399e-16,5.03732312150855e-18,2.55811926901506e-20,3.53276148285426e-23,1.32672354056122e-26,1.3549373360249e-30,3.76296947780688e-35,2.84194008066384e-40,5.83676034713776e-46,3.25987898734299e-52,4.95112263102628e-59,2.04492966058793e-66,2.29681201332611e-74,7.01527716461498e-83,5.82688544808315e-92,1.31613485803685e-101,8.08419191694878e-112,1.35034652987331e-122,6.13375388509732e-134,7.57669937549391e-146,2.54510933347991e-158,2.32490685264357e-171,5.77533800355887e-185,3.90141331702101e-199,7.16702910857291e-214,3.58037863720642e-229,4.86397421752134e-245,1.79690882966096e-261,1.80523303537287e-278,4.93188522244628e-296,3.66408161510924e-314,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",4.79011948111241e-15,1.6313421703785e-14,1.64951140647646e-13,5.02804907972367e-13,4.19123389266547e-13,9.50351771248358e-14,5.8600996339135e-15,9.82648971979633e-17,4.48089076361166e-19,5.55652023124093e-22,1.87376058808981e-25,1.71829612364773e-29,4.28503779260279e-34,2.90592249139266e-39,5.35902851517493e-45,2.68757564887443e-51,3.66528553822279e-58,1.35933755363942e-65,1.37094213074463e-73,3.75995973466157e-82,2.80426809128421e-91,5.68758864654688e-101,3.13696173531946e-111,4.70503392773506e-122,1.91906150611743e-133,2.12856887197474e-145,6.42035800836862e-158,5.2662748261635e-171,1.17468250284552e-184,7.12541446478488e-199,1.17536389215856e-213,5.27238452570785e-229,6.43152970947374e-245,2.13350632502859e-261,1.92462466899893e-278,4.72139842500561e-296,3.14968981660529e-314,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",3.52653958969814e-15,1.5041376323848e-14,5.02192545940771e-13,5.0546009222362e-12,1.39123881658711e-11,1.04163748975158e-11,2.12084846239451e-12,1.17429028438185e-13,1.76812858415856e-15,7.23977073308676e-18,8.06136226651816e-21,2.44098310496982e-24,2.00998975885132e-28,4.50086139823217e-33,2.74075430996954e-38,4.53855037463449e-44,2.04379202847891e-50,2.50281429930197e-57,8.33475542515655e-65,7.54795594006122e-73,1.85882334222205e-81,1.24485621154329e-90,2.2671103423645e-100,1.12279022054654e-110,1.5121580329382e-121,5.53819723421465e-133,5.51584917247005e-145,1.49392598344735e-157,1.10031868050276e-170,2.20384244066509e-184,1.20037013274855e-198,1.77796143934029e-213,7.16146652133068e-229,7.84429730629145e-245,2.33656885621646e-261,1.89267310739749e-278,4.1691274502765e-296,2.49739540761201e-314,0,0,0,0,0,0,0,0,0,0,0,0
"5",3.67841588008413e-17,3.79731558436853e-15,4.18631401496244e-13,1.39130016485348e-11,1.26446867670104e-10,3.12604637408056e-10,2.10165234965124e-10,3.84236954693323e-11,1.91033676520131e-12,2.58281516069976e-14,9.49618959206505e-17,9.49463200580181e-20,2.58154460275003e-23,1.90877110712446e-27,3.83796264891882e-32,2.09855435868423e-37,3.12041379234751e-43,1.26175937529474e-49,1.38743676389894e-56,4.14879636553603e-64,3.37367548237978e-72,7.46030877806585e-81,4.48624198481535e-90,7.33636758737496e-100,3.26251162576383e-110,3.94544260805308e-121,1.29751419856176e-132,1.1603826927517e-144,2.82203939959239e-157,1.8663691782463e-170,3.35663885372535e-184,1.64166371399074e-198,2.18341481211051e-213,7.89697488038084e-229,7.76707895130893e-245,2.07743369901413e-261,1.51101632847185e-278,2.98870960539868e-296,1.60757369487372e-314,0,0,0,0,0,0,0,0,0,0,0
"6",7.64995577126882e-19,2.60763746426935e-16,9.49237193935408e-14,1.04168451123405e-11,3.12604964298121e-10,2.55185290083605e-09,5.66491662582693e-09,3.41982750774627e-09,5.61419416531941e-10,2.50635882034934e-11,3.04278818406953e-13,1.00455311850687e-15,9.01875994076913e-19,2.20187911183971e-22,1.46188357896384e-26,2.63939683757376e-31,1.29589281675787e-36,1.73023805211991e-42,6.28224604532779e-49,6.20292153278592e-56,1.66552017674418e-63,1.21611829296769e-71,2.41476091878839e-80,1.30390199980111e-89,1.91464543572404e-99,7.64547456941619e-110,8.30220134374644e-121,2.45162933996161e-132,1.96874317342287e-144,4.299282382531e-157,2.55314487797383e-170,4.12313415837491e-184,1.81072269188016e-198,2.16246393642148e-213,7.02292873567601e-229,6.2024052546181e-245,1.48961675663229e-261,9.72885063467148e-279,1.72791005682027e-296,8.34551905622974e-315,0,0,0,0,0,0,0,0,0,0
"7",4.32647998775396e-21,4.86962380548142e-18,5.85322705806358e-15,2.12094426611432e-12,2.1016546113743e-10,5.66491679841496e-09,4.15244459773035e-08,8.27726673340398e-08,4.48686086588868e-08,6.61410134948611e-09,2.65137858983708e-10,2.89031618597124e-12,8.5682415394154e-15,6.90733898656876e-18,1.51426718563516e-21,9.02748634829537e-26,1.46353682937372e-30,6.45227482290487e-36,7.73560641054569e-42,2.52201772934378e-48,2.23601221169667e-55,5.39103956217487e-63,3.53462431815356e-71,6.30211753994061e-80,3.05564103144016e-89,4.02894042238037e-99,1.4446148794814e-109,1.40859472338934e-120,3.73501832707389e-132,2.69322146979156e-144,5.28109501548082e-157,2.81610220539365e-170,4.08361993913084e-184,1.61032920664179e-198,1.7268574269868e-213,5.03582680358824e-229,3.9935361501703e-245,8.61225800243319e-262,5.05067069336114e-279,8.0547802967106e-297,3.49326041803736e-315,0,0,0,0,0,0,0,0,0
"8",6.6540070468165e-24,2.47295602683269e-20,9.81496552772835e-17,1.17434333764347e-13,3.84237370748781e-11,3.41982763466111e-09,8.27726678840937e-08,5.4480675283039e-07,9.75148055278562e-07,4.74647531639689e-07,6.28267437391213e-08,2.26146872496425e-09,2.21365204413692e-11,5.89251709217137e-14,4.26545158608774e-17,8.39656725539642e-21,4.4948066144859e-25,6.54323679685764e-30,2.59027915092366e-35,2.7885135904243e-41,8.16340280180459e-48,6.49893209038385e-55,1.40697106461201e-62,8.28325113445625e-71,1.3261391237552e-79,5.77364430448863e-89,6.83571091911434e-99,2.20084818837804e-109,1.92694443405123e-120,4.58797398878653e-132,2.97060758234016e-144,5.23048717554383e-157,2.50444483200636e-170,3.26101839426125e-184,1.15469553466526e-198,1.11187051485131e-213,2.9114777362683e-229,2.07321961934978e-245,4.01466910906523e-262,2.11410633247673e-279,3.02744677151778e-297,1.17895926602009e-315,0,0,0,0,0,0,0,0
"9",2.78294330763199e-27,3.4151510864151e-23,4.47563571878809e-19,1.76820846651593e-15,1.91033883381303e-12,5.61419437390782e-10,4.48686089589519e-08,9.75148055319794e-07,5.76329779960457e-06,9.26283981043386e-06,4.04846046785339e-06,4.81180880627347e-07,1.55524766592219e-08,1.36698414467723e-10,3.2673831740731e-13,2.12377863309805e-16,3.75397099173432e-20,1.80445046069964e-24,2.35869247106366e-29,8.38436045975153e-35,8.10477246305517e-41,2.13051219489591e-47,1.52299899359746e-54,2.960654326437e-62,1.56512269153179e-70,2.24999602045234e-79,8.79605301373551e-89,9.35118526715858e-99,2.70344906248201e-109,2.12540829737233e-120,4.5440084967194e-132,2.64185158527357e-144,4.17686240421923e-157,1.79582648688232e-170,2.09966996311901e-184,6.67590560915891e-199,5.77220667042652e-214,1.35720713402419e-229,8.6780671236597e-246,1.50894183935625e-262,7.1350104676246e-280,9.17464614571395e-298,3.20816423428892e-316,0,0,0,0,0,0,0
"10",3.16517737534109e-31,1.2825551238068e-26,5.55000372283676e-22,7.24009781916293e-18,2.58281795756403e-14,2.50635891352634e-11,6.61410139386752e-09,4.74647531670429e-07,9.26283981064209e-06,4.91574867731584e-05,7.09427215708362e-05,2.78418910666794e-05,2.97140842515706e-06,8.62380036610387e-08,6.80624707118082e-10,1.46079513558775e-12,8.52596222440101e-16,1.35322458742872e-19,5.84075060074927e-24,6.85550903635294e-29,2.18817986823405e-34,1.8993221832031e-40,4.48318496831375e-47,2.87771095407141e-54,5.02319778894111e-62,2.38443817208423e-70,3.07797139106763e-79,1.08047774742121e-88,1.03143005353335e-98,2.67754258647349e-109,1.89019049534098e-120,3.62866838713791e-132,1.89435539363365e-144,2.68935471482954e-157,1.0382625163635e-170,1.09003075652014e-184,3.11202345778584e-199,2.41612583015443e-214,5.10115881159268e-230,2.92880707462607e-246,4.57283260554036e-263,1.94156724704214e-280,2.2417755649102e-298,7.03889298029145e-317,0,0,0,0,0,0
