"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",-1.59111898798717e-22,-3.10429151663134e-31,-7.66753165531515e-42,-3.90164691648326e-56,-3.22258287958086e-74,-2.5754617038549e-97,-6.84155503959169e-123,-2.00257516614022e-152,-3.73436264353863e-186,6.20246816463393e-224,3.77108369375149e-265,3.20295407709784e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",-4.97659509485673e-23,-2.37288675952869e-25,-6.70149793076115e-32,-3.89911523281614e-42,-3.68234093785303e-56,-3.36493587487963e-75,-1.0220645290483e-96,-3.42069310722882e-122,-7.29362736989589e-152,1.38513920157357e-185,9.62934713296605e-223,9.35154093357662e-264,2.56877565877699e-309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",-2.211121677979e-23,-8.41648189080641e-23,-2.71786113504587e-25,-1.80810330941417e-31,-1.95246367249054e-41,-2.0400346949931e-56,-7.08501660963552e-74,-2.7113055571257e-95,-6.61012570289217e-121,1.43536173001496e-150,1.14094991526945e-183,1.26693610205338e-220,3.97923424187512e-262,5.80755256298576e-308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",-2.13745282272848e-23,-1.68194367525576e-24,-6.21026186676501e-23,-4.7239760413454e-25,-5.83269413345447e-31,-6.96827993671406e-42,-2.76713726889924e-55,-1.21079352657405e-72,-3.37522819141008e-94,8.38024237187085e-120,7.6166428606493e-149,9.67060219780303e-182,3.47296260764751e-219,5.79556187371794e-261,3.35509841970038e-305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",-1.58590340189153e-40,-1.9209668357091e-30,-8.10998643125723e-25,-7.05374403136514e-23,-9.95824959540482e-25,-1.36032033170064e-31,-6.17658039763594e-41,-3.09021915880639e-54,-9.84972545510567e-72,2.79627165398493e-93,2.90595020634986e-118,4.21871211536015e-147,1.73232061632154e-180,3.30541130796607e-218,2.18794812765961e-258,-3.0341438463488e-303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",-9.18920625488306e-55,-1.27269087749703e-40,-6.14362907253525e-31,-6.10979094204529e-25,-9.86260084838006e-23,-1.54046357668551e-25,-7.9976084689751e-31,-4.57512660083244e-40,-1.66739984225319e-53,5.41248600138181e-71,6.43142766544857e-92,1.06758117346918e-116,5.0124619112394e-146,1.0935788827078e-179,8.27681834152049e-216,-1.31239438542177e-256,2.87125927148969e-301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",-3.13554716479918e-73,-4.96546659639077e-55,-2.74071524551753e-41,-3.1164995912382e-31,-5.75219997999756e-25,-1.02729635831431e-23,-6.09826438147568e-25,-3.98888045653796e-30,-1.66222364641053e-39,6.16947603351355e-53,8.382251361803e-70,1.5909480267902e-90,8.54098514575992e-116,2.13063369823259e-145,1.84384281355526e-177,-3.34292497973379e-214,8.36250658053916e-255,3.55334168533799e-299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",-6.39515842401211e-96,-1.15797672314186e-73,-7.30811673337429e-56,-9.50189943453586e-42,-2.00529895209128e-31,-4.0948942855579e-26,-2.7794251932594e-23,-2.07874662618064e-24,-9.90471053314353e-30,4.20341634096774e-39,6.53005143451648e-52,1.41714310970888e-68,8.69896290753657e-90,2.48124757269317e-115,2.45520069227963e-143,-5.08969231166291e-176,1.45580486343542e-212,7.07302933618505e-253,5.74361417739534e-297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",-7.90997498384819e-123,-1.6376663570569e-96,-1.18176974907512e-74,-1.75686996307565e-56,-4.2394557858125e-42,-9.89863870591319e-33,-7.68226994423303e-26,-6.56958485441954e-23,-3.57915043077381e-24,1.73677023613374e-29,3.08502264927436e-38,7.65521265575833e-51,5.37295031130148e-68,1.7523354211252e-89,1.98260379700651e-113,-4.69939834459556e-142,1.53693567716629e-174,8.53807137008318e-211,7.92759354666632e-251,5.51962074550235e-295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",-6.01565530147822e-154,-1.42408219198144e-123,-1.17501738508326e-97,-1.99734384984114e-75,-5.51093291442996e-57,-1.471269670628e-43,-1.30559406773063e-32,-1.27661024736015e-25,-7.95247196977959e-23,4.41231345928031e-24,8.96157084151785e-29,2.54263979693545e-37,2.04052631617298e-50,7.60936490089677e-68,9.84393868445982e-88,-2.66794591425166e-112,9.97682257380732e-141,6.33721049536142e-173,6.72793090582771e-209,5.35613088078884e-249,1.9248405654054e-289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
