"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",-1.36267375673387e-15,-9.00410699486279e-29,-7.29943702687881e-31,-2.78721057143325e-34,1.36768611870014e-37,-7.33107819035134e-41,-1.19692137282604e-43,-2.65833555688589e-46,-4.33084559422071e-50,-4.05438274638532e-54,5.24092500784291e-58,1.52579923931179e-59,1.01144300424317e-61,2.28817629041181e-64,1.76815999678427e-67,4.66701875600109e-71,4.20768699893704e-75,1.29578587699325e-79,1.36304120457004e-84,4.8974568909961e-90,6.01060510320603e-96,2.51971661657662e-102,3.60803792812948e-109,1.76472248383896e-116,2.94827289848559e-124,1.68246034268157e-132,3.27950214070673e-141,2.18351880947065e-150,4.96583003344113e-160,3.857559997965e-170,1.02357452485679e-180,9.27709792745577e-192,2.8720416435389e-203,3.03707326714576e-215,1.09699766785728e-227,1.35344949217843e-240,5.70380073278993e-254,8.21055541371423e-268,4.03707337138753e-282,6.78026541017e-297,3.88966901799588e-312,0,0,0,0,0,0,0,0,0
"2",-8.41819415776835e-17,-1.02986020623144e-26,-1.72354441030417e-28,-1.35862116034172e-31,1.3762917757815e-34,-1.52295618477606e-37,-5.1331110650113e-40,-2.35353315750289e-42,-7.91550637461877e-46,-1.52977031595582e-49,4.0822999501831e-53,2.45352135324994e-54,3.35760300328277e-56,1.56809688740147e-58,2.50149969395868e-61,1.36305669834603e-64,2.53695803219434e-68,1.61286709157986e-72,3.50243274930315e-77,2.59792688342948e-82,6.58218341160612e-88,5.69638016699262e-94,1.68389048032478e-100,1.7002573001296e-107,5.86410031864957e-115,6.90834517642592e-123,2.7799218896497e-131,3.82100049301118e-140,1.79393824566753e-149,2.87689366144112e-159,1.57589061833648e-169,2.94858888676979e-180,1.88446596387183e-191,4.11384870877582e-203,3.06756824231961e-215,7.81314823314153e-228,6.79741580358861e-241,2.0199820514156e-254,2.05039294235788e-268,7.10906740423453e-283,8.4192628215431e-298,3.40581778125442e-313,0,0,0,0,0,0,0,0
"3",-8.41821034678188e-17,-6.51290581645152e-24,-2.25016559773803e-25,-3.66172612385278e-28,7.65761416910612e-31,-1.74930628508543e-33,-1.21717939147731e-35,-1.15209882136965e-37,-7.99914548988144e-41,-3.1914394135852e-44,1.75816960645875e-47,2.18142949167856e-48,6.16277290710307e-50,5.94176121414325e-52,1.95676304420963e-54,2.20113757011997e-57,8.4575004582241e-61,1.10999956763898e-64,4.97610476998646e-69,7.61977445448644e-74,3.9854801810244e-79,7.12041196984221e-85,4.34525711522614e-91,9.05757142924258e-98,6.44902399002344e-105,1.56841906229725e-112,1.30291522208343e-120,3.69705694729741e-129,3.5832904915888e-138,1.18629805793118e-147,1.34150273334607e-157,5.18173498871519e-168,6.83667213856224e-179,3.08106069076553e-190,4.74287470582174e-202,2.4938421710297e-214,4.47901193131912e-227,2.74777630879136e-240,5.75793084169553e-254,4.12133065785574e-268,1.0076144256057e-282,8.41467215085056e-298,2.40030245815674e-313,0,0,0,0,0,0,0
"4",-8.41986473843733e-17,-1.40688054770696e-21,-1.0034422645481e-22,-3.37100385373271e-25,1.45533291849153e-27,-6.8632561930307e-30,-9.85858139460286e-32,-1.92639370307201e-33,-2.76117794188858e-36,-2.27422215153997e-39,2.58644073212819e-42,6.6248862375395e-43,3.86374887071564e-44,7.69030213789645e-46,5.22831719332352e-48,1.21413326576845e-50,9.63067403089673e-54,2.60935365735435e-57,2.41487765397928e-61,7.63384284900112e-66,8.24284691874212e-71,3.04016520395215e-76,3.83003747699258e-82,1.64814263309818e-88,2.42254861003448e-95,1.21628710245031e-102,2.08586227389725e-110,1.22185900326164e-118,2.44479501831359e-127,1.67089721824155e-136,3.9007036816897e-146,3.11044178892443e-156,8.47202278527489e-167,7.88203024088747e-178,2.50481108923428e-189,2.71892840455896e-201,1.00810671662161e-213,1.27673612098448e-226,5.52308461498934e-240,8.16109050257136e-254,4.11908346845145e-268,7.10131696427642e-283,4.18179895223024e-298,8.4114972841486e-314,0,0,0,0,0,0
"5",-5.9699853900197e-19,-1.03806740197344e-19,-1.52846746771623e-20,-1.06003093846746e-22,9.44750491558571e-25,-9.19772596362018e-27,-2.72747113836974e-28,-1.10023705872e-29,-3.25560042177153e-32,-5.53560468104533e-35,1.29966132464606e-37,6.87229147623803e-38,8.27422866850355e-39,3.39983243163669e-40,4.77168228368766e-42,2.28755440429978e-44,3.74590913548996e-47,2.0952168672493e-50,4.00300978091748e-54,2.61234309869872e-58,5.82317331856889e-63,4.43379028833977e-68,1.15312521579848e-73,1.02438620388525e-79,3.10840006448979e-86,3.22178082455902e-93,1.14062005127472e-100,1.37934195963554e-108,5.69755843558227e-117,8.03880610991066e-126,3.87418414927033e-135,6.37756449917997e-145,3.58604205462612e-155,6.88750364650938e-166,4.51849914133874e-177,1.01254067957877e-188,7.75026761046161e-201,2.02631433840659e-213,1.8096010960377e-226,5.52007310860239e-240,5.75165343628077e-254,2.0470407907152e-268,2.48854919421689e-283,1.03336053578937e-298,1.4656943588942e-314,0,0,0,0,0
"6",-7.28839767436373e-18,-2.6162535317378e-18,-7.95254171056978e-19,-1.13858059766063e-20,2.09487370836135e-22,-4.21033514705889e-24,-2.57745948195959e-25,-2.14641371120562e-26,-1.31115411646373e-28,-4.60238765803055e-31,2.23071355167162e-33,2.43506558654784e-33,6.05246229759078e-34,5.13402013937747e-35,1.48753453206803e-36,1.47218521104327e-38,4.97672609850045e-41,5.74659994417346e-44,2.26654379810901e-47,3.05353682384323e-51,1.40516765511396e-55,2.2087118310881e-60,1.18586666361697e-65,2.17479634352204e-71,1.36234550870389e-77,2.91502194876719e-84,2.13050383588363e-91,5.31873984211191e-99,4.53545717124037e-107,1.32105018981605e-115,1.31432722984868e-124,4.46656426425802e-134,5.18477109830789e-144,2.05575584031412e-154,2.78419325370091e-165,1.28799190895282e-176,2.03522690327847e-188,1.09849588804489e-200,2.02520947427929e-213,1.27534419931035e-226,2.74328401731246e-240,2.01558000728884e-254,5.05842432530084e-269,4.33627064361577e-284,1.26970668717772e-299,1.26992004189667e-315,0,0,0,0
"7",-3.03932237630952e-17,-2.25226773823019e-17,-1.41332364819508e-17,-4.17729292773908e-19,1.58666221634916e-20,-6.58322627923305e-22,-8.3197340552693e-23,-1.43029793926296e-23,-1.80369168650456e-25,-1.30703506494401e-27,1.30780601336418e-29,2.94717326688619e-29,1.5122464741982e-29,2.64815583065436e-30,1.58397567448659e-31,3.23623003222451e-33,2.25847950733113e-35,5.383675326416e-38,4.38356543824303e-41,1.21916369617396e-44,1.15819713530047e-48,3.75827782286138e-53,4.16563454415476e-58,1.57710054367471e-63,2.0394991722797e-69,9.00893762437321e-76,1.35928195990362e-82,7.00537619703739e-90,1.23321632837929e-97,7.41537290431605e-106,1.52304475465687e-114,1.06850910784028e-123,2.56052906983986e-133,2.09588349556038e-143,5.85990349177206e-154,5.59628345142112e-165,1.82555484587245e-176,2.03411717912526e-188,7.74181812220908e-201,1.00645858058279e-213,4.46925104773541e-227,6.77890427147987e-241,3.51212689003764e-255,6.2153673645695e-270,3.75707021317045e-285,7.75742818069284e-301,5.47106804349002e-317,0,0,0
"8",-4.32919725925601e-17,-6.62286808953286e-17,-8.57952406345437e-17,-5.23494331459071e-18,4.10484737819869e-19,-3.51598326383262e-20,-9.17303270724069e-21,-3.25555841716131e-21,-8.47533288690458e-23,-1.26787717117079e-24,2.61895933420116e-26,1.21839070169089e-25,1.29062171877761e-25,4.66568493034065e-26,5.76123857451871e-27,2.42997730628565e-28,3.50085779398352e-30,1.72279125431002e-32,2.89585474034261e-35,1.66267276460886e-38,3.26078923931667e-42,2.18436196477819e-46,4.99818552470969e-51,3.90648417641265e-56,1.04290728998083e-61,9.51023462739187e-68,2.96225667268785e-74,3.15166520830089e-81,1.14536356377831e-88,1.42178056835486e-96,6.02847862928009e-105,8.73109614464558e-114,4.31932352545007e-123,7.29875260858506e-133,4.21276710938682e-143,8.30562220547827e-154,5.59323203268015e-165,1.28658771574548e-176,1.01088529451354e-188,2.71300318213995e-201,2.48705064297717e-214,7.78762195720517e-228,8.3293486247814e-242,3.04300822703506e-256,3.79735427436202e-271,1.61862055222239e-286,2.35664895650204e-302,1.17200770309523e-318,0,0
"9",-2.10631792764266e-17,-6.65209030395468e-17,-1.77897854166684e-16,-2.24086130889218e-17,3.62740035164324e-18,-6.41417430038109e-19,-3.45463669701018e-19,-2.53110647262748e-19,-1.36030773824342e-20,-4.20100373350198e-22,1.79143115188453e-23,1.72049503949209e-22,3.76236824135701e-22,2.80784558388263e-22,7.1576285067296e-23,6.2323379300254e-24,1.85361155303339e-25,1.88309572689001e-27,6.53449446675325e-30,7.74528647923084e-33,3.13580402998659e-36,4.33656911365105e-40,2.04846958801606e-44,3.30520727174622e-49,1.82160334480719e-54,3.42921587202761e-60,2.20506685761254e-66,4.84322488034663e-73,3.63356892043017e-80,9.31146671288876e-88,8.15058400994901e-96,2.43694234709383e-104,2.48878683458885e-113,8.68192622818406e-123,1.03449972752931e-132,4.2104700643482e-143,5.85351491490622e-154,2.77964142478439e-165,4.5086522061017e-177,2.49798968981617e-189,4.72737929677274e-202,3.05587906234535e-215,6.74742123435848e-229,5.08891728549078e-243,1.31098844479665e-257,1.15360805411277e-272,3.46739729577854e-288,3.55987571960125e-304,1.24850388704083e-320,0
"10",-3.50047022157706e-18,-2.28221250815905e-17,-1.25998140675016e-16,-3.2764525787115e-17,1.09491367789859e-17,-3.9968755828222e-18,-4.44403771404035e-18,-6.72173288534004e-18,-7.45767556332203e-19,-4.75460964137547e-20,4.18559692271766e-21,8.29862590743636e-20,3.74636031474143e-19,5.7718753912641e-19,3.03744457525884e-19,5.45991250793626e-20,3.35234648493564e-21,7.0306916502985e-23,5.03654976715153e-25,1.23240684773681e-27,1.03005641831004e-30,2.94072120190662e-34,2.86769251586292e-38,9.55206443780654e-43,1.08679552320977e-47,4.22361508833965e-53,5.60669267138184e-59,2.54223155887903e-65,3.93739835011895e-72,2.08300124555253e-79,3.76405225967884e-87,2.32331262777435e-95,4.89830225942631e-104,3.5275197411941e-113,8.67719233671409e-123,7.29079537046812e-133,2.09245697223877e-143,2.05127583583979e-154,6.8687467765676e-166,7.856278921341e-178,3.06932009637614e-190,4.09593804283423e-203,1.86702666715803e-216,2.90692328913096e-230,1.54597520733361e-244,2.80839002858413e-259,1.74260209088948e-274,3.69338807652767e-290,2.67385344609361e-306,6.4228533959362e-323
