"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",8.4520707125127e-35,-5.64267440166447e-36,-4.0613849765403e-36,-3.35601934157491e-36,3.52448630409116e-38,2.78948133821141e-39,7.46320332203663e-42,1.09880259763983e-43,4.20772122495398e-45,1.52552267866624e-46,1.75325777214733e-47,9.74152348503059e-49,2.62899024341153e-50,3.46415284277666e-52,2.21511675021175e-54,6.82572428682886e-57,1.00517589159485e-59,7.00505227788511e-63,2.28334207537344e-66,3.43253233413749e-70,2.34053557460467e-74,7.10872493396808e-79,9.46923990027467e-84,5.50251090794454e-89,1.41044864422597e-94,1.6375699083249e-100,8.90664086415941e-107,2.34413648174832e-113,3.06656250620647e-120,2.03522068954445e-127,6.95669574444553e-135,1.2381542007105e-142,1.15656864954684e-150,5.70305670584495e-159,1.49086408005182e-167,2.07275215970726e-176,1.53632904051362e-185,6.0821078377281e-195,1.28790776017233e-204,1.46040173796214e-214,8.87593620492874e-225,2.89355580143332e-235,5.06275551602086e-246,4.7565122143165e-257,2.40041599777098e-268,6.50758927956129e-280,9.47126509147483e-292,7.37479589641731e-304,3.0283583803257e-316,0
"2",-2.12198423129263e-36,1.64142610349098e-37,2.12083439879185e-37,3.14596083759251e-37,-5.93090462599869e-39,-8.42645351630305e-40,-4.04709033665477e-42,-1.06962995958835e-43,-7.35287352840038e-45,-4.78547511017678e-46,-9.87298375247985e-47,-9.84749541971087e-48,-4.77072228596774e-49,-1.12846595997271e-50,-1.29534154591024e-52,-7.16527184248382e-55,-1.89418437517729e-57,-2.3696697405424e-60,-1.38657599665391e-63,-3.7418260250822e-67,-4.58015796788239e-71,-2.49719913827648e-75,-5.97135432655924e-80,-6.22895066024387e-85,-2.86620673693379e-90,-5.9737403237771e-96,-5.83252605938021e-102,-2.75563629864185e-108,-6.47123364699932e-115,-7.70979843709032e-122,-4.73075852781481e-129,-1.51146732430967e-136,-2.53449652097514e-144,-2.24349047165141e-152,-1.05281204966054e-160,-2.62758290722093e-169,-3.49614589632038e-178,-2.48459541792553e-187,-9.44457848577468e-197,-1.92250030421721e-206,-2.09751224221791e-216,-1.22749137801276e-226,-3.85540316770389e-237,-6.50231068796461e-248,-5.89063168414279e-259,-2.86676271653439e-270,-7.48989726864545e-282,-1.04692152749075e-293,-7.7173403705588e-306,-2.86825858167969e-318
"3",1.23488414236905e-35,-6.35952677260593e-37,-1.47504910761049e-36,-3.92779930062927e-36,1.32926990645609e-37,3.39026243843748e-38,2.92299211132333e-40,1.38680231997374e-41,1.7113323218851e-42,1.99939487581894e-43,7.40488283790752e-44,1.32584212262079e-44,1.15304542597394e-45,4.89606303449007e-47,1.00887901447096e-48,1.00180621401351e-50,4.75411360480623e-53,1.06765609712006e-55,1.12145924509533e-58,5.43274930761126e-62,1.19374835701625e-65,1.16837367298187e-69,5.01530886679486e-74,9.39152219131399e-79,7.75755506096773e-84,2.90241794447042e-89,5.08705641977506e-95,4.31447562188047e-101,1.81881890296008e-107,3.88992885959161e-114,4.2847518182563e-121,2.45747953420762e-128,7.39739999083425e-136,1.17546009058982e-143,9.90217875705579e-152,4.43641943663414e-160,1.05964885961338e-168,1.35183710718198e-177,9.22459949697422e-187,3.37075830188918e-196,6.60179380792342e-206,6.93541028391264e-216,3.91038721001814e-226,1.18389704545226e-236,1.92532630774474e-247,1.68201738321732e-258,7.88879824553911e-270,1.97945382099664e-281,2.61935978491819e-293,1.74759978304078e-305
"4",-1.60910779370249e-36,3.17004055327467e-38,1.31990524095336e-37,6.30930930656e-37,-3.83302771206811e-38,-1.75492419028371e-38,-2.7161199269639e-40,-2.31330083234711e-41,-5.12446066205972e-42,-1.07475293925013e-42,-7.14536657767579e-43,-2.29664775799049e-43,-3.58546305923964e-44,-2.73301548035865e-45,-1.01095176692111e-46,-1.80206862117972e-48,-1.53515918316035e-50,-6.18887199206345e-53,-1.16697047177289e-55,-1.01482765297984e-58,-4.00296387314444e-62,-7.03310177810369e-66,-5.41949824563056e-70,-1.82177039847506e-74,-2.7013370481352e-79,-1.81430423635021e-84,-5.70838129805175e-90,-8.69101892853612e-96,-6.5770083256365e-102,-2.52508991522009e-108,-4.99294884309581e-115,-5.14064496240905e-122,-2.77781334011517e-129,-7.92370140581611e-137,-1.19824942995022e-144,-9.63707689793359e-153,-4.132101265397e-161,-9.46301657222784e-170,-1.15917501805516e-178,-7.60370680316723e-188,-2.67335086412223e-197,-5.04153074124337e-207,-5.10277338219459e-217,-2.7732990986342e-227,-8.09624002421497e-238,-1.26971358356196e-248,-1.06901153456034e-259,-4.8151871639634e-271,-1.14382401297873e-282,-1.36994235279926e-294
"5",-5.58083477042852e-44,1.13466812540382e-37,8.48092155913565e-37,7.27743554865018e-36,-7.93660496551968e-37,-6.52300064956667e-37,-1.81231739619048e-38,-2.77085428580208e-39,-1.10185892359575e-39,-4.14842007470462e-40,-4.95102199874145e-40,-2.85667602184827e-40,-8.00586212120834e-41,-1.09547179846322e-41,-7.2742094504142e-43,-2.32767824037115e-44,-3.55960077916713e-46,-2.57605798504612e-48,-8.71967418448844e-51,-1.36122193676673e-53,-9.63861366593599e-57,-3.0400173415417e-60,-4.20517907675606e-64,-2.53755411114575e-68,-6.7545543706689e-73,-8.14374746260623e-78,-4.59963546414529e-83,-1.25712189677093e-88,-1.70777771851251e-94,-1.17699889430192e-100,-4.17784746750025e-107,-7.72163609006189e-114,-7.49015896570953e-121,-3.83541474182387e-128,-1.04118455936553e-135,-1.50321834919501e-143,-1.15702823266243e-151,-4.75662437243921e-160,-1.04595867231454e-168,-1.23164948780878e-177,-7.77345315872626e-187,-2.63158074593417e-196,-4.78141916582645e-206,-4.66491251201723e-216,-2.44470479153816e-226,-6.88248178418021e-237,-1.0402026412774e-247,-8.41094880670887e-259,-3.58663583108356e-270,-7.71128264218101e-282
"6",2.16646573814523e-44,-7.90710983740176e-38,-1.06093363722733e-36,-1.63425490318417e-35,3.1994287955695e-36,4.72042783607454e-36,2.35431438518984e-37,6.4616010543527e-38,4.61263088314593e-38,3.11746576208137e-38,6.67897899141869e-38,6.91787112123653e-38,3.48029325534311e-38,8.54880067876541e-39,1.01902783613864e-39,5.85355156585403e-41,1.60691924141416e-42,2.08758731103242e-44,1.26848555981128e-46,3.55476148074368e-49,4.51847990854845e-52,2.55829192109628e-55,6.35264796420993e-59,6.88148016634384e-63,3.28820971776738e-67,7.1167770452884e-72,7.21570438509051e-77,3.54020952278956e-82,8.63334654479744e-88,1.06812023322527e-93,6.80601533133209e-100,2.25811434305964e-106,3.93209398923316e-113,3.61444353510796e-120,1.76138010427992e-127,4.5650305890449e-135,6.30756647160853e-143,4.65492826421455e-151,1.83748971538247e-159,3.88413019145377e-168,4.4006506188456e-177,2.67433532131024e-186,8.72272607417733e-196,1.52768978776699e-205,1.43719054732619e-215,7.26322093862598e-226,1.97059961113649e-236,2.86036652144358e-247,2.18957706610939e-258,8.45076121544657e-270
"7",7.64012512508524e-45,-5.00567528424589e-38,-1.20567256104899e-36,-3.33393563372715e-35,1.17167218371045e-35,3.10321087936189e-35,2.77837356864567e-36,1.3688711779465e-36,1.75415270356754e-36,2.12822060337847e-36,8.18504901184013e-36,1.52187831856157e-35,1.37442029347033e-35,6.06045410160058e-36,1.29682770112008e-36,1.33724793488717e-37,6.5899602426397e-39,1.53684351168802e-40,1.67635804599935e-42,8.43311411638606e-45,1.92427050594489e-47,1.95578055189958e-50,8.7180844030018e-54,1.69529155473729e-57,1.45418044641841e-61,5.64986939602788e-66,1.02832415394018e-70,9.05683647299228e-76,3.96481557225439e-81,8.80562556797084e-87,1.00723138948726e-92,5.99899519465306e-99,1.87522217970192e-105,3.09432938448082e-112,2.70691388296684e-119,1.25939307542337e-126,3.12374591479487e-134,4.13831088992601e-142,2.93245458114176e-150,1.1127469484664e-158,2.26316271437488e-167,2.46894267238325e-176,1.44558500933374e-185,4.54488431581315e-195,7.67535136688617e-205,6.96320891016599e-215,3.39136722578671e-225,8.83678662297745e-236,1.2143088880639e-246,8.41319635104664e-258
"8",1.0328696959698e-46,-1.21479779271132e-39,-5.25251079650909e-38,-2.60730023334766e-36,1.64488753032665e-36,7.82055606749463e-36,1.25693621579739e-36,1.11168420793401e-36,2.55730489650094e-36,5.56965138130139e-36,3.84528832641558e-35,1.28346435344393e-34,2.08074900838132e-34,1.64703019045001e-34,6.32666630192166e-35,1.17111850005902e-35,1.03601956308821e-36,4.33721614532325e-38,8.49267407081174e-40,7.66940914929784e-42,3.1414945412048e-44,5.73174110160964e-47,4.58652502600074e-50,1.60104431524127e-53,2.46532120412641e-57,1.71945128173673e-61,5.6179485757396e-66,8.88219912324542e-71,6.98012540518456e-76,2.78289426232132e-81,5.71428633777714e-87,6.10952599683631e-93,3.42829346043667e-99,1.01551900804081e-105,1.59474853108293e-112,1.33191137662012e-119,5.93042727731489e-127,1.41035893241064e-134,1.79404813034414e-142,1.22206825762171e-150,4.46181015259591e-159,8.73780945623984e-168,9.18399113823342e-177,5.18330672746028e-186,1.5713705091323e-195,2.55909267300332e-205,2.23742075914764e-215,1.04655840265276e-225,2.58163315778759e-236,3.21086937169763e-247
"9",3.65358225705523e-47,-7.71389288898818e-40,-5.9873248213753e-38,-5.33523023695954e-36,6.04219290532904e-36,5.15694225424462e-35,1.48786706387826e-35,2.36226482341971e-35,9.7549694324834e-35,3.81388568104475e-34,4.7267738516939e-33,2.8321482448272e-32,8.24229441279041e-32,1.17118699983842e-31,8.07599176705313e-32,2.68360156724385e-32,4.26168560528733e-33,3.20273328457239e-34,1.12577194291809e-35,1.8250052867149e-37,1.34194521203966e-39,4.39522687116573e-42,6.31356644555465e-45,3.9563125792816e-48,1.09359624702012e-51,1.3692086412912e-55,8.03070683029714e-60,2.27925425071487e-64,3.21537588061709e-69,2.30123773003262e-74,8.48248373008351e-80,1.62803902076713e-85,1.63995351894747e-91,8.72042922349504e-98,2.45831919244474e-104,3.68568016606924e-111,2.94594448041215e-118,1.25766357446346e-125,2.87187263448888e-133,3.51174364482873e-141,2.3016256290489e-149,8.09137675480987e-158,1.52667841613572e-166,1.5467469744478e-175,8.41757936982424e-185,2.46088257603455e-194,3.86232484018076e-204,3.243103874359e-214,1.43611155510123e-224,3.20636190312806e-235
"10",7.63734748476329e-48,-2.89463308287407e-40,-4.03319289248783e-38,-6.45157269382204e-36,1.31160562958662e-35,2.00954256625308e-34,1.04079531287285e-34,2.96637489262104e-34,2.19897161126451e-33,1.54332587341782e-32,3.43361064211478e-31,3.6931628663487e-30,1.92942036200796e-29,4.92154242639921e-29,6.09210126705354e-29,3.63400515675912e-29,1.03596519815868e-29,1.39759322867435e-30,8.81874310254832e-32,2.5663545399201e-33,3.38753326024334e-35,1.99171106533721e-37,5.13589398530652e-40,5.77734294301059e-43,2.86675658237983e-46,6.44317155063615e-50,6.78391021163262e-54,3.45633117760132e-58,8.75287207561857e-63,1.12454431284968e-67,7.44105267748947e-73,2.56373073349597e-78,4.63591425745875e-84,4.42525165967228e-90,2.23941529386309e-96,6.02712598651109e-103,8.64795533867685e-110,6.62749820900078e-117,2.71673055817598e-124,5.96348942811065e-132,7.01630709792361e-140,4.42784677931656e-148,1.49973311986103e-156,2.72760795299808e-165,2.66468666785107e-174,1.39844720853748e-183,3.94003643920838e-193,5.93893478410724e-203,4.7209796666318e-213,1.89213774459991e-223
