"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",6.68446542247642e-36,-9.29828158119816e-47,-1.26303821502296e-50,-1.84548560314946e-54,1.40256876874882e-63,1.39981317600934e-69,-8.69850411098151e-75,-2.22902469551743e-81,2.71323678013689e-88,-7.16561079949008e-97,4.34784027925195e-105,1.3428733316953e-114,1.28893515623003e-124,-6.6563173662529e-135,-2.02350966315643e-145,-3.03703630871465e-156,-1.39466729035645e-164,-4.62366963295019e-174,-1.71241158327629e-184,-6.6216964802637e-196,-2.45107355501122e-208,-8.15206011925064e-222,-2.63476448408156e-236,-9.8412602026755e-252,-4.88966738177165e-268,-3.48840526148599e-285,-3.70404352096781e-303,-5.97819431467908e-322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",-1.10236009538688e-37,5.0982572560182e-45,3.53685317180765e-48,2.6393238938083e-51,-1.02444271843484e-59,-5.22173803988837e-65,1.65718527051555e-69,2.16881675363312e-75,-1.34827090522324e-81,1.81854549674772e-89,-5.63541656885512e-97,-8.88932899891176e-106,-4.35759122830163e-115,1.14929343777507e-124,1.78436492191071e-134,1.36775989798454e-144,3.2078347330702e-152,5.43137330694765e-161,1.02733598984616e-170,2.02887412617894e-181,3.83551482614516e-193,6.51502644968709e-206,1.07540511519864e-219,2.05145738509184e-234,5.2056215348437e-250,1.89671331809867e-266,1.02856639127175e-283,8.4384648756337e-302,1.0553242195169e-320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",-8.97839269150219e-39,2.12297505911797e-43,7.52179797841508e-46,2.86667732493288e-48,-5.6827073286594e-56,-1.47932698064759e-60,2.39773757896179e-64,1.60263614233444e-69,-5.08827674393304e-75,3.50509037078082e-82,-5.54731159825874e-89,-4.46896552758787e-97,-1.11883488877882e-105,1.50706480375512e-114,1.19499521226093e-123,4.67814676317175e-133,5.60347513864821e-140,4.84547776936939e-148,4.6808092395893e-157,4.72111991227726e-167,4.55821788961186e-178,3.95429519003027e-190,3.33354628121955e-203,3.24771849708793e-217,4.2089130814946e-232,7.83214192067371e-248,2.16916541815374e-264,9.08877343504439e-282,5.80533178921757e-300,5.67394868997004e-319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",1.85260143731171e-36,-3.44399179325918e-39,-6.23189846111957e-41,-1.21299497788012e-42,1.2280526000884e-49,1.63270358163797e-53,-1.35153191330913e-56,-4.61361208103519e-61,7.48097760731005e-66,-2.63189366336268e-72,2.12732168884584e-78,8.75264066446358e-86,1.11912753918666e-93,-7.6988701978182e-102,-3.11776030467874e-110,-6.23349891596167e-119,-3.81326496362526e-125,-1.68406025765725e-132,-8.30851583347906e-141,-4.27985473468225e-150,-2.11037953361885e-160,-9.35009577632695e-172,-4.02564014085918e-184,-2.00303402948423e-197,-1.32574926138297e-211,-1.25995047007893e-226,-1.78216161107841e-242,-3.81365302755526e-259,-1.24406890119024e-276,-6.20984352884421e-295,-4.7522480134625e-314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",-1.23069952879133e-42,4.0101396852872e-36,3.70594738559329e-37,3.68399787720793e-38,-1.9048414167489e-44,-1.29339354653631e-47,5.46803312838431e-50,9.53295176497809e-54,-7.89452787583264e-58,1.41846176615116e-63,-5.85549954329672e-69,-1.23041430160091e-75,-8.03476801631481e-83,2.82294388105162e-90,5.83847544843258e-98,5.96169990528491e-106,1.86258754205514e-111,4.20105943256357e-118,1.05853723238519e-125,2.78479482272357e-134,7.01303858889251e-144,1.58687679519784e-154,3.48934240060389e-166,8.86703562426815e-179,2.99731928104377e-192,1.45481099395506e-206,1.05094907856616e-221,1.14856943477248e-237,1.91355962437204e-254,4.87820121645765e-272,1.90660021896512e-290,1.14369595355633e-309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",-1.95634937679014e-42,3.25563246468646e-35,1.5365850623806e-35,7.80114260486831e-36,-2.06005662852515e-41,-7.14385302570784e-44,1.54246190303957e-45,1.37338466120422e-48,-5.8086130669468e-52,5.33022334302406e-57,-1.12375907534782e-61,-1.20598559107969e-67,-4.02203252670201e-74,7.21698776190388e-81,7.6231535970978e-88,3.97545471815186e-95,6.34329459919205e-100,7.30698980193642e-106,9.40301874256595e-113,1.26338540138599e-120,1.62491395256094e-129,1.87779784632535e-139,2.10877722613903e-150,2.73682517507292e-162,4.7247963932574e-175,1.17121911814875e-188,4.32110421045938e-203,2.41185841269063e-218,2.05219223979959e-234,2.67188179047478e-251,5.33333245498392e-269,1.63392113424489e-287,7.68741456790488e-307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",-1.11134708563087e-42,9.44539570681189e-35,2.27678950746297e-34,5.90345122070911e-34,-7.96174765867442e-39,-1.4100783640935e-40,1.55491506777877e-41,7.07075690437392e-44,-1.52731159559075e-46,7.15784181188719e-51,-7.70710701487414e-55,-4.22417385334554e-60,-7.1949326244972e-66,6.5935394605718e-72,3.55695850695518e-78,9.47354293218916e-85,7.72008329330559e-89,4.54179045729411e-94,2.98495220695568e-100,2.04827102854286e-107,1.34543717629961e-115,7.94078395508994e-125,4.55435347529484e-135,3.01873211842581e-146,2.66159581741519e-158,3.36960231625087e-171,6.34916660295988e-185,1.80990291699532e-199,7.86507738010942e-215,5.22978321358766e-231,5.33146534830092e-248,8.3418142029685e-266,2.00443146967554e-284,7.3992885050119e-304,4.94065645841247e-324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",-2.78733899802355e-43,1.20987839367091e-34,1.48945001512063e-33,1.97237967618084e-32,-1.35854627635826e-36,-1.22882705433344e-37,6.92047135542603e-38,1.60722395754041e-39,-1.77304446877235e-41,4.2438063975442e-45,-2.33370708157234e-48,-6.53248207455023e-53,-5.68256826869555e-58,2.65961043362237e-63,7.32756543285386e-69,9.96723784149967e-75,4.14825903694811e-78,1.24638571621898e-82,4.18354302272165e-88,1.46614109779969e-94,4.91850658363149e-102,1.48256827161822e-110,4.34269714724167e-120,1.47007290279496e-130,6.61969363217062e-142,4.28011975750045e-154,4.11884532980518e-167,5.99646810995437e-181,1.33083659973803e-195,4.51946378687656e-211,2.3530507978067e-227,1.88029812265197e-244,2.30748507298737e-262,4.35029929373341e-281,1.26024751629062e-300,5.60764508029815e-321,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",-9.42231470412376e-45,2.08877193359731e-35,1.31327816415984e-33,8.88183696126854e-32,-3.12441131770304e-35,-1.44333126111749e-35,4.1513793143826e-35,4.92396125432812e-36,-2.77421007971362e-37,3.39122627401063e-40,-9.52421163300642e-43,-1.36157762997796e-46,-6.04909396345761e-51,1.44592306197174e-55,2.03454991757337e-60,1.41339956720522e-65,3.00425981128671e-68,4.61004931649976e-72,7.90276077276002e-77,1.41446384680441e-82,2.42343194692659e-89,3.73072949834353e-97,5.58110368394917e-106,9.64896892465995e-116,2.21902100526952e-126,7.32758612545037e-138,3.60132223580061e-150,2.6777098432028e-163,3.03510842709339e-177,5.26402415259786e-192,1.39972833143559e-207,5.71242683355699e-224,3.58025801989379e-241,3.44727595854191e-259,5.10028273430747e-278,1.15965187829539e-297,4.05251417213532e-318,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",-4.48645561547989e-47,5.07946861550558e-37,1.63104321946318e-34,5.63369109916498e-32,-1.01213845075151e-34,-2.38791700083244e-34,3.50773773081141e-33,2.12486240195038e-33,-6.11416308111847e-34,3.81712101930486e-36,-5.4750701224015e-38,-3.99746384200964e-41,-9.07013925942953e-45,1.10726174824965e-48,7.95710245198949e-53,2.82314407320923e-57,3.06469361862773e-59,2.4017988639676e-62,2.10276813448453e-66,1.92214387024182e-71,1.68192395464075e-77,1.32236326543028e-84,1.01031917085103e-92,8.92074034582597e-102,1.04776259965804e-111,1.7670299000235e-122,4.43533509621324e-134,1.6842612519634e-146,9.7499332123956e-160,8.63628153166422e-174,1.17282754984232e-188,2.44451408714441e-204,7.82470022116611e-221,3.84778608832067e-238,2.90743898369347e-256,3.37617913050015e-275,6.02564975843978e-295,1.65306907671623e-315,0,0,0,0,0,0,0,0,0,0,0,0
