"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",6.43685341324702e-18,1.07526824501012e-19,1.8971299815646e-19,2.44941892166542e-19,1.57654357229964e-19,4.82140598033757e-20,6.94292204151712e-21,4.69707154825432e-22,1.48967334133243e-23,2.21036140618529e-25,1.53172258616285e-27,4.95029544773568e-30,7.4543172707622e-33,5.22816550473161e-36,1.70835307186087e-39,2.60326363133864e-43,1.8531012538405e-47,6.17632119036725e-52,9.66628084394286e-57,7.12724931098346e-62,2.48470979583837e-67,4.11095137765564e-73,3.24006141811727e-79,1.22096958146571e-85,2.20762570048784e-92,1.92155334610388e-99,8.07642039293309e-107,1.64379445794914e-114,1.62423922842099e-122,7.80963303521115e-131,1.83101569022422e-139,2.09721384985705e-148,1.17545163482701e-157,3.22866013989407e-167,4.35180504795716e-177,2.88175773578534e-187,9.38517086612503e-198,1.50463095628733e-208,1.18845757117837e-219,4.6283640469093e-231,8.89307069543542e-243,8.43561304780856e-255,3.95235565111136e-267,9.15124542919147e-280,1.04755894016005e-292,5.93087459838596e-306,1.66119692101202e-319,0,0,0
"2",7.62980023920282e-20,3.31955558193254e-21,1.13694710723852e-20,2.84961567441727e-20,3.56048573263248e-20,2.11376655933307e-20,5.90888664367976e-21,7.76015854767252e-22,4.77765200829936e-23,1.37615326832543e-24,1.85124407812445e-26,1.16143453260139e-28,3.39509192227987e-31,4.62245870899659e-34,2.93211766958196e-37,8.67365137610599e-41,1.19856891543704e-44,7.75485679083939e-49,2.3560438403322e-53,3.372298102197e-58,2.28223167529813e-63,7.33004170746564e-69,1.12149514367907e-74,8.20406415781224e-81,2.87958361728901e-87,4.86560386333563e-94,3.96993382510267e-101,1.56852668553161e-108,3.00866922859288e-116,2.80824584787145e-124,1.27813466258043e-132,2.84189032325766e-141,3.09207065763993e-150,1.64872045585183e-159,4.31394073955001e-169,5.54551979690106e-179,3.50596055171103e-189,1.09112594649413e-199,1.6730488479805e-210,1.2648309960798e-221,4.71777019542634e-233,8.6872383353128e-245,7.90134733310216e-257,3.55144740800313e-269,7.8919386677064e-282,8.67369255852025e-295,4.71623456081586e-308,1.269748709812e-321,0,0
"3",1.42430496086505e-19,8.10898070572983e-21,5.39146304033782e-20,2.62320789885254e-19,6.36261608847891e-19,7.33269365472935e-19,3.97916754846653e-19,1.01446533400345e-19,1.21244257817482e-20,6.77943530440969e-22,1.77039610763169e-23,2.15616279285813e-25,1.22354064051656e-27,3.23385059441777e-30,3.98206509456929e-33,2.28669884002917e-36,6.13408893548524e-40,7.70443666386645e-44,4.54391839941128e-48,1.26256330660856e-52,1.65869670928937e-57,1.03417431941303e-62,3.07160064288758e-68,4.36190747977215e-74,2.97205707072495e-80,9.74864481098764e-87,1.54408362132711e-93,1.18429394696391e-100,4.40983247210155e-108,7.99029514055232e-116,7.05966930374558e-124,3.0471589371231e-132,6.43601803746936e-141,6.6618510529186e-150,3.38377997590395e-159,8.44403938386044e-169,1.03632282710947e-178,6.26098944390114e-189,1.86361740841547e-199,2.73502113281201e-210,1.98036397710867e-221,7.07896917385643e-233,1.24988336181047e-244,1.09057056180617e-256,4.70448548801182e-269,1.00371983185429e-281,1.05945844312155e-294,5.53159683021222e-308,1.42290906002279e-321,0
"4",5.34218989937023e-19,1.97853427647315e-20,2.55366540361709e-19,2.4119601094608e-18,1.13567267850711e-17,2.54074482123386e-17,2.6765156233235e-17,1.32463070189076e-17,3.07325667923319e-18,3.33588618266273e-19,1.69109575348983e-20,3.998152446895e-22,4.40429347777468e-24,2.2597367650374e-26,5.40164830365934e-29,6.02153159779252e-32,3.13565386012342e-35,7.64537840630265e-39,8.75323662762526e-43,4.72140611143218e-47,1.20410740306263e-51,1.45737743758366e-56,8.40278190223691e-62,2.31640684802089e-67,3.06390703897001e-73,1.95093471224344e-79,5.99859241559061e-86,8.93137031183846e-93,6.45595845552152e-100,2.27081370307878e-107,3.89478144106054e-115,3.26342690955393e-123,1.33806153012878e-131,2.68864708288921e-140,2.65106909139916e-149,1.28424898024901e-158,3.05966650961473e-168,3.58840992325254e-178,2.07346106699854e-188,5.90717533850622e-199,8.3031759782282e-210,5.76168213097429e-221,1.97482587807045e-232,3.3449770483891e-244,2.80111896557026e-256,1.1601442050507e-268,2.37718754015563e-281,2.40940655243408e-294,1.20345003710513e-307,2.89028402817129e-321
"5",1.66831668656569e-21,2.48064537342914e-20,6.21534365688959e-19,1.13959706917585e-17,1.04163227886461e-16,4.52378910086019e-16,9.25105222558005e-16,8.8878397540116e-16,4.00295107608505e-16,8.43475984017264e-17,8.30060495246417e-18,3.80961374220938e-19,8.14662816827019e-21,8.11408484873485e-23,3.76519997073901e-25,8.1479576133147e-28,8.23663756186944e-31,3.89852995139239e-34,8.66464168198485e-38,9.07263304319279e-42,4.49166402007239e-46,1.05534419953495e-50,1.1812048628582e-55,6.32116350511872e-61,1.62307211817368e-66,2.00624985351285e-72,1.19748942024627e-78,3.46115044074238e-85,4.85672100615195e-92,3.31622496582542e-99,1.1041437517983e-106,1.7959592015525e-114,1.42948206259008e-122,5.5759192288729e-131,1.06729326738496e-139,1.00367244731593e-148,4.64191212293689e-158,1.05682948086939e-167,1.1854378911601e-177,6.55605865938023e-188,1.78890492761472e-198,2.40975206837646e-209,1.603363251618e-220,5.27201099370848e-232,8.57027520647579e-244,6.89057141531631e-256,2.74085939808467e-268,5.39278924904906e-281,5.22891370998958e-294,2.44229678595671e-307
"6",5.10180109282823e-22,1.47261683488823e-20,7.16259299220642e-19,2.54939130144251e-17,4.52355270482652e-16,3.81370963507327e-15,1.51396716370962e-14,2.82358969353808e-14,2.46868514363727e-14,1.00980656992829e-14,1.92910232541647e-15,1.718725471004e-16,7.13482806635861e-18,1.3795111383288e-19,1.24266412954619e-21,5.22028874949744e-24,1.02441462451748e-26,9.41253790055042e-30,4.06103300803154e-33,8.25466221537598e-37,7.93328896026221e-41,3.61843009223309e-45,7.86196913147775e-50,8.16738787834872e-55,4.07102738231839e-60,9.76857630612254e-66,1.13187375366954e-71,6.35077651219881e-78,1.72993409663253e-84,2.29303369223494e-91,1.4820816142055e-98,4.67975391468628e-106,7.23078267485646e-114,5.47523950983485e-122,2.03446614193165e-130,3.71397304940509e-139,3.3344461594101e-148,1.47370909441703e-157,3.20897030187796e-167,3.44516298708121e-177,1.82487974767337e-187,4.77198864812027e-198,6.16366483409437e-209,3.93426351599432e-220,1.24154354254954e-231,1.93777110023139e-243,1.4962840376465e-255,5.71505985001597e-268,1.0757190471808e-280,9.75362087656774e-294
"7",7.34669709271641e-23,4.11659764867611e-21,3.88686076095647e-19,2.68562430361982e-17,9.2505693334211e-16,1.51396725089042e-14,1.16671655912872e-13,4.22406451827603e-13,7.16926621965244e-13,5.69281728493448e-13,2.11117564295837e-13,3.65136849765529e-14,2.94247453011544e-15,1.10442050351015e-16,1.93127029510308e-18,1.57493949211373e-20,5.99963964606041e-23,1.07012912344508e-25,8.9628476434245e-29,3.53662367680731e-32,6.59816035417437e-36,5.84211132264196e-40,2.46411529902239e-44,4.96927373910231e-49,4.80832497822772e-54,2.23975807639567e-59,5.03788067186957e-65,5.48727550803235e-71,2.90161337050119e-77,7.46621462772863e-84,9.36789907035743e-91,5.74213169291138e-98,1.72232652540493e-105,2.53170647439879e-113,1.82616807474614e-121,6.47156140806104e-130,1.12790906469973e-138,9.67703229216833e-148,4.09049789569742e-157,8.52511600905147e-167,8.76606779965405e-177,4.44989767758204e-187,1.11575717094189e-197,1.38252873470087e-208,8.46940157829404e-220,2.56609832814809e-231,3.84649268712069e-243,2.85201430882397e-255,1.04210102920977e-267,1.83424306569362e-280
"8",4.97023661064021e-24,5.40634057315384e-22,9.90932360533761e-20,1.32913879847612e-17,8.88737670383897e-16,2.82359013660411e-14,4.22406493785878e-13,2.96876496611162e-12,9.78137771783967e-12,1.50776138509258e-11,1.08544991064357e-11,3.64435884777497e-12,5.7010943833659e-13,4.15393817453314e-14,1.41009598951528e-15,2.23228447582491e-17,1.65078639578195e-19,5.71586479662631e-22,9.29334001665648e-25,7.11860199759823e-28,2.57815353499393e-31,4.43134729908142e-35,3.62833212771722e-39,1.42042719761445e-43,2.66808658832895e-48,2.41261080039363e-53,1.05345037468232e-58,2.22742464490158e-64,2.28647178900973e-70,1.14210707753665e-76,2.78181730645075e-83,3.31008845344881e-90,1.92735622090314e-97,5.49971140993237e-105,7.70100391213397e-113,5.29780200613288e-121,1.79242413465425e-129,2.98530656034826e-138,2.44964396366117e-147,9.91076413890557e-157,1.97829802547971e-166,1.94947183933377e-176,9.48891763796006e-187,2.28244964986445e-197,2.71431229526046e-208,1.59646878434596e-219,4.64549607702089e-231,6.68650133574473e-243,4.74282509911068e-255,1.62055665867096e-267
"9",1.57630751981878e-25,3.32849058668598e-23,1.18431708016424e-20,3.08371594256724e-18,4.00274264607335e-16,2.46868560558519e-14,7.16926714834996e-13,9.78137801330759e-12,6.25610898455082e-11,1.87204783336561e-10,2.61621939625805e-10,1.70516165124995e-10,5.17824629319206e-11,7.32427343740454e-12,4.82651041341913e-13,1.48324932101573e-14,2.12929360333325e-16,1.43122088400097e-18,4.51727565840158e-21,6.71706463844312e-24,4.72251821287151e-27,1.57572600321602e-30,2.50456321044092e-34,1.90337337952591e-38,6.94040766064118e-43,1.21829476323664e-47,1.03266448395499e-52,4.23865655408499e-58,8.44638948994501e-64,8.19015514854591e-70,3.87252258861357e-76,8.94509594998438e-83,1.01108447769335e-89,5.60073988578857e-97,1.52241444254264e-104,2.03311209397737e-112,1.33532331628626e-120,4.31732391670717e-129,6.87715345494792e-138,5.40123330905306e-147,2.09294378250894e-156,4.00371228583429e-166,3.78305469893851e-176,1.76647379282858e-186,4.07798717662392e-197,4.65614527464261e-208,2.63013619309942e-219,7.34894715915461e-231,1.01191340133371e-242,6.71197772846358e-255
"10",2.33890826845615e-27,9.5873729969748e-25,6.62217010904099e-22,3.34723924683919e-19,8.43432062390754e-17,1.00980675577195e-14,5.692818004817e-13,1.50776142598759e-11,1.87204782759186e-10,1.08745081899793e-09,2.95016898866359e-09,3.73265918828049e-09,2.20047041270767e-09,6.04195420233785e-10,7.7290510562237e-11,4.61091520798501e-12,1.28495694536744e-13,1.67663968144912e-15,1.02728209400175e-17,2.96532774754963e-20,4.04712729410808e-23,2.62140409771463e-26,8.08845023880485e-30,1.19326626039915e-33,8.44653137603409e-38,2.87823232028299e-42,4.73601160654552e-47,3.77365153933294e-52,1.45977095969756e-57,2.74780426489797e-63,2.52213119194302e-69,1.13093791976574e-75,2.48153985561696e-82,2.66845119399562e-89,1.40807829814326e-96,3.65035651773141e-104,4.65415068614039e-112,2.92111524110464e-120,9.03280887602761e-129,1.377168537316e-137,1.0359332369341e-146,3.8469550683534e-156,7.05629815326576e-166,6.39619285534422e-176,2.86642284276561e-186,6.35332353035659e-197,6.96679026054983e-208,3.77885016597534e-219,1.01008505188547e-230,1.3006042006696e-242
