"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",7.97439466938441,0.272168418562222,0.127004636063822,0.048096266586229,0.00728774972377734,0.00174706752490682,0.000311847269096253,4.33492935692274e-05,4.85650491878883e-06,4.4420335010599e-07,3.30613076703047e-08,1.98749881641583e-09,9.58887425341921e-11,3.69037374065469e-12,1.12546317916127e-13,2.70104472009098e-15,5.06707312565919e-17,7.3848703622862e-19,8.31639024569047e-21,7.20283641787856e-23,4.7789257932583e-25,2.42090254466641e-27,9.33792450344913e-30,2.7362801415395e-32,6.07979984337791e-35,1.02272205725397e-37,1.30077062524626e-40,1.24952980032838e-43,9.05730644428257e-47,4.95020998580997e-50,2.03862111910394e-53,6.32259903768629e-57,1.47602362817954e-60,2.5926891117637e-64,3.42540423024693e-68,3.40284586322075e-72,2.54111009222712e-76,1.42610479842105e-80,6.01359729827752e-85,1.90498162899365e-89,4.5326100499956e-94,8.0992040432111e-99,1.08671271218556e-103,1.09474613924698e-108,8.27925587433286e-114,4.70008552477437e-119,2.00270809580238e-124,6.40454240505432e-130,1.53695948430977e-135,2.76694539423662e-141
"2",0.280308593109412,0.0215707455042849,0.0127971423153211,0.00616127781375293,0.00118691296960381,0.00036174381717954,8.20917230818121e-05,1.45079299843967e-05,2.06639460672648e-06,2.4029086265328e-07,2.27374341524044e-08,1.73777804515693e-09,1.06591126256207e-10,5.21542589760137e-12,2.02216560501165e-13,6.16997213971877e-15,1.47154856796197e-16,2.72663060204845e-18,3.90377060322516e-20,4.29852028891625e-22,3.62586571918821e-24,2.33520351991479e-26,1.14515372012817e-28,4.266187989466e-31,1.2051322600973e-33,2.57732420909261e-36,4.16752440451239e-39,5.08967497380024e-42,4.6903850092275e-45,3.25911025951286e-48,1.70638863798147e-51,6.72826476069377e-55,1.99694793468597e-58,4.45953807495912e-62,7.49061131631759e-66,9.46049172997104e-70,8.98174899626401e-74,6.40847765650863e-78,3.43560934727739e-82,1.38364993047685e-86,4.18552356482883e-91,9.50845103764169e-96,1.62199003546371e-100,2.07736522341881e-105,1.99736180062224e-110,1.44157484610443e-115,7.80935361920706e-121,3.17505710773771e-126,9.68705699670463e-132,2.217154841704e-137
"3",0.125920482440369,0.0165317107064598,0.0124690004837586,0.0076323000231781,0.00186925916215099,0.000724298790173249,0.000208969072184567,4.69519997522749e-05,8.50213317019476e-06,1.2569497045524e-06,1.5121264087264e-07,1.46928806291959e-08,1.14577593230158e-09,7.12745401114584e-11,3.51339811546033e-12,1.36288699694063e-13,4.13254171044037e-15,9.73497745635927e-17,1.77198048670268e-18,2.48061649294113e-20,2.66022495092963e-22,2.1781981407138e-24,1.35800833306577e-26,6.43197926301255e-29,2.30996478541329e-31,6.2806660262076e-34,1.291162188199e-36,2.00474295962545e-39,2.34878433158989e-42,2.07491209186439e-45,1.38116193022709e-48,6.92365981926177e-52,2.61255469155022e-55,7.41744825558515e-59,1.58397350060347e-62,2.54337477677023e-66,3.06989529977278e-70,2.78473276344113e-74,1.89800969257191e-78,9.71822335057031e-83,3.73745904260447e-87,1.07944973843796e-91,2.34102921212253e-96,3.81186497324451e-101,4.65958664005113e-106,4.27556829138462e-111,2.94467751959801e-116,1.52208951173053e-121,5.90400215816343e-127,1.71797435721831e-132
"4",0.0478970816692172,0.00833601744619638,0.00799352725474769,0.00622054236960048,0.00193690507353912,0.000954163015432662,0.0003499877418453,9.99748850898218e-05,2.30160463117569e-05,4.32600204190784e-06,6.61641775434793e-07,8.17349442162292e-08,8.10338579829914e-09,6.40866019287835e-10,4.01630036783878e-11,1.98072721717399e-12,7.63568611261353e-14,2.28681889440982e-15,5.29202341363899e-17,9.41864545310935e-19,1.28414239722664e-20,1.33677466353464e-22,1.05956903447588e-24,6.38024650956123e-27,2.91315895653477e-29,1.00700244252928e-31,2.63191356793579e-34,5.19535849984416e-37,7.73866354725813e-40,8.69137575108839e-43,7.35528361950939e-46,4.68766477046455e-49,2.24880716272324e-52,8.11722063374802e-56,2.20377238770756e-59,4.49878445425819e-63,6.90358044522739e-67,7.96159993359903e-71,6.89892227914832e-75,4.49092397117495e-79,2.19579235659533e-83,8.06275108859577e-88,2.22307267399827e-92,4.6020394359694e-97,7.15197881245475e-102,8.34331567314484e-107,7.30547685402827e-112,4.80083767426523e-117,2.36749644907127e-122,8.75841473016507e-128
"5",0.00203768058272685,0.00291877749030061,0.00355833501087228,0.00352048603892684,0.00139363392854047,0.000872828569296593,0.00040702886436402,0.000147818669328183,4.32648395810824e-05,1.03384896029568e-05,2.01029269175531e-06,3.15725853718146e-07,3.97955848720413e-08,4.00130466740775e-09,3.18806055108598e-10,1.99889989816939e-11,9.79671432229131e-13,3.73018308926802e-14,1.09745351609638e-15,2.48324075066775e-17,4.30436967053051e-19,5.69666372261034e-21,5.74060461632385e-23,4.39472634332516e-25,2.55108283846719e-27,1.12113239805516e-29,3.72532358587883e-32,9.34918815686852e-35,1.77047722661353e-37,2.52801068838447e-40,2.7199179538963e-43,2.20383424191133e-46,1.34412790162439e-49,6.1682466472112e-53,2.12905616391974e-56,5.52562702268356e-60,1.07801988356334e-63,1.58058818891452e-67,1.74126806134626e-71,1.44107334348542e-75,8.95792972900183e-80,4.18182288602476e-84,1.4658922307801e-88,3.85802216914221e-93,7.62266093713427e-98,1.13053772527465e-102,1.25852240853202e-107,1.05146641581362e-112,6.59225078163762e-118,3.10052966177071e-123
"6",0.000420339759026622,0.000765475600989197,0.00118643294592188,0.00149233041699492,0.000751064224428867,0.000598030478247988,0.000354556599489884,0.000163702628934493,6.09154509324942e-05,1.85061237203836e-05,4.5749216418495e-06,9.13483090714172e-07,1.46383207311077e-07,1.87121628110722e-08,1.89546132914622e-09,1.51093371845915e-10,9.41457699309572e-12,4.55739337461551e-13,1.70466287209822e-14,4.90385019541928e-16,1.08067207938958e-17,1.81832266524838e-19,2.32956055888521e-21,2.26732724208277e-23,1.67329660742989e-25,9.34913158621516e-28,3.94952049502908e-30,1.26014427370999e-32,3.03391015142738e-35,5.50753513354231e-38,7.5335586638174e-41,7.76049275000944e-44,6.01751203440632e-47,3.51078393764097e-50,1.54061985201453e-53,5.08341936155928e-57,1.26086080163268e-60,2.35030976292488e-64,3.29183460734754e-68,3.46357389380409e-72,2.73723462006727e-76,1.62456094435002e-80,7.23999750460543e-85,2.42251844545331e-89,6.08520167672617e-94,1.14741212041126e-98,1.62390764762743e-103,1.72489149297938e-108,1.37488411778826e-113,8.22118205248643e-119
"7",6.97207645265129e-05,0.00016142062423937,0.000318080370318429,0.00050865657360532,0.000325463841648995,0.000329469327207664,0.000248338037429496,0.000145773749744398,6.89631571058474e-05,2.66361304469233e-05,8.37153952557776e-06,2.12514312762952e-06,4.3295716485566e-07,7.03628886176181e-08,9.06151057159214e-09,9.18326435540669e-10,7.27475689694154e-11,4.4771350036932e-12,2.12906135050296e-13,7.78668970858155e-15,2.18160241350105e-16,4.66679395663237e-18,7.60129661240933e-20,9.40575974444558e-22,8.825079081753e-24,6.2687788328987e-26,3.36683666138459e-28,1.36572715992356e-30,4.18034756143877e-33,9.64790353878955e-36,1.67780641706734e-38,2.19733854674709e-41,2.16616056173689e-44,1.60673324592615e-47,8.9639859529508e-51,3.76034434677101e-54,1.18578191207582e-57,2.81014534471661e-61,5.00388920577043e-65,6.6936058605627e-69,6.72533160869263e-73,5.07462187683027e-77,2.87522672067713e-81,1.22311353498488e-85,3.9060757034185e-90,9.36377809575696e-95,1.68484132964778e-99,2.27523081364599e-104,2.30566271105233e-109,1.75279024047096e-114
"8",9.58142468845309e-06,2.82028483574404e-05,7.06540104733919e-05,0.000143645032436608,0.000116851609009696,0.000150387915525486,0.000144114339485099,0.000107549718120533,6.46864155690233e-05,3.17638462177549e-05,1.26920941172275e-05,4.09620927899676e-06,1.06097434696792e-06,2.19214669373991e-07,3.5891578114059e-08,4.624396239656e-09,4.65738819608733e-10,3.64409880468699e-11,2.20315031959723e-12,1.02441239058891e-13,3.64891342670647e-15,9.9236761068711e-17,2.05498016414006e-18,3.23280743294027e-20,3.85629776631024e-22,3.48257840858956e-24,2.37796798332251e-26,1.22634849354805e-28,4.77230670756021e-31,1.40028007399665e-33,3.09592055392943e-36,5.1547894499438e-39,6.46056650436144e-42,6.09241862476643e-45,4.32128713422434e-48,2.30465315334728e-51,9.23950657988769e-55,2.78380455293937e-58,6.30207610300784e-62,1.07177122935853e-65,1.3690574150332e-69,1.31334143533606e-73,9.4604556689186e-78,5.1164970898614e-82,2.07736406917158e-86,6.33124431829899e-91,1.44831479568398e-95,2.48653983439921e-100,3.2035516939656e-105,3.09622068070727e-110
"9",1.08358551516576e-06,4.05501134065757e-06,1.29152233025023e-05,3.33827194818648e-05,3.45248498442326e-05,5.64905810146425e-05,6.88234275504415e-05,6.52986764693711e-05,4.99314512517358e-05,3.11716784349302e-05,1.58353033300084e-05,6.49742447699362e-06,2.13958717840751e-06,5.62031576890448e-07,1.16990247037624e-07,1.91636461609782e-08,2.45375694840845e-09,2.44087336440242e-10,1.87613996400043e-11,1.10907758406394e-12,5.02246205944685e-14,1.73656757056468e-15,4.57185807241387e-17,9.14388892484051e-19,1.3867164483879e-20,1.59215010366056e-22,1.38214978196605e-24,9.06210330524565e-27,4.48342030347251e-29,1.67248417071814e-31,4.70113708021251e-34,9.95153417278452e-37,1.58568058713241e-39,1.90108197988754e-42,1.71431345181817e-45,1.16238148209625e-48,5.92458436180218e-52,2.26941462779907e-55,6.53167778890358e-59,1.41224226309343e-62,2.29347901905237e-66,2.79715643906121e-70,2.56163450871101e-74,1.76134261110293e-78,9.09179691531907e-83,3.5228340374413e-87,1.02454745403087e-91,2.23630241264763e-96,3.6629656657883e-101,4.50089642339445e-106
"10",9.96593609200369e-08,4.7414697075479e-07,1.91994517252791e-06,6.30920473570025e-06,8.29565545700772e-06,1.72568271696366e-05,2.67292766413063e-05,3.22419490382048e-05,3.13441933516752e-05,2.48776352713661e-05,1.60672405591143e-05,8.38150772383157e-06,3.50894770898024e-06,1.17185432245106e-06,3.10119137978213e-07,6.45837195696628e-08,1.05133822013444e-08,1.32960352863264e-09,1.29929613189686e-10,9.76496832583086e-12,5.62200951295192e-13,2.47134056732641e-14,8.27179288477057e-16,2.10331274750976e-17,4.05533353748086e-19,5.91955311878978e-21,6.53320103778027e-23,5.44585309384198e-25,3.42540847161042e-27,1.62454194656943e-29,5.80547592835341e-32,1.56239540353165e-34,3.16506492763291e-37,4.82429392349815e-40,5.53081519822095e-43,4.76775134616185e-46,3.08950429262342e-49,1.50456434289848e-52,5.50538465643099e-56,1.51334560526217e-59,3.12456589085246e-63,4.84482029144783e-67,5.64084389999249e-71,4.93101993752485e-75,3.23600097026164e-79,1.59410564956284e-83,5.89417458931324e-88,1.63563897224612e-92,3.40608722707945e-97,5.32093479468062e-102
