"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",-1.90983151727979e-17,-2.0591387757739e-19,-5.92935707715798e-21,-2.77643114360822e-22,-5.32447670488457e-25,-1.15081220170738e-27,-8.77389845700307e-31,7.11855201868504e-34,7.92835283260797e-36,1.06936793691934e-38,4.69405629916323e-42,6.89562510204896e-46,3.42469327107701e-50,5.80718925651192e-55,3.3911448463725e-60,6.86941765342534e-66,4.85589630093192e-72,1.2035362844579e-78,1.04981206148225e-85,3.23210693239895e-93,3.52006409653665e-101,1.35846112642805e-109,1.86011750801697e-118,9.04606054989043e-128,1.5636185721741e-137,9.61174707356277e-148,2.10214507808698e-158,1.63627259855801e-169,4.53410002739986e-181,4.47355892404722e-193,1.57183352032021e-205,1.96698552467865e-218,8.76749820454361e-232,1.39206720764383e-245,7.87368877034427e-260,1.58653003038736e-274,1.13889835923128e-289,2.91272750229986e-305,2.65313251816749e-321,0,0,0,0,0,0,0,0,0,0,0
"2",-1.09620876586031e-18,-1.4096880812719e-19,-1.07648039828944e-20,-1.33673875155169e-21,-6.7982584672158e-24,-3.89660433118742e-26,-7.87835533700751e-29,1.69510160072638e-31,5.00666058234517e-33,1.79082624085351e-35,2.084662216702e-38,8.12123640937542e-42,1.06962440032467e-45,4.80990735077741e-50,7.44866051987622e-55,4.00140833932903e-60,7.50107425679778e-66,4.93031149983228e-72,1.14048043481869e-78,9.31157427549592e-86,2.68936081476344e-93,2.7523700686413e-101,9.99450067479271e-110,1.28896558370138e-118,5.90845267598416e-128,9.63177625243979e-138,5.58634619903418e-148,1.15313971238954e-158,8.47380524160675e-170,2.21718357828775e-181,2.06593259327481e-193,6.85601683196259e-206,8.10415067303679e-219,3.41234657889659e-232,5.11837716688489e-246,2.73503852628167e-260,5.20668409536114e-275,3.53132124960004e-290,8.53297970414794e-306,7.36157812303457e-322,0,0,0,0,0,0,0,0,0,0
"3",-2.41963611944079e-18,-1.31718769212377e-18,-2.66742288141434e-19,-8.78402158738385e-20,-1.184692498312e-21,-1.80075813373684e-23,-9.65529952772391e-26,5.50918086242727e-28,4.31519629646202e-29,4.09323770181473e-31,1.26360204866982e-33,1.30544292605147e-36,4.55961472747541e-40,5.43744237293991e-44,2.23304383065584e-48,3.18121520232193e-53,1.58148381272387e-58,2.75661906471889e-64,1.69103012934907e-70,3.66140464489317e-77,2.80436668397521e-84,7.6112092639832e-92,7.32941053331749e-100,2.50674627283098e-108,3.04722082541095e-117,1.31733934066642e-126,2.02619030421151e-136,1.10916313148891e-146,2.16148927281954e-157,1.4998138843239e-168,3.7060645026235e-180,3.26159333940279e-192,1.02241344820523e-204,1.14165081437892e-217,4.54123056050476e-231,6.4352559487081e-245,3.24881300553833e-259,5.84334897974431e-274,3.74443606149954e-289,8.54881542031447e-305,6.95644429344475e-321,0,0,0,0,0,0,0,0,0
"4",-4.65317686997778e-18,-4.04333955609654e-18,-2.17142849592287e-18,-1.89630489009016e-18,-6.78237063664778e-20,-2.73396138161153e-21,-3.8874413659759e-23,5.88228741490799e-25,1.22185839475921e-25,3.07360742232499e-27,2.51624463539306e-29,6.89384540140391e-32,6.38547058158759e-35,2.0193915651604e-38,2.19929875436857e-42,8.30885423121682e-47,1.09540306492596e-51,5.06345629922022e-57,8.23725984913712e-63,4.72977257633967e-69,9.60701435778373e-76,6.91462151912681e-83,1.76581380887249e-90,1.60157524940528e-98,5.16299861447293e-107,5.91911601771171e-116,2.41435169620307e-125,3.5049097216176e-135,1.81132176361167e-145,3.3330436442018e-156,2.18412612996957e-167,5.09748154816707e-179,4.23753710616039e-191,1.25481979644594e-203,1.32367916392754e-216,4.97434743689025e-230,6.65972223523411e-244,3.17654004884096e-258,5.39808899280269e-273,3.26829064717993e-288,7.05021275220049e-304,5.41891200358679e-320,0,0,0,0,0,0,0,0
"5",-9.16836139265683e-20,-3.99735683784952e-18,-5.69297592318753e-18,-1.31844825348853e-17,-1.25053990088772e-18,-1.33680949005942e-19,-5.04083063460417e-21,2.02276581363256e-22,1.1142466865898e-22,7.43310008653341e-24,1.61374740285177e-25,1.17247973246116e-27,2.88003537901043e-30,2.41538609764731e-33,6.97607855902861e-37,6.98923083491151e-41,2.44356168139407e-45,2.99541865724995e-50,1.2922732087785e-55,1.96776369351679e-61,1.0599423242701e-67,2.02312780025825e-74,1.37012731068955e-81,3.29552395692271e-89,2.81734636809571e-97,8.56556858655897e-106,9.26533204944348e-115,3.56696132523643e-124,4.88852994527659e-134,2.38552946448242e-144,4.14555431021118e-155,2.56579330119646e-166,5.65640670882685e-178,4.44190827550653e-190,1.24260205423985e-202,1.23835898681366e-215,4.39670847459023e-229,5.56143671653012e-243,2.50630438914159e-257,4.02416292691896e-272,2.30206836806342e-287,4.69209293703534e-303,3.40742253967333e-319,0,0,0,0,0,0,0
"6",-1.09912897577674e-20,-1.27084025252356e-18,-4.79974870942207e-18,-2.94783623332898e-17,-7.41479121522384e-18,-2.1019965719109e-18,-2.10196606056439e-19,2.23681624704403e-20,3.26758703927098e-20,5.78065304905705e-21,3.32815534956511e-22,6.41260497643898e-24,4.17722699829245e-26,9.29047514534596e-29,7.11580168864806e-32,1.89061442781586e-35,1.75290346574833e-39,5.69840528426842e-44,6.51945443356851e-49,2.6326369160535e-54,3.7606365942048e-60,1.9035468120779e-66,3.41871011393004e-73,2.18065487526294e-80,4.94383327900171e-88,3.98603291473536e-96,1.1434226259778e-104,1.16736133378487e-113,4.2427387788829e-123,5.49052544711317e-133,2.5303048202328e-143,4.15310595082615e-154,2.42802459910295e-165,5.05642011032325e-177,3.75116995246129e-189,9.91385000753258e-202,9.33436038412779e-215,3.13115814850941e-228,3.74207879890854e-242,1.59336685770809e-256,2.41723876952806e-271,1.30655907104506e-286,2.51621624760393e-302,1.72654698398744e-318,0,0,0,0,0,0
"7",-4.24128462920674e-22,-1.30047148405445e-19,-1.30253524023697e-18,-2.12146291438246e-17,-1.41511628320206e-17,-1.0638644944979e-17,-2.82124706936365e-18,7.96171889990592e-19,3.08435818242543e-18,1.44702373805956e-18,2.20934455760193e-19,1.12889996432975e-20,1.95015961186442e-22,1.15022053655602e-24,2.33629746521009e-27,1.64614610762523e-30,4.04747822840929e-34,3.48932133364399e-38,1.05866851171043e-42,1.13370697490621e-47,4.29469502835433e-53,5.76495117066664e-59,2.74571501391355e-65,4.64452418238899e-72,2.79241021682926e-79,5.97059196691679e-87,4.5419714866143e-95,1.22971376932659e-103,1.18523955096304e-112,4.06756836021831e-122,4.97112752852848e-132,2.16379534634879e-142,3.35472839158009e-153,1.85271467605436e-164,3.64496399566099e-176,2.55464145744622e-188,6.37871628846547e-201,5.67433321488033e-214,1.79838996395395e-227,2.030709644346e-241,8.1698242313093e-256,1.17107125605541e-270,5.98085597412013e-286,1.08831567095999e-301,7.05595405517364e-318,0,0,0,0,0
"8",-5.28594199543235e-24,-4.29820295357142e-21,-1.14165971482864e-19,-4.93109930641544e-18,-8.72291303798925e-18,-1.73906910400119e-17,-1.22301773718473e-17,9.15291827741062e-18,9.40326468707996e-17,1.16990506256971e-16,4.73695791237738e-17,6.41878226480536e-18,2.94054921578356e-19,4.59939302323353e-21,2.4774714159896e-23,4.62924327287425e-26,3.018472725989e-29,6.90088532244782e-33,5.55245376203605e-37,1.57683729525255e-41,1.58408873011032e-46,5.63902367468006e-52,7.12237528374106e-58,3.19500640571721e-64,5.09413949331527e-71,2.88848500351417e-78,5.82717738052111e-86,4.18387769696709e-94,1.06940495025557e-102,9.73267060686358e-112,3.15437396408972e-121,3.64112482178772e-131,1.49705535497625e-141,2.19255323408373e-152,1.14392080210735e-163,2.12614941193738e-175,1.40785595121909e-187,3.32124474512197e-200,2.79145753288412e-213,8.35903408896736e-227,8.91830021854586e-241,3.39011012629163e-255,4.59150370602449e-270,2.2156828069856e-285,3.80951407049476e-301,2.33357135250302e-317,0,0,0,0
"9",-2.14063137394448e-26,-4.61601829528988e-23,-3.25145980668514e-21,-3.72431642187524e-19,-1.74713102589503e-18,-9.237232667773e-18,-1.72273671221599e-17,3.41906099064092e-17,9.31508954847716e-16,3.07340719456505e-15,3.30012294241436e-15,1.18588983717831e-15,1.44072557581733e-16,5.97605306804838e-18,8.53657550170135e-20,4.23005629800999e-22,7.31449772867185e-25,4.43468905271259e-28,9.46246800409498e-32,7.12635522462978e-36,1.89854632105334e-40,1.79228356052376e-45,6.0032823061293e-51,7.14162030616489e-57,3.01965249356841e-63,4.5406430305003e-70,2.42921856631183e-77,4.6253909274103e-85,3.13525423795677e-93,7.56699956137978e-102,6.50378195795317e-111,1.99090011078514e-120,2.17076530928875e-130,8.43113940297651e-141,1.16652269140277e-151,5.74979186617429e-163,1.00966586673607e-174,6.31657189771473e-187,1.40790288464718e-199,1.11804396031054e-212,3.16334079099238e-226,3.1888846491238e-240,1.14535747038946e-254,1.46573281607436e-269,6.68309932320976e-285,1.08565177665346e-300,6.28180753536145e-317,0,0,0
"10",-2.84041802899492e-29,-1.6243103279303e-25,-3.03417750389667e-23,-9.21659016872618e-21,-1.14659565149221e-19,-1.60763631186441e-18,-7.95107670408204e-18,4.18480274906588e-17,3.02354396890847e-15,2.64551645958768e-14,7.53323635621574e-14,7.17888393035422e-14,2.31288990313252e-14,2.54418829238802e-15,9.63783751414917e-17,1.26649410262567e-18,5.80767952974452e-21,9.33775378082184e-24,5.28378062993908e-27,1.05528297360406e-30,7.45562012649636e-35,1.86651036410152e-39,1.65795813927975e-44,5.23049343218803e-50,5.86494550307537e-56,2.33875907142272e-62,3.31814855930042e-69,1.67547822778692e-76,3.01178674828721e-84,1.92768591147222e-92,4.39379355488569e-101,3.56684514924591e-110,1.03135639813849e-119,1.0622904438976e-129,3.89772599717638e-140,5.09484937246641e-151,2.37256439754457e-162,3.93625194670021e-174,2.32667248194821e-186,4.89984728574085e-199,3.67646771208262e-212,9.82844234854101e-226,9.36155616996398e-240,3.17704170603109e-254,3.84155566214344e-269,1.65493473788162e-284,2.53942883014426e-300,1.38600601236423e-316,0,0
