"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",-4.68272353299863e-19,-2.14861993517837e-20,-3.19752054557189e-21,-1.2071645194726e-22,-1.5755231601388e-25,7.54964403234831e-27,8.75244448466276e-29,2.66310748781309e-31,2.54569051947843e-34,7.75427722403121e-38,7.54173891392953e-42,2.34574678908207e-46,2.33669364540156e-51,7.46590268461801e-57,7.66250932509743e-63,2.53001362515174e-69,2.69148166028026e-76,9.23897683475439e-84,1.02483978231757e-91,3.67881336892713e-100,4.27936949906122e-109,1.61528809011208e-118,1.98093859083066e-128,7.90256501150573e-139,1.02668514129173e-149,4.34854739494195e-161,6.01066997819569e-173,2.71378117040565e-185,4.00560612751026e-198,1.93435951749875e-211,3.05830363464846e-225,1.58402113875051e-239,2.6890735188208e-254,1.49688864462523e-269,2.73313565700466e-285,1.63722592867763e-301,3.21785943267696e-318,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",-3.2209164084675e-20,-5.07221502382074e-21,-2.24255297041811e-21,-2.5152846470415e-22,-9.75296757776569e-25,1.3884484979836e-25,4.78215860659174e-27,4.32289431426633e-29,1.22767337926041e-31,1.1109892794401e-34,3.21019452345791e-38,2.96641765790566e-42,8.77898396593243e-47,8.33328268256615e-52,2.54094998552112e-57,2.49252355915211e-63,7.87769474069588e-70,8.03383508448916e-77,2.64756310887193e-84,2.82351053630431e-92,9.75781892717462e-101,1.094244241899e-109,3.98681976658511e-119,4.72514324306698e-129,1.8237927683899e-139,2.29495266114916e-150,9.42418316313705e-162,1.26411612426628e-173,5.54334233963435e-186,7.95301795975028e-199,3.73565430935284e-212,5.74828594708695e-226,2.89915461953048e-240,4.79456827233429e-255,2.60083327322443e-270,4.62861703750213e-286,2.7027178720559e-302,5.17761034215793e-319,0,0,0,0,0,0,0,0,0,0,0,0
"3",-2.19611024775893e-20,-4.54240046804786e-21,-5.96652940295421e-21,-1.98818835684244e-21,-2.29033219455729e-23,9.6868546579433e-24,9.91215981843006e-25,2.66201347210592e-26,2.24600014995168e-28,6.03848680405119e-31,5.18371258890607e-34,1.42309264274049e-37,1.25122796623624e-41,3.52857710895013e-46,3.19647215858304e-51,9.31548331747477e-57,8.74694870431867e-63,2.65015731890147e-69,2.59469535925434e-76,8.22092673835295e-84,8.44064104116296e-92,2.81208379414435e-100,3.04391066054875e-109,1.07179465951339e-118,1.22903262227698e-128,4.59465560343902e-139,5.60549877266094e-150,2.23382334716895e-161,2.91021360094268e-173,1.2404419365904e-185,1.73102152757e-198,7.91344272476925e-212,1.18574086841256e-225,5.82584906832637e-240,9.38887475402976e-255,4.96413511718193e-270,8.61161030850459e-286,4.90122951684773e-302,9.14945347564029e-319,0,0,0,0,0,0,0,0,0,0,0
"4",-3.95700014171437e-20,-3.39857499086221e-21,-1.32624736380214e-20,-1.31296027380795e-20,-4.49349071631223e-22,5.64624170676378e-22,1.71647028325818e-22,1.36952370394954e-23,3.43289402335054e-25,2.74201640264571e-27,6.99317106683513e-30,5.70371376276796e-33,1.48988347476959e-36,1.24826497249458e-40,3.35945949241769e-45,2.9086749209847e-50,8.11405009791661e-56,7.30371926369306e-62,2.12446755352626e-68,1.9997505121386e-75,6.09988687827816e-83,6.0376219891818e-91,1.94160496522691e-99,2.03110264729739e-108,6.91950464514863e-118,7.68521231249883e-128,2.7855340966889e-138,3.29787624150951e-149,1.27644382146199e-160,1.61638417901379e-172,6.70134428716768e-185,9.10156838251192e-198,4.05164954268162e-211,5.91415393754806e-225,2.83164139314736e-239,4.44794708136453e-254,2.29240685206159e-269,3.87617771573684e-285,2.14973274156481e-301,3.90860273081469e-318,0,0,0,0,0,0,0,0,0,0
"5",-4.11487878154355e-23,-9.3335748845502e-22,-1.08209902029531e-20,-3.18262424755037e-20,-3.2360031919504e-21,1.20802485355312e-20,1.09104836784656e-20,2.58623854221446e-21,1.92597539195444e-22,4.57037354185365e-24,3.46295710272861e-26,8.39115983243551e-29,6.5119024371286e-32,1.62089050133478e-35,1.29600779390381e-39,3.33368608311202e-44,2.76285766394614e-49,7.38849884392222e-55,6.38489194440737e-61,1.78554408384398e-67,1.61810929538305e-74,4.75820667043521e-82,4.54600142907772e-90,1.4128364062939e-98,1.42996800885071e-107,4.71844065742211e-117,5.08092070992025e-127,1.78714423243558e-137,2.05503047498433e-148,7.73129888934416e-160,9.52272218053079e-172,3.8424367831003e-184,5.08175448136273e-197,2.20376733496318e-210,3.1347483359066e-224,1.46290239563647e-238,2.23995218883552e-253,1.12523191679486e-268,1.85401884447495e-284,1.00148046823159e-300,1.77207118072655e-317,0,0,0,0,0,0,0,0,0
"6",-1.2183065194153e-24,-8.20991857001783e-23,-2.82780298379203e-21,-2.47092078698994e-20,-7.46403570536321e-21,8.27812438191273e-20,2.22121906934545e-19,1.56425402137282e-19,3.46083381550687e-20,2.43990557745857e-21,5.49236948826067e-23,3.95390234512201e-25,9.11597533994826e-28,6.74124707530316e-31,1.60134715346391e-34,1.22375334540797e-38,3.01313793260799e-43,2.39391112008761e-48,6.1460582980198e-54,5.10628454381316e-60,1.37478124475752e-66,1.20104798416451e-73,3.40908583577342e-81,3.1476871195878e-89,9.46492794933432e-98,9.27856467597885e-107,2.96835630962309e-116,3.10187668306923e-126,1.05967942512675e-136,1.1844043941272e-147,4.33411042479654e-159,5.19561426051543e-171,2.04143313236623e-183,2.6301379816888e-196,1.11149313104548e-209,1.54102883435323e-223,7.01012034239399e-238,1.04621291882107e-252,5.12133861234565e-268,8.21870026913894e-284,4.32049099437107e-300,7.43095976168006e-317,0,0,0,0,0,0,0,0
"7",-1.14727252243391e-26,-2.29688993554907e-24,-2.35040008832324e-22,-6.10158661302658e-21,-5.4758176465986e-21,1.80425753417955e-19,1.43829935071039e-18,3.00923761955724e-18,1.97797709921013e-18,4.14290375780164e-19,2.77065774727126e-20,5.92570989393864e-22,4.05890512445405e-24,8.91738083218104e-27,6.29323389052571e-30,1.42880704820231e-33,1.04517741330493e-37,2.46700674178633e-42,1.88169963564877e-47,4.64461743892169e-53,3.71509433926866e-59,9.64246159128368e-66,8.13124049858019e-73,2.23049748697501e-80,1.9925939384421e-88,5.8032810410208e-97,5.51569376220912e-106,1.71237924106508e-115,1.73796585334682e-125,5.7710928074336e-136,6.2740695950634e-147,2.23448565555997e-158,2.60835765519279e-170,9.98393686911848e-183,1.25349148339445e-195,5.16317304238689e-209,6.97786720794181e-223,3.09391669870729e-237,4.49949051487003e-252,2.14523217809708e-267,3.35039163594711e-283,1.71197996514645e-299,2.85689270031024e-316,0,0,0,0,0,0,0
"8",-3.43807389135246e-29,-2.04493783440112e-26,-6.21688782604627e-24,-4.79474293872407e-22,-1.27838844317722e-21,1.25142174633177e-19,2.96377865316912e-18,1.84223180098345e-17,3.59749635624447e-17,2.23859360785176e-17,4.44779341743452e-18,2.82613838048487e-19,5.75113084416278e-21,3.75381593818202e-23,7.87047318434708e-26,5.30874501112431e-29,1.15371784225836e-32,8.0904232199139e-37,1.83333789917438e-41,1.34441538955701e-46,3.19480742003557e-52,2.46350850936383e-58,6.17183442829791e-65,5.02979760525728e-72,1.334931212363e-79,1.15506120360854e-87,3.26154106309695e-96,3.00825031298501e-105,9.07082037375468e-115,8.94859178703329e-125,2.89026245669401e-135,3.05813625904502e-146,1.06056603198904e-157,1.20604554726942e-169,4.49857103014594e-182,5.5050489668468e-195,2.21033712059966e-208,2.91162704439735e-222,1.25800329892501e-236,1.78190297620846e-251,8.267927077589e-267,1.25513676468912e-282,6.2226821412122e-299,1.00478717838787e-315,0,0,0,0,0,0
"9",-3.28226937139331e-32,-5.80003260662091e-29,-5.23859311061851e-26,-1.2003234081778e-23,-9.50795449335328e-23,2.76515364215608e-20,1.9455959188664e-18,3.59287797116221e-17,2.08444224353722e-16,3.8535063043714e-16,2.27466127203682e-16,4.29394878244068e-17,2.59601977548923e-18,5.03406748432465e-20,3.13572677280786e-22,6.28377386323385e-25,4.05713633508708e-28,8.45244872135483e-32,5.69043060634854e-36,1.23973083029144e-40,8.75245571462293e-46,2.00507496969818e-51,1.49238930031787e-57,3.61334709005199e-64,2.84911100264494e-71,7.32397394247045e-79,6.14406717645088e-87,1.6835979430645e-95,1.5082116598503e-104,4.42040168081386e-114,4.24165782596415e-124,1.33335714566774e-134,1.37378473140197e-145,4.64126101190956e-157,5.1432564145933e-169,1.86989014085974e-181,2.23051287257646e-194,8.72917645236438e-208,1.12049679589007e-221,4.71524435058739e-236,6.49992130913009e-251,2.93152649331878e-266,4.31789126218097e-282,2.07137857158836e-298,3.22292412925641e-315,0,0,0,0,0
"10",-9.99473510935579e-36,-5.24709363894379e-32,-1.40797310228906e-28,-9.58449593493343e-26,-2.25553415328648e-24,1.94882522165856e-21,4.07378009751259e-19,2.23500610478657e-17,3.85227625638886e-16,2.11580160817626e-15,3.71045281992823e-15,2.08093421684952e-15,3.73766866012954e-16,2.15329309141021e-17,3.98486523996769e-19,2.37239654953129e-21,4.55069416583492e-24,2.81664363667691e-27,5.63359732286657e-31,3.6463586469383e-35,7.64809394897755e-40,5.20529346002425e-45,1.151033705648e-50,8.27955330699493e-57,1.93953627587306e-63,1.48124411731304e-70,3.69170606221115e-78,3.00539013791741e-86,7.99863861812057e-95,6.96477078725951e-104,1.98550980080379e-113,1.85427527714627e-123,5.67593889852637e-134,5.69700145352713e-145,1.87559827744273e-156,2.02585823790804e-168,7.17941412475047e-181,8.34735444378741e-194,3.18329958438314e-207,3.97981063443227e-221,1.62988744671757e-235,2.18390956573626e-250,9.5566094835932e-266,1.36201825577188e-281,6.29600179091799e-298,9.37726009462093e-315,0,0,0,0
