"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",3.98691550837026e-13,1.64149952354598e-14,1.71930780797403e-14,1.39952604242896e-14,6.53990135202141e-15,1.67406666473859e-15,2.33089690538786e-16,1.76439490768783e-17,7.26029510806491e-19,1.62399374614467e-20,1.97457713331372e-22,1.30500349652021e-24,4.68797190700527e-27,9.15338536069015e-30,9.71380341233169e-33,5.60266703403563e-36,1.75624502045802e-39,2.99189787729116e-43,2.76991281322727e-47,1.39357114494077e-51,3.80997106186157e-56,5.66016649570065e-61,4.56916654281312e-66,2.00414909148123e-71,4.77631630561901e-77,6.18458653177046e-83,4.35077967515487e-89,1.66282450235241e-95,3.45249062718407e-102,3.89411737340672e-109,2.38593983018412e-116,7.94085326969496e-124,1.43553983734694e-131,1.40957030452204e-139,7.51734619030212e-148,2.17736619584892e-156,3.42507618791954e-165,2.92592703398857e-174,1.35735630490583e-183,3.41935321795009e-193,4.67731282376374e-203,3.47403251157688e-213,1.40100301401251e-223,3.06757203226804e-234,3.64656248807227e-245,2.35335272220594e-256,8.24467870825209e-268,1.56746349668405e-279,1.61324138807078e-291,8.86953744430548e-304
"2",2.21003848585335e-14,4.21626650892925e-15,7.70136162026837e-15,1.09325494969891e-14,8.90919065154512e-15,3.97709890002816e-15,9.6570236468833e-16,1.27480163679181e-16,9.14803205427617e-18,3.56848884566691e-19,7.56659835437077e-21,8.72097096833024e-23,5.46342207520984e-25,1.86032184786668e-27,3.44288278370457e-30,3.46301463822136e-33,1.89308976390946e-36,5.62418314006993e-40,9.08040825788493e-44,7.96700350452319e-48,3.79851746108014e-52,9.84120420534598e-57,1.38542369927345e-61,1.05974710236601e-66,4.40445197030606e-72,9.94571605703645e-78,1.22016640731884e-83,8.13251692284278e-90,2.94467694230679e-96,5.79216296193066e-103,6.18896189879145e-110,3.59213028746131e-117,1.13247010208644e-124,1.93920992493514e-132,1.80355429671807e-140,9.11009139211637e-149,2.49912558893645e-157,3.72312762523286e-166,3.0120687740536e-175,1.32324899250707e-184,3.15660769272995e-194,4.0886944734622e-204,2.87552029778305e-214,1.0979908593852e-224,2.27621982946588e-235,2.56179370365758e-246,1.56515535950363e-257,5.18928758540523e-269,9.31400027504413e-281,8.93026712229755e-293
"3",1.7649312318453e-14,8.65133880384257e-15,2.75581061728016e-14,6.82228553566497e-14,9.69556851532826e-14,7.54793245508465e-14,3.19618196238588e-14,7.35795963459943e-15,9.20807935608254e-16,6.26400804038221e-17,2.31630226429815e-18,4.655710614831e-20,5.08642303725509e-22,3.02038564924747e-24,9.74817093085331e-27,1.70994370729373e-29,1.63014141215429e-32,8.44578680620813e-36,2.37800422824469e-39,3.63855415248685e-43,3.02534250415873e-47,1.366895307436e-51,3.35580107395651e-56,4.47653950208263e-61,3.24458121194034e-66,1.27770152762867e-71,2.73362545007747e-77,3.17739719479612e-83,2.00636884286591e-89,6.88240901344289e-96,1.28246081019427e-102,1.29809046861817e-109,7.13684415305516e-117,2.13123274602028e-124,3.45670138631365e-132,3.0449626042656e-140,1.45671267153946e-148,3.7846029848802e-157,5.3395403761561e-166,4.09078966658438e-175,1.70181667999159e-184,3.84417731744012e-194,4.71478374243988e-204,3.13957347784588e-214,1.13504405031379e-224,2.22776437764345e-235,2.37360878769945e-246,1.37241676687137e-257,4.29577087561069e-269,7.18283515775149e-281
"4",1.54663126686361e-14,1.23367575601576e-14,6.8532041014305e-14,2.95869894210319e-13,7.33281538663408e-13,9.95524754908621e-13,7.3516046208563e-13,2.95144458821539e-13,6.44129031430502e-14,7.64157207760959e-15,4.92779038987252e-16,1.72730710623859e-17,3.29096032408193e-19,3.40799661088912e-21,1.91816728214589e-23,5.86775191337508e-26,9.75532624524618e-29,8.81420646534181e-32,4.32795079363075e-35,1.15484878569024e-38,1.67454728448027e-42,1.31942499204414e-46,5.6490087750908e-51,1.31415033170083e-55,1.66106972992623e-60,1.14073618060356e-65,4.25619383648495e-71,8.62741093071965e-77,9.50049729683397e-83,5.68332680268621e-89,1.84685517545275e-95,3.26002016431228e-102,3.12570599439648e-109,1.62779376260896e-116,4.60422936741503e-124,7.07299966190507e-132,5.90095304917776e-140,2.67359226371967e-148,6.57817329581584e-157,8.78891315049775e-166,6.37628008765244e-175,2.51179741333479e-184,5.37241510557724e-194,6.23885688061701e-204,3.93345037219501e-214,1.34634636137767e-224,2.50163113877238e-235,2.52247421372563e-246,1.37691907533606e-257,4.01503924061811e-269
"5",1.97437624802748e-15,1.00686680256446e-14,9.75419076910783e-14,7.34386936012359e-13,3.17410657386670e-12,7.51500725645175e-12,9.67801007256901e-12,6.77587130627635e-12,2.57887312119689e-12,5.33539285800313e-13,6.00015545809623e-14,3.66780656341877e-15,1.21866993543868e-16,2.20084365604484e-18,2.16024547525187e-20,1.15243106340533e-22,3.34127020094296e-25,5.26477245909522e-28,4.5082219403712e-31,2.09785121196424e-34,5.30485556009325e-38,7.28932713872286e-42,5.44253927729106e-46,2.20800960731778e-50,4.86710102597708e-55,5.82900328821957e-60,3.79277491305598e-65,1.34073437004643e-70,2.57475069667907e-76,2.68607455204406e-82,1.52221101669755e-88,4.68585551676459e-95,7.83507792095092e-102,7.11575786530131e-109,3.50998547501226e-116,9.40326321877158e-124,1.3681184579781e-131,1.08099405638373e-139,4.63831273999331e-148,1.08072818405418e-156,1.36733609216979e-165,9.39331935503115e-175,3.50372996684369e-184,7.09565802133539e-194,7.80167609429168e-204,4.65690768166084e-214,1.50900503513478e-224,2.65351005276782e-235,2.52597475415611e-246,1.28450846458948e-257
"6",5.05375753277653e-16,4.49451767885852e-15,7.59327106066037e-14,9.96986294279224e-13,7.51471193371251e-12,3.10275028415904e-11,6.96835193885258e-11,8.5081618530856e-11,5.64712182685783e-11,2.03746506812534e-11,3.99588387227815e-12,4.25974268869785e-13,2.46825273692911e-14,7.77354844346438e-16,1.33063765312179e-17,1.23793615648734e-19,6.25923815581843e-22,1.71995098992442e-24,2.56843359223382e-27,2.08431965208582e-30,9.1915719458261e-34,2.20257272046378e-37,2.86794602562884e-41,2.02906961632331e-45,7.79997008583892e-50,1.62908394505763e-54,1.84855688807601e-59,1.13958068703097e-64,3.81648982790494e-70,6.94342221168027e-76,6.86209869333644e-82,3.68381303146197e-88,1.07418378793001e-94,1.70130830588083e-101,1.46350350609559e-108,6.83744157352092e-116,1.73486355815971e-123,2.39051523334809e-131,1.78877132548086e-139,7.26838395983356e-148,1.60370044077787e-156,1.92129320123398e-165,1.24977482735649e-174,4.41387885136626e-184,8.46334871091895e-194,8.81005329189649e-204,4.97849623416606e-214,1.52670391233219e-224,2.53448470145162e-235,2.24762692548358e-246
"7",7.03662094247272e-17,1.09133839611057e-15,3.21537649447981e-14,7.36238805559325e-13,9.67761722711379e-12,6.96834292269901e-11,2.72922508706808e-10,5.81127741656294e-10,6.72650716711514e-10,4.23232696174115e-10,1.44753303893414e-10,2.69107362636706e-11,2.71930817468097e-12,1.49353256886884e-13,4.45842827056301e-15,7.23347209033421e-17,6.37817786327816e-19,3.05645361105492e-21,7.9596993746219e-24,1.12646897390493e-26,8.66305934230604e-30,3.62024816135077e-33,8.22064031362024e-37,1.01428080733167e-40,6.79955959036338e-45,2.47661157258874e-49,4.90087743768066e-54,5.26881183754113e-59,3.07721828960578e-64,9.76324881536201e-70,1.68269083828682e-75,1.575329976795e-81,8.01085992819919e-88,2.21263691611115e-94,3.31930749137492e-101,2.70441872551975e-108,1.19666397708882e-115,2.8755769647539e-123,3.75244980870245e-131,2.65903783008367e-139,1.02314336098796e-147,2.13763462308031e-156,2.42492432071809e-165,1.49352814902707e-174,4.9941528014168e-184,9.06618784953541e-194,8.93451429395319e-204,4.77808829322202e-214,1.38329756824414e-224,2.13932493259133e-235
"8",5.32643290618917e-18,1.44064947919192e-16,7.40214027985267e-15,2.95577090787727e-13,6.7755896157612e-12,8.5081424974685e-11,5.81127171525513e-10,2.15789357866335e-09,4.35586700263194e-09,4.7795917185276e-09,2.85079941541287e-09,9.24251881330356e-10,1.62873256091919e-10,1.56002886869329e-11,8.12131412038707e-13,2.29783014228125e-14,3.5334123695579e-16,2.9528548205205e-18,1.34105793108272e-20,3.30976146492855e-23,4.4388997536662e-26,3.2349604592457e-29,1.28104052518862e-32,2.75639857704128e-36,3.22248705027136e-40,2.0468917787985e-44,7.06378403151475e-49,1.32435021752383e-53,1.34888538851921e-58,7.46341669799033e-64,2.24323230048875e-69,3.66241913206132e-75,3.24789688009221e-81,1.56444332693779e-87,4.09283045518863e-94,5.81536247670958e-101,4.48747105639417e-108,1.88053328979936e-115,4.27954412940202e-123,5.28851475412369e-131,3.54872447623509e-139,1.29299204716994e-147,2.55792116282983e-156,2.74744473451433e-165,1.60215292144161e-174,5.07216579050926e-184,8.71698427315328e-194,8.12972906543958e-204,4.10453631357162e-214,1.10701072549851e-224
"9",2.19176955214673e-19,1.03381622150022e-17,9.26336793364497e-16,6.45073142388921e-14,2.57876561696018e-12,5.64710833656963e-11,6.72649980153438e-10,4.35586650636004e-09,1.53336567450016e-08,2.93419189532218e-08,3.05204520233123e-08,1.72560436561696e-08,5.30306870110605e-09,8.85802082697889e-10,8.04186832405192e-11,3.96803193163672e-12,1.06408947729334e-13,1.55078826388502e-15,1.22824367605977e-17,5.28640315144489e-20,1.2364185420147e-22,1.5713963354186e-25,1.08519107971971e-28,4.07203920555034e-32,8.30209505740611e-36,9.1964029002656e-40,5.53461107571617e-44,1.80958559150753e-48,3.21423717618318e-53,3.10146687167789e-58,1.62566214795732e-63,4.62861091497326e-69,7.15832562848414e-75,6.01306142922029e-81,2.74338113006167e-87,6.79775909621346e-94,9.14781193181368e-101,6.68533508490572e-108,2.65317716246326e-115,5.71780116525271e-123,6.6910488045624e-131,4.25152127381135e-139,1.46677076461887e-147,2.74745534510067e-156,2.79403749854886e-165,1.54258211652701e-174,4.62325343719155e-184,7.51941576024829e-194,6.62062081987106e-204,3.11395999539807e-214
"10",4.90258306903816e-21,4.03273794025035e-19,6.30161926519614e-17,7.65277233523508e-15,5.33517035656409e-13,2.03746016745431e-11,4.23232225789797e-10,4.77959109559444e-09,2.9341918472013e-08,9.79169482249608e-08,1.77617971076213e-07,1.75131295933127e-07,9.38590968962835e-08,2.73408745359055e-08,4.3287175594775e-09,3.72480925411285e-10,1.74194169665936e-11,4.42725522629955e-13,6.11495376255512e-15,4.58981845833976e-17,1.87209259096976e-19,4.14929333402223e-22,4.99713640866006e-25,3.27004348098796e-28,1.16266839067517e-31,2.2460154571475e-35,2.35726520676601e-39,1.34408599222073e-43,4.16344117043734e-48,7.00596956509171e-53,6.404098168772e-58,3.17983766509305e-63,8.57614887876166e-69,1.2563281445772e-74,9.9958604109109e-81,4.31942952459255e-87,1.01368830825356e-93,1.29192403273157e-100,8.94142287254973e-108,3.36043903109685e-115,6.85784644169999e-123,7.59914099324117e-131,4.57202901815974e-139,1.4934956524259e-147,2.64869613522e-156,2.55020320237345e-165,1.33290986727805e-174,3.7806264397717e-184,5.80503672403071e-194,4.76152284381563e-204
"11",5.96093944493715e-23,8.55098879324724e-21,2.33021011697845e-18,4.93501303404841e-16,5.99990520773473e-14,3.99587424349307e-12,1.44753142376864e-10,2.85079903132686e-09,3.05204513885661e-08,1.77617970295163e-07,5.61878643861103e-07,9.66153139106081e-07,9.02994627106056e-07,4.58720114729099e-07,1.26654673382262e-07,1.90060818062527e-08,1.55006089044522e-09,6.8703093142635e-11,1.65486090310989e-12,2.16615940914937e-14,1.54080903711714e-16,5.9555547019789e-19,1.2508230378624e-21,1.42742987327386e-24,8.85082403870413e-28,2.98172213363832e-31,5.45744618157427e-35,5.42668555839069e-39,2.9314778858887e-43,8.60258600968042e-48,1.37134063455041e-52,1.18745975804221e-57,5.58512439271042e-63,1.42682337264623e-68,1.97976615577335e-74,1.49192397359294e-80,6.10592302144591e-87,1.35709562895951e-93,1.63797284069617e-100,1.07355097132633e-107,3.8206828800769e-115,7.38319477502951e-123,7.74667593407364e-131,4.41303081769273e-139,1.36487136574921e-147,2.29171685401335e-156,2.08888024203173e-165,1.0332445269655e-174,2.76675628388987e-184,3.957659192232e-194
"12",3.93960138646212e-25,9.8555416139919e-23,4.68366505317497e-20,1.72983881252671e-17,3.66765358618228e-15,4.2597324207533e-13,2.69107062153864e-11,9.24251756080777e-10,1.72560432837372e-08,1.75131295025478e-07,9.66153138347342e-07,2.89718347786804e-06,4.72217180681456e-06,4.18341538399314e-06,2.01433181132182e-06,5.27143642895768e-07,7.49741801103008e-08,5.79516550928523e-09,2.43431982774274e-10,5.55690716565468e-12,6.89315639635258e-14,4.64641632263028e-16,1.70183856568532e-18,3.38691157367841e-21,3.66234598926596e-24,2.15163906247162e-27,6.86781044392233e-31,1.19094055121946e-34,1.12193742422727e-38,5.74166200419257e-43,1.59617510073439e-47,2.41035313571659e-52,1.97706620026708e-57,8.80815935779199e-63,2.13135322928487e-68,2.80101100706227e-74,1.99915300810913e-80,7.74875177527147e-87,1.63100232742522e-93,1.86421990474769e-100,1.15702315684135e-107,3.89916821424113e-115,7.13459987039394e-123,7.08790324552342e-131,3.82295450744181e-139,1.1194248751322e-147,1.77940220272127e-156,1.53493603685619e-165,7.1677799012509e-175,1.78804620064235e-184
"13",1.41522537448305e-27,6.17419594689994e-25,5.11696361546828e-22,3.29578386919312e-19,1.21861910677671e-16,2.46824678678194e-14,2.71930513775357e-12,1.62873233985932e-10,5.30306858553489e-09,9.38590963900811e-08,9.02994626206804e-07,4.72217180582037e-06,1.34225229499141e-05,2.07371919444385e-05,1.74131185586379e-05,7.94696144922864e-06,1.97110811130748e-06,2.65699753189644e-07,1.9463885035895e-08,7.74839269369704e-10,1.67618982800527e-11,1.97037902700448e-13,1.25856776456797e-15,4.36806093600509e-18,8.23703265935439e-21,8.43931941810421e-24,4.69767417720213e-27,1.42063091726542e-30,2.33392233977686e-34,2.08296501852854e-38,1.00983744928694e-42,2.65936655351723e-47,3.80404220143777e-52,2.95553335688611e-57,1.24719028844777e-62,2.85837162358067e-68,3.55775877295269e-74,2.40485446659218e-80,8.82751000807422e-87,1.75957330987192e-93,1.90449073073837e-100,1.11927130778803e-107,3.57157363307083e-115,6.18777273104422e-123,5.82025872986729e-131,2.97210878470928e-139,8.23892328624297e-148,1.23940488886757e-156,1.00933229822933e-165,4.39091300736786e-175
"14",2.76326383376987e-30,2.10234381573585e-27,3.0385210506615e-24,3.41299169540158e-21,2.20075186249077e-18,7.77352970368235e-16,1.49353090083022e-13,1.56002865689636e-11,8.85802063358243e-10,2.73408743873659e-08,4.58720114254086e-07,4.18341538294645e-06,2.0737191943616e-05,5.58717567690221e-05,8.18173716105151e-05,6.51173412763625e-05,2.81664806544372e-05,6.62124837266914e-06,8.45872383572021e-07,5.87237154383472e-08,2.21539764925057e-09,4.54155787633848e-11,5.05892531735428e-13,3.06194185648299e-15,1.00694471399062e-17,1.79915611957186e-20,1.74650930724697e-23,9.21076839296919e-27,2.63892828549394e-30,4.10723687795085e-34,3.47252861961179e-38,1.59477401635304e-42,3.97825724311148e-47,5.39026340533114e-52,3.96673721521164e-57,1.58542604781588e-62,3.44136218989931e-68,4.05666617877236e-74,2.59684051083287e-80,9.02694947915711e-87,1.70388035829518e-93,1.74631341954691e-100,9.71791320346402e-108,2.93612370301318e-115,4.81624834644945e-123,4.28901801649158e-131,2.07343399844392e-139,5.43950710596946e-148,7.72515321103706e-157,5.86076558151905e-166
"15",2.93244527568001e-33,3.89079090635192e-30,9.80670219579064e-27,1.92097873084303e-23,2.16015537496377e-20,1.33063444532786e-17,4.45842329117159e-15,8.12131301773459e-13,8.04186814841078e-11,4.32871753592583e-09,1.26654673250106e-07,2.01433181080189e-06,1.74131185578094e-05,8.18173716098671e-05,0.000208941788285348,0.000290003360913901,0.000218758805985571,8.96807898338672e-05,1.99797927335269e-05,2.41894639983516e-06,1.59144266682348e-07,5.68945605226178e-09,1.10522512553572e-10,1.16658397924325e-12,6.69038764753423e-15,2.08468812758608e-17,3.52914688460868e-20,3.24579643621929e-23,1.62173388996148e-26,4.40178009518556e-30,6.49009437910537e-34,5.197935867901e-38,2.26126372107922e-42,5.3431200054141e-47,6.85717065620104e-52,4.77951802353991e-57,1.80923543253661e-62,3.71929443353532e-68,4.15205553382299e-74,2.51701309532636e-80,8.28533641274229e-87,1.48087986738031e-93,1.43713392191863e-100,7.57225378520601e-108,2.16613875248496e-115,3.36404546629563e-123,2.83609509592559e-131,1.29752791211335e-139,3.2135928262068e-148,4.25172029175794e-157
