"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",9.01734849836871,4.00905704969948e-06,3.52882758507897e-06,1.67459765245945e-06,6.82543152920803e-13,3.49967829414386e-14,5.78739231386726e-16,3.03211345385298e-18,4.98567848999827e-21,2.56959334969034e-24,4.31576160937029e-28,3.51117161615568e-32,4.08138328500468e-36,4.00657156353856e-40,1.83876973052861e-44,4.1815687839501e-49,6.21709289933583e-54,6.83446827144122e-59,4.365550792351e-64,1.33419829132391e-69,1.82045641768416e-75,1.07576405814548e-81,2.69231799350758e-88,2.81206718562332e-95,1.22355175663808e-102,2.24126630910281e-110,1.75624589829844e-118,5.97321799830337e-127,8.91065980597185e-136,5.87788845492306e-145,1.73453357417759e-154,2.35587196039532e-164,1.58370533908428e-174,6.03740712838892e-185,1.45498670697904e-195,2.09880398909911e-206,1.59850659512469e-217,5.96673473786421e-229,1.06210384345168e-240,8.94226510872832e-253,3.55260040889741e-265,6.65425869397642e-278,5.87399880075347e-291,2.44332564091166e-304,4.7894773114415e-318,0,0,0,0,0
"2",4.00905244912183e-06,2.06520146142739e-12,3.26322397495074e-12,2.7798616201701e-12,2.0339443672803e-18,1.87211850281432e-19,5.55756295397998e-21,5.22688772315646e-23,1.54283061719016e-25,1.42742939402126e-28,4.30371931800416e-32,6.28542726739425e-36,1.31155463270655e-39,2.3112566018371e-43,1.90413993873923e-47,7.77332843270053e-52,2.07468126677035e-56,4.09416193705325e-61,4.69456748335438e-66,2.57556892773683e-71,6.30854694531281e-77,6.69209872490373e-83,3.00654645666465e-89,5.63720091618239e-96,4.40307843807102e-103,1.44785075274336e-110,2.03662894833561e-118,1.24345825723608e-126,3.32988292943851e-135,3.94309007366161e-144,2.08878781073142e-153,5.0928343813995e-163,6.1458011856621e-173,4.20582158277038e-183,1.81951509856085e-193,4.7115605338274e-204,6.44174579772256e-215,4.31640450761347e-226,1.37926794479846e-237,2.08461308645849e-249,1.48669039702777e-261,4.99885007378561e-274,7.92137439904936e-287,5.91485762948765e-300,2.08136056845363e-313,0,0,0,0,0
"3",3.52882562368445e-06,1.21023657764529e-12,3.43281967125605e-12,5.24956769813085e-12,6.89502252275202e-18,1.13926881833665e-18,6.07118577676587e-20,1.02501107725898e-21,5.43125123324592e-24,9.02053997279775e-27,4.88222843016812e-30,1.27998599302334e-33,4.7946074270478e-37,1.51673982003622e-40,2.24314858760371e-44,1.6438510137733e-48,7.87595231182502e-53,2.79005628655501e-57,5.74301288733988e-62,5.65605517836415e-67,2.48694428521012e-72,4.73582136036474e-78,3.81941762408994e-84,1.28555007725759e-90,1.80251199415696e-97,1.06400040528506e-104,2.68674324526435e-112,2.94470449944676e-120,1.41558427760462e-128,3.00912147047534e-137,2.8614990234986e-146,1.25243468602065e-155,2.71312808269847e-165,3.3330274556791e-175,2.5884511048721e-185,1.20322080653496e-195,2.95311525406106e-206,3.55218198651989e-217,2.03759548337939e-228,5.52829286674064e-240,7.07754068637571e-252,4.27197011686954e-264,1.21521995124857e-276,1.62890179675918e-289,1.02894979591118e-302,3.06427729862431e-316,0,0,0,0
"4",1.67460493181751e-06,2.19701757027355e-13,1.11869192100381e-12,3.07099640695504e-12,7.2408193558692e-18,2.14770432008628e-18,2.05455635542057e-19,6.22686357419604e-21,5.92293464328609e-23,1.76589891396568e-25,1.71572490564524e-28,8.07478622462825e-32,5.42969114110329e-35,3.0833967991239e-38,8.18601671403043e-42,1.07689483615345e-45,9.26211512013384e-50,5.89001387216582e-54,2.17640342035357e-58,3.84777352964177e-63,3.03709360273036e-68,1.03820637001599e-73,1.50307890946175e-79,9.08175722628064e-86,2.28588989974287e-92,2.42222897504585e-99,1.0979835240943e-106,2.16026800573617e-114,1.8642231649151e-122,7.11374257512718e-131,1.21436232227954e-139,9.54126646649872e-149,3.71037231477837e-158,8.18243080550671e-168,1.1407216180219e-177,9.51878013750382e-188,4.19384731815382e-198,9.05573452056615e-209,9.3248681540959e-220,4.54163291696395e-231,1.04375752007273e-242,1.13094557326414e-254,5.77516831525638e-267,1.38963554251257e-279,1.57578315129641e-292,8.42415962970941e-306,2.12472930994028e-319,0,0,0
"5",7.28745406828793e-16,1.23554036222781e-14,1.12935418360982e-13,5.56538518665707e-13,2.35559101072653e-18,1.25424657077234e-18,2.15388616116484e-19,1.17184533242322e-20,2.0009403417137e-22,1.07092558790193e-24,1.86783009071528e-27,1.57803634500008e-30,1.90483494759155e-33,1.94181520541893e-36,9.25438074680706e-40,2.18546717006789e-43,3.37425129435235e-47,3.85194273702945e-51,2.55504857145554e-55,8.10896674632776e-60,1.14897465800442e-64,7.05069970634435e-70,1.83242650975536e-75,1.98751735370581e-81,8.98033640989565e-88,1.70823945409605e-94,1.39003467083609e-101,4.90945969728928e-109,7.6053678037621e-117,5.20974807698831e-125,1.59647866023893e-133,2.25173415186965e-142,1.57189972058023e-151,6.22280143872291e-161,1.5573259850486e-170,2.33279948056463e-180,1.84503660025789e-190,7.15174973551553e-201,1.32198821149879e-211,1.15582788405536e-222,4.76844757369147e-234,9.27503069966995e-246,8.50226335456383e-258,3.67254458109973e-270,7.47582061183386e-283,7.17439465175557e-296,3.24829751270093e-309,6.91691904177745e-323,0,0
"6",7.07287353232308e-18,2.15264916801067e-16,3.53217928633848e-15,3.1246692835777e-14,2.37413261840275e-19,2.26926003656519e-19,6.99552550990015e-20,6.83225629310822e-21,2.0942293952291e-22,2.01208193741623e-24,6.29970177556055e-27,9.55423415440673e-30,2.07029620307091e-32,3.78860465776614e-35,3.24126851691816e-38,1.37406788860533e-41,3.80835638481046e-45,7.80434101678146e-49,9.29291216443589e-53,5.29437193073551e-57,1.34665278588925e-61,1.48345254590072e-66,6.92092690094771e-72,1.34754997878244e-77,1.0930066751801e-83,3.7322885516909e-90,5.45190592433813e-97,3.45662825606251e-104,9.61248011740729e-112,1.18202921797254e-119,6.50235778879241e-128,1.64634601090616e-136,2.06312287220671e-145,1.46616367882387e-154,6.58676697502746e-164,1.77119523521282e-173,2.5147236553959e-183,1.74982189346306e-193,5.8063789446405e-204,9.11312268822596e-215,6.74912260919292e-226,2.35657853505994e-237,3.87790683250448e-249,3.00694961049394e-261,1.09878874353605e-273,1.89294000228458e-286,1.53852175567378e-299,5.90540323647092e-313,0,0
"7",2.12803052247721e-20,1.16265662822228e-18,3.42465803190484e-17,5.43844557307301e-16,7.4177460218368e-21,1.27276289409738e-20,7.04335926460215e-21,1.2348661957643e-21,6.79479345825824e-23,1.17190910181381e-24,6.58664886335641e-27,1.79323273337352e-29,6.9754064532142e-32,2.29146156999102e-34,3.51920492044802e-37,2.67814441425466e-40,1.3324767511826e-43,4.90178830795331e-47,1.0477710675446e-50,1.07158166245784e-54,4.89285916995889e-59,9.67557973417075e-64,8.10333617229841e-69,2.83230964759621e-74,4.12396452245766e-80,2.52792144980781e-86,6.62877032314394e-93,7.54455363331394e-100,3.76627983566108e-107,8.31383877857914e-115,8.20994987128866e-123,3.73153066180158e-131,8.39435339522309e-140,1.07088014772517e-148,8.63628501409515e-158,4.16886045744158e-167,1.06252081419047e-176,1.32720277605241e-186,7.90578623870477e-197,2.22742538428949e-207,2.96128032765359e-218,1.85613849290789e-229,5.48304849034948e-241,7.63215395434265e-253,5.00646782754899e-265,1.54828295637248e-277,2.2589851812126e-290,1.55652304140641e-303,5.07127061694093e-317,0
"8",1.99753291565505e-23,1.95913254680432e-21,1.03591904018786e-19,2.95311015102669e-18,7.23057899684356e-23,2.22712645921825e-22,2.21245002410321e-22,6.96321470203832e-23,6.87800362432355e-24,2.12949352417851e-25,2.14853861823121e-27,1.05005383745126e-29,7.33230772805313e-32,4.32394338449966e-34,1.19208777170205e-36,1.62852310594296e-39,1.45450704565913e-42,9.60521292763997e-46,3.68565859008417e-49,6.76659573085001e-53,5.54630730780532e-57,1.96885832213329e-61,2.96004001355852e-66,1.85725148103293e-71,4.85446258568742e-77,5.34178087427049e-83,2.51450047247565e-89,5.1374612154327e-96,4.60387843061499e-103,1.82435401430427e-110,3.23403175305425e-118,2.63868194178223e-126,1.06557380366277e-134,2.44024487935515e-143,3.53277326483352e-152,3.06127548146773e-161,1.40061494857677e-170,3.14061606813783e-180,3.35829536797405e-190,1.69853008537447e-200,4.05364634628286e-211,4.56113544028587e-222,2.41869403754371e-233,6.0436906376261e-245,7.11676768392102e-257,3.95091738625219e-269,1.03480198632119e-281,1.27995788988473e-294,7.48605789980597e-308,2.07507571253324e-321
"9",6.34053513205523e-27,1.11632858229255e-24,1.05962036504205e-22,5.42251027423579e-21,2.38336231706593e-25,1.31782616733544e-24,2.35008177643339e-24,1.32774766939208e-24,2.35431417731765e-25,1.30850262238819e-26,2.3699418708224e-28,2.07922913585626e-30,2.60631993231018e-32,2.7590736709628e-34,1.36548768323136e-36,3.34864982599917e-39,5.36893190251829e-42,6.36466161861732e-45,4.38409222598965e-48,1.44487762224981e-51,2.12598903241686e-55,1.35477699174331e-59,3.65634514416818e-64,4.11828665155636e-69,1.93233879515963e-74,3.81702003812687e-80,3.22542055052971e-86,1.18298554907028e-92,1.90305345112261e-99,1.35373142955541e-106,4.30788331347438e-114,6.30961633976859e-122,4.57399513996338e-130,1.88036357543655e-138,4.88675359278639e-147,7.60157080426793e-156,6.24332503227295e-165,2.51309144886509e-174,4.82401434565608e-184,4.37984962573423e-194,1.87641142706886e-204,3.79010670447612e-215,3.6079096935005e-226,1.61835281044984e-237,3.42097598829398e-249,3.40927034993743e-261,1.6029390259567e-273,3.55919421418652e-286,3.73684808608828e-299,1.85778077987642e-312
"10",1.43730018908361e-30,4.54265620525587e-28,7.74041735703892e-26,7.1106732319982e-24,5.61043664221996e-28,5.56879174197237e-27,1.78271566526858e-26,1.80805197131746e-26,5.7551418984998e-27,5.74199052602777e-28,1.8669033037008e-29,2.94023970936682e-31,6.61613514670587e-33,1.25729212529592e-34,1.11700969310948e-36,4.91739557154537e-39,1.41530344059017e-41,3.01184932888016e-44,3.72420741662797e-47,2.20333990480667e-50,5.81979532026094e-54,6.65749363185201e-58,3.22542084264336e-62,6.52156807047823e-67,5.49306817052663e-72,1.94783610448292e-77,2.95468084342333e-83,1.9453597380931e-89,5.61781879079959e-96,7.17373794657497e-103,4.09801159870664e-110,1.07747812207857e-117,1.40215964304403e-125,1.03476051961567e-133,4.82741590950101e-142,1.3480123702877e-150,1.98747984808134e-159,1.43612200632068e-168,4.9486631337001e-178,8.06556428364512e-188,6.2029728751797e-198,2.24915562309384e-208,3.84343892058341e-219,3.0948085470914e-230,1.17437517789816e-241,2.10094428217316e-253,1.77323523397491e-265,7.06801223070764e-278,1.33213213388526e-290,1.18886511377262e-303
