"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",-3.38301630511563e-32,-9.5443980888187e-45,-7.42004577277505e-49,6.42267370961234e-53,1.44358576811782e-60,3.22465807759131e-66,6.47504216998555e-72,-2.21967864378259e-79,3.88418007371835e-86,5.72608185109088e-95,1.96241878507014e-103,2.53441325035186e-113,1.79290363447616e-122,5.56456398405445e-133,9.61630888231383e-144,-3.26204687704584e-154,-1.16783763431515e-162,-3.87229752258398e-172,-1.43413266543926e-182,-5.54562431026317e-194,-2.05275689350107e-206,-6.82729311479003e-220,-2.20659675690943e-234,-8.24198632489872e-250,-4.09506210220008e-266,-2.92151491463021e-283,-3.10211044296419e-301,-4.98314610395481e-320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",-1.71344388652712e-36,-1.60722467014001e-45,-6.3814021913731e-49,2.82102464201697e-52,3.23828523980007e-59,3.6943468536349e-64,3.78859415936717e-69,-6.63295537774977e-76,5.92785832997513e-82,4.46310906187379e-90,7.81183619594085e-98,5.1525279227636e-107,1.86157851922907e-115,2.95078141692508e-125,2.60432866926535e-135,-4.51189591885401e-145,-8.24959882315981e-153,-1.39701339091674e-161,-2.64242498104384e-171,-5.21849499475142e-182,-9.86538034548236e-194,-1.67573889817099e-206,-2.76606426197635e-220,-5.2765817064416e-235,-1.33894506222881e-250,-4.87856236711243e-267,-2.64558973707484e-284,-2.17046913656591e-302,-2.71242039566844e-321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",5.36612667053669e-37,2.57344954154979e-43,5.21839167054404e-46,-1.17817261197408e-48,-6.9071459236658e-55,-4.02441432927318e-59,-2.10777666429087e-63,1.8846689262971e-69,-8.60215568319902e-75,-3.30771794748011e-82,-2.95682475939078e-89,-9.96034312919011e-98,-1.8378784808086e-105,-1.48783222678728e-114,-6.70647332193833e-124,5.93388287867759e-133,5.54107737459558e-140,4.79229387415509e-148,4.62942473128649e-157,4.66929292612666e-167,4.50817919240482e-178,3.9108861682302e-190,3.29695164772997e-203,3.21206605429866e-217,4.16270894373537e-232,7.7461631044697e-248,2.14535299535901e-264,8.98899970920978e-282,5.74160266377991e-300,5.61164701202946e-319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",-1.11953642934675e-34,-4.22111109863072e-39,-4.37148795086324e-41,5.04060915708706e-43,1.50922579832209e-48,4.49096596372772e-52,1.20127698566039e-55,-5.48573877107252e-61,1.2787593987773e-65,2.5112589532369e-72,1.14648955490668e-78,1.97242411700093e-86,1.85876413759556e-93,7.68498353274885e-102,1.76915004993518e-110,-7.99449298282104e-119,-3.81265631229451e-125,-1.68406315191273e-132,-8.30851573239458e-141,-4.27985471975846e-150,-2.11037952682197e-160,-9.35009574618253e-172,-4.02564012788195e-184,-2.00303402302748e-197,-1.32574925710947e-211,-1.25995046601753e-226,-1.78216160533369e-242,-3.81365301526215e-259,-1.24406889718005e-276,-6.20984350882711e-295,-4.75224799814646e-314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",5.93934202818891e-41,4.91500741050683e-36,2.59960981303247e-37,-1.53088791225699e-38,-2.3409712390648e-43,-3.557649091177e-46,-4.86013116658726e-49,1.13349979029472e-53,-1.34944953475806e-57,-1.35344557069477e-63,-3.15573762132783e-69,-2.77276189325135e-76,-1.33449836291342e-82,-2.81785206792926e-90,-3.31299976716004e-98,7.64590944029563e-106,1.86229025241611e-111,4.20106666572383e-118,1.05853722281898e-125,2.78479482172714e-134,7.0130385882507e-144,1.58687679504741e-154,3.48934240027425e-166,8.86703562343188e-179,2.99731928076116e-192,1.4548109938179e-206,1.05094907846708e-221,1.1485694346642e-237,1.91355962419164e-254,4.87820121599777e-272,1.90660021878539e-290,1.14369595344852e-309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",9.44132000614256e-41,3.99024945655442e-35,1.07786786849013e-35,-3.24177030530166e-36,-2.53172430988938e-40,-1.9650107508671e-42,-1.37098056960471e-44,1.63300021318793e-48,-9.92894107034077e-52,-5.08590880003761e-57,-6.05633860510278e-62,-2.7177113339114e-68,-6.68021256489162e-74,-7.20397030860084e-81,-4.32570220277928e-88,5.09854022528593e-95,6.34228214299343e-100,7.30700238733601e-106,9.40301866352648e-113,1.26338540173169e-120,1.62491395343827e-129,1.87779784733306e-139,2.10877722727139e-150,2.73682517654295e-162,4.72479639579535e-175,1.17121911877788e-188,4.32110421278052e-203,2.4118584139862e-218,2.05219224090196e-234,2.67188179191003e-251,5.33333245784884e-269,1.6339211351226e-287,7.68741457203436e-307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",5.36334848610971e-41,1.15767014479702e-34,1.59709886052926e-34,-2.45318331252937e-34,-9.78465825060682e-38,-3.87860603194183e-39,-1.38204926817859e-40,8.40736601542326e-44,-2.61070700468881e-46,-6.8297570852375e-51,-4.15363495160524e-55,-9.51925565037027e-61,-1.1950097116222e-65,-6.58164653271694e-72,-2.0183698315115e-78,1.21498653907592e-84,7.71885108352646e-89,4.54179827779928e-94,2.98495218043513e-100,2.04827102812222e-107,1.34543717638159e-115,7.94078395554775e-125,4.5543534755589e-135,3.0187321186013e-146,2.66159581756999e-158,3.36960231644687e-171,6.34916660332922e-185,1.80990291710061e-199,7.86507738056697e-215,5.22978321389191e-231,5.3314653486111e-248,8.34181420345386e-266,2.00443146979216e-284,7.39928850544244e-304,4.94065645841247e-324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",1.34516665403225e-41,1.48288133150582e-34,1.0448040611308e-33,-8.19623764182438e-33,-1.66959713012559e-35,-3.38005046390955e-36,-6.15109633801965e-37,1.91104294386236e-39,-3.03074999958219e-41,-4.04928854189963e-45,-1.25771801135553e-48,-1.47210718839612e-53,-9.43820411880901e-58,-2.65481323142885e-63,-4.15797288335013e-69,1.2783031548913e-74,4.14759693250002e-78,1.2463878632984e-82,4.18354298866982e-88,1.46614109859128e-94,4.91850658759684e-102,1.48256827280862e-110,4.34269715072997e-120,1.47007290397604e-130,6.61969363748913e-142,4.28011976093929e-154,4.11884533311446e-167,5.99646811477224e-181,1.33083660080729e-195,4.51946379050773e-211,2.35305079969727e-227,1.88029812416271e-244,2.30748507484133e-262,4.35029929722871e-281,1.26024751730318e-300,5.60764508029815e-321,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",4.54719843736325e-43,2.56009275019514e-35,9.21224844445611e-34,-3.69085360522337e-32,-3.83977215721828e-34,-3.97007250011079e-34,-3.68985474712722e-34,5.85475431794525e-36,-4.74209042186765e-37,-3.23578702696814e-40,-5.13293746341476e-43,-3.0683409346985e-47,-1.00469683472843e-50,-1.44331501551134e-55,-1.15449032281716e-60,1.81269189471793e-65,3.00378029898786e-68,4.61005725522192e-72,7.90276070371531e-77,1.41446384672323e-82,2.42343194743283e-89,3.73072949911063e-97,5.58110368509856e-106,9.64896892664861e-116,2.21902100572692e-126,7.32758612696082e-138,3.60132223654297e-150,2.67770984375478e-163,3.03510842771905e-177,5.26402415368299e-192,1.39972833172413e-207,5.71242683473459e-224,3.58025802063185e-241,3.44727595925257e-259,5.1002827353589e-278,1.15965187853445e-297,4.05251417213532e-318,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2.1651584140683e-45,6.2256250032473e-37,1.14412740344331e-34,-2.341084304105e-32,-1.24387625277521e-33,-6.56827983418542e-33,-3.11776923668772e-32,2.52653233420024e-33,-1.04512323682148e-33,-3.64216058593689e-36,-2.95071063366873e-38,-9.00836035341217e-42,-1.5064636552983e-44,-1.10526455327753e-48,-4.51519901186451e-53,3.62069615505132e-57,3.06420446008382e-59,2.40180299969861e-62,2.10276811586812e-66,1.92214386990756e-71,1.68192395479616e-77,1.32236326554812e-84,1.01031917094139e-92,8.92074034662526e-102,1.04776259975195e-111,1.76702990018188e-122,4.4353350966108e-134,1.68426125211438e-146,9.74993321326955e-160,8.63628153243837e-174,1.17282754994745e-188,2.44451408736355e-204,7.82470022186754e-221,3.84778608866561e-238,2.90743898395413e-256,3.37617913080282e-275,6.02564975897998e-295,1.65306907671623e-315,0,0,0,0,0,0,0,0,0,0,0,0
