"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",-4.88995740918837e-14,-5.32099926685066e-16,-6.55563094631294e-17,1.07084995765215e-17,1.18320678070896e-17,4.49833510764636e-18,9.46371993217137e-19,1.12527336414763e-19,7.57571539765917e-21,2.88831871887358e-22,6.23640943389068e-24,7.62600373270823e-26,5.28124631815623e-28,2.07136589095678e-30,4.60110477680288e-33,5.7883690279717e-36,4.12423046798007e-39,1.66427876942291e-42,3.80372767933593e-46,4.9237578198981e-50,3.60986996985054e-54,1.49898637834758e-58,3.52548336192947e-63,4.69632418218154e-68,3.54339362880726e-73,1.51427983449475e-78,3.66540286919205e-84,5.02538704531505e-90,3.90258959309969e-96,1.71662372883974e-102,4.2770020315176e-109,6.03599852417655e-116,4.82511067320164e-123,2.18482691268685e-130,5.60378507489659e-138,8.14148461781063e-146,6.70017935823421e-154,3.123437881906e-162,8.24794646180694e-171,1.23375281382326e-179,1.04540035687611e-188,5.01778500705321e-198,1.36432883763683e-207,2.10138778409925e-217,1.83347660117166e-227,9.06201706426004e-238,2.53704891187658e-248,4.02141735331425e-259,3.59743853084637e-270,1.78951121506707e-281
"2",-1.24151411260208e-15,-7.15108673988201e-17,-1.47094186192893e-17,4.01154621034977e-18,7.40024315200917e-18,4.69720278483073e-18,1.64987692252536e-18,3.2752908497877e-19,3.68143933343448e-20,2.34337221627706e-21,8.44759230288427e-23,1.72463622447302e-24,1.99406393206958e-26,1.30575482556828e-28,4.84249417019433e-31,1.01710399182724e-33,1.20991326553763e-36,8.15153785131785e-40,3.11046312921446e-43,6.72224735135597e-47,8.22832672545465e-51,5.7045293661756e-55,2.23997394956993e-59,4.98177983842276e-64,6.2754955629383e-69,4.4775137703974e-74,1.80948368237533e-79,4.14194793870787e-85,5.37019636651589e-91,3.94379707099331e-97,1.64051826310305e-103,3.86538629295547e-110,5.15885380681573e-117,3.9000048118001e-124,1.67005871691887e-131,4.05094215188692e-139,5.56597213344302e-147,4.3320118574875e-155,1.9098741958737e-163,4.76968005859651e-172,6.74754672375477e-181,5.40726271305144e-190,2.45463342678231e-199,6.31213026349941e-209,9.19490583071593e-219,7.58750436478346e-229,3.54654179871226e-239,9.38550303874893e-250,1.40176093683781e-260,1.16417202817993e-271
"3",-1.04403338313218e-15,-1.76814329580377e-16,-6.07215829950695e-17,2.76478612195486e-17,8.51525965774888e-17,9.02388142256863e-17,5.29185313228041e-17,1.75391390345167e-17,3.29138140603553e-18,3.49787273356074e-19,2.10522169902273e-20,7.17570473530151e-22,1.38518665490951e-23,1.51437358083674e-25,9.37654097693199e-28,3.28807013468634e-30,6.53028471284715e-33,7.34547004336158e-36,4.67958418338704e-39,1.68849142650482e-42,3.45062737597677e-46,3.99400422521275e-50,2.61838697398365e-54,9.72249121051823e-59,2.04476413806991e-63,2.43575883997898e-68,1.64344128467115e-73,6.28067501111007e-79,1.35954634501293e-84,1.6669423285455e-90,1.15768191393088e-96,4.55410716066054e-103,1.01476558153e-109,1.28079556439042e-116,9.15690222595499e-124,3.70830154560783e-131,8.50672106897572e-139,1.10538347078308e-146,8.13636185043428e-155,3.39247695717419e-163,8.01264170218162e-172,1.07203621620588e-180,8.1249518370762e-190,3.48828747320082e-199,8.48370904541496e-209,1.16879837240424e-218,9.12111415794629e-229,4.02997662935781e-239,1.0048959375758e-249,1.3933700196434e-260
"4",-1.05358440188811e-15,-3.23558570128922e-16,-1.85515712289916e-16,1.41026691804907e-16,7.2517001374939e-16,1.28303199381009e-15,1.25618630115494e-15,6.95115072710828e-16,2.17785424420562e-16,3.86417483361471e-17,3.88286924279921e-18,2.20964065817991e-19,7.12143567022941e-21,1.29985361268237e-22,1.34371214128492e-24,7.86695783114832e-27,2.60855519528338e-29,4.89879956245915e-32,5.21050128382075e-35,3.13886954981522e-38,1.07096341454832e-41,2.06960400359046e-45,2.26524266072966e-49,1.40430235376883e-53,4.93092558726257e-58,9.80667269551901e-63,1.10469846425518e-67,7.04852174204519e-73,2.54734579368023e-78,5.21454747069912e-84,6.04626897774815e-90,3.97103417795858e-96,1.4772985524692e-102,3.11303872352378e-109,3.71582668625345e-116,2.51237277711204e-123,9.62217816088526e-131,2.08749926680087e-138,2.56534503116761e-146,1.78580732767144e-154,7.04199287894729e-163,1.57300998756891e-171,1.99042117156147e-180,1.42671957514476e-189,5.79314343640879e-199,1.33250939104159e-208,1.73612398076106e-218,1.28067088584503e-228,5.33160865007101e-239,1.2342575700182e-249
"5",-1.55269809504518e-16,-3.51788155497081e-16,-3.36752763159563e-16,4.27399443636953e-16,3.66922746721045e-15,1.08386314468553e-14,1.77171221837055e-14,1.63680897334046e-14,8.5619417043108e-15,2.53631031502603e-15,4.25500965939431e-16,4.04270080920564e-17,2.175302549378e-18,6.62901074820984e-20,1.1440965692001e-21,1.11831829199523e-23,6.19099996017884e-26,1.94112098832228e-28,3.44702637650989e-31,3.46689373946711e-34,1.97489524035358e-37,6.37175177025834e-41,1.16436324768138e-44,1.20513734573943e-48,7.06490837957613e-53,2.34585913834531e-57,4.41190512286491e-62,4.69983512017946e-67,2.8357937818981e-72,9.69182430710953e-78,1.87619742313589e-83,2.05729637535775e-89,1.2778023208246e-95,4.49554229157952e-102,8.95891009637749e-109,1.0113138903753e-115,6.46662164507047e-123,2.34224625741511e-130,4.80567250206133e-138,5.58528259115609e-146,3.67712418021136e-154,1.37134383856875e-162,2.8970902619628e-171,3.46703182451926e-180,2.35036685556698e-189,9.02596853749439e-199,1.96338937828284e-208,2.41805069759313e-218,1.68069262292067e-228,6.49588000511011e-239
"6",-5.75314746825547e-17,-2.17621532035277e-16,-3.47803527759352e-16,7.36985480187153e-16,1.05633526683787e-14,5.20959253772061e-14,1.42175463396653e-13,2.19296466413083e-13,1.91517325129066e-13,9.47197085807768e-14,2.65302095279923e-14,4.2083697999839e-15,3.78062957269557e-16,1.92351397448405e-17,5.54257361867791e-19,9.04516263332688e-21,8.36014705859833e-23,4.37630805932291e-25,1.29748411955166e-27,2.17871357541079e-30,2.07207674309956e-33,1.11615057095318e-36,3.40529382292977e-40,5.88443555736606e-44,5.75939632115442e-48,3.19282066281361e-52,1.00253818621152e-56,1.78303367645382e-61,1.79619603685215e-66,1.02491248834571e-71,3.31254625871422e-77,6.06432463562343e-83,6.28856302619308e-89,3.69378826570955e-95,1.22898689653495e-101,2.31622215132978e-108,2.47271380988908e-115,1.49530959741862e-122,5.12218078391952e-130,9.93912258926023e-138,1.09247965218133e-145,6.80226558077878e-154,2.39922741439569e-162,4.79368377293813e-171,5.42561997956842e-180,3.47864168804708e-189,1.26335232353719e-198,2.59767977339331e-208,3.01446793612625e-218,1.94519226137375e-228
"7",-1.20761869078601e-17,-7.62655396404772e-17,-2.03499164876682e-16,7.19929126822998e-16,1.72279957787572e-14,1.41853121977366e-13,6.46341375905965e-13,1.66445134389248e-12,2.42688782036454e-12,2.00393740714098e-12,9.37101522162255e-13,2.48177281531279e-13,3.72232611490632e-14,3.16189760983774e-15,1.52112915742501e-16,4.14450974459041e-18,6.39547589562134e-20,5.58944901892739e-22,2.76672076271479e-24,7.7564961636048e-27,1.23161067117973e-29,1.10762450889524e-32,5.64191483546848e-36,1.62771704398982e-39,2.65982601220869e-43,2.46180105828325e-47,1.29056985502738e-51,3.83214826248315e-56,6.44523349703864e-61,6.14007775703398e-66,3.31322707904854e-71,1.01268378623361e-76,1.75325464044682e-82,1.71936364975721e-88,9.55091896466187e-95,3.00524776522358e-101,5.35643810463834e-108,5.40798553928628e-115,3.09286858785524e-122,1.00197474875839e-129,1.83875662613847e-137,1.91146628568131e-145,1.12560661785568e-153,3.75479964671155e-162,7.09526994280161e-171,7.59506356487968e-180,4.60519859484744e-189,1.58092641943828e-198,3.06294273671885e-208,3.29984017900601e-218
"8",-1.43556511739227e-18,-1.51364343889196e-17,-6.74310668386072e-17,3.98280742773745e-16,1.59124292192045e-14,2.18747345192261e-13,1.66405629853902e-12,7.15450061575483e-12,1.74164680615536e-11,2.40102511132048e-11,1.87456868423674e-11,8.28855649054381e-12,2.07555125320139e-12,2.94353368162147e-13,2.36422857883674e-14,1.07547099251014e-15,2.77077057472249e-17,4.04295459618994e-19,3.34116065319766e-21,1.56386685602064e-23,4.1458138776317e-26,6.22488136763404e-29,5.29379613722848e-32,2.54989185622124e-35,6.95661940996643e-39,1.07497937953117e-42,9.40872685294573e-47,4.66437878597978e-51,1.3097618251447e-55,2.08319396137088e-60,1.87676200904427e-65,9.57710000418573e-71,2.76826286609361e-76,4.53244178981921e-82,4.20350742620641e-88,2.20825440761182e-94,6.5712362047057e-101,1.10766561298373e-107,1.05763736110745e-114,5.72050352154008e-122,1.75268510387222e-129,3.04192464573974e-137,2.99068457897263e-145,1.6656084146206e-153,5.25481251151501e-162,9.39121708096391e-171,9.50694528461065e-180,5.44887007406441e-189,1.76252723755987e-198,3.1702391890601e-208
"9",-9.66446938781168e-20,-1.70129985473855e-18,-1.26537566278741e-17,1.24781706099389e-16,8.32339030179393e-15,1.91033147189563e-13,2.42625318923578e-12,1.74160472268522e-11,7.07835794015412e-11,1.62918836248709e-10,2.12362641619474e-10,1.56768147886122e-10,6.55412246941042e-11,1.55185901713335e-11,2.08101342320876e-12,1.58047010063021e-13,6.79814328973577e-15,1.65611608743775e-16,2.28502751793399e-18,1.78564867563435e-20,7.90329523716998e-23,1.98121518694297e-25,2.81300138697929e-28,2.26217740278785e-31,1.03039871035962e-34,2.65833286346128e-38,3.88456373657025e-42,3.21519536281086e-46,1.50732897598627e-50,4.00264977762144e-55,6.02045413095399e-60,5.1292779671067e-65,2.47532201380038e-70,6.76641727540589e-76,1.04770863866096e-81,9.18924807723438e-88,4.56541343792721e-94,1.28482468584189e-100,2.04820841974891e-107,1.84958282880779e-114,9.46118615303739e-122,2.74152561381325e-129,4.50004267132086e-137,4.18428339729557e-145,2.20397962141412e-153,6.57619061761424e-162,1.11146469572412e-170,1.06356318235497e-179,5.74374094268371e-189,1.72485742003705e-198
"10",-3.68466706474374e-21,-1.08293718632252e-19,-1.34475771238909e-18,2.21400017068361e-17,2.46563709442644e-15,9.44799794154362e-14,2.00340772034149e-12,2.40096031546878e-11,1.62918376201852e-10,6.26052877522193e-10,1.36244820213812e-09,1.67919786346854e-09,1.17208946431535e-09,4.63340900397249e-10,1.03735026003973e-10,1.31534290699493e-11,9.44593997731729e-13,3.84191549022094e-14,8.85014997874425e-16,1.15466865466341e-17,8.53241028499677e-20,3.57106156467392e-22,8.46521123568956e-25,1.13657127980679e-27,8.64325823359772e-31,3.7229200233366e-34,9.08277931858084e-38,1.25512228881935e-41,9.82401206935257e-46,4.35542556419401e-50,1.09374081799054e-54,1.55576346215604e-59,1.25349094512262e-64,5.72071665525485e-70,1.47888481752518e-75,2.16558864734982e-81,1.79629750683034e-87,8.44003389907724e-94,2.24634589432223e-100,3.38671329170606e-107,2.89236034909612e-114,1.39926922937895e-121,3.83466802704334e-129,5.95297962292509e-137,5.23507663662445e-145,2.60790655930593e-153,7.35894352929679e-162,1.17566951470416e-170,1.06003198678065e-179,5.31470902327989e-189
"11",-7.95586765715275e-23,-3.9038644442185e-21,-8.09352420999578e-20,2.22471017348566e-18,4.13644363047837e-16,2.64630507384212e-14,9.3685337764034e-13,1.87451720131984e-11,2.12361940627471e-10,1.36244755205752e-09,4.95029341624388e-09,1.01862651938591e-08,1.18706918719801e-08,7.8346224484124e-09,2.92849858696062e-09,6.1995583256573e-10,7.43308516801378e-11,5.04747177707874e-12,1.94123845808786e-13,4.22851423324912e-15,5.21680153884264e-17,3.64529001983794e-19,1.44269561962685e-21,3.23396827668321e-24,4.10599797392618e-27,2.9527529578637e-30,1.20271944717507e-33,2.77481336226446e-37,3.62609173499713e-41,2.68400091667072e-45,1.12530085386213e-49,2.67239075274049e-54,3.59484159425298e-59,2.73912063217609e-64,1.18221709801878e-69,2.89028731011883e-75,4.00263032620288e-81,3.13988375364283e-87,1.39523760562493e-93,3.51198085432158e-100,5.00758432175474e-107,4.04463485433484e-114,1.85058046291926e-121,4.79641509190738e-129,7.04218731911189e-137,5.85704715072757e-145,2.75933435520896e-153,7.3599739853692e-162,1.10792957878772e-170,9.27416553015241e-180
"12",-9.72859021264453e-25,-7.97001710821692e-23,-2.75869926458721e-21,1.26602503619062e-19,3.93005047312917e-17,4.19771637513169e-15,2.48111545080091e-13,8.28832821673878e-12,1.56767618340919e-10,1.67919693300842e-09,1.01862644098386e-08,3.4994609103592e-08,6.80870259574964e-08,7.50254431638146e-08,4.68206760220923e-08,1.65483834563032e-08,3.31257789020896e-09,3.75554572038631e-10,2.41146079228302e-11,8.76983211819247e-13,1.80638352059971e-14,2.10736565684962e-16,1.39246628663402e-18,5.21132184801748e-21,1.10467120967295e-23,1.32630553566773e-26,9.0195104623493e-30,3.47419807200214e-33,7.57986985655361e-37,9.36715671744896e-41,6.55686042808848e-45,2.59973700150811e-49,5.83863568856275e-54,7.42753903788465e-59,5.35221048296673e-64,2.18463621464893e-69,5.05109757849489e-75,6.61539850772883e-81,4.90786692889656e-87,2.06252351951292e-93,4.90995153516401e-100,6.62110413947255e-107,5.05779515306081e-114,2.18862919513659e-121,5.36494364848053e-129,7.44969472119764e-137,5.859576770005e-145,2.60939823353502e-153,6.55810561008915e-162,9.16522764966228e-171
"13",-6.73735317796809e-27,-9.21511632053266e-25,-5.32534920377585e-23,4.08026331603242e-21,2.11468745543899e-18,3.7710589101883e-16,3.72134010149732e-14,2.07549406017254e-12,6.55410023367566e-11,1.17208879756571e-09,1.18706907832702e-08,6.80870249535046e-08,2.21171793878434e-07,4.06889150343976e-07,4.23942917778023e-07,2.50165516197014e-07,8.36065171382183e-08,1.58252015925816e-08,1.69651837203937e-09,1.03008201839652e-10,3.54235965750306e-12,6.89961333975025e-14,7.61152553173735e-16,4.75594780186505e-18,1.68315605384286e-20,3.37393797664865e-23,3.83070442549523e-26,2.46349914588459e-29,8.97349767190532e-33,1.85144133742825e-36,2.16371608365561e-40,1.43230633882663e-44,5.37056578151063e-49,1.14065883919593e-53,1.37229087610408e-58,9.35178006558688e-64,3.60996572647947e-69,7.89360691353299e-75,9.77719839459987e-81,6.85997800027014e-87,2.72648544123194e-93,6.13844771044852e-100,7.82873409284185e-107,5.65593824469838e-114,2.31472711853246e-121,5.36630404926354e-129,7.04701526691059e-137,5.23939923286011e-145,2.19847584659376e-153,5.12966157015749e-162
"14",-2.64246783622698e-29,-6.03425114815657e-27,-5.82200824186222e-25,7.44757833038386e-23,6.44429246763749e-20,1.91864459437505e-17,3.16106004086762e-15,2.94345256297189e-13,1.55185374810213e-11,4.63340635586354e-10,7.83462170895331e-09,7.50254418572388e-08,4.0688914925783e-07,1.24975430648798e-06,2.17399269886696e-06,2.14180686216898e-06,1.19507498919416e-06,3.77664741089056e-07,6.75955212244852e-08,6.85225197081305e-09,3.93419911214506e-10,1.27935361418289e-11,2.35634957277788e-13,2.45814363044763e-15,1.45243505994183e-17,4.86084305794007e-20,9.21415072880441e-23,9.89307381117519e-26,6.01648380618466e-29,2.07249321799606e-32,4.04376211997336e-36,4.46913428948238e-40,2.79775509593952e-44,9.92082044858069e-49,1.99269191903321e-53,2.26720313098227e-58,1.46117216737433e-63,5.33428201425371e-69,1.10310554819914e-74,1.29219342953084e-80,8.57452661755596e-87,3.22305483891197e-93,6.86282367524941e-100,8.27786085225354e-107,5.65607848201207e-114,2.18923845091916e-121,4.79982240156308e-129,5.95804271500106e-137,4.1739378996508e-145,1.62597986185464e-153
"15",-5.86968793351122e-32,-2.23784935851416e-29,-3.60481056350571e-27,7.69886802765091e-25,1.11221616293528e-21,5.52854257710982e-19,1.52072621785697e-16,2.36416342331242e-14,2.08100635620716e-12,1.03734966650469e-10,2.92849830868568e-09,4.68206751767601e-08,4.2394291637521e-07,2.17399269747653e-06,6.31384163396214e-06,1.03852767293231e-05,9.67464614678745e-06,5.10444510046885e-06,1.52532427499683e-06,2.58154529562423e-07,2.47459952651489e-08,1.34351139469204e-09,4.1313561742218e-11,7.19552253784028e-13,7.09829379367293e-15,3.96616712532022e-17,1.25521143752284e-19,2.25006461148996e-22,2.28459202463523e-25,1.31389659351439e-28,4.2801188895673e-32,7.89761215234096e-36,8.25437617722559e-40,4.88679719217664e-44,1.63877394322791e-48,3.11294528539626e-53,3.34953569415004e-58,2.0415562756565e-63,7.04862842132492e-69,1.37853323375882e-74,1.52722149988232e-80,9.58432949596578e-87,3.40721113209886e-93,6.86145929599889e-100,7.82737175612906e-107,5.05819730147751e-114,1.85152692052137e-121,3.83716645731993e-129,4.48802404043042e-137,2.91894907428607e-145
