"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",-5.35506511716512e-31,-1.05916652497248e-33,-2.06543592875017e-36,-1.50692118063985e-40,9.54938080485088e-48,1.61211889624339e-54,7.30392331878589e-63,7.51014595021582e-73,1.1739929328837e-83,9.12994432316492e-97,1.2222423115923e-112,-3.44521506687223e-127,-5.85482435245489e-145,4.15156421801041e-164,1.12653567507358e-184,1.36713608122909e-205,1.76279141864755e-228,3.46823513989253e-252,2.69702421941461e-277,5.93967039215613e-304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",-1.12681308916348e-33,-4.42707363219923e-35,-2.6196411908141e-36,-5.7996021824081e-39,1.11521978070633e-44,5.71294317756146e-50,7.85410359432557e-57,2.4505658749159e-65,1.16241464066972e-74,2.74309786453114e-86,1.11431524268135e-100,-9.53113627975695e-114,-4.91495783345635e-130,1.05753626742947e-147,8.7077518402782e-167,3.20664160996202e-186,1.25463439826984e-207,7.49035465292306e-230,1.76748720135848e-253,1.18116715246694e-278,2.264504993491e-305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",-2.18463995481868e-33,-5.53474028124544e-35,-9.93802067345729e-35,-6.67626972540954e-36,3.89559426398197e-40,6.05551023479076e-44,2.52618439193969e-49,2.3917313052472e-56,3.44258492031299e-64,2.46514504250316e-74,3.03869303597189e-87,-7.88680354245433e-99,-1.23410958127489e-113,8.05762000172773e-130,2.01323809675023e-147,2.24966112859871e-165,2.67092353674154e-185,4.83865023739753e-206,3.46462082104574e-228,7.02568021921748e-252,4.08721877366469e-277,6.87226265921155e-304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",-3.634417991971e-32,-1.8754258759167e-35,-1.02183350237274e-33,-2.08301165583363e-33,3.68815468854628e-36,1.73965743291939e-38,2.20219425976312e-42,6.3267482121555e-48,2.76331509436129e-54,6.00434735652731e-63,2.2458861985174e-74,-1.7688032309043e-84,-8.39865628917762e-98,1.6639506844402e-112,1.26155559140176e-128,4.27765683463697e-145,1.5410895533865e-163,8.47165450262542e-183,1.84067579261867e-203,1.13262867514083e-225,1.99942281205882e-249,1.02012664811988e-274,1.51803954578801e-301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",-4.61767179837961e-42,-2.66721483230985e-37,-4.40976875112567e-34,-2.72775249943007e-32,1.4655477547701e-33,2.09764585281444e-34,8.05752462211389e-37,7.02431777185458e-41,9.30961225178966e-46,6.13825005495483e-53,6.96697253304775e-63,-1.66499701464886e-71,-2.39895073237571e-83,1.44221349661252e-96,3.31797478936135e-111,3.41389543319451e-126,3.73206959718523e-143,6.22540596612247e-161,4.10444392649113e-180,7.66376471350521e-201,4.10522379358073e-223,6.35570705045737e-247,2.86992434562908e-272,3.81337018349078e-299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",-6.67415918291573e-47,-1.16979316729684e-40,-5.86873477050872e-36,-1.10156775206935e-32,1.79590686248427e-32,7.79998176766285e-32,9.09160681092837e-33,2.405031331911e-35,9.67221107263757e-39,1.93515756993976e-44,6.66489695723659e-53,-4.8332625180958e-60,-2.11312816420089e-70,3.85488697663871e-82,2.69111811640317e-95,8.40209285783408e-109,2.78717719954933e-124,1.41078264460541e-140,2.82243755343016e-158,1.59915206140709e-177,2.59933360153124e-198,1.22114332299179e-220,1.67321134451818e-244,6.74631946404234e-270,8.07347611003626e-297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",-2.67104863046743e-53,-1.4206002901377e-45,-2.16264325746028e-39,-1.23176880392429e-34,6.09367631299231e-33,8.03094669373206e-31,2.84047770788157e-30,2.28007463263904e-31,2.78247758118368e-33,1.68927294236929e-37,1.7654463174538e-44,-3.88489285642875e-50,-5.15397234502043e-59,2.85302435470714e-69,6.04371774841465e-81,5.72580396802457e-93,5.76356457147748e-107,8.85246615645805e-122,5.3741043247129e-138,9.23951335392086e-156,4.55720893759046e-175,6.49652543180229e-196,2.70111384198003e-218,3.30473450603466e-242,1.20007343161748e-267,1.30416573988944e-294,4.44659081257122e-323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",-2.94155218050367e-61,-4.74727341228864e-52,-2.19298073138697e-44,-3.79015276868685e-38,5.68963596427132e-35,2.27535636994128e-31,2.44203369775647e-29,5.94821851226542e-29,2.20265819668002e-29,4.05782063090121e-32,1.28684168477087e-37,-8.59265221384912e-42,-3.45913774830496e-49,5.81043752609432e-58,3.73495277662187e-68,1.07372978546426e-78,3.27964829343236e-91,1.52854408608069e-104,2.81577125556348e-119,1.46898702553596e-135,2.19859576568472e-153,9.51053994406629e-173,1.1998984816072e-193,4.45467243529454e-216,4.9086786857508e-240,1.61870293902573e-265,1.60984986854957e-292,4.86160595507787e-321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",-8.88956919863333e-71,-4.35337408261116e-60,-6.10230826067614e-51,-3.20032162583658e-43,1.45780345546574e-38,1.76905569362091e-33,5.76131095712621e-30,4.25827948479651e-28,4.78488981871924e-27,2.67482431427409e-28,2.57397972261797e-32,-5.21536633230422e-35,-6.37093282394974e-41,3.24729384569187e-48,6.33396198964365e-57,5.52538981276655e-66,5.12121229013507e-77,7.24270938772419e-89,4.04853637728271e-102,6.40908776783952e-117,2.91072536468755e-133,3.8206618457599e-151,1.46270085579203e-170,1.64779951471657e-191,5.50973593643291e-214,5.51329104976996e-238,1.66382147405573e-263,1.52522455053697e-290,4.27505122033514e-319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",-7.35746314384826e-82,-1.09332921211573e-69,-4.65046833095063e-59,-7.40071635212399e-50,1.02295538439695e-43,3.76683682259719e-37,3.72249567636308e-32,8.34881105092622e-29,2.84668882239253e-26,4.82881871045819e-26,1.41002997158762e-28,-8.66933182439281e-30,-3.21352303378628e-34,4.97024234440095e-40,2.94177201806422e-47,7.7870697855096e-55,2.19008770660576e-64,9.39869101304819e-75,1.59419683562853e-86,7.65804122782533e-100,1.05535918878299e-114,4.2035406446186e-131,4.88325888981052e-149,1.66930690085685e-168,1.69371442921826e-189,5.14277952728141e-212,4.70946199027019e-236,1.31001401629179e-261,1.11419735530243e-288,2.9147862257455e-317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
