"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",8.77661999883383,0.101964007322427,0.0110658517486627,0.000585463906432493,9.46991512459458e-06,1.14666434457206e-07,6.44821221873024e-10,1.83666317592326e-12,2.71235650465493e-15,2.04980355842937e-18,7.92935020790588e-22,1.57223375441327e-25,1.59723450684414e-29,8.31321023387432e-34,2.21676174568204e-38,3.0282838411422e-43,2.11921923101464e-48,7.5966662257705e-54,1.39472083051201e-59,1.31124780648242e-65,6.31048555419317e-72,1.55356566820626e-78,1.95404894751301e-85,1.25286166432609e-92,4.07982205371052e-100,6.71131886080046e-108,5.53736345357096e-116,2.27208073823836e-124,4.59350221256263e-133,4.53344441152106e-142,2.16517961167934e-151,4.96562816050982e-161,5.43232287506716e-171,2.81918147628286e-181,6.90898748897086e-192,7.96632279543111e-203,4.30881446325624e-214,1.09060134449317e-225,1.28923645614203e-237,7.10664920175528e-250,1.8242964491952e-262,2.1784927300428e-275,1.20908895724943e-288,3.11656713007333e-302,3.7285098741178e-316,0,0,0,0,0
"2",0.102613326956515,0.00749593398956008,0.00166888493728913,0.000181135828924268,6.0105333699634e-06,1.49302102576828e-07,1.72239052216483e-09,1.00643217607266e-11,3.04904935939753e-14,4.7270763362792e-17,3.75129019272515e-20,1.52588873785801e-23,3.1800732615126e-27,3.3954699711766e-31,1.85743163543798e-35,5.20538778185713e-40,7.47300176637762e-45,5.49547116182928e-50,2.06981659468138e-55,3.9920138684992e-61,3.94123864898493e-67,1.99050036135974e-73,5.13606809542581e-80,6.75555672285507e-87,4.51296468208874e-94,1.52296974552737e-101,2.57779942431497e-109,2.16986413534728e-117,8.99943824139715e-126,1.82205908200784e-134,1.78521603365701e-143,8.39911900082201e-153,1.88498458632347e-162,2.00681783070086e-172,1.00893227162737e-182,2.38653713648439e-193,2.64807804070888e-204,1.37499685302177e-215,3.33450169496006e-227,3.77073430915252e-239,1.98572524160531e-251,4.86454861428715e-264,5.53869406369749e-277,2.92879043554391e-290,7.18802863065003e-304,8.18332292716711e-318,0,0,0,0
"3",0.0104210471398291,0.00228280689167507,0.00104263549519252,0.000232152392202631,1.5803180565993e-05,8.05304457272459e-07,1.90584903006732e-08,2.2845679021182e-10,1.41986385019319e-12,4.51582966555218e-15,7.35170865114796e-18,6.13469792772438e-21,2.62282992410107e-24,5.7450734846407e-28,6.44720116944399e-32,3.70658668384857e-36,1.09163850778422e-40,1.64683991564049e-45,1.27245081876154e-50,5.03458725076015e-56,1.01968786905751e-61,1.05647559669566e-67,5.59230270881101e-74,1.50898086520193e-80,2.06798417947788e-87,1.43165786193665e-94,4.97118331539236e-102,8.58431977019326e-110,7.30384310797725e-118,3.03362000327305e-126,6.09750538005298e-135,5.88515407543997e-144,2.70953394043664e-153,5.91776115398071e-163,6.10343304228094e-173,2.9617135826033e-183,6.74168302890529e-194,7.18128137151821e-205,3.57267796120182e-216,8.28803450257946e-228,8.95380153002976e-240,4.49980345138732e-252,1.05104440087993e-264,1.140157039333e-277,5.74048865490341e-291,1.3406996345753e-304,1.45162909601554e-318,0,0,0
"4",0.000587920985009876,0.000213736296624011,0.000200264652048885,9.14761013764405e-05,1.27744342591241e-05,1.33542642463358e-06,6.48352287588592e-08,1.59437072745077e-09,2.03279991072173e-11,1.32631955370766e-13,4.42957028516795e-16,7.58279267482839e-19,6.65072236005584e-22,2.98852549923554e-25,6.88010852270828e-29,8.11448417461685e-33,4.9026206810607e-37,1.51727226755993e-41,2.40500414967145e-46,1.9520969622365e-51,8.1108702860126e-57,1.72394085716303e-62,1.87204486870404e-68,1.03626780144909e-74,2.91338696503316e-81,4.1376418198509e-88,2.94737990261701e-95,1.0441067799293e-102,1.82243964315849e-110,1.55283598608257e-118,6.40293789214544e-127,1.26779088128586e-135,1.19742155388299e-144,5.3650354734101e-154,1.13514682576748e-163,1.13001341947638e-173,5.2768112869879e-184,1.15310237313069e-194,1.17685371602988e-205,5.60070698130265e-217,1.24125626745494e-228,1.27970605444903e-240,6.13197580430304e-253,1.36460428871907e-265,1.40946277814309e-278,6.75303388159808e-292,1.49998135363567e-305,1.54267057257471e-319,0,0
"5",2.58461386299208e-06,8.75937547033846e-06,1.68368891401736e-05,1.57771258013068e-05,4.51985608022572e-06,9.69316455692131e-07,9.65426814285307e-08,4.87035155619873e-09,1.27387941914762e-10,1.70507917432119e-12,1.16820931295962e-14,4.10252218475091e-17,7.38164684908293e-20,6.80462350262355e-23,3.21369837411515e-26,7.77559141244451e-30,9.63748014030184e-34,6.11873173207902e-38,1.9896487437357e-42,3.31302457205109e-47,2.82392668067668e-52,1.23132022382056e-57,2.74301127694017e-63,3.11491380123033e-69,1.79653172576669e-75,5.23422395008246e-82,7.64888646919279e-89,5.55865476951705e-96,1.99040122215668e-103,3.47917081918468e-111,2.94301275072981e-119,1.19542729444837e-127,2.31624931830276e-136,2.12898950444947e-145,9.24092937342447e-155,1.8871651257804e-164,1.80784234083875e-174,8.10437533296432e-185,1.69682421189474e-195,1.65660859628817e-206,7.5318420281799e-218,1.59298857948741e-229,1.56590553606786e-241,7.14882306328156e-254,1.51476100706968e-266,1.48885404020766e-279,6.78424846129294e-293,1.4313289638899e-306,1.38881853045974e-320,0
"6",2.83494680200922e-08,1.97099297543286e-07,7.77206591936958e-07,1.49405023758119e-06,8.78060838791844e-07,3.86303174335227e-07,7.89304788503119e-08,8.16861412361869e-09,4.38307680121479e-10,1.2035329886213e-11,1.69159659463714e-13,1.21868022948185e-15,4.49836592538192e-18,8.5068408335633e-21,8.24198858396591e-24,4.09093911893031e-27,1.0401974156766e-30,1.35480370685731e-34,9.03761975613161e-39,3.08720166245193e-43,5.39829294656225e-48,4.82877237799958e-53,2.20676457497014e-58,5.14087605075894e-64,6.08259191502331e-70,3.63553875846984e-76,1.08987673720416e-82,1.62484358334575e-89,1.19356253043078e-96,4.27999230631446e-104,7.42714784858633e-112,6.18893302000283e-120,2.46003116403866e-128,4.63864903037399e-137,4.13044015467538e-146,1.73042696800083e-155,3.40068664184042e-165,3.12743503655035e-175,1.34328539560912e-185,2.69038256938616e-196,2.50933140490741e-207,1.0887600351944e-218,2.1955723740159e-230,2.05626666795266e-242,8.93823345822008e-255,1.80228052560533e-267,1.68474703375962e-280,7.29180598192429e-294,1.4519229735593e-307,1.28951133564565e-321
"7",1.60675362528288e-10,2.29167032238881e-09,1.85381430437026e-08,7.31067779841452e-08,8.81413586105238e-08,7.95510833661712e-08,3.33445797715925e-08,7.0793206116543e-09,7.79264640300788e-10,4.3896164815156e-11,1.26569210374068e-12,1.87061203236884e-14,1.41648320006652e-16,5.49525238813826e-19,1.09222983304213e-21,1.11216117953265e-24,5.8012712893525e-28,1.55005272291842e-31,2.12122554549013e-35,1.48648479860525e-39,5.33230043610684e-44,9.78492689750649e-49,9.17359461642785e-54,4.3841293917173e-59,1.06413713777485e-64,1.30478930462721e-70,8.02438359541567e-77,2.45419206470003e-83,3.69832313068645e-90,2.72060414215509e-97,9.68516726041973e-105,1.65563091759944e-112,1.35005370050586e-120,5.22233392934471e-129,9.53964355147221e-138,8.19882803844469e-147,3.30542880726213e-156,6.23608719285931e-166,5.49483763394499e-176,2.25768475772378e-186,4.31986297862538e-197,3.84509266068887e-208,1.59068829768604e-219,3.05618368893155e-231,2.72530053249296e-243,1.12732149161827e-255,2.1618362077506e-268,1.91949011501482e-281,7.84073980113913e-295,1.42732037470106e-308
"8",4.60988347390577e-13,1.34882463445445e-11,2.23837201199985e-10,1.81086623522349e-09,4.4788978449798e-09,8.29278115414046e-09,7.13086219955266e-09,3.10578269742645e-09,7.01337634895689e-10,8.10459731551802e-11,4.79397344049203e-12,1.45349641810583e-13,2.25789821230486e-15,1.79698008776326e-17,7.32710381741446e-20,1.53055426395749e-22,1.63782261820648e-25,8.97744698056257e-29,2.52032133917741e-32,3.62319934879548e-36,2.66630027487588e-40,1.00372495411374e-44,1.93045361161693e-49,1.89263068994453e-54,9.42416333059167e-60,2.37054542450392e-65,2.99076482620678e-71,1.87647083965422e-77,5.80097261742005e-84,8.75435202075013e-91,6.3933497859632e-98,2.24206168878615e-105,3.75057420843858e-113,2.97628178768421e-121,1.11533221272344e-129,1.96646655727783e-138,1.62639220601124e-147,6.29466098349018e-157,1.13783088901195e-166,9.59066774576052e-177,3.76459452148905e-187,6.87412988323931e-198,5.83389621876623e-209,2.29940650616028e-220,4.2064273523439e-232,3.56951710717016e-244,1.40425880879516e-256,2.55783743855415e-269,2.14341759287129e-282,8.00449437707755e-296
"9",6.79199585889757e-16,4.07685854809224e-14,1.38792216160813e-12,2.30346651825549e-11,1.16877087145621e-10,4.43936768274466e-10,7.83115184610377e-10,6.99708833210733e-10,3.24142609619298e-10,7.68427874783613e-11,9.32459509027276e-12,5.79977323930548e-13,1.84826439353854e-14,3.01762793454409e-16,2.52416337597777e-18,1.08167436417602e-20,2.37452835046053e-23,2.67009081659545e-26,1.53777143749344e-29,4.535140983925e-33,6.8465267562882e-37,5.28735734555064e-41,2.08615225243322e-45,4.19580405662621e-50,4.28602612650426e-55,2.21168351480228e-60,5.72426397231326e-66,7.36786903774727e-72,4.67265355982662e-78,1.44660333728059e-84,2.16728792709506e-91,1.55918767502748e-98,5.35070844788825e-106,8.7106439260301e-114,6.6964271584541e-122,2.42207818367752e-130,4.10950550625359e-139,3.26286658691406e-148,1.20994987919506e-157,2.09219035745269e-167,1.68474139041757e-177,6.31096051238329e-188,1.09875058058159e-198,8.88421098507526e-210,3.33410436461764e-221,5.80414100173233e-233,4.68423131256797e-245,1.75035768288524e-257,3.00900802358139e-270,2.30522408279787e-283
"10",5.13251456771617e-19,6.32005868490662e-17,4.41390790436234e-15,1.50280541196466e-13,1.56427431797057e-12,1.21889793511245e-11,4.41097462619902e-11,8.08516636126849e-11,7.6837003085055e-11,3.73680205560842e-11,9.30228527926297e-12,1.18695259741672e-12,7.75977533922542e-14,2.59904280111051e-15,4.45992844158229e-17,3.9207545568726e-19,1.76568475549257e-21,4.07309491675713e-24,4.8123031419592e-27,2.91148575050782e-30,9.01689215684836e-34,1.42852524046611e-37,1.15626650645113e-41,4.77078486051646e-46,9.99751667859085e-51,1.05833459708973e-55,5.61930176377263e-61,1.48377240258012e-66,1.93041935588727e-72,1.22602755991551e-78,3.76816638733918e-85,5.56127718914193e-92,3.91516550684551e-99,1.30753038093072e-106,2.06208881268541e-114,1.53008326186718e-122,5.32573021266184e-131,8.67464282104904e-140,6.59906422381961e-149,2.34087843117232e-158,3.86699489668881e-168,2.97165580528376e-178,1.06136521389665e-188,1.76054562804e-199,1.35540879953189e-210,4.84051705316518e-222,8.01410120194663e-234,6.14336026023352e-246,2.16653252906553e-258,3.40500462128299e-271
