"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",9.01735730254215,2.12874147707035e-06,1.54394846155707e-06,1.11386190061466e-06,9.89927160856999e-11,1.97715350340957e-10,3.60503055121991e-10,6.00125612933637e-10,9.12217046566302e-10,1.26640087725183e-09,1.60622612054892e-09,1.86218101571621e-09,1.97484435080378e-09,1.91773484985843e-09,1.70770003016937e-09,1.39714789805779e-09,1.05287892797653e-09,7.33150350328735e-10,4.734889570138e-10,2.8477751139125e-10,1.60149159880633e-10,8.44925643417595e-11,4.19059626290297e-11,1.95450584376805e-11,8.55999629529358e-12,3.51028712350799e-12,1.34291225874643e-12,4.77428757967317e-13,1.57169348342454e-13,4.77646564928407e-14,1.33685334496817e-14,3.43972295166135e-15,8.12602190543969e-16,1.76109222959479e-16,3.49952918205502e-17,6.37435464586355e-18,1.06416654406733e-18,1.62827026532609e-19,2.28357623972572e-20,2.9357877355326e-21,3.46028836353626e-22,3.73973638066984e-23,3.70657855477562e-24,3.36952397576337e-25,2.8098428692766e-26,2.14962714722506e-27,1.50888236073108e-28,9.71843352903416e-30,5.74404032869361e-31,3.11562532160779e-32
"2",2.13305982718923e-06,1.97970190559079e-12,1.4669474357521e-12,1.08122972502335e-12,9.817360571354e-17,2.00325744146715e-16,3.7317298792883e-16,6.34670463052581e-16,9.8561926236718e-16,1.39793531359791e-15,1.81145450689026e-15,2.14559385435904e-15,2.32468101015735e-15,2.30634318367241e-15,2.09822390498469e-15,1.75383002391288e-15,1.35029427708763e-15,9.60611792583903e-16,6.33825337305712e-16,3.89466678164353e-16,2.2376602904317e-16,1.20612648901728e-16,6.11160194013045e-17,2.91219925392434e-17,1.3030544508718e-17,5.45929424504789e-18,2.13376395338377e-18,7.75018706874943e-19,2.6066116794975e-19,8.09319524054112e-20,2.3142059187184e-20,6.08340277387953e-21,1.46827015188992e-21,3.25098493225189e-22,6.60005188111134e-23,1.22822752738081e-23,2.0948700114097e-24,3.27475523399678e-25,4.69215924193653e-26,6.16292316471296e-27,7.42128769701735e-28,8.19431847992684e-29,8.29755104803031e-30,7.7063751960288e-31,6.56551060190705e-32,5.13161995345453e-33,3.68003206569419e-34,2.42157187649634e-35,1.4622561287775e-36,8.10319087359043e-38
"3",1.54801817113179e-06,5.18029677809813e-12,3.92169908231336e-12,2.95312999852704e-12,2.73945521442408e-16,5.71098608195699e-16,1.08689955570369e-15,1.88856689575577e-15,2.99638864355667e-15,4.34191092939156e-15,5.74812415565436e-15,6.95586427444416e-15,7.69966490853825e-15,7.8043594193088e-15,7.25387447733163e-15,6.19456166181322e-15,4.87255086120454e-15,3.54144696314761e-15,2.38730165368565e-15,1.49869370570578e-15,8.79714207929629e-16,4.84445784381895e-16,2.5079118057691e-16,1.22090862086982e-16,5.58122476114557e-17,2.38895695812844e-17,9.53944417808675e-18,3.53992251969097e-18,1.21636182711892e-18,3.85843632123011e-19,1.12719276864397e-19,3.02724548201101e-20,7.46469233836449e-21,1.68859606705783e-21,3.50237819558883e-22,6.65885245509773e-23,1.16033266759718e-23,1.85314396165073e-24,2.71273849892116e-25,3.6402131627752e-26,4.47841364855974e-27,5.05199195397277e-28,5.22642374404021e-29,4.95917814013825e-30,4.31651188260675e-31,3.44686118319975e-32,2.52537446742421e-33,1.69776048339414e-34,1.04738748722196e-35,5.92986592729687e-37
"4",1.11768703338864e-06,1.23672509765671e-11,9.56527970454406e-12,7.35886519085667e-12,6.97424758718836e-16,1.48541953830492e-15,2.8882335986432e-15,5.12719873732588e-15,8.31095241122857e-15,1.23037766112677e-14,1.66413495003111e-14,2.05739829334305e-14,2.32671920836618e-14,2.40942985055793e-14,2.28797847818759e-14,1.99616921411656e-14,1.60416127622335e-14,1.1911796456543e-14,8.20367968280536e-15,5.26161604847149e-15,3.15538786206123e-15,1.77525686091659e-15,9.38929864440526e-16,4.66991448163693e-16,2.18102253992913e-16,9.53770401849424e-17,3.89101998186301e-17,1.47515963713126e-17,5.17860660524088e-18,1.67828746184858e-18,5.00908130652915e-19,1.37439764131829e-19,3.46243435655917e-20,8.00203199345696e-21,1.69567424853466e-21,3.29369704824395e-22,5.86369877816732e-23,9.56760343249956e-24,1.4308918573636e-24,1.96169087253581e-25,2.46565798396047e-26,2.84168643681811e-27,3.00346791375632e-28,2.91160838734413e-29,2.58917298986831e-30,2.11230581476006e-31,1.58111573548994e-32,1.08597335751017e-33,6.84470925791884e-35,3.95910821546527e-36
"5",3.39079844171159e-11,2.69369497100313e-11,2.12852026583452e-11,1.67299959860775e-11,1.61989634258122e-15,3.52487621584761e-15,7.00215835781514e-15,1.26994419858953e-14,2.10310112956738e-14,3.18091945840691e-14,4.39549359320793e-14,5.55190925678224e-14,6.41464805461223e-14,6.78653384070893e-14,6.58401090803036e-14,5.86868547207965e-14,4.81832825720371e-14,3.6553628469725e-14,2.57197533022027e-14,1.68531905688725e-14,1.03257261527938e-14,5.93518043504487e-15,3.20708709174098e-15,1.62963897484366e-15,7.77584335956363e-16,3.47405000019502e-16,1.44797331803492e-16,5.60842598969234e-17,2.0114987524199e-17,6.66005891478676e-18,2.03083517185927e-18,5.69290413489816e-19,1.46523705162203e-19,3.459644713471e-20,7.48994307596083e-21,1.48636208016617e-21,2.7034447168608e-22,4.50665052176816e-23,6.88592679970532e-24,9.64475133637426e-25,1.23850616446636e-25,1.45829829027371e-26,1.57470092712916e-27,1.55959890828835e-28,1.41692186748373e-29,1.18099077123936e-30,9.03146585679831e-32,6.33750957604793e-33,4.08093180507873e-34,2.41160724001873e-35
"6",6.59522140721877e-11,5.35279602808884e-11,4.32130522664172e-11,3.47006703382268e-11,3.43268637975507e-15,7.63124939020687e-15,1.54877588849738e-14,2.86976386785497e-14,4.85541723648202e-14,7.50280995808714e-14,1.05921421129856e-13,1.36685794365963e-13,1.61346195599401e-13,1.74396911494325e-13,1.72856687580319e-13,1.57413274595073e-13,1.32038863336801e-13,1.02338903843063e-13,7.35668126845882e-14,4.92495365154494e-14,3.08280101548543e-14,1.81035477189381e-14,9.99413916900287e-15,5.18836971928751e-15,2.52925076975373e-15,1.1544771099176e-15,4.91603193192583e-16,1.94536009722289e-16,7.1282619715243e-17,2.4112754796017e-17,7.51187425478942e-18,2.151356475173e-18,5.65706636810162e-19,1.36464521704099e-19,3.01836424241706e-20,6.11959416196807e-21,1.13715685007399e-21,1.93669679612901e-22,3.02325673469673e-23,4.3262193616487e-24,5.67571459153962e-25,6.82768720656683e-26,7.53234507041937e-27,7.62166614413116e-28,7.07437008998555e-29,6.02411496115453e-30,4.7066279115811e-31,3.3742334340765e-32,2.21983506635583e-33,1.34020990516834e-34
"7",1.17037725113383e-10,9.70469879787206e-11,8.00425992936975e-11,6.56672726617408e-11,6.63666835655816e-15,1.50735834606968e-14,3.12546267260519e-14,5.91666220448483e-14,1.02273246435991e-13,1.61459761488408e-13,2.3287830621705e-13,3.07024823281029e-13,3.70265896362386e-13,4.08882616445128e-13,4.14048216489745e-13,3.8522189164908e-13,3.3012336052011e-13,2.61408747083958e-13,1.91984501021289e-13,1.31308019484493e-13,8.39729616920068e-14,5.0380508064693e-14,2.84150954182491e-14,1.50709113870354e-14,7.50594478618962e-15,3.5002871635671e-15,1.52278264406903e-15,6.1564180225926e-16,2.30471179157486e-16,7.96497974556512e-17,2.53507626804531e-17,7.41754129017157e-18,1.99270835929221e-18,4.9110810371543e-19,1.10977225915561e-19,2.298739260411e-20,4.36407632688433e-21,7.5934384013093e-22,1.21103513551863e-22,1.77049671516147e-23,2.37307799057569e-24,2.91655354492277e-25,3.28724004736515e-26,3.3982553322627e-27,3.22254311020117e-28,2.80355503228683e-29,2.23784794706692e-30,1.63908209921505e-31,1.10166909090701e-32,6.79529249025426e-34
"8",1.89505413427838e-10,1.60539787571076e-10,1.35277846420787e-10,1.13385978141055e-10,1.17075322247134e-14,2.71666839396261e-14,5.7549202673622e-14,1.11302941999452e-13,1.96560742917963e-13,3.17032601126994e-13,4.67168471608652e-13,6.29249466400619e-13,7.75296731375702e-13,8.74697250626659e-13,9.04929835176525e-13,8.6016114836957e-13,7.53095399599873e-13,6.09254474030131e-13,4.57140453900162e-13,3.19432875531636e-13,2.08704928639406e-13,1.27926539322209e-13,7.37143604045838e-14,3.99436155895539e-14,2.03244170018324e-14,9.68325304458774e-15,4.30388242198895e-15,1.7776876495229e-15,6.79905966546897e-16,2.40061092711686e-16,7.80608016128771e-17,2.33349472733e-17,6.40465098533112e-18,1.61262615899685e-18,3.7230197391626e-19,7.87872717087531e-20,1.52814146616464e-20,2.7165304114019e-21,4.42626809024325e-22,6.61121028193196e-23,9.0532128522271e-24,1.13675153201277e-24,1.30897661399121e-25,1.38248793444888e-26,1.33939586206803e-27,1.19048568262626e-28,9.70846434817938e-30,7.26483152221803e-31,4.98862523014429e-32,3.14371193007504e-33
"9",2.80010385999674e-10,2.42348355979871e-10,2.08635856497454e-10,1.78659655998174e-10,1.88467894432228e-14,4.4680036704981e-14,9.66987981453154e-14,1.91070343133977e-13,3.44737318205886e-13,5.68067982337194e-13,8.55213972476012e-13,1.17687135607124e-12,1.48142259388822e-12,1.70755085431488e-12,1.8048273622472e-12,1.75269140257959e-12,1.56776333243974e-12,1.29578846467061e-12,9.9332167414709e-13,7.09128176437444e-13,4.73350358531372e-13,2.96425479431659e-13,1.74506599351938e-13,9.66077575711251e-14,5.02212593822812e-14,2.44453161106469e-14,1.11004260811158e-14,4.68424476708636e-15,1.83036562838125e-15,6.60261010570114e-16,2.19347028170768e-16,6.69900722428351e-17,1.87846870774354e-17,4.83222414629895e-18,1.13976045292928e-18,2.46421831490018e-19,4.88305430428729e-20,8.8684442282311e-21,1.47630284571693e-21,2.25280492740529e-22,3.15173882756934e-23,4.04313193273134e-24,4.75651780563706e-25,5.13243506297548e-26,5.08014303946656e-27,4.61313366921523e-28,3.84350346102453e-29,2.93837457639848e-30,2.06142416980376e-31,1.32719306095694e-32
"10",3.77643012488514e-10,3.33927560941546e-10,2.93701395957707e-10,2.56949886020571e-10,2.76926290888529e-14,6.70726098940679e-14,1.48305628978146e-13,2.99388225772658e-13,5.51867229758924e-13,9.29076539549482e-13,1.42899544225549e-12,2.00904619496116e-12,2.58371596295014e-12,3.04259624818588e-12,3.28557374549734e-12,3.25976193117006e-12,2.97896776823474e-12,2.51549978913544e-12,1.97008498884168e-12,1.43689378483924e-12,9.79912976885379e-13,6.26938880200612e-13,3.77073839034314e-13,2.13270812244008e-13,1.13269216097293e-13,5.63280643742952e-14,2.6132062813541e-14,1.12662270358769e-14,4.49760845398394e-15,1.65754115151192e-15,5.62581304958643e-16,1.75537076786956e-16,5.02883347646566e-17,1.3216462722373e-17,3.18483269027316e-18,7.03488648138646e-19,1.42421101757916e-19,2.64262233033024e-20,4.49436140578903e-21,7.00682058541566e-22,1.0015035801341e-22,1.31257785118109e-23,1.57761548173027e-24,1.73916333164944e-25,1.75872412883487e-26,1.63163380371492e-27,1.38886107488409e-28,1.08478472642976e-29,7.77514759747654e-31,5.11422999434857e-32
