"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",0.793713358553142,5.85977344496801e-10,2.04133443770967e-20,9.23820477507939e-35,5.4312662408064e-53,4.14815222817605e-75,4.11574410043798e-101,5.30496018086755e-131,8.88292464498544e-165,1.93227935107523e-202,5.46039340282834e-244,2.00455528790385e-289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1.92326903162709,0.00347010040167386,1.38222000017456e-09,7.15240981293189e-20,4.80803580750774e-34,4.19877963243198e-52,4.76341648963592e-74,7.02027484324166e-100,1.34409436331345e-129,3.34307015149083e-163,1.08019286820825e-200,4.53416381414825e-242,2.47248231053151e-287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0.825441040333621,1.18894374055629,0.00541499714764399,3.20387264960536e-09,2.46259131393611e-19,2.45894903208791e-33,3.18967765581847e-51,5.37507032399642e-73,1.17668872110303e-98,3.34640974325445e-128,1.23633660220739e-161,5.93382075307898e-199,3.69974851766449e-240,2.99674694991664e-285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0.791528235552574,0.0235688622409721,1.22737519097542,0.00830340361282358,7.29751576984704e-09,8.33170762001632e-19,1.23575701769701e-32,2.38107039474997e-50,5.96007150884031e-72,1.93807594435874e-97,8.18710192465586e-127,4.49293037565284e-160,3.20309091437826e-197,2.96653125191069e-238,3.56918184882485e-283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",5.89757602032401e-18,2.70317386632431e-08,0.0160958715649525,1.24507381976108,0.0125116846586532,1.63333987295988e-08,2.76998504116806e-18,6.10264867620261e-32,1.74662390256378e-49,6.49412307570392e-71,3.13676307074653e-96,1.96826243133823e-125,1.60444330452165e-158,1.69904872171386e-195,2.33736951692008e-236,4.1772359242489e-281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",3.42267106659484e-32,1.79377262225879e-18,1.22126441908079e-08,0.0108016997906049,1.24112232254816,0.0185258078910007,3.59235966096948e-08,9.04945763523796e-18,2.96145663034477e-31,1.25900741525787e-48,6.95330507724494e-70,4.98878016156793e-95,4.64983491125808e-124,5.6301606446156e-157,8.85613289505729e-194,1.80970400956654e-234,4.80408914625169e-279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",1.14925083622451e-50,6.8868218916405e-33,5.36121173635085e-19,5.42184569422585e-09,0.0071231392195297,1.21572625864824,0.0269550565463227,7.76398669899769e-08,2.90515563649224e-17,1.41219318041927e-30,8.91782409680285e-48,7.31583292722079e-69,7.79666261650542e-94,1.07942827390373e-122,1.94141742380146e-155,4.53611589418624e-192,1.37685893184567e-232,5.429187443599e-277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",2.23265974577037e-73,1.52977782175421e-51,1.36167750803716e-33,1.57456376491826e-19,2.36530052024208e-09,0.00461585850189353,1.17019633186069,0.0385394101212964,1.6488892220342e-07,9.16469425168888e-17,6.61735704193472e-30,6.20713570291009e-47,7.56376449229188e-68,1.19736026379304e-92,2.46236126108378e-121,6.57837738383457e-154,2.28310499252744e-190,1.02937370161537e-230,6.02920900531102e-275,4.44659081257122e-323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",2.50950638508913e-100,1.96605615622641e-74,2.00098400531824e-52,2.64564397930774e-34,4.54421918630511e-20,1.0139749502057e-09,0.00293924147053067,1.1068362964509,0.0541466514272091,3.44112065680014e-07,2.84098069664431e-16,3.04703014285304e-29,4.24546537855163e-46,7.68447040055846e-67,1.80693556524073e-91,5.51964917802686e-120,2.19038456364987e-152,1.1291960503138e-188,7.56237860239399e-229,6.57941934083006e-273,7.43568796991076e-321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",1.6319697962409e-131,1.4619129908631e-101,1.70126128628859e-75,2.57193861396298e-53,5.05114997756173e-35,1.28872428927025e-20,4.27139612867121e-10,0.00183916109256065,1.02874983235975,0.0747549352179378,7.05683636255114e-07,8.65406812774911e-16,1.37870280157932e-28,2.85338971714932e-45,7.67169999080502e-66,2.67955216106587e-90,1.21583014117056e-118,7.16677353123573e-151,5.48800555050047e-187,5.45940720096051e-227,7.055316810329e-271,1.18447791999626e-318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
