"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",-2.78403282432761e-15,-3.18862182012744e-15,-3.45492875217548e-15,-1.8029860408352e-15,-4.11888626207501e-15,-3.68845527173836e-15,-3.22608323285834e-15,-6.00991100479459e-15,-5.36025748687269e-15,-5.52714350337429e-15,-6.92600444268359e-15,-9.00001877876895e-15,-8.70785607324878e-15,-5.30832678359832e-15,-8.50895142747299e-15,-9.66196066599183e-15,-1.10063460408425e-14,-1.2293205575907e-14,-8.60264602923111e-15,-1.23996852224683e-14,-8.92721449560361e-15,-1.14432424318289e-14,-1.63436184933249e-14,4.46263059254718e-14,6.05307178821522e-10,1.33795743075584e-06,0.000704390635652139,0.0862794660987868,2.25148710754392,10.2417016233111,5.91991238189389,0.51178905501325,0.00870780725432414,3.33697303081014e-05,3.03000048945509e-08,6.5226387902288e-12,3.22346935669833e-16,3.46783184972434e-21,7.63536030920234e-27,3.26845048265251e-33,2.69013479681471e-40,4.4770770438544e-48,1.60558779676376e-56,1.25706055867964e-65,2.1256204877166e-75,7.53812703810138e-86,5.43965099699953e-97,7.78153415260062e-109,2.20415913741531e-121,1.27536244672392e-134
"2",-7.30291094038584e-17,-8.36420496607676e-17,-9.06276562619539e-17,-4.72948679624795e-17,-1.08044198626779e-16,-9.67533863887093e-17,-8.46247153767901e-17,-1.57648445967083e-16,-1.40607117495542e-16,-1.44984773193625e-16,-1.81678869500581e-16,-2.36083192083139e-16,-2.28419352059876e-16,-1.39244901871608e-16,-2.23201802535903e-16,-2.53446861821002e-16,-2.88711987204223e-16,-3.22468128637764e-16,-2.25659544148198e-16,-3.2526124001564e-16,-2.34173433004908e-16,-3.00172396024368e-16,-4.28716174814573e-16,1.17061097457012e-15,1.58780614218419e-11,3.5096511339435e-08,1.8477160306656e-05,0.00226323214079079,0.0590596838016496,0.26865428517751,0.155287655095446,0.0134249490751916,0.000228418071470596,8.75335112486022e-07,7.94811883339064e-10,1.71098019265816e-13,8.45561497167917e-18,9.09661227176331e-23,2.00286274819079e-28,8.57360681213851e-35,7.05660316469709e-42,1.17440048259528e-49,4.21168334808263e-58,3.29744722349896e-67,5.57580247589322e-77,1.97735708916666e-87,1.4268972129473e-98,2.0412062099066e-110,5.78182043628358e-123,3.34545565833507e-136
"3",-7.75892194457941e-17,-8.88648567537157e-17,-9.62866611268743e-17,-5.02480712000413e-17,-1.14790733524339e-16,-1.02794896308028e-16,-8.9908882437511e-17,-1.67492387203919e-16,-1.49386957941264e-16,-1.54037964798521e-16,-1.93023327128231e-16,-2.50824784083077e-16,-2.42682395791389e-16,-1.47939682357039e-16,-2.3713905015443e-16,-2.692726823619e-16,-3.06739845449029e-16,-3.42603800065349e-16,-2.39750258956702e-16,-3.45571319913306e-16,-2.48795775138302e-16,-3.18915869258485e-16,-4.55486225139313e-16,1.24370668810014e-15,1.68695250714368e-11,3.72880203842847e-08,1.96309178281244e-05,0.00240455370005256,0.0627475099216162,0.28542969314356,0.164984182975491,0.0142632345970882,0.000242681035239091,9.29993103923825e-07,8.44441814201576e-10,1.81781783619214e-13,8.98360353757916e-18,9.66462622272999e-23,2.12792622774297e-28,9.10896306718242e-35,7.49723412974608e-42,1.24773282195494e-49,4.47467080179558e-58,3.50334761471798e-67,5.9239687491742e-77,2.10082793514038e-87,1.51599604439529e-98,2.16866394575247e-110,6.14285095750164e-123,3.55435380959225e-136
"4",-8.3862236792455e-17,-9.60494990520449e-17,-1.04071349512906e-16,-5.43105817462947e-17,-1.24071459220223e-16,-1.1110576954911e-16,-9.71779332563999e-17,-1.81033993342873e-16,-1.61464756702793e-16,-1.66491793205708e-16,-2.08629086382344e-16,-2.71103738205368e-16,-2.62303045275976e-16,-1.599004702128e-16,-2.56311525220102e-16,-2.91043132167987e-16,-3.31539481083438e-16,-3.70303003591212e-16,-2.59133847863052e-16,-3.7351044470163e-16,-2.68910685745295e-16,-3.44699925268761e-16,-4.92311869370212e-16,1.34425923501758e-15,1.82334107266725e-11,4.03027226891155e-08,2.12180595592347e-05,0.00259895966494238,0.0678205886432429,0.308506422476977,0.178323003099245,0.015416404053955,0.00026230157472427,1.00518219481634e-06,9.12714161656148e-10,1.96478674374082e-13,9.70991965764438e-18,1.04460024033028e-22,2.29996711479394e-28,9.84541439042906e-35,8.1033786442006e-42,1.34861087810795e-49,4.83644383883291e-58,3.78659006148422e-67,6.40291619818945e-77,2.27067795004732e-87,1.63856293644406e-98,2.34399844000251e-110,6.63949483263795e-123,3.84172006050962e-136
"5",-8.91093372202717e-17,-1.02059133266964e-16,-1.10582895632336e-16,-5.77086914034603e-17,-1.31834374110812e-16,-1.18057445932091e-16,-1.03258171450212e-16,-1.92360945499773e-16,-1.71567298995688e-16,-1.7690886759784e-16,-2.21682610951704e-16,-2.88066182746891e-16,-2.78714847223154e-16,-1.69905138079435e-16,-2.72348449169139e-16,-3.09253146612165e-16,-3.52283274947847e-16,-3.93472157227954e-16,-2.75347359164319e-16,-3.96880281819595e-16,-2.8573591517139e-16,-3.66267143059794e-16,-5.23114885354447e-16,1.42836697500803e-15,1.93742405075577e-11,4.28243872851553e-08,2.25456331328592e-05,0.00276157162106688,0.0720639937001034,0.327809081734317,0.189480333760091,0.0163809790927427,0.00027871328466183,1.0680745302248e-06,9.69820948349097e-10,2.08771970806379e-13,1.03174508366157e-17,1.10995888776893e-22,2.44387167653209e-28,1.04614232167605e-34,8.61039161186056e-42,1.43299089211821e-49,5.13905091809143e-58,4.023509789499e-67,6.80353446938987e-77,2.41274994453291e-87,1.74108469848694e-98,2.49065795789466e-110,7.0549153783961e-123,4.08208916756002e-136
"6",-9.09441429292582e-17,-1.04160581737056e-16,-1.12859852621938e-16,-5.88969421496585e-17,-1.34548909644403e-16,-1.20488307641331e-16,-1.05384308714683e-16,-1.96321753334272e-16,-1.75099955274957e-16,-1.80551509439474e-16,-2.26247166506099e-16,-2.93997609162548e-16,-2.84453724975104e-16,-1.73403569636206e-16,-2.77956239609034e-16,-3.1562082318374e-16,-3.59536963329089e-16,-4.01573945244001e-16,-2.81016898657135e-16,-4.05052244821258e-16,-2.91619360215124e-16,-3.73808766261851e-16,-5.33886081819881e-16,1.45777776361926e-15,1.97731657851936e-11,4.37061627839498e-08,2.30098589668212e-05,0.00281843375846089,0.0735478272822842,0.334558834267399,0.193381828361766,0.0167182716245439,0.000284452130239862,1.0900667176522e-06,9.89790045508096e-10,2.13070689839212e-13,1.05298922965989e-17,1.13281349501378e-22,2.4941922135713e-28,1.06768291398771e-34,8.78768387077389e-42,1.46249688948956e-49,5.24486654030819e-58,4.10635586334744e-67,6.94362263831952e-77,2.46242966958398e-87,1.77693450103587e-98,2.54194184780825e-110,7.20017960565323e-123,4.16614142002731e-136
"7",-9.02742297297239e-17,-1.03393313540014e-16,-1.12028503812287e-16,-5.84630952004498e-17,-1.33557794794667e-16,-1.19600766068244e-16,-1.04608026293872e-16,-1.94875607055048e-16,-1.73810133110512e-16,-1.79221530009535e-16,-2.24580583499016e-16,-2.91831962506636e-16,-2.82358380526525e-16,-1.7212624339612e-16,-2.75908756969587e-16,-3.13295895500787e-16,-3.56888540355418e-16,-3.98615869244349e-16,-2.78946870575733e-16,-4.020685469539e-16,-2.89471232228478e-16,-3.71055214262189e-16,-5.29953367499433e-16,1.44703947378133e-15,1.96275125927018e-11,4.33842142295196e-08,2.2840363628861e-05,0.00279767259764293,0.0730060589098911,0.332094405312684,0.191957338172547,0.0165951214086647,0.00028235679753843,1.08203706275627e-06,9.82499049134979e-10,2.11501167460314e-13,1.04523269514105e-17,1.12446895859311e-22,2.47581948243954e-28,1.05981814277804e-34,8.72295198998696e-42,1.45172383760309e-49,5.20623177822262e-58,4.07610760429263e-67,6.89247449058654e-77,2.44429090786226e-87,1.76384523724592e-98,2.52321738308247e-110,7.14714160670704e-123,4.13545276830651e-136
"8",-8.95434236042265e-17,-1.02556303165107e-16,-1.11121588105984e-16,-5.79898129778715e-17,-1.32476590836061e-16,-1.18632549859493e-16,-1.0376118233164e-16,-1.93298010793388e-16,-1.72403070316059e-16,-1.77770659785064e-16,-2.22762513529543e-16,-2.89469465629572e-16,-2.80072576098262e-16,-1.70732812364813e-16,-2.73675164832878e-16,-3.1075963947057e-16,-3.53999384367132e-16,-3.95388913779468e-16,-2.76688683689892e-16,-3.98813640677065e-16,-2.87127846410607e-16,-3.68051373362162e-16,-5.25663182267655e-16,1.43532510840329e-15,1.94686199998326e-11,4.30330016010237e-08,2.26554617172243e-05,0.00277502431498669,0.072415045558578,0.329405967799869,0.190403366468876,0.0164607772396241,0.00028007100592509,1.07327753840646e-06,9.74545324959731e-10,2.09788980613717e-13,1.03677111692027e-17,1.11536593101445e-22,2.45577672994185e-28,1.05123848950408e-34,8.65233619225833e-42,1.43997155041961e-49,5.16408524221034e-58,4.04310987709715e-67,6.83667714296435e-77,2.42450339183126e-87,1.74956620204764e-98,2.50279092555369e-110,7.08928262655715e-123,4.10197461818734e-136
"9",-8.96970520450743e-17,-1.02732257627425e-16,-1.11312237911833e-16,-5.80893053157144e-17,-1.32703879131279e-16,-1.18836086120841e-16,-1.03939203988848e-16,-1.93629649576247e-16,-1.72698859932135e-16,-1.78075658501798e-16,-2.23144704161254e-16,-2.89966104476823e-16,-2.80553092829232e-16,-1.71025736341911e-16,-2.74144705611862e-16,-3.11292805581141e-16,-3.54606736323226e-16,-3.96067277191402e-16,-2.77163394722423e-16,-3.99497879846619e-16,-2.87620467773433e-16,-3.68682834125729e-16,-5.2656505548014e-16,1.43778767627972e-15,1.95020220478629e-11,4.31068327398707e-08,2.26943313864887e-05,0.00277978538667309,0.0725392870728656,0.329971125163772,0.190730038949617,0.0164890187725103,0.000280551519962136,1.07511894616356e-06,9.76217339193526e-10,2.10148912730465e-13,1.03854989110376e-17,1.11727954925753e-22,2.45999007286426e-28,1.05304208516304e-34,8.66718088844487e-42,1.44244209013378e-49,5.17294519341873e-58,4.05004658603225e-67,6.84840673747589e-77,2.42866307951043e-87,1.75256790911849e-98,2.50708493009566e-110,7.10144561288053e-123,4.10901232056261e-136
"10",-9.28558102092948e-17,-1.06350061670152e-16,-1.15232193275639e-16,-6.01349697298325e-17,-1.37377159379319e-16,-1.23021000214223e-16,-1.07599511676746e-16,-2.00448482776326e-16,-1.7878059752913e-16,-1.84346744644727e-16,-2.31002935173325e-16,-3.00177508073489e-16,-2.90433009195116e-16,-1.77048553465158e-16,-2.83798945158042e-16,-3.22255247140518e-16,-3.67094514883503e-16,-4.10015124047955e-16,-2.86923939979391e-16,-4.13566538300636e-16,-2.9774926777368e-16,-3.81666314471519e-16,-5.45108492862623e-16,1.48842059516965e-15,2.01888023818648e-11,4.46248766080497e-08,2.34935316156398e-05,0.00287767789913294,0.0750938199147366,0.341591339672542,0.197446759889246,0.0170696936272589,0.000290431380938164,1.11298017650807e-06,1.01059566512426e-09,2.17549485866981e-13,1.07512331099526e-17,1.15662550118647e-22,2.54662072068819e-28,1.09012586002451e-34,8.97240305314202e-42,1.49323891817597e-49,5.35511486890111e-58,4.19267242966281e-67,7.0895792197447e-77,2.51419052055375e-87,1.81428608229208e-98,2.59537406347046e-110,7.35152907488976e-123,4.25371469280933e-136
