"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",8.01646733371411e-20,8.0164754304e-20,8.01648143187943e-20,8.01647944805188e-20,1.42638001882005e-25,5.30235957660748e-26,1.17914953600507e-26,1.54095418518034e-27,1.17237822756351e-28,5.18875870801699e-30,1.39543550881331e-31,3.49765988253849e-33,2.5872237499753e-34,3.4083329309344e-34,3.82325085924375e-33,4.11495686807504e-32,3.92805713662371e-31,3.29136346735768e-30,2.39261032348322e-29,1.48785269754107e-28,7.78417571508254e-28,3.36472020775411e-27,1.1831505385117e-26,3.36636510110298e-26,7.83683632344197e-26,1.53276057263694e-25,2.60487664765891e-25,3.97340325350084e-25,5.58786462372114e-25,7.39482066975892e-25,9.34865230387591e-25,1.14145388801137e-24,1.35675199239732e-24,1.57902837842363e-24,1.80709617913757e-24,2.04013704222061e-24,2.27757523035395e-24,2.51899271169525e-24,2.76407381177791e-24,3.01256950995858e-24,3.26427353397871e-24,3.51900308801216e-24,3.77657342852935e-24,4.03673800377218e-24,4.29899763757998e-24,4.5619167283525e-24,4.82047142664212e-24,5.05467929164551e-24,5.18466537798422e-24,4.97339188447182e-24
"2",-1.84343430161916e-20,-1.84343616350019e-20,-1.84343754357605e-20,-1.84343708738312e-20,-3.28004561657562e-26,-1.21930909416036e-26,-2.71152442955565e-27,-3.54351572074446e-28,-2.69595340340611e-29,-1.19318589934951e-30,-3.20888687692315e-32,-8.04307674996964e-34,-5.9494747600481e-35,-7.83766411646019e-35,-8.79179254929925e-34,-9.46258785137263e-33,-9.03280081229646e-32,-7.5686858840005e-31,-5.50194962083578e-30,-3.42140569433726e-29,-1.79001746351104e-28,-7.73737406780066e-28,-2.7207249725811e-27,-7.74115659780495e-27,-1.80212708334141e-26,-3.52467402179167e-26,-5.99006864730326e-26,-9.13707690276959e-26,-1.28496267637123e-25,-1.70048295707832e-25,-2.14977815207928e-25,-2.62484104691264e-25,-3.11993183213857e-25,-3.63106959068412e-25,-4.15552505146142e-25,-4.69141636468304e-25,-5.23741958817089e-25,-5.79257343286181e-25,-6.35615198656073e-25,-6.92758261150014e-25,-7.50639097236362e-25,-8.09215671928629e-25,-8.68445502354337e-25,-9.28271892471567e-25,-9.88580053755794e-25,-1.04903986108791e-24,-1.10849605043298e-24,-1.16235354078169e-24,-1.19224461378367e-24,-1.14366101844789e-24
"3",-2.83426328746626e-19,-2.83426615009122e-19,-2.83426827194517e-19,-2.83426757055273e-19,-5.04303997387344e-25,-1.87467652013258e-25,-4.16894387665852e-26,-5.44812283629755e-27,-4.14500356713673e-28,-1.83451234832636e-29,-4.93363406599692e-31,-1.23661565430835e-32,-9.14726273526566e-34,-1.20503365079316e-33,-1.35173001997476e-32,-1.4548641808397e-31,-1.38878481879178e-30,-1.16367849489102e-29,-8.45919694893761e-29,-5.26037979355743e-28,-2.75213539006877e-27,-1.18961414803333e-26,-4.18308962695668e-26,-1.19019570854326e-25,-2.77075381920414e-25,-5.4191538974162e-25,-9.20967546363998e-25,-1.4048171718151e-24,-1.97561829906523e-24,-2.61447690974172e-24,-3.30526414056829e-24,-4.03566897294067e-24,-4.79686650262544e-24,-5.58273610622944e-24,-6.389081554552e-24,-7.21300952084949e-24,-8.05248445619739e-24,-8.90602838750061e-24,-9.77252523143434e-24,-1.06510945626967e-23,-1.15410070951005e-23,-1.24416165445937e-23,-1.33522697409186e-23,-1.4272094987644e-23,-1.51993274217608e-23,-1.61288913999194e-23,-1.70430248438147e-23,-1.78710788054684e-23,-1.83306513042445e-23,-1.75836829934543e-23
"4",1.47289118708942e-18,1.47289267471941e-18,1.47289377739043e-18,1.47289341289545e-18,2.62073363702851e-24,9.74219486720712e-25,2.16648916230011e-25,2.83124441799368e-26,2.15404802069313e-27,9.53347235736922e-29,2.56387829890963e-30,6.42636238878095e-32,4.7535889584939e-33,6.26223912312014e-33,7.02458110560671e-32,7.56054188701186e-31,7.21714503168344e-30,6.04732738595609e-29,4.39601948451383e-28,2.7336793560913e-27,1.4302115049209e-26,6.1821080716942e-26,2.17384033219355e-25,6.18513028686256e-25,1.43988700695073e-24,2.81619003156234e-24,4.7860231921063e-24,7.30046090279809e-24,1.0266762423286e-23,1.35867405693629e-23,1.71765779318188e-23,2.09722974239572e-23,2.49280383675208e-23,2.9011993511944e-23,3.32023561710381e-23,3.74840904958719e-23,4.18466182805145e-23,4.62822588922025e-23,5.07852123429798e-23,5.53509032969075e-23,5.99755418477942e-23,6.46557694294522e-23,6.93881916899147e-23,7.41682786548607e-23,7.89868588010088e-23,8.38175553609234e-23,8.85680635416248e-23,9.28712395660533e-23,9.52595155115854e-23,9.13777200310337e-23
"5",-4.40788398866846e-16,-4.40788844066091e-16,-4.40789174059641e-16,-4.40789064978155e-16,-7.84300289015278e-22,-2.91552187602596e-22,-6.48359700555847e-23,-8.47299314944144e-24,-6.44636471754504e-25,-2.8530580214484e-26,-7.67285336603226e-28,-1.92320112491576e-29,-1.4225944755812e-30,-1.87408437269296e-30,-2.1022285185706e-29,-2.26262413826186e-28,-2.15985663488965e-27,-1.80976828379746e-26,-1.31558556867696e-25,-8.18101267051499e-25,-4.28015758951484e-24,-1.85010375676752e-23,-6.50559666470188e-23,-1.85100820741314e-22,-4.30911321831717e-22,-8.42794027011703e-22,-1.43230098616922e-21,-2.18479036370188e-21,-3.07250787415555e-21,-4.06606928867795e-21,-5.14039078442688e-21,-6.27632610140954e-21,-7.46015063110276e-21,-8.68234549854008e-21,-9.9363846722169e-21,-1.12177684118714e-20,-1.2523331004723e-20,-1.38507738873424e-20,-1.51983613120878e-20,-1.65647240298114e-20,-1.79487278449279e-20,-1.93493676478778e-20,-2.07656276195823e-20,-2.21961520861496e-20,-2.36381963091376e-20,-2.50838665804522e-20,-2.65055390795002e-20,-2.77933396220496e-20,-2.85080728890492e-20,-2.73463778299714e-20
"6",9.50395873059647e-16,9.50396832965866e-16,9.50397544473946e-16,9.50397309280384e-16,1.69105121603887e-21,6.28623613033706e-22,1.39794601049064e-22,1.82688513182135e-23,1.38991825545818e-24,6.15155611208223e-26,1.65436481368733e-27,4.14666632988169e-29,3.06729469764982e-30,4.04076436256438e-30,4.53267216971684e-29,4.87850553421395e-28,4.6569257209959e-27,3.90209069144519e-26,2.83656987874835e-25,1.76393042545906e-24,9.22856436234985e-24,3.98905910337979e-23,1.40268941692157e-22,3.99100921405238e-22,9.29099638230847e-22,1.81717115779448e-21,3.08822316951609e-21,4.71068601283674e-21,6.62471791691325e-21,8.76696274554505e-21,1.1083336585065e-20,1.35325576627938e-20,1.60850339764617e-20,1.87202416204769e-20,2.14241096405552e-20,2.41869360241534e-20,2.70018950917173e-20,2.98640308480283e-20,3.27696008003175e-20,3.57156526732011e-20,3.86997409966847e-20,4.17196986266692e-20,4.47733353279703e-20,4.78577280951837e-20,5.09669589229925e-20,5.4084007972365e-20,5.71493147712987e-20,5.99259765984007e-20,6.14670324633941e-20,5.89622701040862e-20
"7",5.41886362863061e-14,5.4188691017193e-14,5.41887315851854e-14,5.41887181751751e-14,9.6418515573347e-20,3.58421761849646e-20,7.97065623470103e-21,1.04163345771299e-21,7.92488445580546e-23,3.50742723323575e-24,9.43267702595961e-26,2.36430102360649e-27,1.74887666776968e-28,2.3039189938478e-28,2.58438962723097e-27,2.78157312660869e-26,2.65523516316398e-25,2.22485155111394e-24,1.61732450463344e-23,1.00573862922857e-22,5.26184226859282e-22,2.27443825257498e-21,7.99770167262113e-21,2.2755501454288e-20,5.29743907743907e-20,1.03609484985117e-19,1.76080943581021e-19,2.68588762056397e-19,3.77720947528207e-19,4.9986512885891e-19,6.31937608391851e-19,7.715846269953e-19,9.17118940128918e-19,1.06737033810765e-18,1.22153653859262e-18,1.37906436280447e-18,1.53956463158403e-18,1.70275476939626e-18,1.86842139086646e-18,2.03639616637379e-18,2.2065396627748e-18,2.37872831620871e-18,2.55283724623238e-18,2.72869979210872e-18,2.90597852745917e-18,3.08370303364758e-18,3.25847735658167e-18,3.41679403503536e-18,3.50466027912602e-18,3.36184646825034e-18
"8",2.63601308148085e-12,2.63601574387178e-12,2.63601771730692e-12,2.63601706497527e-12,4.69029091275612e-18,1.7435472041245e-18,3.87733582953599e-19,5.06703915952476e-20,3.8550700896687e-21,1.70619242386952e-22,4.58853769680433e-24,1.15011723008801e-25,8.50743272035898e-27,1.12074431516738e-26,1.25717961032096e-25,1.35309977355695e-24,1.29164251108437e-23,1.08228185741802e-22,7.86749555513479e-22,4.89242831133416e-21,2.55962984183913e-20,1.10640337120335e-19,3.89049211709692e-19,1.1069442528916e-18,2.57694595462741e-18,5.04009653136966e-18,8.5654798217603e-18,1.30655343784381e-17,1.83742833750794e-17,2.43160025597688e-17,3.07406850690871e-17,3.75338319916923e-17,4.46133671030325e-17,5.19223654046343e-17,5.94217997704196e-17,6.70847607485428e-17,7.48923166694699e-17,8.28307216104776e-17,9.08895954129644e-17,9.90607496611847e-17,1.07337401612201e-16,1.15713540486341e-16,1.24183091458617e-16,1.32737947296348e-16,1.41361693850573e-16,1.50007124983719e-16,1.58509044078473e-16,1.66210378971191e-16,1.70484643553525e-16,1.63537447619392e-16
"9",8.98561400822916e-11,8.9856230837597e-11,8.98562981078488e-11,8.98562758712353e-11,1.59882149388481e-16,5.9433855967773e-17,1.3217022096459e-17,1.72724704486267e-18,1.31411228737045e-19,5.81605100990002e-21,1.56413596333634e-22,3.92050766606166e-24,2.90000482786602e-25,3.82038157881741e-25,4.28546079559438e-24,4.61243245157749e-23,4.40293757370274e-22,3.68927115240429e-21,2.68186371177587e-20,1.66772588032395e-19,8.72523961443705e-19,3.7714963180121e-18,1.32618691128241e-17,3.77334006989212e-17,8.78426659982328e-17,1.7180628697662e-16,2.91979186349013e-16,4.45376578593986e-16,6.26340662898127e-16,8.28881369217065e-16,1.04788527917386e-15,1.27944936577326e-15,1.52077582319915e-15,1.76992419801716e-15,2.02556413760782e-15,2.28677835537208e-15,2.55292151052556e-15,2.82352503348244e-15,3.09823508647465e-15,3.3767725436369e-15,3.65890619553254e-15,3.94443114732854e-15,4.23314032102181e-15,4.52475735810687e-15,4.81872273477916e-15,5.11342729312505e-15,5.40323982801481e-15,5.66576213179334e-15,5.81146281884883e-15,5.57464752554767e-15
"10",2.66225372929014e-09,2.6622564181843e-09,2.66225841126434e-09,2.66225775243894e-09,4.73698122428356e-15,1.76090364611021e-15,3.91593343918215e-16,5.11747987658914e-17,3.89344605115911e-18,1.72317701123905e-19,4.63421508835727e-21,1.16156627083297e-22,8.59212142973775e-24,1.13190095815416e-23,1.26969442203385e-22,1.36656943911293e-21,1.30450038969923e-20,1.09305561922156e-19,7.94581389940016e-19,4.94113083453173e-18,2.58511011948787e-17,1.11741725478485e-16,3.92922069328145e-16,1.11796352077335e-15,2.6025986085137e-15,5.0902690433855e-15,8.65074637104242e-15,1.3195597498562e-14,1.85571933546166e-14,2.45580604098543e-14,3.1046698531608e-14,3.79074690093333e-14,4.50574785765156e-14,5.24392355649458e-14,6.00133243462741e-14,6.77525675938654e-14,7.56378451796097e-14,8.36552743446199e-14,9.17943715992118e-14,1.0004686701464e-13,1.0840591032798e-13,1.16865430924215e-13,1.25419293505461e-13,1.34059310134189e-13,1.42768903263954e-13,1.5150039683553e-13,1.60086949753324e-13,1.67864948915275e-13,1.72181762403128e-13,1.65165409406365e-13
"11",6.72922327345092e-08,6.72923007001165e-08,6.72923510780366e-08,6.72923344252918e-08,1.19733907965445e-13,4.45093330787405e-14,9.89807626009241e-15,1.29351550185047e-15,9.84123620267077e-17,4.35557389618052e-18,1.17136348364009e-19,2.93602322624184e-21,2.17178035501237e-22,2.86103994786526e-22,3.20933243924845e-21,3.4541977623288e-20,3.29730945101558e-19,2.76285285324899e-18,2.00841697506459e-17,1.24894078438431e-16,6.53423187621174e-16,2.82443033672031e-15,9.93166167629129e-15,2.825811101357e-14,6.57843650857842e-14,1.28663757845537e-13,2.18659863905088e-13,3.33537411620381e-13,4.69059338852391e-13,6.20739750845871e-13,7.84749267224867e-13,9.58164955837027e-13,1.13889157199509e-12,1.32547593237741e-12,1.51692175116526e-12,1.71254208294512e-12,1.91185363940507e-12,2.11450551415637e-12,2.32023272215275e-12,2.52882622923501e-12,2.74011288530784e-12,2.95393924698073e-12,3.17015023591218e-12,3.38853889038704e-12,3.60868618944532e-12,3.82938705318118e-12,4.04642433665808e-12,4.24302427905139e-12,4.35213785252491e-12,4.17478959544067e-12
"12",1.46135791647669e-06,1.46135939245801e-06,1.46136048649471e-06,1.46136012485386e-06,2.60021234495707e-12,9.66590995848458e-13,2.14952476872687e-13,2.80907475038367e-14,2.13718104575756e-15,9.45882182137565e-17,2.54380220469533e-18,6.37604164741533e-20,4.71636663798542e-21,6.21320352627389e-21,6.96957609536419e-20,7.50134011004011e-19,7.16063217626596e-18,5.99997462572689e-17,4.36159706228868e-16,2.71227365819687e-15,1.41901243165312e-14,6.13369992995711e-14,2.15681837630177e-13,6.13669848008782e-13,1.42861217100326e-12,2.79413824524197e-12,4.74854689981997e-12,7.24329565398161e-12,1.01863699609085e-11,1.34803514775516e-11,1.70420791153246e-11,2.0808076751255e-11,2.47328428127799e-11,2.87848191116077e-11,3.29423697157879e-11,3.7190576512524e-11,4.15189441270625e-11,4.5919852068772e-11,5.03875457656996e-11,5.4917485708441e-11,5.95059116671411e-11,6.41494913743997e-11,6.88448570572535e-11,7.35875142127184e-11,7.8368363133857e-11,8.31612335928609e-11,8.7874543576658e-11,9.21440241767272e-11,9.45135990579723e-11,9.06621994397442e-11
