"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",3.27597241163245e-20,3.27597241166732e-20,3.27597241217134e-20,3.27597242142896e-20,5.14059628934409e-28,1.61268171607671e-27,3.61952783470469e-27,2.96042302338707e-27,4.8507318760514e-28,1.29724766807472e-29,7.33333641182876e-32,1.21121079461099e-32,2.74612291393373e-33,2.18726969576182e-34,9.71840627131641e-36,1.80396076966572e-36,1.54916338892626e-36,1.41550531281366e-33,7.96571242000158e-31,1.93681827812111e-28,1.86538924284606e-26,6.67981428634497e-25,9.61862687782023e-24,6.62348606932098e-23,2.51055787320148e-22,5.65409670289218e-22,7.84238450435715e-22,6.80963579512449e-22,3.72991704711426e-22,1.29359342958233e-22,2.84622361786075e-23,3.9772384094729e-24,3.53184293752721e-25,1.99379067317872e-26,7.1565644563108e-28,1.63356029478772e-29,2.3714810289832e-31,2.18979382400181e-33,1.28625229755296e-35,4.8063866665366e-38,1.14261014858061e-40,1.72810670903831e-43,1.66279127769512e-46,1.01789592343985e-49,3.964395270399e-53,9.82363552247936e-57,1.54882503485004e-60,1.55372744739362e-64,9.91722359080413e-69,4.02757979096164e-73
"2",-1.41480450437675e-19,-1.41480450439181e-19,-1.41480450460948e-19,-1.4148045086076e-19,-2.22008548042755e-27,-6.96473922652602e-27,-1.56317686500462e-26,-1.27852719805462e-26,-2.09490082498637e-27,-5.6024642868399e-29,-3.16707105063662e-31,-5.23089413659455e-32,-1.18597673607074e-32,-9.44623039822409e-34,-4.19711866900923e-35,-7.79082208867015e-36,-6.69042063017939e-36,-6.11318729494441e-33,-3.44017726534277e-30,-8.36459798719579e-28,-8.05611516697547e-26,-2.88483239576847e-24,-4.15402662865471e-23,-2.8605057515983e-22,-1.084242521363e-21,-2.44185251836337e-21,-3.3869152506965e-21,-2.94089881889647e-21,-1.6108510012083e-21,-5.58668261218124e-22,-1.22920754177117e-22,-1.71766245549623e-23,-1.52530811279779e-24,-8.61064646082279e-26,-3.09072799047341e-27,-7.05490820078368e-29,-1.02417896742224e-30,-9.45713143020739e-33,-5.55497823449633e-35,-2.07574931994125e-37,-4.9346263699238e-40,-7.46322877234719e-43,-7.1811489656262e-46,-4.39601912505668e-49,-1.71211584864827e-52,-4.2425643565275e-56,-6.68895936979327e-60,-6.71013157296674e-64,-4.28298252981603e-68,-1.73940354618244e-72
"3",2.72426811556637e-19,2.72426811559536e-19,2.7242681160145e-19,2.72426812371305e-19,4.27487194835086e-27,1.34109108002999e-26,3.00996560242012e-26,2.46186018617389e-26,4.03382340466757e-27,1.0787790665086e-28,6.0983341912552e-31,1.00723160465941e-31,2.2836502130761e-32,1.81891308704251e-33,8.08173605035778e-35,1.5001569576967e-35,1.28826983135414e-35,1.17712102135544e-32,6.62421218399931e-30,1.61064002309537e-27,1.55124030329476e-25,5.55487128450091e-24,7.99876043697137e-23,5.5080292643727e-22,2.08775652138009e-21,4.70189410488426e-21,6.52165383913769e-21,5.6628296408738e-21,3.10176424229939e-21,1.07574023584685e-21,2.36689302522122e-22,3.30743438145552e-23,2.93704765941513e-24,1.65801773567066e-25,5.95133228109445e-27,1.35845351143473e-28,1.97210151434398e-30,1.82101212855439e-32,1.06963541889273e-34,3.99694634186622e-37,9.50183946985551e-40,1.43707742806767e-42,1.38276172429956e-45,8.46472760071362e-49,3.29675414673847e-52,8.16924371457077e-56,1.28798845925883e-59,1.2920652598248e-63,8.24707067966648e-68,3.34929780496799e-72
"4",5.9975494253632e-18,5.99754942542704e-18,5.99754942634978e-18,5.99754944329835e-18,9.41124540966951e-26,2.9524480319814e-25,6.62652011599261e-25,5.41985132100044e-25,8.88057056662023e-26,2.37496108898497e-27,1.3425646512341e-29,2.21744743008778e-30,5.02751727882617e-31,4.00438601385952e-32,1.77921589757635e-33,3.30263583388817e-34,2.83616063433773e-34,2.59146354386839e-31,1.45833810375046e-28,3.54586726973984e-26,3.41509719122912e-24,1.22291983266848e-22,1.76094859343175e-21,1.21260743612801e-20,4.59625205520503e-20,1.03513461563252e-19,1.4357596086759e-19,1.24668715478071e-19,6.82861728723324e-20,2.3682710216656e-20,5.21077856551593e-21,7.28140562251564e-22,6.46598930602226e-23,3.65017057645452e-24,1.31020178589151e-25,2.99067189104261e-27,4.34163445092947e-29,4.00900711012442e-31,2.35483110317669e-33,8.79938472241144e-36,2.09185547952125e-38,3.16376455520709e-41,3.04418707453944e-44,1.86353251603364e-47,7.25789279893416e-51,1.79848094488269e-54,2.83554118611276e-58,2.84451637205428e-62,1.81561476027775e-66,7.37356907375465e-71
"5",-1.30665691172032e-16,-1.30665691173423e-16,-1.30665691193526e-16,-1.30665691562777e-16,-2.05038224619485e-24,-6.43235487342389e-24,-1.4436876957777e-23,-1.18079663656175e-23,-1.934766700183e-24,-5.17421216883277e-26,-2.92498028202608e-28,-4.83104482415365e-29,-1.09532072772768e-29,-8.72416097161029e-31,-3.87629110679655e-32,-7.19529199875473e-33,-6.17900517823922e-33,-5.6458955331774e-30,-3.17721026996831e-27,-7.72520849341371e-25,-7.44030608609107e-23,-2.66431593723692e-21,-3.83649302006783e-20,-2.64184882065256e-19,-1.00136307181473e-18,-2.2551974217291e-18,-3.12801960132512e-18,-2.71609664550369e-18,-1.48771762315504e-18,-5.15963684467494e-19,-1.1352469725855e-19,-1.5863644146831e-20,-1.40871362928569e-21,-7.95244903278745e-23,-2.85447288194674e-24,-6.51563133534638e-26,-9.45890773234688e-28,-8.73422872919928e-30,-5.13035594819374e-32,-1.91707913532181e-34,-4.55742375223684e-37,-6.89273990079167e-40,-6.63222226180445e-43,-4.05998762093311e-46,-1.58124179021304e-49,-3.91826292800572e-53,-6.17765561653127e-57,-6.19720941744679e-61,-3.95559153794667e-65,-1.60644361737548e-69
"6",8.1786955047105e-15,8.17869550479755e-15,8.17869550605587e-15,8.17869552916817e-15,1.28338601429917e-22,4.0261733142108e-22,9.03640577855852e-22,7.39090426630058e-22,1.21101932508181e-22,3.2386700308297e-24,1.8308190060754e-26,3.02387292578126e-27,6.85588897263649e-28,5.46067261274719e-29,2.42626846923165e-30,4.50371492297977e-31,3.86759534362489e-31,3.53390855725612e-28,1.9886961236288e-25,4.8354030358933e-23,4.65707542616267e-21,1.66766261162763e-19,2.40135784195798e-18,1.65359987612575e-17,6.26778428260227e-17,1.41158500367527e-16,1.95790644219849e-16,1.70007346424958e-16,9.31200021033604e-17,3.22954696745322e-17,7.10579741945955e-18,9.92945538406063e-19,8.8174942664133e-20,4.97763862667413e-21,1.78668664425148e-22,4.07829815422538e-24,5.9205691605889e-26,5.4669742764048e-28,3.21121931508506e-30,1.19994823167375e-32,2.85260658870325e-35,4.31433992627207e-38,4.15127535868965e-41,2.54124875525192e-44,9.89739158418335e-48,2.45253969179734e-51,3.86675061887923e-55,3.87898983655093e-59,2.47590461120217e-63,1.00551361831482e-67
"7",2.78116053298927e-13,2.78116053301887e-13,2.78116053344676e-13,2.78116054130609e-13,4.36414649439329e-21,1.36909783644697e-20,3.0728244005329e-20,2.51327259178416e-20,4.11806399891647e-21,1.10130781417782e-22,6.22568912097405e-25,1.02826618659589e-25,2.33134095996986e-26,1.85689846814825e-27,8.25051147236984e-29,1.53148557595916e-29,1.31517349204008e-29,1.20170349916722e-26,6.76254931848199e-24,1.64427592111451e-21,1.58363572368455e-19,5.6708767738441e-18,8.16580303275911e-17,5.62305652556469e-16,2.13135631055395e-15,4.80008639387552e-15,6.65784919024276e-15,5.78108968506053e-15,3.16654012284213e-15,1.09820552191275e-15,2.41632217840068e-16,3.37650538674807e-17,2.99838367126933e-18,1.69264304900651e-19,6.07561728756051e-21,1.38682285723463e-22,2.01328601520618e-24,1.85904134512009e-26,1.09197321464574e-28,4.08041681175098e-31,9.70027170723904e-34,1.46708872117039e-36,1.41163871212824e-39,8.64150124985603e-43,3.36560211070546e-46,8.33984660816379e-50,1.31488624389366e-53,1.31904818257002e-57,8.41929887737684e-62,3.41924306758919e-66
"8",8.19425231115628e-12,8.19425231124349e-12,8.19425231250421e-12,8.19425233566047e-12,1.28582716005501e-19,4.03383155248734e-19,9.05359404722333e-19,7.40496260446269e-19,1.21332282118721e-19,3.24483034854569e-21,1.83430143146933e-23,3.029624675042e-24,6.8689296510307e-25,5.47105943138487e-26,2.43088350703806e-27,4.5122814995571e-28,3.87495194861608e-28,3.54063045213418e-25,1.99247884920612e-22,4.84460052088017e-20,4.66593371181061e-18,1.67083469505475e-16,2.40592549692605e-15,1.65674521063501e-14,6.27970631917548e-14,1.41426999844874e-13,1.96163060230968e-13,1.7033071967943e-13,9.32971269086693e-14,3.23568993206797e-14,7.11931345206326e-15,9.94834233436131e-16,8.83426614055391e-17,4.98710665988647e-18,1.79008512488789e-19,4.08605553985943e-21,5.93183075462026e-23,5.47737308152147e-25,3.21732741842635e-27,1.20223066930385e-29,2.8580325699665e-32,4.32254629012749e-35,4.15917155524338e-38,2.54608249860296e-41,9.91621754550012e-45,2.45720470044864e-48,3.87410561710815e-52,3.88636811515999e-56,2.48061406258014e-60,1.0074262192583e-64
"9",2.15219656738209e-10,2.15219656740499e-10,2.15219656773612e-10,2.15219657381804e-10,3.37718768599469e-18,1.05947414004338e-17,2.37790017819886e-17,1.94489191859757e-17,3.18675714601835e-18,8.5224526566864e-20,4.81773942813248e-22,7.95722120638652e-23,1.8041044204131e-23,1.43695786766766e-24,6.38464492047694e-26,1.18513762887027e-26,1.01774487358997e-26,9.29936303654824e-24,5.23318782118111e-21,1.27242025452161e-18,1.22549393609948e-16,4.38839879321743e-15,6.31909343188216e-14,4.35139317165135e-13,1.6493466238398e-12,3.71453907010991e-12,5.15216579676788e-12,4.47368687579577e-12,2.45042193789997e-12,8.49844561831267e-13,1.86986699845536e-13,2.61290321680772e-14,2.3202943406019e-15,1.30984907798884e-16,4.7016065832635e-18,1.07319061862974e-19,1.55797811729619e-21,1.43861612953655e-23,8.45021700961559e-26,3.15762393129447e-28,7.50653952670411e-31,1.13530422724436e-33,1.09239432768759e-36,6.68721172559509e-40,2.60446573432737e-43,6.45377677040855e-47,1.01752258707778e-50,1.02074329657177e-54,6.51526078006666e-59,2.64597570180565e-63
"10",5.0089922809156e-09,5.00899228096892e-09,5.00899228173957e-09,5.00899229589456e-09,7.86001952922334e-17,2.46580534033761e-16,5.53429171754243e-16,4.52651433196941e-16,7.41681414582644e-17,1.98350374769612e-18,1.12127395669682e-20,1.85195256810629e-21,4.19884747182139e-22,3.34435570441574e-23,1.48595335610803e-24,2.75827279199442e-25,2.36868522746256e-25,2.16432078618925e-22,1.21796483639796e-19,2.96141315787532e-17,2.85219749871545e-15,1.0213498159949e-13,1.47069699405681e-12,1.01273717923187e-11,3.83866633400362e-11,8.64516643661981e-11,1.19910788341231e-10,1.04119964540935e-10,5.70307784983478e-11,1.97791638306019e-11,4.35190237897025e-12,6.08123451274228e-13,5.40022069436918e-14,3.04852447970926e-15,1.09424536031647e-16,2.49772888133832e-18,3.62601654590716e-20,3.34821511996675e-22,1.96669172392151e-24,7.34900990810867e-27,1.74706154240295e-29,2.64229122792214e-32,2.54242332602498e-35,1.55637233243517e-38,6.06159723366891e-42,1.50204300646437e-45,2.36816788093363e-49,2.3756637153007e-53,1.51635270913952e-57,6.1582069531671e-62
