"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",7.29061646857894e-16,7.45628105558866e-16,7.54837051904421e-16,7.63431748187787e-16,2.29696233487143e-17,1.27406813514018e-18,7.22840487366451e-20,4.92804148242345e-21,3.91018955897224e-22,3.63990729022871e-23,3.97283051893936e-24,5.08299862085637e-25,7.61235185766926e-26,1.33109568475511e-26,2.7078937250261e-27,6.37921159448699e-28,1.73048252327019e-28,5.37031093421113e-29,1.89316667300921e-29,7.55771222905887e-30,3.7182680834083e-30,4.79418910545458e-30,2.34773425091603e-29,1.42048933084369e-28,7.8217158304694e-28,3.84022861626057e-27,1.68983789485455e-26,6.71060688517019e-26,2.42070758950805e-25,7.97923358401504e-25,2.41613769929545e-24,6.75244330225094e-24,1.74888050247651e-23,4.21266676380675e-23,9.46584857230435e-23,1.98910250401551e-22,3.91679959408537e-22,7.2387070842275e-22,1.25696258143284e-21,2.05201334074236e-21,3.14967764793084e-21,4.54293502373414e-21,6.14889256315436e-21,7.79052328294145e-21,9.20090197610791e-21,1.00589526321087e-20,1.00562590835988e-20,8.98148841067831e-21,6.7976728033116e-21,3.68416523135472e-21
"2",2.0970761977036e-15,2.14472803396707e-15,2.17121668862395e-15,2.19593851164127e-15,6.60699278345041e-17,3.66473531006613e-18,2.07918162658215e-19,1.41750406685439e-20,1.12472868213134e-21,1.04698456887478e-22,1.14274675600952e-23,1.46207600779689e-24,2.18962030962172e-25,3.8287696100821e-26,7.78899768097396e-27,1.83491929009963e-27,4.97756770738391e-28,1.54471865073938e-28,5.44551312685794e-29,2.17390374229109e-29,1.06952430264329e-29,1.37900270898469e-29,6.75303335094947e-29,4.08590189546049e-28,2.24984185685412e-27,1.10460508512664e-26,4.86065731553668e-26,1.93024198045345e-25,6.96293419004562e-25,2.29515033427848e-24,6.94978933729928e-24,1.94227582626544e-23,5.03048773746051e-23,1.21173336127475e-22,2.72276093765159e-22,5.72146338233674e-22,1.12662999560208e-21,2.0821449590587e-21,3.61553281850344e-21,5.90242039584318e-21,9.05974694236288e-21,1.30673187199544e-20,1.76867022041294e-20,2.24086961846406e-20,2.64655157964452e-20,2.89336165597733e-20,2.89258688247338e-20,2.58343936307151e-20,1.95528566027839e-20,1.05971494295147e-20
"3",3.86648423951602e-14,3.95434231262679e-14,4.00318076965041e-14,4.0487616308386e-14,1.21816429444867e-15,6.75685572793442e-17,3.83349112401084e-18,2.61352312326278e-19,2.07371850767966e-20,1.93037779886287e-21,2.10693933139256e-22,2.69570263937551e-23,4.03711244586505e-24,7.05929396858888e-25,1.43609644742957e-25,3.38313244112119e-26,9.17739046048909e-27,2.84807501230073e-27,1.00401648276443e-27,4.0081350248492e-28,1.97193543299856e-28,2.54253624469052e-28,1.24509052408131e-27,7.53338161975528e-27,4.14814592357478e-26,2.03661562570224e-25,8.96183692552075e-25,3.55888365146105e-24,1.28379099128966e-23,4.23168342882596e-23,1.28136740906456e-22,3.5810710546769e-22,9.27496176594282e-22,2.23413338485032e-21,5.02009047879512e-21,1.05489481111834e-20,2.07722405439134e-20,3.83895476826447e-20,6.66613863411572e-20,1.08825876048359e-19,1.67039084249816e-19,2.40928688899159e-19,3.26098571888636e-19,4.13160335904311e-19,4.87957947496959e-19,5.33463555320821e-19,5.33320706456029e-19,4.7632163256631e-19,3.60505793613828e-19,1.95384942606677e-19
"4",1.23308080424972e-12,1.26110008397264e-12,1.27667541291088e-12,1.29121184484507e-12,3.88491175666884e-14,2.15486436231888e-15,1.2225587964303e-16,8.33492391310379e-18,6.61340465093228e-19,6.15626926498368e-20,6.71935092533599e-21,8.5970069258457e-22,1.28749674205757e-22,2.25131653072828e-23,4.57993063641269e-24,1.07893254257858e-24,2.92680981194174e-25,9.08294566634756e-26,3.20196171859247e-26,1.27825540046716e-26,6.28880289954252e-27,8.10853592882997e-27,3.97078361035829e-26,2.40251031453077e-25,1.32290701183022e-24,6.49507790054463e-24,2.85806650153557e-23,1.13498228450663e-22,4.09420530374683e-22,1.34954839655575e-21,4.08647613033198e-21,1.14205818584408e-20,2.95792678962678e-20,7.12499216429553e-20,1.60098343133913e-19,3.364220468814e-19,6.62458437414025e-19,1.22430123592651e-18,2.12593329728002e-18,3.47062319275579e-18,5.32713120210937e-18,7.68358340733318e-18,1.03997808960281e-17,1.31763133565687e-17,1.55617232883098e-17,1.70129665371467e-17,1.70084108689434e-17,1.51906234548605e-17,1.14970796824369e-17,6.23112386455465e-18
"5",2.96107159115749e-11,3.02835598396151e-11,3.06575796433702e-11,3.10066517843748e-11,9.32907381023198e-13,5.17460625781337e-14,2.935804456734e-15,2.00151574239839e-16,1.58811689916945e-17,1.47834221125118e-18,1.61355841948545e-19,2.06445132300921e-20,3.09174387718587e-21,5.40622268943593e-22,1.09980647255352e-22,2.59090603762067e-23,7.02832560282609e-24,2.18114273484401e-24,7.68906453512341e-25,3.06955208411502e-25,1.51016831533232e-25,1.94715182508638e-25,9.53528309154065e-25,5.76929347639021e-24,3.17677670187802e-23,1.55970238019881e-22,6.86324812953779e-22,2.72550167640027e-21,9.83166307634442e-21,3.24075227200122e-20,9.81310254426659e-20,2.7424934666868e-19,7.10304868529425e-19,1.71096750611995e-18,3.84453844396404e-18,8.07870629585948e-18,1.59080155379014e-17,2.93998868219088e-17,5.10513233972686e-17,8.33421759893057e-17,1.27923626826164e-16,1.84510540325756e-16,2.49736235122307e-16,3.16410790127125e-16,3.73693083045807e-16,4.08542665823999e-16,4.08433267805241e-16,3.64781638065698e-16,2.76086335231309e-16,1.49631749944748e-16
"6",6.15059866329281e-10,6.29035863994339e-10,6.36804827473273e-10,6.44055589833316e-10,1.9377913414293e-11,1.07484487803053e-12,6.09811495986785e-14,4.1574543778399e-15,3.29876174097029e-16,3.07074292143559e-17,3.35160767057057e-18,4.28818120630781e-19,6.42202499090193e-20,1.12295515401942e-20,2.28446628584358e-21,5.3817081827048e-22,1.45989074316946e-22,4.53056711949956e-23,1.59713632702867e-23,6.37592924191523e-24,3.1368506081946e-24,4.04453220528956e-24,1.98062416363337e-23,1.19837051052719e-22,6.59865117564172e-22,3.23974043837132e-21,1.42560162670301e-20,5.66128391415114e-20,2.04218682033524e-19,6.73153822141874e-19,2.03833151389386e-18,5.69657846188695e-18,1.47541187047074e-17,3.55394124461717e-17,7.98569446447585e-17,1.67807088125907e-16,3.30433817930118e-16,6.10680623622161e-16,1.06041408247015e-15,1.73114448757843e-15,2.65716941971338e-15,3.8325661766503e-15,5.18740363625793e-15,6.57233613877797e-15,7.76217699000261e-15,8.48605613528216e-15,8.48378377108146e-15,7.57707264552696e-15,5.73473552445691e-15,3.10808034478009e-15
"7",1.10613681311317e-08,1.13127154611008e-08,1.14524341612506e-08,1.15828334216908e-08,3.48496537691401e-10,1.9330240080064e-11,1.09669803168311e-12,7.47685483628229e-14,5.93256363994826e-15,5.52248972003016e-16,6.0276028895467e-17,7.71195675943795e-18,1.15495070415899e-18,2.01954655690549e-19,4.10843300859215e-20,9.67857905255548e-21,2.62549872385651e-21,8.14786876774628e-22,2.87232411607388e-22,1.14666074611206e-22,5.64137919722904e-23,7.2737731869786e-23,3.56199684009858e-22,2.15517514637134e-21,1.18671553483579e-20,5.82641846752424e-20,2.56383244372833e-19,1.01813740251025e-18,3.67271243807344e-18,1.2106142252506e-17,3.66577897254577e-17,1.02448484943209e-16,2.65341225102489e-16,6.39148391484819e-16,1.43616436529152e-15,3.01787854872031e-15,5.94259242586248e-15,1.09826108940385e-14,1.9070713567513e-14,3.1133272569979e-14,4.77871029264977e-14,6.8925689494032e-14,9.32913760214375e-14,1.18198298234669e-13,1.39596650481909e-13,1.52615047790407e-13,1.52574181106808e-13,1.36267694376975e-13,1.03134709714153e-13,5.58963814041829e-14
"8",1.70752479117152e-07,1.74632485568697e-07,1.76789299639685e-07,1.78802251087575e-07,5.37968242889161e-09,2.98397664418296e-10,1.69295430305539e-11,1.15418950364836e-12,9.157998694487e-14,8.52497448249796e-15,9.30470918535923e-16,1.19048179204174e-16,1.78287797364061e-17,3.11754004745198e-18,6.34211892405461e-19,1.49406596721422e-19,4.05293821435767e-20,1.25777279548109e-20,4.433958420272e-21,1.77008090485572e-21,8.70850216851281e-22,1.12284013106559e-21,5.49859460280044e-21,3.32690761949108e-20,1.8319128084142e-19,8.99414417737073e-19,3.95774501506271e-18,1.5716815813338e-17,5.66950440895668e-17,1.86880481478815e-16,5.6588013348551e-16,1.58148002837145e-15,4.09602785669126e-15,9.86642620297705e-15,2.21698277180609e-14,4.65864834945824e-14,9.17347996260037e-14,1.69536716896542e-13,2.94391397301121e-13,4.80599091480563e-13,7.37681469217241e-13,1.06399427416588e-12,1.44012327833819e-12,1.82460724674691e-12,2.15493001079586e-12,2.35589282011614e-12,2.35526196799594e-12,2.1035414753949e-12,1.59207316472504e-12,8.62863036949265e-13
"9",2.25524169833825e-06,2.30648752729833e-06,2.33497400698871e-06,2.36156039721557e-06,7.10530482496243e-08,3.9411366614547e-09,2.23599748441261e-10,1.52441493667933e-11,1.20955787206838e-12,1.12595014898778e-13,1.22893490356505e-14,1.57234857871841e-15,2.35476566430666e-16,4.11754274233953e-17,8.37645879421458e-18,1.97331241499446e-18,5.3529853909394e-19,1.66122428796964e-19,5.85622414959769e-20,2.33786372338645e-20,1.15018987261816e-20,1.4830097327075e-20,7.26236005158391e-20,4.39406843683235e-19,2.41952923589537e-18,1.18791651486102e-17,5.22725739357256e-17,2.0758245251024e-16,7.48809201371491e-16,2.46825496540751e-15,7.47395575101519e-15,2.08876598659831e-14,5.40989675097332e-14,1.30312461063975e-13,2.92811677893371e-13,6.15298710151349e-13,1.2116025862402e-12,2.23918431709635e-12,3.88822322380478e-12,6.34759223933031e-12,9.74305039711153e-12,1.40528809086614e-11,1.90206671367129e-11,2.40988029411307e-11,2.84615956528104e-11,3.11158452996535e-11,3.11075132156081e-11,2.77828730453731e-11,2.10275704719334e-11,1.13964067224327e-11
"10",2.54834045359482e-05,2.60624636191195e-05,2.63843503979468e-05,2.66847668623111e-05,8.02873400838407e-07,4.45333996570343e-08,2.52659519725245e-09,1.72253300125948e-10,1.36675605928497e-11,1.27228239683173e-12,1.38865139461418e-13,1.77669625976358e-14,2.6607988871039e-15,4.65267237096632e-16,9.4650913996915e-17,2.22977069748958e-17,6.04867727892949e-18,1.87712255349242e-18,6.61731863007633e-19,2.64170031340203e-19,1.29967239603083e-19,1.67574663847251e-19,8.20620065763189e-19,4.96513626973766e-18,2.73397934910068e-17,1.34230211890117e-16,5.90660925044479e-16,2.34560562434638e-15,8.46126950067057e-15,2.78903763741549e-14,8.44529604198236e-14,2.36022900146954e-13,6.11298502969092e-13,1.47248304419662e-12,3.30866463053813e-12,6.95264988794216e-12,1.36906651135045e-11,2.53019620137224e-11,4.39354972069271e-11,7.17254656045465e-11,1.10092898187662e-10,1.58792403206625e-10,2.14926566649429e-10,2.72307639856711e-10,3.2160559832393e-10,3.51597646422252e-10,3.51503496926651e-10,3.13936281644586e-10,2.37603838710181e-10,1.28775218628648e-10
