"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",9.01735765380825,9.0173658587435,9.01737194054039,9.01736993015832,1.44546645095901e-05,5.37330475471124e-06,1.19492201076881e-06,1.56154121026863e-07,1.18793633912502e-08,5.25430344109742e-10,1.40513999024745e-11,3.38291437946509e-13,2.1601458011407e-14,2.15518961835066e-15,1.86432117163225e-16,1.48344515159961e-17,1.43287876109658e-18,1.89691028743384e-19,2.70352613155176e-20,3.41821466401668e-21,3.57864504190985e-22,3.00965245670945e-23,1.98835304391596e-24,1.01687684317745e-25,4.01835596007378e-27,1.23996943459578e-28,3.03600723347004e-30,5.9846049961911e-32,9.59753132800916e-34,1.2624536204079e-35,1.37805997185394e-37,1.28452010950899e-39,1.09979148875564e-41,9.9116493572657e-44,1.04743946307806e-45,1.22801920572527e-47,1.40918582018112e-49,1.46966203287598e-51,1.35566123209106e-53,1.09707026958351e-55,7.77036792485583e-58,4.81294027050987e-60,2.60596075370273e-62,1.23323643341574e-64,5.10142922538718e-67,1.84535428479784e-69,5.84143531856222e-72,1.61974365510377e-74,3.93912581331452e-77,8.41388285242308e-80
"2",4.03388077794809e-06,4.03388444839479e-06,4.03388716906358e-06,4.03388626972678e-06,6.46623939689238e-12,2.40372752154649e-12,5.34543833730684e-13,6.98549543437059e-14,5.31418819990872e-15,2.35049273481995e-16,6.28584050294552e-18,1.51333392914778e-19,9.66333038937046e-21,9.64115909345839e-22,8.33997011862217e-23,6.6361356751229e-24,6.40992884326431e-25,8.48575629329701e-26,1.20941217077502e-26,1.52912537768244e-27,1.60089329933174e-28,1.34635662236345e-29,8.89482199947985e-31,4.5489600265569e-32,1.79759631242408e-33,5.54695628086422e-35,1.35814633188404e-36,2.67719036823963e-38,4.29341927271348e-40,5.6475384341262e-42,6.16469906677553e-44,5.74625203697868e-46,4.91987555175732e-48,4.43393878284844e-50,4.68568074860647e-52,5.49349738482891e-54,6.3039393698496e-56,6.57447741578134e-58,6.06449915317715e-60,4.90770228090297e-62,3.47604464778245e-64,2.1530505928666e-66,1.16576666868803e-68,5.51683645521155e-71,2.28210503369145e-73,8.25512246905988e-76,2.61314395544949e-78,7.24586186593929e-81,1.76215300648942e-83,3.76391861222922e-86
"3",3.55068029860101e-06,3.55068352938136e-06,3.55068592415344e-06,3.55068513254416e-06,5.69167759198432e-12,2.11579578668201e-12,4.70513226256439e-13,6.14873427850873e-14,4.67762543891342e-15,2.06893775620589e-16,5.53288787213733e-18,1.33205844773695e-19,8.50580339904423e-21,8.48628790319225e-22,7.34096251753276e-23,5.84122275732894e-24,5.64211222692358e-25,7.46928562045046e-26,1.06454211317656e-26,1.34595830950404e-27,1.4091294738242e-28,1.1850826033457e-29,7.82935118106813e-31,4.00406051505445e-32,1.58227031553686e-33,4.8825112758251e-35,1.19546007646038e-36,2.35650174593116e-38,3.77912984156464e-40,4.97104514423552e-42,5.42625742507394e-44,5.05793428750626e-46,4.33054573369898e-48,3.90281715005745e-50,4.12440407524238e-52,4.83545598108878e-54,5.54881875698019e-56,5.78695026422827e-58,5.33806000955283e-60,4.31983064434177e-62,3.05966485559268e-64,1.8951463225622e-66,1.0261247099578e-68,4.85599936894702e-71,2.00874191095657e-73,7.26627838722074e-76,2.30012716556845e-78,6.37791258344076e-81,1.55107260419461e-83,3.31305568945893e-86
"4",1.6849762081383e-06,1.68497774130591e-06,1.68497887774559e-06,1.68497850208721e-06,2.70098699977751e-12,1.00405141044185e-12,2.23282167129736e-13,2.91788336267101e-14,2.21976830137509e-15,9.81814920565931e-17,2.62563329920792e-18,6.32128663673477e-20,4.03643109297628e-21,4.02717000962457e-22,3.48365556644211e-23,2.77195369473653e-24,2.67746574360924e-25,3.54455132646196e-26,5.05178721376437e-27,6.38724846490382e-28,6.68702738040294e-29,5.62381240604193e-30,3.71542052672473e-31,1.90012790125627e-32,7.50866767017448e-34,2.31699692562401e-35,5.67305873020613e-37,1.11827848254737e-38,1.793386994884e-40,2.35901069463182e-42,2.57503179435384e-44,2.40024395892047e-46,2.05506154198468e-48,1.85208283752045e-50,1.95723696731305e-52,2.29466682394494e-54,2.63319330452448e-56,2.74619866980032e-58,2.53317768914732e-60,2.04997669369741e-62,1.45196470901136e-64,8.99342153028045e-67,4.8694773323944e-69,2.30441569370078e-71,9.53248967412152e-74,3.44821419405191e-76,1.09152591158445e-78,3.02663998358788e-81,7.36061885434396e-84,1.57221139148321e-86
"5",4.31097095635133e-07,4.31097487892366e-07,4.31097778647715e-07,4.31097682536425e-07,6.91041004216227e-13,2.56884129769455e-13,5.71262034988018e-14,7.46533415115323e-15,5.67922361801796e-16,2.51194977509423e-17,6.7176194181522e-19,1.61728592760633e-20,1.03271115194916e-21,1.03034172612814e-22,8.91284867782001e-24,7.09197661821177e-25,6.85023147601482e-26,9.06864900992117e-27,1.29248756457324e-27,1.63416210212388e-28,1.71085981404416e-29,1.43883882925576e-30,9.50581373433094e-32,4.86143136983468e-33,1.9210744988964e-34,5.92798070624188e-36,1.45143838242176e-37,2.86108850444888e-39,4.58833733740682e-41,6.03547192011465e-43,6.5881566894086e-45,6.14096623150337e-47,5.25782534983033e-49,4.73850923398445e-51,5.00754353683504e-53,5.87084968010282e-55,6.73696150927023e-57,7.02608300859055e-59,6.48107397151745e-61,5.24481588822608e-63,3.71481666029632e-65,2.30094519008672e-67,1.24584402148665e-69,5.89579192805367e-72,2.4388644734789e-74,8.82217278204805e-77,2.79264269739723e-79,7.74358534058785e-82,1.88319656672828e-84,4.02246489487082e-87
"6",5.94688706539003e-08,5.94689247648996e-08,5.94689648739433e-08,5.9468951615608e-08,9.53275457254715e-14,3.54365854954149e-14,7.88043074568505e-15,1.02982598472161e-15,7.83436070838983e-17,3.46517797908352e-18,9.26680426115274e-20,2.23100940862278e-21,1.42460170898678e-22,1.42133313958326e-23,1.22950734427511e-24,9.78322156328973e-26,9.44973959975808e-27,1.25099964819311e-27,1.78295740281291e-28,2.25428971019935e-29,2.36009247147562e-30,1.98484566690842e-31,1.31130553453194e-32,6.70623477292457e-34,2.6500788812567e-35,8.17751549309173e-37,2.00222646592359e-38,3.9468069704751e-40,6.32950772337492e-42,8.32579719480008e-44,9.08821335093536e-46,8.47132421463432e-48,7.253051315254e-50,6.5366664628758e-52,6.90779320716787e-54,8.09870453291156e-56,9.29348623898373e-58,9.6923228171103e-60,8.94049516020725e-62,7.23510505680657e-64,5.12450567890376e-66,3.17410191987917e-68,1.71861368863016e-70,8.1331118006066e-73,3.36435845623195e-75,1.21699880925669e-77,3.85238752558509e-80,1.06821010783754e-82,2.59782712935323e-85,5.54889946986301e-88
"7",4.42598930821994e-09,4.42599333544799e-09,4.42599632057612e-09,4.42599533382037e-09,7.09478242180327e-15,2.63737896479192e-15,5.86503524298593e-16,7.66451211799827e-17,5.83074747356037e-18,2.57896955463656e-19,6.89684807030029e-21,1.66043573394393e-22,1.06026427996977e-23,1.05783163696276e-24,9.15064688517439e-26,7.28119326345862e-27,7.03299826852332e-28,9.31060402965037e-29,1.32697162651499e-29,1.67776217124415e-30,1.75650620741633e-31,1.47722759884413e-32,9.75943247590049e-34,4.99113621580608e-35,1.97232950036059e-36,6.08614149592113e-38,1.49016331290152e-39,2.93742343865833e-41,4.71075593027351e-43,6.19650061644073e-45,6.76393122650018e-47,6.3048095563552e-49,5.39810613860705e-51,4.86493447041619e-53,5.14114671123557e-55,6.02748619218112e-57,6.91670621579786e-59,7.21354158716193e-61,6.65399150079103e-63,5.38474957959769e-65,3.81392938782046e-67,2.36233528669915e-69,1.27908361588142e-71,6.05309390883503e-74,2.50393430925619e-76,9.05755172186584e-79,2.86715147132884e-81,7.95018715545652e-84,1.93344097049319e-86,4.12978579481234e-89
"8",1.78867036597021e-10,1.78867199348961e-10,1.78867319986628e-10,1.78867280108972e-10,2.86720689706991e-16,1.06584116445906e-16,2.37023047367436e-17,3.0974511550722e-18,2.35637379377394e-19,1.04223623146822e-20,2.78721589747951e-22,6.71030132492112e-24,4.28483479197876e-25,4.27500377758937e-26,3.69804122268695e-27,2.94254091284469e-28,2.84223813271859e-29,3.76268453387119e-30,5.36267636350264e-31,6.78032247225919e-32,7.0985499106682e-33,5.96990423121583e-34,3.94406909793263e-35,2.01706258647144e-36,7.97075429593089e-38,2.45958590921991e-39,6.02218119527028e-41,1.18709781952627e-42,1.90375279898438e-44,2.50418522357463e-46,2.73350035433484e-48,2.54795600061534e-50,2.18153090983664e-52,1.96606080892683e-54,2.07768616892359e-56,2.43588160351544e-58,2.79524114876258e-60,2.91520091263833e-62,2.68907052956015e-64,2.17613313780701e-66,1.54131923934561e-68,9.54688054477905e-71,5.16914705391653e-73,2.44623042289328e-75,1.01191231731735e-77,3.66041877305384e-80,1.15869888388328e-82,3.21290070504061e-85,7.81359449253781e-88,1.6689659541804e-90
"9",4.25638706222521e-12,4.2563909351314e-12,4.25639380587054e-12,4.25639285692689e-12,6.82291302723718e-18,2.53631559458964e-18,5.64028929789265e-19,7.37081089570835e-20,5.60731542289831e-21,2.48014441106785e-22,6.63256344565492e-24,1.59680846098965e-25,1.01963535145047e-26,1.01729592640874e-27,8.79999753743468e-29,7.00218067553601e-30,6.76349641947834e-31,8.95382518428271e-32,1.27612257276552e-32,1.61347095572777e-33,1.68919755004379e-34,1.42062079273548e-35,9.38545469324463e-37,4.79987775282376e-38,1.89675057555805e-39,5.85292284235753e-41,1.43306081509438e-42,2.82486247704263e-44,4.53024153440193e-46,5.95905304287695e-48,6.50473992532876e-50,6.0632116249411e-52,5.19125274121511e-54,4.67851201086181e-56,4.94413990247655e-58,5.7965151878008e-60,6.65166063448424e-62,6.93712138603607e-64,6.39901304856837e-66,5.17840800052454e-68,3.66778104782372e-70,2.27181148681724e-72,1.2300696126922e-74,5.82114162638175e-77,2.4079844880751e-79,8.71046974577772e-82,2.75728330507698e-84,7.64553897315303e-87,1.85935223953199e-89,3.97153395607055e-92
"10",1.26249668579742e-13,1.26249783454896e-13,1.26249868604546e-13,1.26249840457712e-13,2.02375981282766e-19,7.52302360075235e-20,1.67297908799802e-20,2.18627305069534e-21,1.66319863164157e-22,7.35641297066435e-24,1.96729978877973e-25,4.73633003855335e-27,3.0243636988576e-28,3.01742467682159e-29,2.610187363982e-30,2.07693279933928e-31,2.00613611712512e-32,2.65581453357219e-33,3.78513630277195e-34,4.78575304467673e-35,5.01036742526063e-36,4.2137357725775e-37,2.7838411478322e-38,1.4237027005727e-39,5.62599519361963e-41,1.736048809161e-42,4.25063440695863e-44,8.37888909763608e-46,1.34372528612428e-47,1.76752833028067e-49,1.92938576253646e-51,1.79842304514821e-53,1.53978932956686e-55,1.38770413071609e-57,1.46649262619743e-59,1.71931760593856e-61,1.97296424956598e-63,2.05763541492071e-65,1.89802587219793e-67,1.53597942170024e-69,1.0879089118101e-71,6.73847192685481e-74,3.64853756629956e-76,1.72662211011943e-78,7.14237777533577e-81,2.58363232126589e-83,8.17844097252838e-86,2.26776077307557e-88,5.51506713515833e-91,1.17800575553147e-93
