"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",8.89802867369941,10.9524372219209,14.8756789866392,19.2387349494339,14.4229626298326,16.1596485939939,16.2949408728468,16.1927490273626,16.2832791514537,16.33243849337,16.3380385120886,16.3242083468947,16.2803970796044,16.2022376910744,16.0864051275832,15.9280413261743,15.7217313762368,15.4612704040861,15.139390969983,14.7475011394575,14.2753384601039,13.7106528253728,13.0391931523277,12.2455537489896,11.3156922209589,10.2418261426114,9.0295463643707,7.70528030821569,6.32045125227675,4.94833114563672,3.67191926911662,2.56568315072921,1.67802722723261,1.02185450561226,0.576746009319134,0.300527608653931,0.144094159334499,0.0633949714202559,0.0255321272714544,0.00939469686071101,0.00315295270729193,0.000963782055374721,0.000268008010632208,6.77301541199576e-05,1.55418384217509e-05,3.2357610939613e-06,6.10769891729026e-07,1.04385647253843e-07,1.60585586854218e-08,2.15827584317822e-09
"2",0.0856184176244419,0.10538630279352,0.143136434218265,0.185118536236606,0.138780316754062,0.15549101859767,0.156792825015357,0.155809516866403,0.156680613853866,0.157153633802518,0.157207518180614,0.157074441866431,0.156652882044916,0.155900818479622,0.154786256911079,0.153262452191759,0.15127730108677,0.148771099195739,0.145673917918361,0.141903084129987,0.137359850684689,0.131926344874145,0.125465440238642,0.117828900464494,0.10888160713028,0.0985486763497306,0.0868839042819731,0.0741415802909432,0.0608165083230028,0.0476137241300903,0.0353318615836462,0.0246874605091375,0.0161462770232515,0.00983246615865911,0.00554955288412055,0.00289173020777752,0.00138649968027297,0.000609997712683522,0.000245674678710485,9.03974474315749e-05,3.03382728402471e-05,9.27368269332725e-06,2.57882084026417e-06,6.51711613197061e-07,1.49546339019812e-07,3.11350698941408e-08,5.87693674409679e-09,1.00441730054141e-09,1.54518313482061e-10,2.07673147914402e-11
"3",0.00772475214798219,0.00950827043362389,0.0129142012707136,0.0167019532724558,0.0125211792005549,0.01402886917594,0.0141463220815216,0.0140576050513952,0.0141361980517298,0.0141788753396985,0.0141837369509848,0.0141717304041185,0.0141336960041949,0.0140658425586091,0.0139652834486705,0.0138278011860305,0.0136486948595202,0.0134225777578712,0.0131431407116264,0.0128029247018633,0.0123930204629261,0.0119027931631741,0.0113198708393823,0.0106308791637565,0.0098236273443493,0.00889135913084268,0.00783892817514128,0.00668927723144183,0.00548704900575946,0.00429585395236676,0.003187747230481,0.00222737722662307,0.00145676586391001,0.000887114784253865,0.000500697417114059,0.000260900630421572,0.00012509418744861,5.50358354201944e-05,2.2165511285178e-05,8.15593064663015e-06,2.73721057677976e-06,8.36699652862241e-07,2.32669002509164e-07,5.87993894723857e-08,1.34925222355007e-08,2.80910001277201e-09,5.30234977439681e-10,9.06215615180063e-11,1.3941108783496e-11,1.87368984377496e-12
"4",0.000459244815185978,0.000565276893598266,0.000767763141422291,0.00099294906773901,0.000744397557062257,0.000834031346061469,0.000841014047497523,0.000835739724733021,0.00084041216304847,0.000842949373673532,0.000843238401688141,0.000842524599576305,0.000840263413634156,0.000836229453387816,0.000830251106254558,0.000822077638020504,0.000811429574465696,0.00079798666981738,0.000781373837172349,0.00076114762984118,0.000736778382407938,0.000707633842704803,0.000672978484224796,0.000632017188810272,0.00058402520078137,0.000528600853797312,0.000466032702678918,0.000397684718814406,0.000326210959043475,0.000255393133219939,0.000189514997980131,0.000132419969365252,8.66062958557638e-05,5.27399270991283e-05,2.97669994300991e-05,1.55108228075846e-05,7.43698385335033e-06,3.27193954989938e-06,1.31776346200613e-06,4.8487884021751e-07,1.62730109830991e-07,4.97426933685197e-08,1.38324221942497e-08,3.4956868821154e-09,8.02144944165464e-10,1.67004014043531e-10,3.15230391285803e-11,5.38754920208963e-12,8.28813896435063e-13,1.11392874429641e-13
"5",2.55824604987277e-05,3.14890300840192e-05,4.2768627077174e-05,5.53127209338111e-05,4.14670355966514e-05,4.64601303265179e-05,4.68491051777417e-05,4.65552964088266e-05,4.68155769056012e-05,4.69569134834922e-05,4.69730139325822e-05,4.69332512314561e-05,4.68072907456053e-05,4.65825769867496e-05,4.62495501907425e-05,4.57942430836811e-05,4.52010874153509e-05,4.44522437359412e-05,4.35268176432342e-05,4.24001067191726e-05,4.10426056887207e-05,3.94190946308831e-05,3.74886006763133e-05,3.52068313731707e-05,3.25334138463825e-05,2.94459730729614e-05,2.59605831425023e-05,2.21532247585575e-05,1.8171743475432e-05,1.42268013185941e-05,1.05570270788572e-05,7.37652015550229e-06,4.82444672080611e-06,2.93790383060251e-06,1.6581854860523e-06,8.64038087435139e-07,4.14280878883658e-07,1.82265017528022e-07,7.34066680748184e-08,2.70104165934023e-08,9.06496158267797e-09,2.77094143716166e-09,7.70541947747003e-10,1.9472897378585e-10,4.4683882473571e-11,9.3030415393311e-12,1.7560065495354e-12,3.00116103851046e-13,4.61694897040047e-14,6.20519538970077e-15
"6",1.69525158909167e-06,2.08665731318315e-06,2.83411296655591e-06,3.66536197973182e-06,2.74786148868051e-06,3.07873473583016e-06,3.10451060811917e-06,3.08504102729377e-06,3.10228881805215e-06,3.1116546512674e-06,3.11272156630891e-06,3.11008664453217e-06,3.10173972599351e-06,3.08684880661498e-06,3.06478039747313e-06,3.03460894086875e-06,2.99530278853968e-06,2.94567978853295e-06,2.88435534891048e-06,2.80969253512221e-06,2.71973614569744e-06,2.61215229148436e-06,2.48422585749733e-06,2.33302175274417e-06,2.15586462155976e-06,1.95127175694344e-06,1.72030832719403e-06,1.46800928227046e-06,1.20417178030332e-06,9.42755586165673e-07,6.99573715061796e-07,4.8881371345043e-07,3.19697590086826e-07,1.94683624652723e-07,1.09881595649438e-07,5.72564918387345e-08,2.74528057335511e-08,1.20780040143351e-08,4.86437849517837e-09,1.78987676553906e-09,6.0070025433457e-10,1.83619666875354e-10,5.10608610710008e-11,1.29039426160385e-11,2.96102959970852e-12,6.16476900402963e-13,1.16363822537841e-13,1.98875437329725e-14,3.059475095922e-15,4.11194511393371e-16
"7",1.2577079703291e-07,1.54809206552175e-07,2.10262977471108e-07,2.71933381789072e-07,2.03863976173922e-07,2.2841147831381e-07,2.3032379152022e-07,2.28879342381188e-07,2.30158956808154e-07,2.30853808425423e-07,2.30932962903732e-07,2.30737477930226e-07,2.3011821964188e-07,2.29013461616086e-07,2.27376205279104e-07,2.25137783460659e-07,2.22221658126499e-07,2.18540125366306e-07,2.13990462237515e-07,2.08451224487027e-07,2.01777355623576e-07,1.93795704298594e-07,1.84304836000545e-07,1.73086996187375e-07,1.59943700093451e-07,1.44764945614991e-07,1.27629757639381e-07,1.08911679346541e-07,8.93375623699812e-08,6.99430823378944e-08,5.19014076097929e-08,3.62651129406802e-08,2.37183796042125e-08,1.44435874883612e-08,8.15212087279773e-09,4.24786188681552e-09,2.03672497941641e-09,8.96067699463731e-10,3.60888474811067e-10,1.32791043430404e-10,4.45659807969926e-11,1.36227519280514e-11,3.78820774179448e-12,9.57344124098816e-13,2.19678928596622e-13,4.57364509285624e-14,8.63303759781285e-15,1.4754578272733e-15,2.26982604701538e-16,3.05065406021606e-17
"8",1.01992787448051e-08,1.25541245435105e-08,1.70511022235102e-08,2.2052212646458e-08,1.65321805067201e-08,1.85228398864799e-08,1.8677917344043e-08,1.85607809359957e-08,1.86645502094231e-08,1.87208986265279e-08,1.87273175934679e-08,1.87114649012512e-08,1.86612466626229e-08,1.85716572244031e-08,1.84388852761327e-08,1.82573623104414e-08,1.80208815387556e-08,1.77223306850187e-08,1.73533795171784e-08,1.69041796139911e-08,1.63629677392917e-08,1.57157023277031e-08,1.49460482141436e-08,1.40363467741571e-08,1.29705020498658e-08,1.17395935116599e-08,1.03500296174107e-08,8.83210254228996e-09,7.24475571824851e-09,5.67197640361914e-09,4.20890171604391e-09,2.94088933456509e-09,1.92342237359888e-09,1.17129077929138e-09,6.61089498552285e-10,3.44476845779457e-10,1.65166527378686e-10,7.26658688396113e-11,2.92659523293193e-11,1.0768579819096e-11,3.61404134669847e-12,1.10472579854265e-12,3.07201573125759e-13,7.76350298060855e-14,1.78146809909363e-14,3.70895965377754e-15,7.00089042541694e-16,1.19651031969108e-16,1.84069665628907e-17,2.47390267440011e-18
"9",9.18235727651733e-10,1.13024126251205e-09,1.53510180957096e-09,1.98534916364207e-09,1.48838355898352e-09,1.66760158114136e-09,1.68156312348672e-09,1.671017393973e-09,1.68035968735253e-09,1.68543270585479e-09,1.68601060208907e-09,1.68458339250523e-09,1.680062270763e-09,1.67199658052627e-09,1.66004319150904e-09,1.64370077390701e-09,1.6224105337932e-09,1.59553215667641e-09,1.56231567612456e-09,1.52187444392719e-09,1.47314942208862e-09,1.41487645582651e-09,1.3455848987775e-09,1.26368495422335e-09,1.16772751150007e-09,1.05690945999541e-09,9.31807749817673e-10,7.95149569644331e-10,6.52241565806142e-10,5.10645067216487e-10,3.78925218787131e-10,2.64766727690724e-10,1.73164709681336e-10,1.05450695870254e-10,5.95175415766791e-11,3.10130701452378e-11,1.4869856020802e-11,6.54207014230015e-12,2.63479837201439e-12,9.69489605429185e-13,3.25370251052251e-13,9.94578854899052e-14,2.76571968560586e-14,6.98944110352552e-15,1.60384640638709e-15,3.33915696563544e-16,6.30286501118234e-17,1.07721197893914e-17,1.65716956646037e-18,2.22724163071275e-19
"10",9.17094135242183e-11,1.1288360951815e-10,1.53319330119896e-10,1.98288088728637e-10,1.48653313286497e-10,1.66552834302847e-10,1.67947252774955e-10,1.66893990916627e-10,1.67827058778187e-10,1.68333729927686e-10,1.68391447704426e-10,1.68248904183228e-10,1.67797354095417e-10,1.6699178783503e-10,1.65797935032983e-10,1.64165725036447e-10,1.62039347924525e-10,1.59354851854908e-10,1.56037333423622e-10,1.51998238041762e-10,1.47131793574176e-10,1.41311741708103e-10,1.34391200644649e-10,1.26211388362746e-10,1.16627573956024e-10,1.0555954620962e-10,9.30649284053036e-11,7.94161003543244e-11,6.51430669433571e-11,5.10010210049472e-11,3.78454121725094e-11,2.64437557655698e-11,1.72949423440318e-11,1.05319594770218e-11,5.94435466626795e-12,3.09745132862435e-12,1.48513691396524e-12,6.53393674322593e-13,2.63152267087186e-13,9.68284291868226e-14,3.2496573596129e-14,9.93342349242323e-15,2.76228121713316e-15,6.98075151252998e-16,1.60185243160645e-16,3.33500557386155e-17,6.29502900280398e-18,1.07587274002521e-18,1.65510929790248e-19,2.22447262264294e-20
