"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",-6.43015685672479e-31,-6.9182203803044e-31,-6.32950206048811e-31,-6.43658446956423e-31,1.68898857260146e-32,3.50763646351749e-32,5.80790048949901e-32,6.48389895582122e-32,3.26932193853203e-31,2.4363749510104e-31,9.28531297067117e-33,-2.21359544174889e-31,-9.45187373591848e-32,5.00284875210859e-32,3.01045112290416e-32,2.40690439271833e-31,6.07418382051595e-31,6.94888127056045e-30,9.33447728680469e-29,1.05498369476348e-27,1.01622008796183e-26,8.40507529856349e-26,6.02357649707464e-25,3.77379789746496e-24,2.08477817094123e-23,1.02393934142422e-22,4.50592256936631e-22,1.78938553090499e-21,6.45483430205271e-21,2.12766909023146e-20,6.44265123126548e-20,1.80054465140053e-19,4.66340451230852e-19,1.12331112472842e-18,2.52407646088558e-18,5.30395851177626e-18,1.04441789740616e-17,1.93020731643794e-17,3.35170126799913e-17,5.4717107875005e-17,8.39864187110718e-17,1.21137743519699e-16,1.6396073603513e-16,2.07734956897893e-16,2.45342823070814e-16,2.68222815797009e-16,2.68150992100558e-16,2.39492141943156e-16,1.81260515568866e-16,9.82385749651384e-17
"2",-1.36700659489297e-33,-1.47076550316319e-33,-1.34560808575407e-33,-1.36837306064749e-33,3.59067215449092e-35,7.45699099564077e-35,1.23471922202396e-34,1.37843179112459e-34,6.95035090182532e-34,5.179563578111e-34,1.97399291329542e-35,-4.70594984651282e-34,-2.00940257275114e-34,1.06357082568401e-34,6.40000956478853e-35,5.11691122228503e-34,1.29132920490945e-33,1.47728379503681e-32,1.98444490472976e-31,2.24282190991652e-30,2.16041317974024e-29,1.78686051051647e-28,1.28057044016457e-27,8.02283167980986e-27,4.43209329424845e-26,2.17682377535378e-25,9.57927777758478e-25,3.80410910037909e-24,1.37225284801867e-23,4.52327640352119e-23,1.3696628119615e-22,3.82783261389595e-22,9.9140734277926e-22,2.38808127054389e-21,5.36601088422308e-21,1.12758466491437e-20,2.22035976009717e-20,4.10348641545473e-20,7.12548362280493e-20,1.16324763120476e-19,1.78549280861487e-19,2.575304117328e-19,3.48569113409919e-19,4.41630060349522e-19,5.21581766386785e-19,5.70223038512365e-19,5.70070346332523e-19,5.09143625507282e-19,3.85347240662102e-19,2.0884837313072e-19
"3",-2.70057518056068e-33,-2.90555497618381e-33,-2.65830158590694e-33,-2.70327468728987e-33,7.09351376809397e-35,1.47315783842789e-34,2.4392362834359e-34,2.72314610413298e-34,1.37306909943084e-33,1.0232431136353e-33,3.89970047559696e-35,-9.29678862116312e-34,-3.96965364761199e-34,2.10112590922472e-34,1.26434700831653e-34,1.01086589484357e-33,2.5510715264579e-33,2.91843211761043e-32,3.92034879489583e-31,4.43078270943712e-30,4.26798102859152e-29,3.53001306932437e-28,2.52981716444381e-27,1.58494188640011e-26,8.75577425382791e-26,4.30040080431003e-25,1.8924239217637e-24,7.51516683168099e-24,2.71093935951575e-23,8.93591006495586e-23,2.70582264163093e-22,7.5620335637353e-22,1.95856411647006e-21,4.71774827750381e-21,1.06007651072714e-20,2.22758776104295e-20,4.3864078508733e-20,8.10659846759015e-20,1.40766725582222e-19,2.29804135065168e-19,3.52731112053812e-19,5.08761435945835e-19,6.88611964200929e-19,8.72457517341252e-19,1.0304052505668e-18,1.12649799272619e-18,1.12619634333204e-18,1.00583321508651e-18,7.61268598057566e-19,4.12588158012111e-19
"4",-4.4945538500956e-32,-4.83570070512167e-32,-4.42419811662962e-32,-4.49904662572738e-32,1.18056997067098e-33,2.45176926832673e-33,4.05960882256704e-33,4.53211852601069e-33,2.28519207749399e-32,1.70297842810601e-32,6.49025211850425e-34,-1.54725990935377e-32,-6.60667483499433e-33,3.49689340730775e-33,2.10424644164362e-33,1.68237908439054e-32,4.24573566166378e-32,4.85713206759357e-31,6.52461701368315e-30,7.37412964059866e-29,7.10317961235516e-28,5.87498320573532e-27,4.21036213260621e-26,2.63781090375659e-25,1.45721915710341e-24,7.15713568394455e-24,3.14955172690662e-23,1.25074548046575e-22,4.5118029016165e-22,1.48719907061491e-21,4.50328717347288e-21,1.25854548738696e-20,3.25962852421386e-20,7.8517250092013e-20,1.76428006780963e-19,3.70736323872412e-19,7.30027678405124e-19,1.34917715366553e-18,2.34277361720984e-18,3.82461879772812e-18,5.8704863658001e-18,8.46729129101961e-18,1.14605346934967e-17,1.45202670965703e-17,1.71489833700249e-17,1.87482501015998e-17,1.87432297657261e-17,1.67400322048524e-17,1.26697554394547e-17,6.86668420655552e-18
"5",-9.76444645843095e-31,-1.05055901428688e-30,-9.61159818574699e-31,-9.77420704169893e-31,2.56479567350226e-32,5.32648412889603e-32,8.81952565531874e-32,9.84605595270666e-32,4.96459413595546e-31,3.69973132722625e-31,1.41001134765589e-32,-3.36143186755684e-31,-1.43530425590947e-31,7.59702288265395e-32,4.57148860600168e-32,3.65497912367121e-31,9.22388738185552e-31,1.0552149912396e-29,1.41747714270954e-28,1.60203429427423e-27,1.5431702305221e-26,1.27634379005968e-25,9.1470381678849e-25,5.73066074993154e-24,3.16581776797122e-23,1.55489222095127e-22,6.84242090119453e-22,2.71725240912901e-21,9.80192013115844e-21,3.23094931830412e-20,9.78341965830035e-20,2.73419797313774e-19,7.08156343446269e-19,1.70579218796185e-18,3.83290952436527e-18,8.05426991284282e-18,1.58598971482072e-17,2.93109583715971e-17,5.08969039251438e-17,8.30900835096912e-17,1.27536684876041e-16,1.83952434917074e-16,2.48980835766955e-16,3.15453714329314e-16,3.72562740414311e-16,4.07306910567886e-16,4.07197843455828e-16,3.63678250674901e-16,2.75251232393931e-16,1.49179145512827e-16
"6",-2.03597202786616e-29,-2.19050693330796e-29,-2.00410183337874e-29,-2.03800719438521e-29,5.34782209178282e-31,1.11061827615858e-30,1.83894782051601e-30,2.05298831734667e-30,1.03516106453595e-29,7.71426165827242e-30,2.93999631727467e-31,-7.00887785606575e-30,-2.99273423122289e-30,1.58404535781827e-30,9.53195141900947e-31,7.62094942084932e-30,1.92326075805665e-29,2.20021505027955e-28,2.95556314941381e-27,3.34038086512153e-26,3.21764417159151e-25,2.66128783189596e-24,1.9072370284296e-23,1.19489261759196e-22,6.60100544188636e-22,3.24208554133663e-21,1.42670428037325e-20,5.66570764783278e-20,2.04378561461472e-19,6.73681039014829e-19,2.0399281050875e-18,5.70104062289192e-18,1.47656757886946e-17,3.55672509939802e-17,7.99194978452825e-17,1.67938534122159e-16,3.30692652123701e-16,6.11158979759622e-16,1.06124472224548e-15,1.73250052155008e-15,2.65925082430249e-15,3.83556828892906e-15,5.19146701509709e-15,6.57748435812683e-15,7.76825723135346e-15,8.49270340313847e-15,8.49042925897417e-15,7.58300789163605e-15,5.73922763748537e-15,3.11051495543657e-15
"7",-3.66113925709117e-28,-3.93902804984478e-28,-3.60382942249029e-28,-3.66479894786081e-28,9.61659646212615e-30,1.99714343558477e-29,3.3068450672624e-29,3.69173840313761e-29,1.86145426308087e-28,1.3871991270025e-28,5.2867798700353e-30,-1.26035512844905e-28,-5.38161459489902e-29,2.84847265342819e-29,1.7140609526643e-29,1.37041947134314e-28,3.4584588425431e-28,3.95648544497137e-27,5.31477256319273e-26,6.00676205347971e-25,5.78605365433768e-24,4.78559883064065e-23,3.42964454412462e-22,2.14868780631496e-21,1.18701042198952e-20,5.83000477795146e-20,2.56553772725893e-19,1.01882267559552e-18,3.67518985739034e-18,1.21143123035937e-17,3.66825318077033e-17,1.02517634550297e-16,2.65520324187009e-16,6.39579803153543e-16,1.43713374724032e-15,3.01991555698033e-15,5.9466035591392e-15,1.09900239418654e-14,1.90835859275821e-14,3.11542869232136e-14,4.78193582920184e-14,6.89722129953315e-14,9.33543458884658e-14,1.18278079791106e-13,1.39690875511184e-13,1.52718059985577e-13,1.52677165718061e-13,1.36359672426334e-13,1.03204323641924e-13,5.59341103770147e-14
"8",-5.64754023642157e-27,-6.07620137933956e-27,-5.55913617033087e-27,-5.65318554227393e-27,1.48342118787464e-28,3.0807208134802e-28,5.10101890738091e-28,5.69474136600512e-28,2.87141163195199e-27,2.13984291105603e-27,8.15519430988539e-29,-1.94417797310217e-27,-8.3014829066495e-28,4.39395029605169e-28,2.64404807304211e-28,2.11395922463084e-27,5.33489280186201e-27,6.10313052201271e-26,8.19837482005752e-25,9.26581263521497e-24,8.92535588742627e-23,7.38209067001956e-22,5.2904449133018e-21,3.31448764702641e-20,1.83103909698418e-19,8.9931532918992e-19,3.95750517129033e-18,1.57159879757643e-17,5.66921418132321e-17,1.86870974761773e-16,5.65851391630524e-16,1.5813997376477e-15,4.09581993235962e-15,9.86592538296959e-15,2.21687023975906e-14,4.65841188247846e-14,9.17301433023585e-14,1.69528111477066e-13,2.94376454466956e-13,4.80574697056626e-13,7.37644025724937e-13,1.06394026758669e-12,1.44005018008742e-12,1.82451463274213e-12,2.15482063016956e-12,2.3557732389618e-12,2.35514241886725e-12,2.10343470317718e-12,1.59199235377767e-12,8.62819239477973e-13
"9",-7.45965099155743e-26,-8.02585546039649e-26,-7.34288095510541e-26,-7.46710769122425e-26,1.95940247820846e-27,4.0692232563093e-27,6.73776886174217e-27,7.52199741820701e-27,3.79275361144347e-26,2.8264484403834e-26,1.07719291538198e-27,-2.56800103012726e-26,-1.09651569716346e-26,5.80382508324804e-27,3.49243653061453e-27,2.79225952644497e-26,7.04668523167152e-26,8.06142528326347e-25,1.08289648759284e-23,1.22389085368718e-22,1.17892103656492e-21,9.75076186819179e-21,6.98797547094551e-20,4.37799821295506e-19,2.4185595929553e-18,1.18787617374553e-17,5.22733900764826e-17,2.07587339583079e-16,7.48827939574901e-16,2.46831752199828e-15,7.47414576602533e-15,2.08881913667728e-14,5.41003444696599e-14,1.30315778170238e-13,2.92819131690705e-13,6.15314373399347e-13,1.21163342941443e-12,2.23924131911639e-12,3.88832220493749e-12,6.34775382793443e-12,9.74329842296442e-12,1.40532386487074e-11,1.90211513403722e-11,2.40994164175618e-11,2.84623201917332e-11,3.11166374071568e-11,3.11083051110653e-11,2.77835803064134e-11,2.10281057650935e-11,1.13966968376748e-11
"10",-8.42891888615398e-25,-9.06869299170177e-25,-8.29697636408408e-25,-8.43734447023574e-25,2.21399695144451e-26,4.59795676713308e-26,7.61323918150514e-26,8.49936628022987e-26,4.28556410778543e-25,3.19370231487386e-25,1.21715770868777e-26,-2.9016736047035e-25,-1.23899119130984e-25,6.55794365064659e-26,3.94622540181936e-26,3.15507107291377e-25,7.9622945230602e-25,9.10888457064828e-24,1.223602373134e-22,1.38291680708794e-21,1.3321038479726e-20,1.1017724684199e-19,7.89595632418936e-19,4.94685232090475e-18,2.73281453159428e-17,1.3422225686735e-16,5.90655200032311e-16,2.34560148875406e-15,8.46126711491748e-15,2.78903774476081e-14,8.44529703553405e-14,2.36022933121474e-13,6.11298592606873e-13,1.47248326366224e-12,3.30866512673094e-12,6.9526509333179e-12,1.36906671744365e-11,2.53019658248326e-11,4.39355038268443e-11,7.1725476413692e-11,1.10092914780739e-10,1.58792427141404e-10,2.14926599046939e-10,2.72307680905144e-10,3.21605646804897e-10,3.51597699425386e-10,3.51503549916287e-10,3.1393632897135e-10,2.37603874529839e-10,1.28775238042058e-10
