"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",9.01736692335786,9.01736692335758,9.01736849483036,9.16290449907759,1.56720485753572,2.22820024816956e-60,1.82508846762394e-229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2.37015236572932e-21,2.37015236572925e-21,2.37015277877997e-21,2.40840590829074e-21,4.11928929169888e-22,5.85666983988176e-82,4.79711847812152e-251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",5.11103016294671e-22,5.11103016294655e-22,5.11103105365498e-22,5.19352064444401e-22,8.88289382750205e-23,1.26294058723288e-82,1.03445742946419e-251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",-1.47667327690478e-25,-1.47667327690473e-25,-1.47667353424724e-25,-1.50050633711819e-25,-2.56643602531434e-26,-3.64887421131948e-86,-2.98874315643772e-255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",1.63352219446126e-33,1.63352219446121e-33,1.63352247913807e-33,1.65988674878038e-33,2.83903709343435e-34,4.03644943144188e-94,3.30620073914972e-263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",-5.58768680382992e-35,-5.58768680382975e-35,-5.58768777760599e-35,-5.67787037939276e-35,-9.71131592601266e-36,-1.38072291266499e-95,-1.1309313276305e-264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",-2.24842189865062e-32,-2.24842189865055e-32,-2.24842229048708e-32,-2.2847107482789e-32,-3.90772356421178e-33,-5.55587265677949e-93,-4.55073960332124e-262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",-5.41177857981075e-23,-5.41177857981059e-23,-5.41177952293099e-23,-5.49912304982421e-23,-9.40559006888999e-24,-1.33725581725388e-83,-1.09532802194866e-252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",3.27575542292798e-77,3.27575542292788e-77,3.27575599379968e-77,3.32862512502125e-77,5.69321383342357e-78,8.09442391370817e-138,6.63003235418546e-307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",1.19269451307742e-113,1.19269451307739e-113,1.19269472093041e-113,1.21194424190435e-113,2.07288518958824e-114,2.94715988893127e-174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",3.86589934564496e-135,3.86589934564485e-135,3.86590001936209e-135,3.92829379221941e-135,6.71887512700087e-136,9.55267535920229e-196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",1.3041462678336e-145,1.30414626783356e-145,1.30414649510948e-145,1.32519479428458e-145,2.26658666909921e-146,3.22255827264723e-206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",5.31797765854628e-149,5.31797765854612e-149,5.31797858531966e-149,5.40380821005148e-149,9.242565473466e-150,1.31407751722279e-209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
