"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",-7.18368024028226e-21,-1.51357002377334e-20,-8.75747752391305e-22,-1.27072022353959e-20,-2.4325805679789e-22,3.06442709574728e-21,9.07289931686853e-20,3.06678315214142e-18,8.59663685323991e-17,1.98271054181576e-15,3.74755631446221e-14,5.77558131325638e-13,7.21922370778309e-12,7.27996013162739e-11,5.89406250033015e-10,3.81720867072971e-09,1.97402779060392e-08,8.15820344666994e-08,2.70448692130277e-07,7.23748629480374e-07,1.57649226818191e-06,2.82090457928441e-06,4.18483210797605e-06,5.19143793160351e-06,5.42642981266697e-06,4.81029006263315e-06,3.63582128220956e-06,2.35358326652533e-06,1.30952230351842e-06,6.28077674221184e-07,2.6028417788576e-07,9.33762967206234e-08,2.90431431354203e-08,7.84164854858178e-09,1.83978562357275e-09,3.7539051884615e-10,6.66580454902247e-11,1.03067423857823e-11,1.38833901867653e-12,1.62985035190794e-13,1.66810802237314e-14,1.4888440633673e-15,1.15912250217674e-16,7.87329007742827e-18,4.66669488666221e-19,2.41411522777953e-20,1.09009018065741e-21,4.29706104814878e-23,1.47860842827552e-24,4.43289473888884e-26
"2",-1.25639073636174e-22,-2.64716035944959e-22,-1.53164022714187e-23,-2.22242786978494e-22,-4.25446510539866e-24,5.359533952755e-23,1.58680596468315e-21,5.36365458080209e-20,1.50350997608604e-18,3.46766430896458e-17,6.55429373245498e-16,1.01012108228166e-14,1.2626071159628e-13,1.27322962110297e-12,1.03084286567033e-11,6.67611231604051e-11,3.45247859937868e-10,1.42683010558775e-09,4.73001609325916e-09,1.26580115361304e-08,2.75720830471128e-08,4.93362491512301e-08,7.31906782850303e-08,9.07957245798474e-08,9.49056182918864e-08,8.41296337219453e-08,6.35887459525268e-08,4.11630266717195e-08,2.29029082053768e-08,1.09847730579962e-08,4.55224368261067e-09,1.63310601629656e-09,5.07950448372634e-10,1.37146619346959e-10,3.21769557807808e-11,6.5653976043037e-12,1.16581679663692e-12,1.80259911666879e-13,2.42813742211639e-14,2.85052899808999e-15,2.91743980308061e-16,2.60391585724082e-17,2.02724888265082e-18,1.37700014297699e-19,8.16182239313971e-21,4.22217012344754e-22,1.90651470968458e-23,7.51535078663645e-25,2.58601422927305e-26,7.7529173055005e-28
"3",-4.50401480641076e-22,-9.48976230788742e-22,-5.49075224887292e-23,-7.9671456832592e-22,-1.52517630650186e-23,1.92133064818455e-22,5.68851500810179e-21,1.92280784546074e-19,5.38990856736791e-18,1.24311736303202e-16,2.34963814696918e-15,3.62116671127248e-14,4.52629980498255e-13,4.56438025165238e-12,3.69545189700068e-11,2.39330869374144e-10,1.23767346259235e-09,5.11502014127357e-09,1.69565581009398e-08,4.53775005883477e-08,9.88427140488145e-08,1.76864720694607e-07,2.62380077428483e-07,3.25492122817342e-07,3.40225614235308e-07,3.01594961642933e-07,2.2795826569101e-07,1.47564667774441e-07,8.21042647652752e-08,3.9379135062352e-08,1.63192646646234e-08,5.85449531340731e-09,1.8209433372761e-09,4.91654694921304e-10,1.15350647746366e-10,2.35361875600805e-11,4.17931775652889e-12,6.46210838437889e-13,8.70459052641682e-14,1.02188152474597e-14,1.04586827088033e-15,9.33473579216495e-17,7.26745169275907e-18,4.93638551519248e-19,2.9259184935133e-20,1.51359893071653e-21,6.83463371110602e-23,2.69416593411076e-24,9.27056053593917e-26,2.77933077077373e-27
"4",-1.55475652874658e-21,-3.27580404119472e-21,-1.89537185679638e-22,-2.75020671532684e-21,-5.26480911352293e-23,6.63230805745581e-22,1.9636382711555e-20,6.63740724608666e-19,1.86056127580549e-17,4.29116004108447e-16,8.11079760215868e-15,1.25000312565963e-13,1.56244916487497e-12,1.5755942866435e-11,1.27564588716558e-10,8.26154548072131e-10,4.27236805190545e-09,1.76567158438202e-08,5.85329323850865e-08,1.56640171780779e-07,3.41198600785441e-07,6.10525477876955e-07,9.0571891063576e-07,1.12357757413574e-06,1.17443662535536e-06,1.04108613271877e-06,7.86897062062017e-07,5.09383606617098e-07,2.83418565809457e-07,1.35934205294887e-07,5.63330370174469e-08,2.02093358975654e-08,6.28577760907436e-09,1.697159933244e-09,3.98182910996528e-10,8.12453840488154e-11,1.44267322532359e-11,2.23067765802652e-12,3.00476786438388e-13,3.52746835987959e-14,3.61026904273413e-15,3.22228989929952e-16,2.50867691433542e-17,1.70400807680108e-18,1.0100079764159e-19,5.22484476757459e-21,2.35927097060357e-22,9.30008504772958e-24,3.20013701950459e-25,9.59406850807017e-27
"5",-5.1495816027636e-21,-1.08499433273932e-20,-6.27774951491805e-22,-9.10908791388803e-21,-1.74378197819286e-22,2.19671768055345e-21,6.50385788942588e-20,2.19840660659923e-18,6.16245176627522e-17,1.42129512843388e-15,2.68641509738425e-14,4.14019364464943e-13,5.1750607416198e-12,5.21859931243374e-11,4.22512623084771e-10,2.73634500523468e-09,1.41507094606408e-08,5.84816319426314e-08,1.93869654954301e-07,5.18815217651038e-07,1.13009979698228e-06,2.02214990628032e-06,2.99987384085474e-06,3.72145367976792e-06,3.88990631505332e-06,3.44822992977746e-06,2.60631845510248e-06,1.68715319787046e-06,9.38723848646988e-07,4.50234020459251e-07,1.8658327891809e-07,6.69362838605166e-08,2.08194171474862e-08,5.62124255958363e-09,1.31884018821624e-09,2.6909662527324e-10,4.77834526664779e-11,7.38833149569071e-12,9.95223176678394e-13,1.16834924533238e-13,1.19577404563007e-14,1.06726966424647e-15,8.30910579661897e-17,5.64392461521265e-18,3.34529451900025e-19,1.73054520080316e-20,7.81425140304694e-22,3.0803245383079e-23,1.05993230562273e-24,3.17769617115816e-26
"6",-1.63263457876551e-20,-3.43988968821113e-20,-1.99031139333402e-21,-2.88796509239653e-20,-5.52852440263872e-22,6.96452162857739e-21,2.06199728536296e-19,6.96987623653591e-18,1.95375714372526e-16,4.50610506311196e-15,8.51706899557329e-14,1.31261601979709e-12,1.64071254049962e-11,1.65451610391587e-10,1.33954323210049e-09,8.67536786402397e-09,4.48637177962339e-08,1.85411440962383e-07,6.14648580929113e-07,1.64486307756006e-06,3.58289303546329e-06,6.41106815099102e-06,9.51086543008687e-06,1.17985778836918e-05,1.23326437913056e-05,1.09323433497347e-05,8.26312885456836e-06,5.34898728285011e-06,2.97615055636837e-06,1.427431754735e-06,5.91547695481987e-07,2.12216253736217e-07,6.60063340417561e-08,1.78217099685912e-08,4.18127968686218e-09,8.53149807771609e-10,1.51493700137173e-10,2.34241272587534e-11,3.15527725779122e-12,3.70415992044977e-13,3.79110810524543e-14,3.38369501277761e-15,2.63433701776875e-16,1.78936216522852e-17,1.06059946791473e-18,5.48655823500628e-20,2.47744730191958e-21,9.76592807532651e-23,3.36043249102342e-24,1.00746372230695e-25
"7",-4.9423627248982e-20,-1.04133422101298e-19,-6.02513322288702e-21,-8.74253872183714e-20,-1.67361228817977e-21,2.10832188301776e-20,6.24214300895491e-19,2.10994284677321e-17,5.91447504924992e-16,1.36410229135532e-14,2.57831390297617e-13,3.97359248219202e-12,4.96681658462106e-11,5.00860316576208e-10,4.0551073858359e-09,2.62623463410608e-08,1.3581285697386e-07,5.61283343193089e-07,1.86068350799761e-06,4.97938122089829e-06,1.0846246438784e-05,1.94077870629193e-05,2.87915908400808e-05,3.571702590255e-05,3.73337670084655e-05,3.30947334879875e-05,2.50144034513402e-05,1.61926224683434e-05,9.00949653081717e-06,4.3211662846641e-06,1.79075178130814e-06,6.42427715132975e-07,1.99816449570623e-07,5.39504407099554e-08,1.26577013224523e-08,2.58268192008573e-09,4.58606491834206e-10,7.09102544639674e-11,9.5517545128916e-12,1.12133493654995e-12,1.14765616440588e-13,1.02432279219647e-14,7.97474784056363e-16,5.41681340196503e-17,3.21068005323774e-18,1.66090815797752e-19,7.49980636032182e-21,2.95637244986117e-22,1.01728068847648e-23,3.0498258536102e-25
"8",-1.42490087403333e-19,-3.00220385324464e-19,-1.73706748640869e-20,-2.52050522379911e-19,-4.82508416512346e-21,6.07836749561411e-20,1.79963218492509e-18,6.08304079217381e-17,1.70516433864091e-15,3.93275575957062e-14,7.4333713213222e-13,1.1456009435334e-11,1.43195100936982e-10,1.44399823036612e-09,1.16910198218921e-08,7.57152850538994e-08,3.91553330620836e-07,1.61819998007664e-06,5.36441719157673e-06,1.4355734390072e-05,3.12701169275724e-05,5.59533451676718e-05,8.30071875262574e-05,0.000102973464837028,0.000107634587346915,9.5413301891768e-05,7.21174210093433e-05,4.66839104944679e-05,2.59747011620359e-05,1.24580771557758e-05,5.16280151901489e-06,1.85214211046208e-06,5.76077980284786e-07,1.55541052733401e-07,3.6492606232147e-08,7.44596447108405e-09,1.32217894036779e-09,2.04436803180434e-10,2.75380503446382e-11,3.23284878126188e-12,3.30873382383192e-13,2.9531592947239e-14,2.29914836298231e-15,1.56168670341661e-16,9.25650557991784e-18,4.78845770276805e-19,2.16222103328593e-20,8.52332765167896e-22,2.93285665749516e-23,8.79275716160252e-25
"9",-3.90203468698266e-19,-8.22141651130716e-19,-4.75689060840451e-20,-6.90230386633555e-19,-1.32133021482603e-20,1.66453689799333e-19,4.92822156078195e-18,1.66581666177275e-16,4.6695251000506e-15,1.07696961023244e-13,2.03559933645903e-12,3.13718287395957e-11,3.92134120376025e-10,3.9543320419764e-09,3.20153953882395e-08,2.07343313488757e-07,1.07225330949608e-06,4.4313766436682e-06,1.46902443099273e-05,3.93126108405072e-05,8.563197843511e-05,0.000153226022719011,0.000227311900005723,0.000281988760730787,0.000294753060371063,0.000261285553518805,0.000197490705102626,0.000127842042483825,7.11306918013037e-05,3.41159515590321e-05,1.41381277647611e-05,5.07201791503378e-06,1.57756676442713e-06,4.25943021073152e-07,9.99335588399019e-08,2.03904792071388e-08,3.62073473441664e-09,5.59842099786123e-10,7.54118617055041e-11,8.85302852439574e-12,9.06083671212834e-13,8.08710992756988e-14,6.29612685792103e-15,4.27661727070335e-16,2.53485744245836e-17,1.3113002029721e-18,5.92115678118944e-20,2.33407956661776e-21,8.03151195851291e-23,2.40786177228394e-24
"10",-1.01231580435912e-18,-2.1329051472505e-18,-1.23409347399191e-19,-1.79068405355045e-18,-3.42796404067837e-20,4.3183547660376e-19,1.27854234356403e-17,4.32167489310893e-16,1.21142799509251e-14,2.79401246967345e-13,5.28101245874339e-12,8.13888153036853e-11,1.01732454816304e-09,1.02588345386336e-08,8.30584383128142e-08,5.37916574327443e-07,2.78177683837715e-06,1.14964447302802e-05,3.81113128861896e-05,0.000101989809053284,0.000222157443698775,0.00039751856885078,0.000589721638463018,0.000731571351971142,0.000764686132576587,0.000677860440759797,0.000512355676017864,0.000331664196885961,0.000184536349012158,8.85079701089596e-05,3.66789414457601e-05,1.31584783510771e-05,4.09272570894594e-06,1.10503592760794e-06,2.59260434913542e-07,5.28995921761125e-08,9.39337368596358e-09,1.45241406348782e-09,1.95643108184819e-10,2.29676602352761e-11,2.35067828458944e-12,2.09806161349097e-13,1.63342185188313e-14,1.10949481478749e-15,6.57625176772128e-17,3.40194289957598e-18,1.536142313056e-19,6.05536809245017e-21,2.08363767642183e-22,6.24678333825903e-24
