"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",9.01736692335786,9.01736692335786,9.01736693914297,9.0182318430129,0.539980569335331,4.90890389942285,5.3739836648738,4.82878770553712,1.5711230928251,2.29062562066214,2.33081325570621,1.16773496770713,0.889738424361902,0.727532175213001,0.363616532144915,0.239491878964383,0.114413131266323,0.053521799095447,0.0195668980016594,0.00580258482600603,0.00122488980195569,0.000164421559154007,1.17846739720207e-05,3.69203172221993e-07,4.12385571604776e-09,1.36976209400768e-11,1.17012924797148e-14,2.32684074095294e-18,1.01912938449454e-22,9.45831901893207e-28,1.77958550530995e-33,6.53609589297983e-40,4.62829320461652e-47,6.44990825626642e-55,1.80206152880658e-63,9.98182963713966e-73,1.07075489694414e-82,2.18762108809107e-93,8.51909999342551e-105,6.32122377353425e-117,8.61587303769986e-130,2.02456089078095e-143,8.21351629232826e-158,6.05537420920126e-173,8.29699772774246e-189,2.02159473180417e-205,8.13714114398488e-223,5.52816097087336e-241,6.82846731361638e-260,1.55886415120684e-279
"2",5.67926719918268e-32,5.67926719918268e-32,5.67926720912437e-32,5.67981193800373e-32,3.40087517973613e-33,3.09169817940054e-32,3.38461209533395e-32,3.04123984983208e-32,9.89515888928407e-33,1.44266891472901e-32,1.46797966446986e-32,7.35456254115494e-33,5.6037003842463e-33,4.58210213042835e-33,2.29010914343739e-33,1.50835425045182e-33,7.20590333164183e-34,3.37087977707386e-34,1.2323513388673e-34,3.65455126234785e-35,7.71453189604697e-36,1.03555059440135e-36,7.42215692354643e-38,2.32529460501731e-39,2.59726355835044e-41,8.62695839849978e-44,7.36964206213547e-47,1.46547771762348e-50,6.41862323478328e-55,5.95698516209695e-60,1.12080851032778e-65,4.11652706729275e-72,2.91496553357403e-79,4.06224485583104e-87,1.13496423273515e-95,6.28669966830261e-105,6.74376812684318e-115,1.3777951807255e-125,5.36545153041221e-137,3.98119752039086e-149,5.42640058358745e-162,1.27509752652704e-175,5.17299052655187e-190,3.81376164654143e-205,5.22556833356785e-221,1.27322939700236e-237,5.1248883611963e-255,3.48171517700556e-273,4.30066678715914e-292,9.81795031427758e-312
"3",2.74120192277051e-41,2.74120192277051e-41,2.74120192756905e-41,2.74146485090037e-41,1.64149444899103e-42,1.49226452934254e-41,1.63364477461053e-41,1.46790989604534e-41,4.77607895915317e-42,6.96330470865243e-42,7.08547165981535e-42,3.54981378263929e-42,2.70472822094661e-42,2.21163518632627e-42,1.10536295743372e-42,7.28034696475037e-43,3.47806070311988e-43,1.62701662067826e-43,5.94816855970079e-44,1.76393583817521e-44,3.72355955883916e-45,4.99827386340905e-46,3.5824394444512e-47,1.12234586236736e-48,1.25361663932921e-50,4.16395885600031e-53,3.55709218854212e-56,7.07339555692139e-60,3.09806560171346e-64,2.87524756408812e-69,5.40978674856189e-75,1.98691688843654e-81,1.40696129363183e-88,1.960716588783e-96,5.47811192524467e-105,3.03439028561852e-114,3.25500271561116e-124,6.65017979631633e-135,2.58973306517689e-146,1.92159761375467e-158,2.61915123760925e-171,6.15449083279415e-185,2.49683825052259e-199,1.84078163464334e-214,2.52221588827628e-230,6.14547396483315e-247,2.47362086286717e-264,1.68051334846869e-282,2.07579528356273e-301,4.86160595507787e-321
"4",8.52555401480079e-52,8.5255540148008e-52,8.52555402972498e-52,8.52637176118954e-52,5.10529686763258e-53,4.64116916875014e-52,5.08088318895621e-52,4.56542256286858e-52,1.4854330433294e-52,2.16569344716978e-52,2.20368922312161e-52,1.10404596228314e-52,8.4121152664779e-53,6.87852109158074e-53,3.43784655967137e-53,2.26429840059858e-53,1.08172966554887e-53,5.06026862426525e-54,1.84997069802196e-54,5.4861081710487e-55,1.15808353563849e-55,1.55453903082748e-56,1.11419303826961e-57,3.49066597152762e-59,3.89893801097739e-61,1.29505440104023e-63,1.10630965698402e-66,2.19993337184136e-70,9.63545421787436e-75,8.94245630354094e-80,1.68252578368263e-85,6.17961307942063e-92,4.37586315913161e-99,6.0981261710522e-107,1.70377595060909e-115,9.43741432075208e-125,1.01235524606005e-134,2.06830684710484e-145,8.05446287910314e-157,5.97646022158773e-169,8.14595786019352e-182,1.91414005632797e-195,7.76554590678842e-210,5.72511026102872e-225,7.8444742117921e-241,1.91133567354218e-257,7.6933363074537e-275,5.2266515669459e-293,6.45603837734944e-312,0
"5",1.70858681027914e-63,1.70858681027914e-63,1.70858681327006e-63,1.70875069296542e-63,1.02314088626418e-64,9.30126114060631e-64,1.01824819667422e-63,9.14945909758603e-64,2.97692243926826e-64,4.34021677948246e-64,4.41636324635711e-64,2.21259329988889e-64,1.68585280978807e-64,1.37850870346944e-64,6.88970978005733e-65,4.53782871480556e-65,2.16786971924152e-65,1.01411687884203e-65,3.70748402808291e-66,1.09945840992217e-66,2.32088876659307e-67,3.11541617063816e-68,2.23292882314437e-69,6.99556395712034e-71,7.81377262766376e-73,2.59538894993791e-75,2.21712991874288e-78,4.40883623057882e-82,1.93101937529549e-86,1.79213724588484e-91,3.37191149919879e-97,1.23844214485025e-103,8.76956742552919e-111,1.22211153963597e-118,3.41449847344554e-127,1.89133065177738e-136,2.02883802944917e-146,4.1450465183123e-157,1.61417651160587e-168,1.1977287445526e-180,1.63251281181889e-193,3.83608437362689e-207,1.55627532098462e-221,1.14735627296544e-236,1.57209316234166e-252,3.83046417412965e-269,1.54180396008718e-286,1.04746130441556e-304,0,0
"6",2.20640049154525e-76,2.20640049154525e-76,2.20640049540761e-76,2.20661212307453e-76,1.32124311202222e-77,1.20112756514091e-76,1.31492488888523e-76,1.18152445803962e-76,3.84427826188153e-77,5.60478190399852e-77,5.70311439780621e-77,2.85725426129622e-77,2.17704271495673e-77,1.78015086072066e-77,8.89709492890158e-78,5.85997003292997e-78,2.79950002268782e-78,1.30958987070481e-78,4.78769620176448e-79,1.41979650170044e-79,2.99710268429159e-80,4.02312351289956e-81,2.88351474056294e-82,9.03379076835137e-84,1.00903926348838e-85,3.35158121345826e-88,2.86311266896341e-91,5.6933943114675e-95,2.49364098634199e-99,2.3142941736691e-104,4.35435129460225e-110,1.59927452366411e-116,1.13246677089622e-123,1.57818583495643e-131,4.40934640538396e-140,2.44238856032984e-149,2.61996007373545e-159,5.35274685515573e-170,2.0844828177423e-181,1.54669887114895e-193,2.10816158054191e-206,4.95376553105702e-220,2.00971154204288e-234,1.48164988130448e-249,2.03013806806742e-265,4.9465078307993e-282,1.99102380688927e-299,1.35265341924981e-317,0,0
"7",1.83610010042147e-90,1.83610010042147e-90,1.8361001036356e-90,1.83627621381233e-90,1.09949876278634e-91,9.99542218842451e-91,1.09424092760149e-90,9.83229102952941e-91,3.19909269859948e-91,4.66413085756922e-91,4.74596020017807e-91,2.37772102399301e-91,1.81166944209407e-91,1.48138798312425e-91,7.40389469410181e-92,4.87649074008051e-92,2.32965968439714e-92,1.08980128599773e-92,3.98417672155733e-93,1.18151192829208e-93,2.49409867369419e-94,3.34792233520102e-95,2.39957420468414e-96,7.51764885863482e-98,8.39692113974593e-100,2.78908503972077e-102,2.38259621457933e-105,4.73787143679581e-109,2.07513299737846e-113,1.92588597625931e-118,3.62356012878252e-124,1.33086813783505e-130,9.42404771814689e-138,1.31331876563254e-145,3.66932540522074e-154,2.03248227059139e-163,2.18025194107751e-173,4.45439487343431e-184,1.7346438806778e-195,1.28711626176689e-207,1.75434863460657e-220,4.1223746205151e-234,1.67242147484241e-248,1.23298444968499e-263,1.6894198151839e-279,4.11633498073842e-296,1.65687010544703e-313,0,0,0
"8",5.99404940116176e-104,5.99404940116176e-104,5.99404941165448e-104,5.99462433297772e-104,3.58937396667249e-105,3.26306035107411e-104,3.57220947556772e-104,3.20980529024919e-104,1.04436134336573e-104,1.52263107917349e-104,1.54934471651545e-104,7.76220058847746e-105,5.9142941781847e-105,4.83607225504529e-105,2.41704199826897e-105,1.59195712660987e-105,7.60530171147313e-106,3.55771602224767e-106,1.30065632513671e-106,3.85711044001303e-107,8.14212180374228e-108,1.09294759386165e-108,7.83354149445806e-110,2.45417766868489e-111,2.74122092350756e-113,9.10512096170028e-116,7.77811591532036e-119,1.54670409538066e-122,6.77438539293811e-127,6.28716031334736e-132,1.18293106214726e-137,4.34469197119715e-144,3.07653202396273e-151,4.2874010838882e-159,1.19787138744682e-167,6.63514975796458e-177,7.11755194545089e-187,1.45416161774176e-197,5.66284001172865e-209,4.20186157404952e-221,5.72716726080385e-234,1.34577178661397e-247,5.45971155792002e-262,4.02514530693593e-277,5.51520357152062e-293,1.34380011311003e-309,0,0,0,0
"9",5.59100848889089e-114,5.59100848889089e-114,5.59100849867808e-114,5.5915447621927e-114,3.34802384404444e-115,3.0436516120609e-114,3.33201349627259e-114,2.9939774306818e-114,9.74138307084288e-115,1.42024910362902e-114,1.44516651140333e-114,7.2402688863792e-115,5.51661602081886e-115,4.51089392516641e-115,2.25451967875147e-115,1.48491365571678e-115,7.09391991683974e-116,3.31849458524559e-116,1.21319997021705e-116,3.59775767088653e-117,7.59464413381103e-118,1.01945760974359e-118,7.30681281757626e-120,2.289158340304e-121,2.55690075732202e-123,8.49289106282273e-126,7.25511406390891e-129,1.44270344608764e-132,6.31887455441966e-137,5.86441057294756e-142,1.10339057415112e-147,4.05255413608558e-154,2.86966548173367e-161,3.99911549788911e-169,1.11732630940889e-177,6.18900114748006e-187,6.63896652894201e-197,1.35638354055569e-207,5.28206967574698e-219,3.9193276793985e-231,5.3420715495348e-244,1.25528186030804e-257,5.09259961409563e-272,3.75449384446787e-287,5.14436033516118e-303,1.2548279273076e-319,0,0,0,0
"10",3.0966588222999e-124,3.0966588222999e-124,3.09665882772068e-124,3.09695584482357e-124,1.85435017573857e-125,1.68576932680805e-124,1.84548261905818e-124,1.6582565816005e-124,5.39540225840591e-125,7.86624975682838e-125,8.00425833035578e-125,4.01012492958623e-125,3.05545550575591e-125,2.49842215363844e-125,1.24869748760468e-125,8.22440348904059e-126,3.92906749092211e-126,1.83799497972033e-126,6.71947896064074e-127,1.99266877419068e-127,4.20640065310641e-128,5.64640960114067e-129,4.04698122340538e-130,1.26788259832351e-131,1.4161755081644e-133,4.70390736998132e-136,4.01834714031214e-139,7.99061629608792e-143,3.499797697469e-147,3.24808641846819e-152,6.11128414967837e-158,2.24456420398797e-164,1.58940465726656e-171,2.21496646133535e-179,6.18846918278461e-188,3.4278654812721e-197,3.67708514727731e-207,7.51252133784075e-218,2.92554870805596e-229,2.17077485394789e-241,2.95878159120911e-254,6.95255543775256e-268,2.82060804500025e-282,2.07947931215688e-297,2.84927645066474e-313,0,0,0,0,0
"11",3.61980892537746e-135,3.61980892537746e-135,3.61980893171402e-135,3.62015612694014e-135,2.16762443074965e-136,1.97056350262546e-135,2.15725878743538e-135,1.93840274925259e-135,6.30690249450023e-136,9.19517541744157e-136,9.35649918441119e-136,4.68759616250327e-136,3.57164471306352e-136,2.92050604541069e-136,1.45965266763574e-136,9.61383570613174e-137,4.59284486544991e-137,2.14850618494977e-137,7.85466895495721e-138,2.32931059831099e-138,4.91703074235329e-139,6.60031506324158e-140,4.73067896528481e-141,1.48207891443901e-142,1.65542445536417e-144,5.4985863342094e-147,4.69720743500047e-150,9.34055246239987e-154,4.09105415523456e-158,3.79681872710671e-163,7.14372560232312e-169,2.62376128770428e-175,1.85791896833406e-182,2.58916329703981e-190,7.23395028892131e-199,4.00696969738707e-208,4.29829257896795e-218,8.78168805519478e-229,3.41979143739906e-240,2.53750595148533e-252,3.45863868985952e-265,8.12712141438518e-279,3.29712207969372e-293,2.43078692430594e-308,0,0,0,0,0,0
"12",2.51425699355349e-146,2.51425699355349e-146,2.51425699795475e-146,2.51449815378464e-146,1.50559463130818e-147,1.36871950145841e-146,1.49839483382359e-146,1.34638119555535e-146,4.38066594987569e-147,6.38681062366927e-147,6.49886333631002e-147,3.25592363505744e-147,2.48080296044131e-147,2.02853324602579e-147,1.01384962671185e-147,6.67760485631032e-148,3.19011101450874e-148,1.49231542674303e-148,5.45571790090808e-149,1.61789906116411e-149,3.41528494634289e-150,4.58446527137648e-151,3.28584820854417e-152,1.02942651185321e-153,1.14982934182495e-155,3.81922345362525e-158,3.26259945955293e-161,6.48778701759604e-165,2.84157582150057e-169,2.63720495602885e-174,4.96190888136315e-180,1.82241944340681e-186,1.2904785462129e-193,1.79838827441853e-201,5.02457739617903e-210,2.78317220392008e-219,2.98552006467643e-229,6.09960941672529e-240,2.37532828810248e-251,1.76250797106378e-263,2.40231092121726e-276,5.64495869114017e-290,2.29012426301069e-304,1.68935866282497e-319,0,0,0,0,0,0
"13",3.65596744166111e-158,3.65596744166111e-158,3.65596744806097e-158,3.6563181114437e-158,2.18927697785694e-159,1.99024759478793e-158,2.17880779143022e-158,1.95776558547351e-158,6.36990257026335e-159,9.2870266468619e-159,9.44996188785547e-159,4.73442087774853e-159,3.60732211377142e-159,2.94967917790924e-159,1.47423323689761e-159,9.70986896150371e-160,4.63872310357773e-160,2.16996775860616e-160,7.93312977462075e-161,2.35257823948626e-161,4.96614729514097e-162,6.6662460570071e-163,4.77793403756218e-164,1.49688350099762e-165,1.67196060226021e-167,5.55351208515406e-170,4.74412815789703e-173,9.43385587295897e-177,4.13191997200524e-181,3.83474540627689e-186,7.21508476073245e-192,2.64997021673938e-198,1.8764778466216e-205,2.61502662440516e-213,7.30621070782997e-222,4.04699558881888e-231,4.34122851437572e-241,8.86940893137572e-252,3.45395196546146e-263,2.56285327013063e-275,3.49318726575528e-288,8.20830378010096e-302,3.33005768950921e-316,0,0,0,0,0,0,0
"14",3.15557562829872e-170,3.15557562829872e-170,3.15557563382263e-170,3.15587830195137e-170,1.88963090759417e-171,1.71784265166744e-170,1.88059463742399e-170,1.68980645096644e-170,5.4980547901782e-171,8.01591245377254e-171,8.15654676840327e-171,4.08642127544328e-171,3.11358838044468e-171,2.54595695219909e-171,1.27245511537388e-171,8.38088039289917e-172,4.00382164383425e-172,1.87296453880355e-172,6.8473232796488e-173,2.03058114566133e-173,4.28643132663354e-174,5.75383778039782e-175,4.12397879443362e-176,1.2920052406168e-177,1.44311956059729e-179,4.79340357019487e-182,4.0947999213537e-185,8.14264518178156e-189,3.56638459444713e-193,3.30988427492116e-198,6.22755699835559e-204,2.28726911962347e-210,1.61964455491736e-217,2.25710825246734e-225,6.30621054829966e-234,3.49308380112568e-243,3.74704510240804e-253,7.65545402355872e-264,2.98120998544028e-275,2.21207585876514e-287,3.01507515501627e-300,7.08483426280218e-314,0,0,0,0,0,0,0,0
