"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",-2.0234063373681e-15,1.40461411899102e-15,-1.26909973381781e-15,-4.79083310745757e-15,-7.23024037378582e-15,-6.89562018240835e-15,-1.15434619143187e-14,-1.58934843105686e-14,-1.52771390626681e-14,-2.40929116288962e-14,-1.44951413243243e-14,-9.49725782345053e-15,6.64932010310544e-13,3.04380267196249e-11,1.05676695356563e-09,2.87200948743439e-08,6.11560127020579e-07,1.02034524703664e-05,0.000133385952502767,0.00136624318349903,0.0109648045115044,0.0689491258434578,0.339712589216788,1.31144336397452,3.96681972559061,9.40135395499066,17.4579536564218,25.4010245160272,28.9577005945822,25.8661532679503,18.103167135558,9.92732496322316,4.26545050038429,1.43599387858489,0.378787201262153,0.0782876084422555,0.0126778545055049,0.00160862008949337,0.000159924935807866,1.24575846912961e-05,7.60337626992923e-07,3.63608562225834e-08,1.36243790084693e-09,3.99994791444478e-11,9.2012527365824e-13,1.65842020338082e-14,2.34205551082727e-16,2.59152079587642e-18,2.2467812366292e-20,1.52520609456677e-22
"2",-1.2420474472496e-16,8.62208123323758e-17,-7.79023993146069e-17,-2.9408042870205e-16,-4.43820968305487e-16,-4.23280647420698e-16,-7.08583695638308e-16,-9.75605406154863e-16,-9.37771678561871e-16,-1.4789189315481e-15,-8.89769540942381e-16,-5.82979533949246e-16,4.08161766990904e-14,1.86840738255272e-12,6.48685670680067e-11,1.76295387953783e-09,3.75399978035834e-08,6.26328575724218e-07,8.18776133816562e-06,8.38654513949181e-05,0.000673063398171388,0.00423237212231678,0.0208529125585369,0.0805016200826825,0.243499203441156,0.577092572304316,1.0716387693717,1.55921611368941,1.77753906555923,1.58776757012697,1.11124454404445,0.609378768904462,0.26183035050997,0.0881470270317707,0.0232514679671526,0.00480560540022123,0.000778217233699391,9.87435118122885e-05,9.8168298973545e-06,7.64696194677642e-07,4.66725536642707e-08,2.23197426127531e-09,8.36318679808104e-11,2.45532743696439e-12,5.64809562069269e-14,1.01800441267551e-15,1.43764700881762e-17,1.5907787425433e-19,1.37916386241699e-21,9.36232283798348e-24
"3",-1.24132633441307e-16,8.61707539109468e-17,-7.7857170430423e-17,-2.93909690319567e-16,-4.4356329296621e-16,-4.23034897462444e-16,-7.0817230330397e-16,-9.7503898529604e-16,-9.37227223358774e-16,-1.47806029492508e-15,-8.89252955010861e-16,-5.82641065377616e-16,4.07924794812256e-14,1.86732261517897e-12,6.48309054178791e-11,1.7619303367774e-09,3.75182026826647e-08,6.25964939393865e-07,8.18300765519119e-06,8.38167604582904e-05,0.00067267262835233,0.00422991487491198,0.0208408056917998,0.0804548821325889,0.243357831707188,0.576757521608242,1.07101659308171,1.55831085780969,1.77650705487361,1.58684573772936,1.11059937327661,0.609024973360224,0.261678336005883,0.0880958502809665,0.0232379685375966,0.00480281534276482,0.000777765413249154,9.86861829122936e-05,9.8111304032903e-06,7.64252224325904e-07,4.66454563278239e-08,2.23067841280014e-09,8.35833126589684e-11,2.45390191321599e-12,5.64481642692028e-14,1.0174133756332e-15,1.43681233401131e-17,1.58985516190725e-19,1.37836314198793e-21,9.35688722343173e-24
"4",-1.2413189054608e-16,8.6170238205769e-17,-7.78567044794582e-17,-2.93907931361426e-16,-4.43560638377774e-16,-4.23032365730074e-16,-7.08168065112855e-16,-9.75033149990783e-16,-9.37221614345159e-16,-1.47805144919364e-15,-8.89247633108331e-16,-5.82637578451941e-16,4.07922353509154e-14,1.86731143983353e-12,6.48305174250615e-11,1.76191979217199e-09,3.75179781478834e-08,6.25961193188271e-07,8.18295868243389e-06,8.38162588410317e-05,0.000672668602615736,0.00422988956018623,0.0208406809660556,0.080454400635127,0.243356375286208,0.576754069893748,1.07101018338031,1.55830153180358,1.77649642303107,1.58683624095085,1.11059272668457,0.609021328535061,0.261676769942379,0.0880953230546853,0.0232378294655779,0.00480278659940784,0.000777760758564907,9.86855923061634e-05,9.81107168672442e-06,7.64247650513893e-07,4.66451771692665e-08,2.23066506288319e-09,8.35828124388223e-11,2.45388722737579e-12,5.64478264444854e-14,1.01740728673039e-15,1.4368037351361e-17,1.58984564711828e-19,1.37835489291296e-21,9.35683122537009e-24
"5",-1.24131884859437e-16,8.61702342581989e-17,-7.7856700912742e-17,-2.93907917897124e-16,-4.43560618057688e-16,-4.23032346350415e-16,-7.0816803267076e-16,-9.75033105323254e-16,-9.37221571409825e-16,-1.47805138148219e-15,-8.89247592370747e-16,-5.82637551760561e-16,4.07922334821703e-14,1.86731135428958e-12,6.48305144550916e-11,1.76191971145617e-09,3.75179764291363e-08,6.25961164512179e-07,8.18295830756197e-06,8.38162550013006e-05,0.000672668571799917,0.00422988936640952,0.0208406800113171,0.0804543969494069,0.243356364137738,0.576754043471899,1.07101013431595,1.55830146041577,1.77649634164747,1.58683616825583,1.11059267580688,0.609021300635007,0.261676757954628,0.0880953190189246,0.0232378284010229,0.00480278637938598,0.000777760722934681,9.86855877852488e-05,9.81107123726654e-06,7.6424761550272e-07,4.66451750323906e-08,2.23066496069354e-09,8.35828086097856e-11,2.45388711496004e-12,5.64478238585375e-14,1.01740724012165e-15,1.43680366931426e-17,1.5898455742854e-19,1.37835482976874e-21,9.35683079672155e-24
"6",-1.24131885053055e-16,8.61702343926051e-17,-7.78567010341809e-17,-2.93907918355554e-16,-4.43560618749543e-16,-4.2303234701025e-16,-7.08168033775343e-16,-9.75033106844086e-16,-9.3722157287168e-16,-1.47805138378762e-15,-8.89247593757773e-16,-5.82637552669344e-16,4.0792233545797e-14,1.86731135720217e-12,6.48305145562126e-11,1.76191971420436e-09,3.75179764876559e-08,6.25961165488538e-07,8.18295832032555e-06,8.3816255132035e-05,0.000672668572849129,0.0042298893730072,0.0208406800438239,0.0804543970748977,0.243356364517319,0.576754044371505,1.07101013598648,1.55830146284637,1.77649634441841,1.58683617073094,1.11059267753915,0.609021301584943,0.261676758362785,0.0880953191563335,0.0232378284372687,0.00480278638687724,0.000777760724147813,9.86855879391761e-05,9.8110712525696e-06,7.64247616694774e-07,4.66451751051466e-08,2.23066496417288e-09,8.35828087401559e-11,2.45388711878755e-12,5.64478239465834e-14,1.01740724170857e-15,1.43680367155535e-17,1.5898455767652e-19,1.37835483191867e-21,9.3568308113161e-24
"7",-1.24131888769281e-16,8.61702369723456e-17,-7.78567033650331e-17,-2.93907927154488e-16,-4.43560632028737e-16,-4.23032359674875e-16,-7.0816805497628e-16,-9.75033136034356e-16,-9.37221600929959e-16,-1.47805142803711e-15,-8.8924762037982e-16,-5.82637570112185e-16,4.07922347670236e-14,1.86731141310522e-12,6.48305164970906e-11,1.76191976695223e-09,3.75179776108586e-08,6.25961184228389e-07,8.18295856530468e-06,8.38162576413028e-05,0.000672668592987293,0.00422988949964045,0.0208406806677464,0.080454399483519,0.243356371802854,0.576754061638207,1.07101016805008,1.55830150949837,1.77649639760266,1.5868362182372,1.11059271078777,0.609021319817653,0.261676766196791,0.0880953217937066,0.0232378291329563,0.00480278653066173,0.000777760747432197,9.86855908935978e-05,9.81107154629072e-06,7.64247639574607e-07,4.66451765015969e-08,2.23066503095391e-09,8.35828112424348e-11,2.45388719225134e-12,5.64478256365026e-14,1.01740727216743e-15,1.43680371456998e-17,1.58984562436155e-19,1.37835487318347e-21,9.3568310914383e-24
"8",-1.24131894983463e-16,8.61702412861245e-17,-7.78567072626272e-17,-2.93907941867849e-16,-4.43560654233881e-16,-4.2303238085235e-16,-7.08168090427969e-16,-9.7503318484561e-16,-9.37221647848325e-16,-1.47805150203003e-15,-8.89247664896555e-16,-5.82637599279676e-16,4.07922368091287e-14,1.86731150658492e-12,6.4830519742579e-11,1.76191985515591e-09,3.75179794890507e-08,6.25961215564709e-07,8.18295897495278e-06,8.38162618372388e-05,0.000672668626661839,0.00422988971139347,0.0208406817110542,0.0804544035111567,0.243356383985548,0.576754090511164,1.07101022166606,1.55830158750869,1.77649648653607,1.586836297676,1.11059276638529,0.609021350305945,0.261676779296624,0.0880953262038574,0.0232378302962682,0.00480278677109462,0.000777760786367774,9.86855958339094e-05,9.81107203744399e-06,7.64247677833702e-07,4.66451788367068e-08,2.2306651426235e-09,8.35828154266842e-11,2.45388731509569e-12,5.64478284623442e-14,1.01740732309998e-15,1.43680378649799e-17,1.58984570395101e-19,1.37835494218546e-21,9.35683155985177e-24
"9",-1.24131901346377e-16,8.61702457031509e-17,-7.78567112535076e-17,-2.93907956933365e-16,-4.4356067697049e-16,-4.23032402536694e-16,-7.08168126728171e-16,-9.75033234825131e-16,-9.37221695889653e-16,-1.47805157779392e-15,-8.89247710478769e-16,-5.82637629145273e-16,4.07922389001103e-14,1.86731160230201e-12,6.48305230657462e-11,1.76191994547069e-09,3.75179814121962e-08,6.25961247651044e-07,8.18295939440554e-06,8.38162661336019e-05,0.000672668661142363,0.00422988992821466,0.020840682779333,0.0804544076351932,0.243356396459826,0.576754120075176,1.07101027656529,1.55830166738614,1.77649657759804,1.58683637901613,1.1105928233135,0.609021381523954,0.261676792709993,0.0880953307195624,0.0232378314874231,0.00480278701728211,0.000777760826235249,9.86856008924641e-05,9.81107254035269e-06,7.64247717008505e-07,4.66451812277061e-08,2.23066525696584e-09,8.3582819711081e-11,2.45388744088024e-12,5.64478313558205e-14,1.01740737525157e-15,1.43680386014755e-17,1.58984578544539e-19,1.37835501283897e-21,9.35683203947643e-24
"10",-1.24131905316243e-16,8.61702484589641e-17,-7.78567137434455e-17,-2.93907966332844e-16,-4.43560691156017e-16,-4.23032416065706e-16,-7.08168149376117e-16,-9.75033266007698e-16,-9.37221725862968e-16,-1.47805162506353e-15,-8.89247738917827e-16,-5.82637647778624e-16,4.07922402046881e-14,1.86731166202056e-12,6.48305251390931e-11,1.76192000181871e-09,3.75179826120599e-08,6.25961267669929e-07,8.18295965610501e-06,8.38162688141324e-05,0.000672668682655,0.0042298900634909,0.0208406834458395,0.080454410208208,0.243356404242614,0.576754138520366,1.0710103108173,1.55830171722223,1.77649663441223,1.58683642976479,1.1105928588314,0.609021401001085,0.261676801078686,0.0880953335369418,0.0232378322305929,0.00480278717088019,0.000777760851108841,9.86856040485313e-05,9.81107285412089e-06,7.64247741449934e-07,4.6645182719467e-08,2.23066532830481e-09,8.35828223841457e-11,2.45388751935809e-12,5.64478331610803e-14,1.0174074077893e-15,1.43680390609801e-17,1.5898458362903e-19,1.37835505692019e-21,9.35683233871755e-24
