"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",9.47609644879738e-35,-1.13636656872158e-29,-9.29222470453853e-30,-1.61804228077414e-29,6.64184721391897e-31,3.81111395518806e-31,1.37118781729547e-32,5.03549681786583e-33,8.92130445143693e-33,2.77566213650005e-32,5.07771140927444e-31,8.3297354675358e-30,1.23107118396858e-28,1.64774073437242e-27,1.98515249047702e-26,2.13776119840476e-25,2.04067331943528e-24,1.70990331814813e-23,1.24299013899126e-22,7.72957557275793e-22,4.0439738799849e-21,1.74801303716755e-20,6.14661082809371e-20,1.74886757924934e-19,4.07133170595724e-19,7.96287744118229e-19,1.35326507381519e-18,2.06423127635579e-18,2.90296357767474e-18,3.84169920234246e-18,4.85673847989996e-18,5.92999166161939e-18,7.04849147767026e-18,8.20324431486749e-18,9.38808425515955e-18,1.05987598588028e-17,1.18322801004604e-17,1.30864732539107e-17,1.43596993519379e-17,1.56506647020379e-17,1.69582976947608e-17,1.82816486835758e-17,1.96197579033958e-17,2.09713444878759e-17,2.23338151561997e-17,2.36997117835947e-17,2.50429348616652e-17,2.62596731821027e-17,2.69349666969884e-17,2.58373752235102e-17
"2",-2.37907731176594e-36,2.85297214533726e-31,2.33291430599613e-31,4.06227152759331e-31,-1.66750814538784e-32,-9.56821703148995e-33,-3.44251648758969e-34,-1.26421636774017e-34,-2.23979073307804e-34,-6.96860236676158e-34,-1.27481480109175e-32,-2.09127089101562e-31,-3.09073840560179e-30,-4.1368327327604e-29,-4.98394172749149e-28,-5.36708252451754e-27,-5.12333282087974e-26,-4.29289867563112e-25,-3.12066224146356e-24,-1.94059420712865e-23,-1.01528372565975e-22,-4.38857727954442e-22,-1.5431736521876e-21,-4.39072270059383e-21,-1.02215220609594e-20,-1.99916718440469e-20,-3.39751948633613e-20,-5.18247763976586e-20,-7.28820651187582e-20,-9.64500462854846e-20,-1.21933713836112e-19,-1.48878904909314e-19,-1.7696006206046e-19,-2.05951390826662e-19,-2.35698089113811e-19,-2.66093419892675e-19,-2.97062290211677e-19,-3.28550176516638e-19,-3.60515905642888e-19,-3.92926998029868e-19,-4.25756549754179e-19,-4.58980718904467e-19,-4.92575409531983e-19,-5.26508464090877e-19,-5.60714775439334e-19,-5.9500709922489e-19,-6.28730178838366e-19,-6.59277720731279e-19,-6.76231700555441e-19,-6.48675470136626e-19
"3",1.38449909723049e-35,-1.66028121074856e-30,-1.35763463196169e-30,-2.36403047300861e-30,9.70402899685631e-32,5.56820401619071e-32,2.00336531549334e-33,7.35708087830516e-34,1.30344156223741e-33,4.05536366473866e-33,7.41875824093119e-32,1.21701074881269e-30,1.79864879176835e-29,2.4074212113977e-28,2.90039453036499e-27,3.12336252092641e-26,2.98151288747073e-25,2.49824346250502e-24,1.81606290585846e-23,1.12932476577065e-22,5.90842254119664e-22,2.55392342720693e-21,8.98046699767701e-21,2.55517195052788e-20,5.94839352034989e-20,1.16341118816631e-19,1.9771794041295e-19,3.01593209190294e-19,4.24135663276597e-19,5.61289039871397e-19,7.09590713564283e-19,8.66397693022464e-19,1.02981540346287e-18,1.19852983870131e-18,1.37164013116833e-18,1.54852512694059e-18,1.72874782414701e-18,1.91199092409721e-18,2.09801482041505e-18,2.28663049897288e-18,2.47768139294762e-18,2.67102875483164e-18,2.86653235875197e-18,3.06400506453886e-18,3.26306798253362e-18,3.4626314481185e-18,3.65888220907436e-18,3.83665299426148e-18,3.93531632749966e-18,3.7749534172687e-18
"4",-1.80406270870622e-36,2.16341883087442e-31,1.76905713876563e-31,3.08043481366744e-31,-1.26447730247366e-32,-7.25561269066359e-33,-2.6104723829916e-34,-9.58659726397517e-35,-1.69844120528076e-34,-5.28431573009484e-34,-9.66696555753893e-33,-1.58581808570301e-31,-2.34371782385393e-30,-3.1369748382782e-29,-3.77934057395477e-28,-4.0698775904192e-27,-3.88504133124579e-26,-3.25532019268921e-25,-2.36640917403102e-24,-1.47155942536959e-23,-7.69893226739862e-23,-3.32787361518095e-22,-1.1701940181604e-21,-3.32950049552257e-21,-7.75101619657206e-21,-1.51597552043258e-20,-2.57635099838435e-20,-3.92989105581671e-20,-5.52667267952938e-20,-7.31384099609079e-20,-9.24627648617699e-20,-1.12895398199794e-19,-1.34189438617547e-19,-1.56173665378184e-19,-1.78730691508261e-19,-2.01779577942404e-19,-2.25263381430824e-19,-2.49140756570263e-19,-2.73380481604867e-19,-2.97957927169417e-19,-3.22852691923997e-19,-3.48046696463215e-19,-3.73521668744228e-19,-3.99253223586704e-19,-4.25191990015584e-19,-4.511959799786e-19,-4.76768310080073e-19,-4.99932618738348e-19,-5.12788881380029e-19,-4.91892894753097e-19
"5",-2.93774115893583e-35,3.52291775269524e-30,2.88073798320906e-30,5.01618934633347e-30,-2.05907865513223e-31,-1.18150616005724e-31,-4.2509011060261e-33,-1.56108439139116e-33,-2.76574678402622e-33,-8.60499568124469e-33,-1.57417158856764e-31,-2.5823509562456e-30,-3.81651717694721e-29,-5.10825929302917e-28,-6.15428959545723e-27,-6.62740094981478e-26,-6.32641302760067e-25,-5.30097322528012e-24,-3.85346784005075e-23,-2.39629180896294e-22,-1.2536964537123e-21,-5.41911943740846e-21,-1.90554747044002e-20,-5.42176865426615e-20,-1.26217781645616e-19,-2.46861911219694e-19,-4.19533774036433e-19,-6.39944645443394e-19,-8.9996504690589e-19,-1.19098807488443e-18,-1.50566645323669e-18,-1.83839207110396e-18,-2.18514486785202e-18,-2.54313667983518e-18,-2.91045597403557e-18,-3.28578473627011e-18,-3.66819570094089e-18,-4.05701559825357e-18,-4.45173601219369e-18,-4.85195587743475e-18,-5.25734297794193e-18,-5.66760290813225e-18,-6.08243812550865e-18,-6.50145154105875e-18,-6.92383919633483e-18,-7.34728895360902e-18,-7.76370954867174e-18,-8.14091784988711e-18,-8.35026961870474e-18,-8.00999874189838e-18
"6",1.62091563956788e-34,-1.94379020251177e-29,-1.58946380836774e-29,-2.76771142269424e-29,1.13610853190798e-30,6.51902842855057e-31,2.34545921925609e-32,8.613373227231e-33,1.52601675054878e-32,4.74785603071855e-32,8.68558259297766e-31,1.42482704410481e-29,2.10578537934707e-28,2.81851154716378e-27,3.39566480367524e-26,3.65670672399646e-25,3.49063490076796e-24,2.92484257152855e-23,2.1261731209746e-22,1.32216783575427e-21,6.91734254024336e-21,2.99003042594929e-20,1.05139681465133e-19,2.99149214664044e-19,6.96413894868302e-19,1.36207484274948e-18,2.31480181156915e-18,3.53093151553444e-18,4.9656090876387e-18,6.57134544085673e-18,8.30760155502645e-18,1.01434343548137e-17,1.20566629236521e-17,1.4031903407708e-17,1.60586088132317e-17,1.81295069208988e-17,2.02394814892561e-17,2.23848177133556e-17,2.45627103784943e-17,2.67709465835859e-17,2.90076933074845e-17,3.12713261503943e-17,3.35602034044153e-17,3.58721341080037e-17,3.82026823740239e-17,4.05390908491177e-17,4.28367155160228e-17,4.4917984088494e-17,4.60730945556483e-17,4.41956303541913e-17
"7",1.41398736864043e-33,-1.69564333056309e-28,-1.38655072051884e-28,-2.41438165947662e-28,9.91071388484333e-30,5.68680049026844e-30,2.04603474032338e-31,7.51377841473426e-32,1.33120339944708e-31,4.14173834324226e-31,7.57676943571703e-30,1.24293170704342e-28,1.83695798521522e-27,2.45869657172242e-26,2.96216966714795e-25,3.18988662477953e-24,3.04501575389646e-23,2.55145323448524e-22,1.85474300032194e-21,1.1533781113233e-20,6.03426528666894e-20,2.60831911972296e-19,9.17174083002925e-19,2.60959423518444e-18,6.07508760265885e-18,1.18819053612446e-17,2.01929109854067e-17,3.08016804861673e-17,4.33169275200471e-17,5.73243864240919e-17,7.24704196551316e-17,8.84850988060285e-17,1.05174931167573e-16,1.22405717436172e-16,1.4008545210842e-16,1.58150696804087e-16,1.765568205713e-16,1.95271417730546e-16,2.14270017309619e-16,2.3353331531695e-16,2.53045321600533e-16,2.72791865893037e-16,2.92758626941854e-16,3.12926492142522e-16,3.33256765536873e-16,3.53638159800228e-16,3.73681227912931e-16,3.91836938181771e-16,4.01913413292937e-16,3.8553556733272e-16
"8",8.22949521270549e-34,-9.86875058490952e-29,-8.06981219899767e-29,-1.40518527597677e-28,5.76809767036556e-30,3.30975356981256e-30,1.19080505766541e-31,4.37306618607493e-32,7.74768731733476e-32,2.41051770503181e-31,4.40972735555338e-30,7.2339405285273e-29,1.06912107424306e-27,1.43097683297837e-26,1.72400133379228e-25,1.8565340320499e-24,1.77221827613624e-23,1.48496179275118e-22,1.07947206463553e-21,6.71273298197905e-21,3.51198026164723e-20,1.518058094791e-19,5.33801071543341e-19,1.51880021999088e-18,3.53573910571197e-18,6.91534347878938e-18,1.17524009033245e-17,1.79267713224287e-17,2.52107236288889e-17,3.3363152607363e-17,4.21782389886626e-17,5.14988827460422e-17,6.12124699085818e-17,7.12408956394942e-17,8.15306121584657e-17,9.20446979301295e-17,1.02757177460437e-16,1.13649190440568e-16,1.24706494611144e-16,1.35917854927939e-16,1.47273965022148e-16,1.58766577709268e-16,1.70387357930414e-16,1.82125182029859e-16,1.93957528717134e-16,2.0581962807095e-16,2.17484819482102e-16,2.28051556785021e-16,2.33916128529253e-16,2.2438411940999e-16
"9",2.18113393059403e-32,-2.61559988759497e-27,-2.13881176740717e-27,-3.72428345237043e-27,1.52876855975211e-28,8.77212468861695e-29,3.15609311247552e-30,1.15903136129849e-30,2.05343623815249e-30,6.38880249741835e-30,1.16874798651279e-28,1.91727350595092e-27,2.83358358036891e-26,3.79264103524159e-25,4.5692690843519e-24,4.92053189891258e-23,4.69706259568846e-22,3.93572201950469e-21,2.8610177009033e-20,1.77913338492589e-19,9.30810349148616e-19,4.02343999672009e-18,1.41477891321097e-17,4.02540691499682e-17,9.37107360034691e-17,1.83283298834814e-16,3.11483994019578e-16,4.7512864625016e-16,6.68181502030678e-16,8.84252342369159e-16,1.11788616206791e-15,1.36491920393436e-15,1.62236676299348e-15,1.88815875954711e-15,2.16087597069601e-15,2.43953983321757e-15,2.72346189624125e-15,3.01214228877317e-15,3.30520353595765e-15,3.60234786574988e-15,3.90332862344933e-15,4.20792722682846e-15,4.51592276464935e-15,4.82702041709246e-15,5.14062328301699e-15,5.45501470946489e-15,5.76418731527011e-15,6.04424664663088e-15,6.19968043800119e-15,5.94704539806998e-15
"10",5.94576509682108e-31,-7.13011810085216e-26,-5.83039499635691e-26,-1.01523864496215e-25,4.16741888986889e-27,2.39127877783902e-27,8.60350114555489e-29,3.15951630363787e-29,5.59766153838589e-29,1.74158580391658e-28,3.18600379725195e-27,5.22648230484319e-26,7.72434104791277e-25,1.03387290325493e-23,1.24558149587467e-22,1.34133564252889e-21,1.28041797192262e-20,1.0728767402187e-19,7.79912638504744e-19,4.84991271480542e-18,2.53738645211044e-17,1.09678863668573e-16,3.85668342686193e-16,1.09732481806708e-15,2.5545520864695e-15,4.99629768606399e-15,8.49104511136387e-15,1.29519938310467e-14,1.8214609370794e-14,2.41046945366117e-14,3.04735460368197e-14,3.7207659964849e-14,4.42256733451582e-14,5.14711558621009e-14,5.89054195384717e-14,6.65017887677321e-14,7.42414963980831e-14,8.2110915959978e-14,9.00997574992307e-14,9.81999037580887e-14,1.06404630936198e-13,1.14707980488047e-13,1.23103930379365e-13,1.31584443829979e-13,1.40133249331204e-13,1.48703550970611e-13,1.57131587702814e-13,1.64765997374256e-13,1.69003118252682e-13,1.62116294011458e-13
