"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",9.01728440594888,9.02188630080594,9.05334074341113,9.16879129864624,0.370315335088588,0.542032609816453,0.486476192027107,0.273837299246428,0.102317029606984,0.0288753358335275,0.0069784814966278,0.00139232394993022,0.000204680310950585,2.09662579182585e-05,1.48125984533577e-06,7.19136079673676e-08,2.37317852970536e-09,5.24293745897237e-11,7.64858101905028e-13,7.29728948044048e-15,4.52616402625069e-17,1.81835044865506e-19,4.71874155637145e-22,7.89076314774029e-25,8.48220071496077e-28,5.84740587818968e-31,2.57938195548282e-34,7.26619504989419e-38,1.30499949080373e-41,1.49221325177038e-45,1.08515523245719e-49,5.01431976723865e-54,1.47123500973512e-58,2.73932323710536e-63,3.23497280890003e-68,2.42192236562749e-73,1.14900327443571e-78,3.45280165835464e-84,6.56955430399642e-90,7.91125368583793e-96,6.02751886387247e-102,2.90444578113177e-108,8.8486522566799e-115,1.70391975710362e-121,2.07329121214977e-128,1.59369046758365e-135,7.73723485701398e-143,2.37204694014583e-150,4.59140201277275e-158,5.61036637053774e-166
"2",6.74141197488978e-05,6.74485239749375e-05,6.76836805326059e-05,6.85468004260588e-05,2.76851446850737e-06,4.05228998232188e-06,3.63694464850942e-06,2.04723502687069e-06,7.64932342793387e-07,2.15874897589661e-07,5.21718253633844e-08,1.04091530514366e-08,1.53021046819388e-09,1.5674584036135e-10,1.10740466971211e-11,5.37633322942448e-13,1.77421199537107e-14,3.91967246216576e-16,5.71815563882222e-18,5.45552657241513e-20,3.3838054777059e-22,1.35941697491791e-24,3.52777836457573e-27,5.89921341951926e-30,6.34137805784756e-33,4.37157909572674e-36,1.92837173806283e-39,5.43228006526284e-43,9.75630666448251e-47,1.11559354587258e-50,8.11272900949541e-55,3.74875559015176e-59,1.09991000239076e-63,2.04794543926472e-68,2.41849801454351e-73,1.81065337443756e-78,8.59006335472612e-84,2.58134904020495e-89,4.91146447875509e-95,5.91453235066135e-101,4.50623336455672e-107,2.17139270404097e-113,6.61534089414586e-120,1.27386744585893e-126,1.55001323855322e-133,1.19145892696345e-140,5.78443413442719e-148,1.77336600770296e-155,3.4325780486661e-163,4.19436598993265e-171
"3",1.28862664451387e-05,1.28928428422679e-05,1.29377932186835e-05,1.31027793219296e-05,5.29203900181324e-07,7.74598683772325e-07,6.95205069227058e-07,3.9133072018652e-07,1.46217469255036e-07,4.12646706582991e-08,9.97268888277383e-09,1.98971847720719e-09,2.9250103515012e-10,2.99621009750938e-11,2.11681346424973e-12,1.02769067890039e-13,3.39142135025603e-15,7.49248731768343e-17,1.09303032378228e-18,1.04282855390729e-20,6.4681730098465e-23,2.59853713347982e-25,6.74337841013815e-28,1.12763967287292e-30,1.21215982033372e-33,8.35631069920695e-37,3.68609901227097e-40,1.03838496425279e-43,1.86492633393852e-47,2.13246657082194e-51,1.55075506441324e-55,7.16577826015279e-60,2.10248734379006e-64,3.91466516121102e-69,4.62297956697064e-74,3.46107935692113e-79,1.64199793132258e-84,4.93427069045546e-90,9.38830621015522e-96,1.13056789961662e-101,8.6137034816955e-108,4.15063565993676e-114,1.26452804998287e-120,2.43500847956927e-127,2.96286351581646e-134,2.2774838933562e-141,1.10569951470445e-148,3.38980423761832e-156,6.56140219491168e-164,8.01756633714465e-172
"4",2.08218955403458e-06,2.08325218186894e-06,2.09051535655347e-06,2.11717415196192e-06,8.55098594773815e-08,1.25161255572836e-07,1.12332671314781e-07,6.32320262206427e-08,2.36261207539334e-08,6.66763073394316e-09,1.61140767232715e-09,3.21502822120624e-10,4.72629215395152e-11,4.84133817447213e-12,3.4203909269339e-13,1.66056383010173e-14,5.47992868135742e-16,1.21065157957387e-17,1.76614097815824e-19,1.6850239212723e-21,1.0451407575754e-23,4.19876998363926e-26,1.08960901470331e-28,1.82206347941588e-31,1.95863287979076e-34,1.35022994613928e-37,5.95607493540784e-41,1.67784387730813e-44,3.01338649802299e-48,3.44568353991192e-52,2.50574207023756e-56,1.15786125510752e-60,3.39724248553083e-65,6.32539684082943e-70,7.46990589077325e-75,5.59248352759658e-80,2.65317417958251e-85,7.97289651908539e-91,1.51698191280513e-96,1.8267949686828e-102,1.39182000368335e-108,6.7066828476017e-115,2.04325054713682e-121,3.93453700630056e-128,4.78745607886332e-135,3.68000552558591e-142,1.78661211858399e-149,5.47731571734937e-157,1.06020492190107e-164,1.29549493230288e-172
"5",2.85130501055931e-07,2.85276014996418e-07,2.86270618313414e-07,2.89921215675038e-07,1.17095338562068e-08,1.71393096488849e-08,1.53825912702677e-08,8.65885590682117e-09,3.23530950173285e-09,9.13050825916097e-10,2.20662655869025e-10,4.40258960018907e-11,6.47208150373103e-12,6.62962301772033e-13,4.68380881516817e-14,2.27393993017986e-15,7.50409494485564e-17,1.65783989656073e-18,2.41851497651548e-20,2.30743504611599e-22,1.43119298290602e-24,5.74970413684914e-27,1.49208684538552e-29,2.49509403135224e-32,2.68210919278335e-35,1.84897547073672e-38,8.15611925133742e-42,2.29760285034332e-45,4.12646581763711e-49,4.71844396832925e-53,3.4313085982944e-57,1.58554997638113e-61,4.65210984384671e-66,8.66186062219266e-71,1.02291263797276e-75,7.65822509905924e-81,3.63319891672292e-86,1.09179107874641e-91,2.07732198085809e-97,2.50157322966923e-103,1.90592798941355e-109,9.18398537277523e-116,2.79798278287901e-122,5.38786925453452e-129,6.5558380499247e-136,5.03931939033002e-143,2.44654771020906e-150,7.50051680887175e-158,1.45182152133012e-165,1.77402253530278e-173
"6",3.34095202677382e-08,3.34265705339354e-08,3.35431109235271e-08,3.3970861395998e-08,1.37203809219263e-09,2.00825976515623e-09,1.80242027040639e-09,1.01458181724873e-09,3.79090058658252e-10,1.06984661272472e-10,2.58556466119456e-11,5.15863458778819e-12,7.58351482470618e-13,7.76811052334746e-14,5.48814682964683e-15,2.66443757870929e-16,8.7927531857424e-18,1.94253632703946e-19,2.83384011273745e-21,2.70368472170502e-23,1.67696794248132e-25,6.73708551635724e-28,1.7483189457993e-30,2.92356988472529e-33,3.14270066179292e-36,2.16649510435966e-39,9.55674788998444e-43,2.69216406913622e-46,4.83509280339787e-50,5.52872978542413e-54,4.02055808603562e-58,1.85783225138113e-62,5.45100427839717e-67,1.01493388796277e-71,1.19857470119525e-76,8.97335170086669e-82,4.25711849119812e-87,1.27928145317427e-92,2.43405495255951e-98,2.93116173851464e-104,2.23322792739984e-110,1.07611267231687e-116,3.27847291493526e-123,6.31311369329740e-130,7.68165465952745e-137,5.90470828912868e-144,2.86668683313486e-151,8.78856058599485e-159,1.70113896487358e-166,2.0786707009292e-174
"7",3.48120292101441e-09,3.48297952349221e-09,3.49512279108215e-09,3.53969350572569e-09,1.42963531831862e-10,2.09256514448325e-10,1.87808464771443e-10,1.05717327202241e-10,3.9500400153994e-11,1.11475804603249e-11,2.69410490749064e-12,5.37519055991819e-13,7.90186562026635e-14,8.09421052081174e-15,5.71853550162213e-16,2.77628885644915e-17,9.16186698541823e-19,2.0240826811262e-20,2.95280279366228e-22,2.81718356781982e-24,1.7473659163705e-26,7.01990378512384e-29,1.82171218628917e-31,3.04629936046204e-34,3.27462909854231e-37,2.25744309562661e-40,9.95793366782887e-44,2.80517928609021e-47,5.0380667114272e-51,5.7608221022866e-55,4.18933838051271e-59,1.93582278597041e-63,5.67983373132791e-68,1.05754012242562e-72,1.24889005212207e-77,9.35004690340067e-83,4.43582943062315e-88,1.33298481866867e-93,2.53623492431351e-99,3.05420991511102e-105,2.32697731719977e-111,1.1212871505454e-117,3.41610097854659e-124,6.57813391323227e-131,8.00412529861844e-138,6.15258392791174e-145,2.98702839704625e-152,9.15749838318425e-160,1.77255162184651e-167,2.16593188346062e-175
"8",3.72851350405403e-10,3.73041631939691e-10,3.74342226539309e-10,3.79115935949657e-10,1.53119904560757e-11,2.24122453541003e-11,2.01150697894948e-11,1.13227666134209e-11,4.2306575839247e-12,1.19395235574887e-12,2.88549870743817e-13,5.75705324976537e-14,8.4632276086331e-15,8.66923701842367e-16,6.12479000074992e-17,2.97352114406734e-18,9.81274161620101e-20,2.1678769612493e-21,3.16257493193477e-23,3.01732108536624e-25,1.87150176635284e-27,7.51860970298372e-30,1.95112972187778e-32,3.26271365403891e-35,3.50726432549512e-38,2.4178156969444e-41,1.06653622312126e-44,3.00446399902257e-48,5.39597954904842e-52,6.17008071352804e-56,4.48695611235494e-60,2.07334693285933e-64,6.08333879079553e-69,1.13266957342259e-73,1.33761332794095e-78,1.00142901559755e-83,4.75095830637166e-89,1.42768232989328e-94,2.71641337184699e-100,3.27118618795965e-106,2.49228974801577e-112,1.20094529896365e-118,3.65878660874259e-125,7.04545574718043e-132,8.57275198865542e-139,6.58967396630819e-146,3.19923198045992e-153,9.8080626610258e-161,1.8984767072302e-168,2.31980337244773e-176
"9",5.7300256927631e-11,5.73294996292907e-11,5.7529376616824e-11,5.82630061863922e-11,2.35316564162257e-12,3.44434160079803e-12,3.091308817313e-12,1.7400967848854e-12,6.50172692865761e-13,1.83488075527617e-13,4.43447012115633e-14,8.84751067681339e-15,1.30063929199777e-15,1.3322990730276e-16,9.41265306640742e-18,4.56974409103101e-19,1.50803427468189e-20,3.33162014116383e-22,4.86028429173477e-24,4.63705638283612e-26,2.87614707405333e-28,1.15546924330867e-30,2.99852030148672e-33,5.0141787190644e-36,5.39000721723208e-39,3.71572908313022e-42,1.63906606590067e-45,4.61729745343887e-49,8.29260814532473e-53,9.48225639426985e-57,6.89560967880075e-61,3.18634522374077e-65,9.3489503339977e-70,1.74070061703294e-74,2.05566071512154e-79,1.5390085036874e-84,7.30133151754877e-90,2.19407987191075e-95,4.17461768501696e-101,5.02719941403999e-107,3.83018172642067e-113,1.84562759694515e-119,5.62286853718979e-126,1.08275435786069e-132,1.3174711342542e-139,1.01270924975389e-146,4.91661929753308e-154,1.50731520706044e-161,2.91760249700405e-169,3.56510252995757e-177
"10",1.46411127537811e-11,1.4648584721887e-11,1.46996564215315e-11,1.48871102624649e-11,6.01270663250828e-13,8.80083204574692e-13,7.89877801214745e-13,4.44621971977819e-13,1.6612930231185e-13,4.68840760376885e-14,1.13307654325394e-14,2.26067749701558e-15,3.32333702276205e-16,3.40423272003669e-17,2.40508022558341e-18,1.16764116044385e-19,3.85326367385572e-21,8.51281106839606e-23,1.24187873050191e-24,1.18484050486003e-26,7.34900607179759e-29,2.9524048201345e-31,7.66168882698301e-34,1.28120116609862e-36,1.37723123145604e-39,9.49426955228527e-43,4.18807041512164e-46,1.17979178904773e-49,2.11889121251174e-53,2.42286496558133e-57,1.76193623251804e-61,8.14161090973473e-66,2.38880318010501e-70,4.44776260545279e-75,5.25253496709879e-80,3.9324076783763e-85,1.86560451441219e-90,5.60621758398368e-96,1.06668017749827e-101,1.28452815752051e-107,9.78671397491677e-114,4.71586746678854e-120,1.43673094444687e-126,2.76660690337005e-133,3.36634501496728e-140,2.58763068570009e-147,1.25627320647991e-154,3.85142634350367e-162,7.45493116781308e-170,9.10939512641673e-178
"11",4.87714929413374e-12,4.87963830604059e-12,4.89665096812852e-12,4.95909433451506e-12,2.00291251093589e-13,2.93167415083388e-13,2.6311879605268e-13,1.48109489576055e-13,5.53398790878054e-14,1.56177089951222e-14,3.77442859437261e-15,7.53061727223308e-16,1.10704774201993e-16,1.13399517419236e-17,8.01164195768515e-19,3.88956792917912e-20,1.28357335423179e-21,2.8357305343885e-23,4.13686314402772e-25,3.94686123187381e-27,2.44805161864463e-29,9.8348529423062e-32,2.55221040113516e-34,4.26785140444158e-37,4.58774031818047e-40,3.16266740267302e-43,1.39510193059732e-46,3.93004328833747e-50,7.05830830978271e-54,8.07088529088387e-58,5.86924381858531e-62,2.71207882688219e-66,7.9574209553607e-71,1.48160885148955e-75,1.74968922362701e-80,1.30993727426122e-85,6.21457664701638e-91,1.8675056050931e-96,3.55325347344834e-102,4.27893405515108e-108,3.26008452754574e-114,1.57091814492968e-120,4.78594177191864e-127,9.21593538198264e-134,1.12137427596262e-140,8.61974180820502e-148,4.18481305708155e-155,1.28296131506644e-162,2.48333667627316e-170,3.03446061497718e-178
"12",1.83721698422225e-12,1.83815459237681e-12,1.84456324420389e-12,1.8680855943225e-12,7.54495025901443e-14,1.10435855400117e-13,9.91165723709825e-14,5.57926881797344e-14,2.08464739611749e-14,5.88317447140512e-15,1.42182326213722e-15,2.8367755670029e-16,4.17023714330473e-17,4.27174783547878e-18,3.01797705759612e-19,1.4651961278629e-20,4.83520725872842e-22,1.0682166950933e-23,1.55835197391896e-25,1.48677845443213e-27,9.22178457287828e-30,3.70477870846937e-32,9.61414960561919e-35,1.60769511316949e-37,1.72819692886998e-40,1.19137346782184e-43,5.25533422710179e-47,1.48044315287763e-50,2.65885728005238e-54,3.04029395859514e-58,2.21093794299394e-62,1.02163722756871e-66,2.99755206332911e-71,5.58120488377237e-76,6.59106081215243e-81,4.93451986682716e-86,2.34102445446616e-91,7.03487387588099e-97,1.33850682785495e-102,1.61186993597801e-108,1.22807039579686e-114,5.91763204821134e-121,1.80285920700514e-127,3.47163311765722e-134,4.2242050452433e-141,3.24704762855894e-148,1.57641465548592e-155,4.83290171366148e-163,9.35470301202135e-171,1.14307810640432e-178
"13",7.79917679929796e-13,7.80315704323684e-13,7.83036243545441e-13,7.9302172533042e-13,3.2029097007762e-14,4.68811669304174e-14,4.2076013791531e-14,2.36845752547872e-14,8.84954458082107e-15,2.49746862987057e-15,6.03578733159657e-16,1.2042406736377e-16,1.77030895397483e-17,1.81340129647349e-18,1.28116258724777e-19,6.21990964866193e-21,2.05259567029508e-22,4.53469075048927e-24,6.61536588465299e-26,6.31152886517208e-28,3.91474327238288e-30,1.5727170169755e-32,4.08130630149096e-35,6.82483263253971e-38,7.33637534815552e-41,5.057504034271e-44,2.23094392924524e-47,6.28463485247531e-51,1.12871251405329e-54,1.29063634336904e-58,9.38566106114328e-63,4.33695607594552e-67,1.27249196517204e-71,2.36927940550653e-76,2.7979737293068e-81,2.09475490328788e-86,9.93789180519187e-92,2.98637698159452e-97,5.68210041990632e-103,6.84255518870427e-109,5.21328630262917e-115,2.51209622889099e-121,7.65332446870864e-128,1.47374429364797e-134,1.79321888852915e-141,1.37840542235096e-148,6.69204384279293e-156,2.05161694248284e-163,3.97116852947914e-171,4.85248521204372e-179
