"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",-5.89419717629159e-13,-7.63560527524533e-13,-1.08207862460554e-12,-1.43175108484831e-12,-1.16918235040857e-12,-9.57897561373619e-13,5.6657642750578e-12,8.38835188858765e-11,9.16672113250583e-10,8.89609919781359e-09,7.7712183960971e-08,6.11921061145608e-07,4.34387364788093e-06,2.77997931541935e-05,0.000160394221186012,0.000834291788795066,0.0039122672300548,0.0165393909875669,0.063036216412572,0.216590569377301,0.670914049068859,1.87357603209545,4.71684931934488,10.7055276872285,21.9047700710469,40.4057347845449,67.1924000334975,100.732422156189,136.141182834261,165.87465098608,182.196455290599,180.413221332342,161.051387915568,129.606681670402,94.0277956503477,61.4964712217381,36.2583759791297,19.272135636515,9.23450908255181,3.98895724490509,1.55333690671693,0.545295252602492,0.172566481425651,0.0492309331641572,0.012661113417663,0.0029352115004837,0.000613267567502722,0.000115341446280197,1.93842352983271e-05,2.81003909474586e-06
"2",-1.76784443226789e-14,-2.29014433503065e-14,-3.24547451428927e-14,-4.29424586256392e-14,-3.50672440479184e-14,-2.87301869942325e-14,1.69933063462683e-13,2.51591535515505e-12,2.7493713616226e-11,2.66820382239951e-10,2.33081872943411e-09,1.83533263068465e-08,1.30285645579863e-07,8.3379819296715e-07,4.81069808848909e-06,2.50228835173806e-05,0.000117340489863761,0.000496065357095301,0.00189064296431142,0.00649619313204414,0.0201227008649704,0.0561940983259475,0.141472291435911,0.321090505632934,0.65698897834586,1.21188774542308,2.01529922968527,3.02126390297854,4.08327758433317,4.97507242173085,5.46461170929272,5.41112723752759,4.83040846649596,3.88728852671153,2.82017228211347,1.84446144236173,1.0874961624224,0.578028468744923,0.27697029770198,0.119640650711942,0.0465891777937343,0.0163550208352877,0.00517578025064199,0.00147658160198105,0.000379744317881989,8.803569262207e-05,1.83937120234291e-05,3.459431836389e-06,5.81390669856732e-07,8.4281401173401e-08
"3",-1.15043420372676e-14,-1.49032365427677e-14,-2.11200986942729e-14,-2.79450342424532e-14,-2.28201963061903e-14,-1.86963225917054e-14,1.10584848408152e-13,1.63724535113004e-12,1.78916809388019e-11,1.73634788433563e-10,1.51679273361629e-09,1.19435250920058e-08,8.47840795230013e-08,5.42598626149711e-07,3.13058746786953e-06,1.62837750589487e-05,7.63599503199202e-05,0.000322817179877218,0.00123034600413845,0.00422743236718578,0.0130949550333035,0.0365686095347321,0.0920638490450661,0.208951361007579,0.427539085659797,0.788642421224509,1.31146673443424,1.96610361694134,2.65721469071879,3.23755494290551,3.55612524818781,3.52131994260562,3.14341410160132,2.52967376498537,1.83524217093207,1.20029313214285,0.707693934396335,0.376155112426315,0.180239900116084,0.0778567922736126,0.0303181562127957,0.0106431171364108,0.0033681666342515,0.000960893361715912,0.000247120642511448,5.72896970415423e-05,1.1969806312712e-05,2.25124373921161e-06,3.78343082752342e-07,5.48465718352327e-08
"4",-1.05782408119407e-14,-1.37035238100548e-14,-1.94199276443831e-14,-2.56954548775575e-14,-2.0983167148599e-14,-1.71912658744071e-14,1.0168275185351e-13,1.50544685966216e-12,1.64513979928579e-11,1.596571624375e-10,1.39469069556678e-09,1.09820695662053e-08,7.79589486567499e-08,4.98919356973765e-07,2.87857471645835e-06,1.49729287727214e-05,7.0212963093002e-05,0.000296830349437684,0.00113130296992427,0.00388712344012545,0.0120408092279495,0.033624831091001,0.084652695662043,0.192130745727193,0.393122126408928,0.725156590372569,1.20589346950517,1.8078319867281,2.4433085174618,2.97693129402795,3.26985664289998,3.2378531695341,2.890368804289,2.32603465500053,1.68750490636135,1.10366935854258,0.650724468634818,0.345874570575027,0.165730561658519,0.0715893090493617,0.0278775401803996,0.00978634464221699,0.00309702872501854,0.000883541304830702,0.00022722739445849,5.26778680071734e-05,1.10062351447809e-05,2.07001828723533e-06,3.47886408968142e-07,5.04314147391511e-08
"5",-1.0178421280278e-14,-1.31855797993948e-14,-1.86859240880512e-14,-2.47242589180737e-14,-2.019007875032e-14,-1.65414977331076e-14,9.78395088278506e-14,1.4485463722301e-12,1.58295942016949e-11,1.53622694793288e-10,1.34197639357373e-09,1.05669867571913e-08,7.50123802343644e-08,4.80061996171626e-07,2.76977492493808e-06,1.44070058110537e-05,6.75591651203936e-05,0.000285611227713638,0.00108854377851949,0.00374020412707752,0.011585709860111,0.0323539331734697,0.0814531276303365,0.184868893199887,0.378263521158646,0.697748274235772,1.16031502496188,1.73950242691675,2.35096022585775,2.86441397693052,3.14626779908272,3.11547394213229,2.7811232385841,2.23811889443818,1.62372327826887,1.06195461845605,0.626129419522558,0.33280175333823,0.159466541324467,0.0688834901400532,0.0268238692291529,0.00941645594322616,0.00297997215612431,0.000850146615015807,0.00021863901459,5.06868336858673e-05,1.05902389636401e-05,1.99177902639327e-06,3.34737551461661e-07,4.85252882876402e-08
"6",-9.82141961765345e-15,-1.27231039614007e-14,-1.80305271671125e-14,-2.38570712376015e-14,-1.94819245598119e-14,-1.59613152047559e-14,9.4407850188451e-14,1.39773952811991e-12,1.52743812376149e-11,1.48234476331124e-10,1.29490742378791e-09,1.01963564072215e-08,7.238136863407e-08,4.63224126518085e-07,2.67262682838457e-06,1.39016892313643e-05,6.5189570307076e-05,0.000275593595278283,0.00105036379676494,0.00360901884252763,0.0111793484442439,0.0312191395136952,0.078596210905309,0.178384734171433,0.364996168369317,0.673275196620262,1.11961771231652,1.67849048395934,2.26850178890725,2.76394647572867,3.03591445405945,3.006200672086,2.68357710713617,2.15961829552761,1.56677221542503,1.02470723460534,0.604168327754738,0.32112894318482,0.153873353656343,0.0664674454676803,0.025883039050372,0.00908617973091449,0.00287545152517217,0.000820328262377626,0.000210970389999419,4.89090251828834e-05,1.02187930572954e-05,1.92191864191685e-06,3.22996844418395e-07,4.68232946168152e-08
"7",-9.47663104953699e-15,-1.22764495094351e-14,-1.73975514989963e-14,-2.30195502119568e-14,-1.87979964583126e-14,-1.54009808306079e-14,9.10935892411924e-14,1.34867079577148e-12,1.47381622142147e-11,1.43030589843285e-10,1.24944869237513e-09,9.83840539173577e-09,6.98403644390356e-08,4.46962283575127e-07,2.57880218661771e-06,1.34136596275923e-05,6.29010397812136e-05,0.000265918667946264,0.00101348995941896,0.00348232143141369,0.0107868887293939,0.0301231673599949,0.0758370298426538,0.172122399451689,0.352182694232254,0.649639347626114,1.08031266244638,1.6195657711285,2.18886427070559,2.66691598677531,2.92933631787456,2.90066566130852,2.58936804732404,2.08380321697678,1.51176945922978,0.988734090812252,0.582958529096564,0.309855462078033,0.148471509997908,0.0641340541412404,0.0249743948502363,0.00876720233039291,0.0027745065648051,0.000791530001231931,0.000203564110508812,4.71920358455714e-05,9.86005438577274e-06,1.8544481944276e-06,3.11657789187217e-07,4.51795264718916e-08
"8",-9.14206836336841e-15,-1.18430421199292e-14,-1.67833488850258e-14,-2.22068687312653e-14,-1.81343525793005e-14,-1.48572650850666e-14,8.78776240157909e-14,1.30105736418047e-12,1.42178465963753e-11,1.37981042373082e-10,1.20533819481901e-09,9.49107063550557e-09,6.73747223973041e-08,4.31182741095604e-07,2.48776023487956e-06,1.2940104207644e-05,6.06803834401579e-05,0.000256530683610331,0.000977709741590956,0.00335938166451698,0.0104060687470771,0.0290597000016916,0.073159681713073,0.166045795644986,0.339749247410434,0.626704500416544,1.04217333800074,1.56238867180037,2.11158867495456,2.57276326819237,2.82591912013031,2.79826065152693,2.49795307876998,2.01023669338056,1.45839799752533,0.953827853395237,0.56237777941876,0.2989163345363,0.143229876452743,0.0618698674997838,0.0240926995955774,0.00845768529353591,0.00267655547182054,0.000763585850825431,0.000196377489518363,4.5525969688123e-05,9.51195533413417e-06,1.78897881337382e-06,3.00655032345593e-07,4.35845098824255e-08
"9",-8.81738385329839e-15,-1.14224313592555e-14,-1.61872809938794e-14,-2.1418182188175e-14,-1.74903032079089e-14,-1.43296028927279e-14,8.4756612209096e-14,1.25484974944039e-12,1.37128936280851e-11,1.33080586003562e-10,1.16253008775851e-09,9.15399115886581e-09,6.49818800050588e-08,4.15869099643935e-07,2.39940635467121e-06,1.24805308126616e-05,5.85252933899595e-05,0.000247419885482886,0.000942985957451347,0.00324007177243037,0.0100364927169483,0.0280276321935316,0.070561383989872,0.160148607430533,0.327682906013981,0.604446819157918,1.00516010136682,1.50689976269583,2.03659469031711,2.48139046850884,2.72555538092513,2.69887921479104,2.40923719530447,1.93884226818348,1.40660236217317,0.919952244839115,0.542404689465015,0.288300191692768,0.138143005471796,0.05967253240899,0.0232370369540904,0.00815730694405195,0.00258149644715546,0.000736466769232793,0.00018940305808351,4.3909095193629e-05,9.1741341283941e-06,1.72544245743567e-06,2.8997713889772e-07,4.20365871722301e-08
"10",-8.5023452294943e-15,-1.10143163088292e-14,-1.5608921379249e-14,-2.06529263307447e-14,-1.68653875703216e-14,-1.38176167469398e-14,8.17283209480025e-14,1.21001489312451e-12,1.32229420496078e-11,1.28325714789248e-10,1.12099374488496e-09,8.82692580422265e-09,6.26601253452185e-08,4.01010403344186e-07,2.31367733476021e-06,1.2034610648928e-05,5.64342278092764e-05,0.000238579755403357,0.00090929376447838,0.00312430639698614,0.00967789623232502,0.0270262255607201,0.06804027776656,0.154426615768552,0.315975037390778,0.582850379982931,0.969246472074278,1.45305934524901,1.9638286636635,2.39273221665932,2.62817329678378,2.60245025039667,2.32315692670616,1.86956886349744,1.35634549689528,0.88708302943446,0.523024969838765,0.277999438414417,0.133207257742529,0.0575404768240445,0.0224067947569604,0.00786585238152428,0.0024892614824995,0.000710153354583192,0.000182635826469726,4.23402555976179e-05,8.8463490803016e-06,1.66379367064271e-06,2.79616469532191e-07,4.05346509071773e-08
