"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",4.56463229465827e-13,1.19593981563373e-12,9.89519172242472e-12,1.05776165451511e-10,1.07906730188723e-09,1.00243178130837e-08,8.42062118989577e-08,6.39278488544201e-07,4.38587290032726e-06,2.71911663543201e-05,0.000152332842887072,0.000771154365757351,0.00352743559105398,0.014579227994854,0.0544446265271781,0.183699384623731,0.559988892318257,1.54225694282423,3.83730193300624,8.62527928706424,17.5139493474894,32.1250825927566,53.2278485095586,79.6623421556841,107.689035760844,131.4857494202,144.996980037409,144.409702959229,129.889727027036,105.506183420946,77.3907732188487,51.2615738478539,30.659800380995,16.5578661771954,8.07383691827054,3.55450342420454,1.41281071259697,0.506964745726114,0.164226372798884,0.0480244072753034,0.0126770358802211,0.00302059625001507,0.000649635293185865,0.00012610470638455,2.20932910189589e-05,3.49331901740088e-06,4.9846385688078e-07,6.4165314926663e-08,7.4332621595585e-09,7.64702498876891e-10
"2",2.19192372934815e-14,5.74286972430945e-14,4.75164353724924e-13,5.07934203865552e-12,5.18165116462549e-11,4.81364952676228e-10,4.04355886969998e-09,3.06979751762625e-08,2.10608396548884e-07,1.30571224390703e-06,7.31498073730896e-06,3.70306181129209e-05,0.000169386475769945,0.000700090472454796,0.00261441581965046,0.00882119334551027,0.0268905108234062,0.0740587493473326,0.184266171307444,0.414183511861312,0.841014975385603,1.54263752908938,2.55598647774507,3.82536350870663,5.17119753876008,6.31390910857233,6.96271464406335,6.9345137621463,6.2372685572569,5.06637757665523,3.71628340029732,2.46156651549642,1.47227508491375,0.795104127524973,0.387703402719961,0.170686265587719,0.0678427773830226,0.0243443060550667,0.007886104734962,0.00230611867724382,0.000608747736289125,0.000145048191613072,3.11953060539512e-05,6.05551291897586e-06,1.06091368850283e-06,1.6774820739416e-07,2.39360957376125e-08,3.08120057235364e-09,3.56943181010854e-10,3.67208012601938e-11
"3",1.54537990577604e-14,4.0489161892858e-14,3.35006840956976e-13,3.58110686790917e-12,3.65323824060913e-11,3.39378471636831e-10,2.85084491827421e-09,2.16431043426478e-08,1.48485998694465e-07,9.20571020534433e-07,5.1573072964258e-06,2.61078304705395e-05,0.000119423158963172,0.000493587315047062,0.00184325103056042,0.00621923781315644,0.0189587139945345,0.0522139076081392,0.129913844464603,0.292013297709302,0.592943826473448,1.08761131029851,1.80205638054623,2.69700985462765,3.6458680829989,4.45151814939551,4.90894786005532,4.88906529039459,4.3974839846184,3.57196648642774,2.62010471171661,1.73548713344628,1.0380034220794,0.560575135541826,0.273343930695345,0.120339554474214,0.0478314384373854,0.0171635540479094,0.00555996891181968,0.00162589118244879,0.000429187615769656,0.000102263850555902,2.19937393280771e-05,4.26934015032333e-06,7.47979810621689e-07,1.18268124691537e-07,1.68757520530326e-08,2.17234997113563e-09,2.51656940454765e-10,2.58893991755703e-11
"4",1.39165524335236e-14,3.64615550108647e-14,3.01682469814803e-13,3.22488090540318e-12,3.28983710332766e-11,3.05619238200933e-10,2.56726081636762e-09,1.9490184600105e-08,1.33715546497801e-07,8.28998411857591e-07,4.64429083995767e-06,2.3510787885284e-05,0.000107543695066581,0.000444488356856506,0.00165989602421153,0.00560058719541076,0.0170728205013526,0.047019996848149,0.116990833229734,0.26296565353727,0.533961508132077,0.979422585377912,1.62279915859548,2.42872829621837,3.28320008258974,4.00870915321855,4.42063663650311,4.40273185968011,3.96004996692321,3.21664975151841,2.35947319268499,1.56285180103868,0.934749377518973,0.504812650762392,0.246153397600763,0.108368933322339,0.0430734681159491,0.0154562317628557,0.00500689821324186,0.00146415776516712,0.000386494734165578,9.20912866147664e-05,1.98059406249838e-05,3.84465307439635e-06,6.73575488773197e-07,1.06503556331527e-07,1.5197058498262e-08,1.95625827437500e-09,2.26623692595521e-10,2.33140847601689e-11
"5",1.31827940373359e-14,3.45390981196858e-14,2.85776084503739e-13,3.05484716663432e-12,3.11637851089342e-11,2.89505284465796e-10,2.43190048282153e-09,1.84625531761666e-08,1.26665315816585e-07,7.85288983963548e-07,4.39941787918418e-06,2.22711677930075e-05,0.000101873390615167,0.000421052447322944,0.00157237703196243,0.00530529294794222,0.0161726460185335,0.0445408399132075,0.11082242287312,0.249100635091527,0.505808074176039,0.927781954634791,1.53723612036215,2.30067217111687,3.11009143096988,3.79734760997002,4.18755597489361,4.17059523793885,3.75125400783545,3.04705000516988,2.23506858357061,1.48044952242212,0.885464167883752,0.478196107421788,0.233174815218204,0.102655117699468,0.0408023942250575,0.0146412928702246,0.00474290656585847,0.00138695918752609,0.000366116572431127,8.72357194696641e-05,1.87616607792824e-05,3.64194148420599e-06,6.38060825733307e-07,1.00888093805488e-07,1.43957846681434e-08,1.85311340851896e-09,2.1467482537346e-10,2.20848359556305e-11
"6",1.25531160937297e-14,3.28893334175732e-14,2.72125951101631e-13,2.90893197775481e-12,2.9675242690172e-11,2.75677025322153e-10,2.31574042671043e-09,1.7580686821829e-08,1.20615129842069e-07,7.47779549229279e-07,4.18927908801568e-06,2.12073824453876e-05,9.70073943074741e-05,0.00040094082011935,0.00149727222995645,0.00505188491135851,0.0154001573898877,0.0424133406589819,0.105528974826935,0.237202309500519,0.481648082970491,0.883466323847052,1.46380982876074,2.19078025309722,2.96153749231818,3.61596678679765,3.98753679629316,3.97138619123741,3.57207485181522,2.90150724876432,2.1283102298001,1.40973565036651,0.8431698519147,0.455355005549981,0.222037188571568,0.0977517820916608,0.0388534623357267,0.0139419495322229,0.00451636099102449,0.00132071089398576,0.000348628964736152,8.3068893507801e-05,1.78655075097496e-05,3.46798365568996e-06,6.07583763927931e-07,9.60691603334281e-08,1.37081680626832e-08,1.76459919544391e-09,2.04420853248709e-10,2.10299507734729e-11
"7",1.19506418088034e-14,3.13108426679853e-14,2.59065537529758e-13,2.76932068920212e-12,2.82510090189239e-11,2.62446181485335e-10,2.20459877492931e-09,1.67369192949131e-08,1.14826327001379e-07,7.11890615689545e-07,3.98821881707868e-06,2.01895552797226e-05,9.23516211845637e-05,0.00038169806540446,0.00142541214283962,0.00480942473439726,0.0146610421979347,0.0403777546822363,0.100464216947445,0.225818021270238,0.45853186368222,0.841065238909894,1.39355573620986,2.08563594019831,2.81940145456911,3.44242206786676,3.79615894540528,3.78078347252861,3.4006366825207,2.76225230267321,2.0261641033542,1.34207679406756,0.802702755951374,0.43350069628462,0.211380735192751,0.0930602828195905,0.0369887291680536,0.0132728195718061,0.00429960275042352,0.00125732469206527,0.000331896865338224,7.90820848268288e-05,1.70080702980314e-05,3.30154123952036e-06,5.78423387255547e-07,9.14584168141943e-08,1.30502582106951e-08,1.67990901728267e-09,1.94609878311055e-10,2.00206392639097e-11
"8",1.13680511296752e-14,2.97844472336766e-14,2.46436159973067e-13,2.63431702606351e-12,2.68737796789678e-11,2.4965199841531e-10,2.09712515819477e-09,1.59209988335239e-08,1.09228573433011e-07,6.77186133378477e-07,3.79379418731177e-06,1.92053197123036e-05,8.7849503677798e-05,0.000363090384017669,0.00135592367170808,0.00457496652980409,0.0139463202049679,0.0384093496460595,0.095566612507793,0.214809451481602,0.43617855461829,0.800063527322603,1.32562025661383,1.98396173070781,2.68195636714775,3.27460488763073,3.6110971844166,3.59647126184263,3.2348565289495,2.62759322153899,1.9273891304378,1.27665089950833,0.763571205428017,0.412367650119273,0.201075979344422,0.0885236182424811,0.0351855382440123,0.0126257730707063,0.00408999823491498,0.00119603044042974,0.000315716979498498,7.52268537653312e-05,1.61789312957822e-05,3.14059196301499e-06,5.50225397608116e-07,8.69998427881102e-08,1.24140615180484e-08,1.59801388973134e-09,1.85122697372642e-10,1.90446383083168e-11
"9",1.08044281103106e-14,2.83077473236868e-14,2.3421796258987e-13,2.50370873628219e-12,2.55413893975008e-11,2.37274361164019e-10,1.99315060704574e-09,1.5131642651757e-08,1.03813068377927e-07,6.43611540089546e-07,3.6056995253236e-06,1.82531283330922e-05,8.34939635814563e-05,0.00034508852105911,0.00128869756714904,0.00434814168360955,0.0132548677287883,0.0365050308342948,0.0908284615197591,0.204159292518464,0.414553012022487,0.760396726407542,1.25989658216508,1.88559777296255,2.54898613960277,3.11225140479191,3.43206056018934,3.41815978448075,3.0744737524067,2.4973182950549,1.83183001755238,1.21335510443778,0.725713677924486,0.391922641788706,0.19110671994305,0.0841346558398874,0.0334410545962135,0.0119997927457808,0.00388721790537008,0.00113673177257565,0.000300063869284637,7.1497139149091e-05,1.53767869349763e-05,2.98488278255871e-06,5.22945462253018e-07,8.26864285082888e-08,1.17985777596128e-08,1.51878505769646e-09,1.75944394736958e-10,1.81004134430697e-11
"10",1.02595054067707e-14,2.68800424932917e-14,2.22405149908903e-13,2.3774338682816e-12,2.42532061803466e-11,2.25307398632906e-10,1.89262580311677e-09,1.43684763334096e-08,9.85772430935433e-08,6.11150910348266e-07,3.4238456119622e-06,1.73325294880837e-05,7.92829349273205e-05,0.000327683937684942,0.00122370194172894,0.00412884260573,0.0125863567919677,0.0346638949692648,0.0862475165308722,0.193862492678981,0.393644978226943,0.722046020966551,1.19635353807939,1.79049740987614,2.42042770001701,2.95528461004072,3.25896415008076,3.24576446175996,2.91941227835004,2.37136572976898,1.73944143803676,1.15215938569047,0.689112216437311,0.372155973589193,0.181468228258642,0.0798913137903514,0.0317544507617723,0.0113945816750801,0.00369116557676775,0.00107940056129936,0.000284930109939319,6.78911718583918e-05,1.46012567335797e-05,2.83433984044136e-06,4.96570641467928e-07,7.85161279880978e-08,1.1203514992287e-08,1.44218494047729e-09,1.67070616849421e-10,1.71875167929291e-11
