"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",4.10255859779758e-14,1.02048722373699e-13,5.06447849635917e-13,2.98330674816443e-12,1.66750419473772e-11,8.50917832348943e-11,3.91509599152174e-10,1.62279771625441e-09,6.05861146228968e-09,2.03816584286623e-08,6.18439323228329e-08,1.69529516607007e-07,4.20762175071722e-07,9.48084666724104e-07,1.94550882226931e-06,3.64822340144611e-06,6.27415442639966e-06,9.93218650443086e-06,1.45252719446833e-05,1.96931930113739e-05,2.48351363291029e-05,2.92232209980371e-05,3.2177351654808e-05,3.32411540170746e-05,3.22955343683548e-05,2.95722518480569e-05,2.55705813167496e-05,2.09151331381377e-05,1.62073636821535e-05,1.1914880723555e-05,8.3199340222411e-06,5.5242163082151e-06,3.49105617938814e-06,2.10158097722694e-06,1.20604838570837e-06,6.60240423657999e-07,3.44997004089724e-07,1.72160217455206e-07,8.20838253893334e-08,3.74084682738127e-08,1.63015511783859e-08,6.79473425170304e-09,2.70964843239109e-09,1.03400402858356e-09,3.77560402626582e-10,1.31847449675167e-10,4.39452897674439e-11,1.38873744416212e-11,4.07215964766782e-12,1.04699382758682e-12
"2",1.629472675205e-15,4.0532170518367e-15,2.0115323467679e-14,1.1849231917122e-13,6.62306815696311e-13,3.37971371670749e-12,1.55501543412789e-11,6.44550095504109e-11,2.40638654930724e-10,8.09527876157482e-10,2.45634511841909e-09,6.73344958680492e-09,1.67120213080506e-08,3.76564531957477e-08,7.72725943990166e-08,1.44901777853733e-07,2.49199687320083e-07,3.94491050601893e-07,5.76921283866354e-07,7.82183097075049e-07,9.86413114366952e-07,1.16070103479673e-06,1.27803452484797e-06,1.32028710551953e-06,1.28272855901752e-06,1.17456399907507e-06,1.01562384915402e-06,8.30716664599645e-07,6.43731360019005e-07,4.73240591317389e-07,3.304548814008e-07,2.19413307855999e-07,1.38659339441791e-07,8.34715384433585e-08,4.79023722060156e-08,2.62237260911773e-08,1.37027461714645e-08,6.83793694625617e-09,3.260242294163e-09,1.4858063674258e-09,6.47472341355361e-10,2.69876310953204e-10,1.0762303510701e-10,4.10690370524703e-11,1.4996113879999e-11,5.23677630482808e-12,1.74543878345718e-12,5.51584983944174e-13,1.61739868347263e-13,4.15849717314678e-14
"3",2.91375531862056e-15,7.24779428463072e-15,3.59693854530877e-14,2.11883040725056e-13,1.18430952304922e-12,6.04346361084723e-12,2.78061397449158e-11,1.15255769395226e-10,4.30300042056172e-10,1.44756410501251e-09,4.39233425762162e-09,1.20404747159985e-08,2.98837419689204e-08,6.73357046418052e-08,1.38175641936075e-07,2.5910733719163e-07,4.45608524387267e-07,7.05412502050621e-07,1.03162666356434e-06,1.39866730747774e-06,1.76386293681309e-06,2.07551735290183e-06,2.28532822355428e-06,2.36088253233807e-06,2.2937219003771e-06,2.10030652949406e-06,1.81609635879172e-06,1.48545301592089e-06,1.15109366518358e-06,8.4622915800948e-07,5.90905685561479e-07,3.92345758520386e-07,2.47944868252611e-07,1.49260336054532e-07,8.56570312062828e-08,4.68921771655998e-08,2.4502681232006e-08,1.22273146697838e-08,5.82982977816061e-09,2.65685719767136e-09,1.15778313253798e-09,4.8258160346915e-10,1.92447038677519e-10,7.34379452709789e-11,2.68154276173974e-11,9.36418575334457e-12,3.12112109396687e-12,9.86321344993636e-13,2.89216510838722e-13,7.43605182222561e-14
"4",7.82087569068372e-15,1.94539664224724e-14,9.65462303924908e-14,5.68719999199951e-13,3.17883162661918e-12,1.62213955782613e-11,7.46350803696588e-11,3.09360583338519e-10,1.15497794791174e-09,3.88543912635685e-09,1.17895624252531e-08,3.2318106949085e-08,8.02116188747246e-08,1.80737267876518e-07,3.70880324835948e-07,6.95475787472497e-07,1.196067787048e-06,1.89341344276085e-06,2.76901215533471e-06,3.75419414063408e-06,4.73442388112065e-06,5.57094245600105e-06,6.13410049725476e-06,6.33689750396199e-06,6.15663015257604e-06,5.63747963822884e-06,4.87462477499232e-06,3.98713759787095e-06,3.08967620108758e-06,2.27138257228727e-06,1.58606314063545e-06,1.05310400826918e-06,6.65514355427984e-07,4.00632999748525e-07,2.29913949471401e-07,1.25864339443332e-07,6.57681936363452e-08,3.28196082396257e-08,1.56479762392766e-08,7.131329709841e-09,3.10763154973381e-09,1.29530805391368e-09,5.16551392259536e-10,1.97116428161672e-10,7.19758878338071e-11,2.51346200051043e-11,8.37747079704752e-12,2.64740713846732e-12,7.76292492546619e-13,1.99592726813593e-13
"5",2.15045133498018e-14,5.34912070187987e-14,2.65466398196498e-13,1.56376949318643e-12,8.74061036832924e-12,4.46028336929926e-11,2.05218845772569e-10,8.50627098220001e-10,3.17576185607719e-09,1.06835194506561e-08,3.24169329099785e-08,8.88628319658362e-08,2.20552262575335e-07,4.96960589015256e-07,1.01978361657302e-06,1.91230099386207e-06,3.28874370481049e-06,5.20618614422513e-06,7.6137585118621e-06,1.03226443186128e-05,1.30179132851399e-05,1.53180297391453e-05,1.6866505906669e-05,1.74241226123315e-05,1.69284541197316e-05,1.55009823623637e-05,1.3403413849675e-05,1.09631526048993e-05,8.49546594788598e-06,6.24546134986434e-06,4.3610865752607e-06,2.89564622942811e-06,1.82991814558999e-06,1.10159246000113e-06,6.32178261265928e-07,3.46080346353965e-07,1.80838189223474e-07,9.02417748903761e-08,4.30261427548003e-08,1.96085171293276e-08,8.54483651071477e-09,3.56161770614429e-09,1.4203251336594e-09,5.41997217257566e-10,1.97907050565923e-10,6.91109017479739e-11,2.30349438755666e-11,7.27938972605687e-12,2.13451701952064e-12,5.48806121979291e-13
"6",5.63868002392941e-14,1.40258835699508e-13,6.96077168632547e-13,4.10034659228494e-12,2.2918679571655e-11,1.16952708142843e-10,5.38102577523476e-10,2.23042202747191e-09,8.32713795812751e-09,2.8013164832782e-08,8.50001620884114e-08,2.33006470467361e-07,5.78308198370569e-07,1.30307610331779e-06,2.67396588519116e-06,5.01422805456317e-06,8.62338669584888e-06,1.3651096090752e-05,1.99639709718216e-05,2.70669172404345e-05,3.41341589089438e-05,4.01652745593853e-05,4.42255206534578e-05,4.56876426406348e-05,4.43879545322592e-05,4.06449930654898e-05,3.51449766368779e-05,2.87463885310871e-05,2.2275888486804e-05,1.63761707046618e-05,1.14351677503904e-05,7.5926491730599e-06,4.79821269382938e-06,2.88847615274069e-06,1.65762920340416e-06,9.07454311528821e-07,4.7417426683937e-07,2.36622184897287e-07,1.12818480340297e-07,5.1415324791359e-08,2.24053426166718e-08,9.3388872772116e-09,3.7242223659639e-09,1.42116626043236e-09,5.18930381947538e-10,1.81215103445082e-10,6.03997290106962e-11,1.90872254428823e-11,5.59689879186191e-12,1.43901983117573e-12
"7",1.40176751040307e-13,3.48681390141238e-13,1.73043754137782e-12,1.01934009556577e-11,5.69754982878007e-11,2.90742701895762e-10,1.33771504542816e-09,5.54479615677624e-09,2.07011417473783e-08,6.96403132639459e-08,2.11309145205757e-07,5.79250637788858e-07,1.43766562393211e-06,3.23942791125186e-06,6.64743962395495e-06,1.2465296748192e-05,2.14376117257658e-05,3.39364228865598e-05,4.96301364293907e-05,6.72879557509804e-05,8.4857013965033e-05,9.98502782297091e-05,0.000109943989940177,0.000113578803565304,0.000110347798159346,0.000101042851337498,8.73698918796235e-05,7.1463096528433e-05,5.53775291622304e-05,4.07109180538543e-05,2.84276578214768e-05,1.8875213495919e-05,1.19282857577837e-05,7.18070897497809e-06,4.12084167175004e-06,2.25591799087377e-06,1.17879021101366e-06,5.88239250359986e-07,2.80465072752737e-07,1.27817736639583e-07,5.56993502135511e-08,2.3216335583783e-08,9.25836169452772e-09,3.53299829446052e-09,1.29005325091705e-09,4.50498065727499e-10,1.5015283258677e-10,4.7450560017637e-11,1.39138075793472e-11,3.57738200714953e-12
"8",3.30358113298211e-13,8.21746297687654e-13,4.07816615171507e-12,2.40230472086982e-11,1.34275605468777e-10,6.85200717955644e-10,3.1526270601835e-09,1.30675620841651e-08,4.87869071014227e-08,1.6412309693751e-07,4.9799763523381e-07,1.36513470605184e-06,3.38818312987821e-06,7.63444212385121e-06,1.56661899789792e-05,2.93772817879829e-05,5.05225646249082e-05,7.99788306812046e-05,0.000116964604414549,0.000158579236175872,0.000199984682378231,0.000235319689488188,0.000259107796518057,0.000267674054206839,0.000260059461615364,0.00023813025685357,0.000205906845651755,0.00016841889660285,0.000130509631000726,9.5944455689675e-05,6.69961839869564e-05,4.44836955653203e-05,2.81116943328942e-05,1.69229594173942e-05,9.71169234396463e-06,5.31657928786102e-06,2.77808486211023e-06,1.38631839784188e-06,6.60979168036198e-07,3.0123130982083e-07,1.31268074854966e-07,5.47145283667707e-08,2.18194164077688e-08,8.32630691025335e-09,3.04030129721464e-09,1.06170024582347e-09,3.53868998329716e-10,1.11827941267255e-10,3.27910240934729e-11,8.43090713444383e-12
"9",7.38507906601179e-13,1.83699480543639e-12,9.11664592525446e-12,5.37029653279992e-11,3.00170004339619e-10,1.5317503262354e-09,7.04762473446101e-09,2.92122322131265e-08,1.0906200024364e-07,3.66893379835993e-07,1.11326217303122e-06,3.05172699992055e-06,7.57420486951709e-06,1.7066618448277e-05,3.50214046517106e-05,6.56722326516378e-05,0.000112942022415485,0.000178790822568566,0.000261471662645833,0.000354500207576079,0.000447061123036898,0.000526051712582238,0.00057922947458494,0.000598379145134843,0.000581356899856203,0.00053233467079582,0.000460299981795402,0.000376496540437547,0.000291751255688504,0.000214481607289635,0.00014976841674178,9.94422705767607e-05,6.28430412243499e-05,3.78308836070719e-05,2.17102631774077e-05,1.188508979228e-05,6.21034433026158e-06,3.09908265200899e-06,1.47760361269761e-06,6.7339561240834e-07,2.93446739348578e-07,1.22313060216383e-07,4.87767997391817e-08,1.86132661450922e-08,6.7965230943671e-09,2.37340629583168e-09,7.91065945250845e-10,2.49988771216436e-10,7.33035744659299e-11,1.88470975222777e-11
"10",1.56746940181904e-12,3.89898757086302e-12,1.93499127190412e-11,1.13983552763839e-10,6.37105294256969e-10,3.25111179736759e-09,1.49584534275493e-08,6.20024237298197e-08,2.31482082662937e-07,7.78724427297789e-07,2.36287841583174e-06,6.47723423449243e-06,1.60761100456144e-05,3.62235826740326e-05,7.4332285016313e-05,0.000139388101752815,0.000239717358112778,0.000379480221128668,0.000554968778230601,0.000752420147905179,0.000948878982661495,0.00111653505111688,0.00122940386951595,0.00127004869183076,0.00123391929039033,0.00112987051396659,0.000976978216039324,0.000799106958438133,0.00061923665562186,0.000455233252988078,0.00031788070040041,0.000211064383987238,0.000133383195164107,8.02953522471716e-05,4.60796329082537e-05,2.52258837322527e-05,1.31813412225286e-05,6.57774573205166e-06,3.1361863972183e-06,1.42926975911078e-06,6.22835288398427e-07,2.59607212892803e-07,1.03527857219153e-07,3.95063138655093e-08,1.44254948307955e-08,5.03751105918749e-09,1.67902286883895e-09,5.30596553100572e-10,1.55585483909192e-10,4.0002616647981e-11
