"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",9.01736210586026,9.01738484290459,9.01746464382452,9.01772069129903,0.00111686907715066,0.0031253080177811,0.00802665529956272,0.0189217311055744,0.0409477217111455,0.0813645885276714,0.14849895556252,0.249063972035937,0.384161644566983,0.545483502166191,0.714062770010439,0.863413322087069,0.966776692793315,1.00561553411187,0.975348421722651,0.885699583098261,0.756059627815283,0.608723857165997,0.463199323655961,0.333226204656141,0.226310989315503,0.144685302050933,0.0867558831820708,0.0486014481400993,0.0253464790885737,0.0122683289735614,0.00549808314712249,0.00227729659874742,0.000870687949470228,0.000307025800613537,9.97999750054525e-05,2.98954360140454e-05,8.25174771901389e-06,2.09869978827047e-06,4.91865818644397e-07,1.06238736023933e-07,2.11503454928294e-08,3.88161902999245e-09,6.5679779795466e-10,1.02478652301232e-10,1.47459609176027e-11,1.95704218506292e-12,2.39584242085294e-13,2.70573196140886e-14,2.8191061753258e-15,2.70996973985624e-16
"2",2.13305899653605e-06,2.1330643749889e-06,2.13308325191413e-06,2.13314382000074e-06,2.64195626725567e-10,7.39292301452746e-10,1.89870708282848e-09,4.47593966960153e-09,9.68619260912788e-09,1.92468113757583e-08,3.51274607163645e-08,5.89161375607835e-08,9.08735218179988e-08,1.2903424284153e-07,1.68911705860448e-07,2.04240611920198e-07,2.2869124007607e-07,2.3787857656284e-07,2.30718884446335e-07,2.09512431881623e-07,1.78846071844115e-07,1.43993762775725e-07,1.09569902252417e-07,7.8824732264152e-08,5.35339144760177e-08,3.4225340136414e-08,2.05221233162725e-08,1.14966832852975e-08,5.99571522310928e-09,2.90207592667397e-09,1.30057278203913e-09,5.38695013099477e-10,2.05961426633406e-10,7.26270209046808e-11,2.36077061163049e-11,7.07177198791706e-12,1.95195274433412e-12,4.96447898159631e-13,1.16350967969463e-13,2.51307964564487e-14,5.00311889482689e-15,9.18197838331241e-16,1.55365664080604e-16,2.42413478218838e-17,3.48816030992255e-18,4.62938760852919e-19,5.66737053485059e-20,6.40041492705222e-21,6.6686018803227e-22,6.4104394013235e-23
"3",1.54801269048785e-06,1.54801659376164e-06,1.54803029320448e-06,1.54807424893513e-06,1.91733179254171e-10,5.36522368339228e-10,1.37793781818072e-09,3.24829806472915e-09,7.02950509375943e-09,1.39678782019081e-08,2.54928509065392e-08,4.27568711258002e-08,6.59491205972413e-08,9.3643282136385e-08,1.22583325012832e-07,1.48222369694839e-07,1.65966784048665e-07,1.7263425714547e-07,1.67438294786091e-07,1.52048257406106e-07,1.29792935548519e-07,1.04499768871794e-07,7.9517537704161e-08,5.72050215523197e-08,3.88508611880609e-08,2.483816010409e-08,1.48934030333602e-08,8.34342212431129e-09,4.35123607410616e-09,2.1061069433832e-09,9.43857237314639e-10,3.90944046992943e-10,1.49471206702325e-10,5.27071919789125e-11,1.71326853690847e-11,5.13215658793761e-12,1.41657948719129e-12,3.60284290197849e-13,8.44387216948833e-14,1.82380289995848e-14,3.63088482493394e-15,6.66358459106618e-16,1.12752633684027e-16,1.75925345354938e-17,2.53144260659688e-18,3.35965895871988e-19,4.11294836377834e-20,4.64493647271572e-21,4.8395662545268e-22,4.65221147702296e-23
"4",1.11767208567152e-06,1.11767490385266e-06,1.11768479491166e-06,1.11771653114577e-06,1.3843221290512e-10,3.8737154941679e-10,9.94877267244088e-10,2.34528573001844e-09,5.07533411557803e-09,1.00848705299777e-08,1.84059523655749e-08,3.08706521733368e-08,4.76155600138475e-08,6.76108685010306e-08,8.85057088856714e-08,1.07017213810953e-07,1.19828760332325e-07,1.24642705726995e-07,1.20891197665749e-07,1.09779521848911e-07,9.37110799358021e-08,7.54493004771963e-08,5.74120178467435e-08,4.13022813973938e-08,2.80504955295363e-08,1.7933262678249e-08,1.07531035974882e-08,6.02398808783547e-09,3.14161190543133e-09,1.52061863221325e-09,6.81469146530809e-10,2.82263350338405e-10,1.07918879715501e-10,3.80548283298605e-11,1.23698754585689e-11,3.70544000890935e-12,1.02277672508591e-12,2.60126868813467e-13,6.09651346969357e-14,1.31679385031913e-14,2.62151508191971e-15,4.81113787613618e-16,8.14079057807136e-17,1.27018886132885e-17,1.82771288327181e-18,2.42568879351635e-19,2.96956711288634e-20,3.35366490673654e-21,3.49418847964216e-22,3.35891749238219e-23
"5",8.02886322436226e-07,8.02888346893233e-07,8.02895452193694e-07,8.02918250104299e-07,9.94435950856925e-11,2.78270632965485e-10,7.14675941730338e-10,1.68474981076879e-09,3.64589614022905e-09,7.244526114468e-09,1.32220242369692e-08,2.21761147231001e-08,3.42049178469819e-08,4.85686654103888e-08,6.35785970078454e-08,7.68764455474639e-08,8.60796954121906e-08,8.95378214259697e-08,8.68429035251844e-08,7.88607657881362e-08,6.73179059455329e-08,5.41994491650256e-08,4.12422610026264e-08,2.96697369868155e-08,2.01502385958685e-08,1.28824648173719e-08,7.72455527237746e-09,4.32736730589091e-09,2.25679540681928e-09,1.09234534627584e-09,4.8953737319398e-10,2.02765539389461e-10,7.75241625580698e-11,2.73369099581173e-11,8.88597285666069e-12,2.66182464418784e-12,7.3471768151408e-13,1.86863667569376e-13,4.37946634090291e-14,9.4592661429327e-15,1.88318079185902e-15,3.45610921631254e-16,5.84798483628955e-17,9.12447646090261e-18,1.31294830937621e-18,1.74250782476237e-19,2.13320601727328e-20,2.40912492865503e-21,2.51007086450884e-22,2.41289815447536e-23
"6",5.73901078152155e-07,5.73902525228816e-07,5.7390760407931e-07,5.73923899967171e-07,7.10820259857378e-11,1.98907132696434e-10,5.10848524911852e-10,1.20425483134775e-09,2.60607718332931e-09,5.17836863278347e-09,9.45106891586546e-09,1.58514297642976e-08,2.44495872976439e-08,3.47167571105901e-08,4.54458176090079e-08,5.49510855413774e-08,6.15295448727603e-08,6.40014044526718e-08,6.20750840688604e-08,5.63694725454871e-08,4.8118666019691e-08,3.87416268553159e-08,2.94798620843611e-08,2.12078516838562e-08,1.44033387193623e-08,9.20835271612715e-09,5.52149224016139e-09,3.0931910197143e-09,1.61315155203094e-09,7.80805643867457e-10,3.49920055206962e-10,1.44936286016951e-10,5.54140719945483e-11,1.95403529240692e-11,6.35167054209399e-12,1.90266540911552e-12,5.25174308959379e-13,1.33569668941582e-13,3.13043127593557e-14,6.76145910853831e-15,1.34609278624143e-15,2.47041797826979e-16,4.18012451922247e-17,6.52215230494465e-18,9.38492074472857e-19,1.24554011118943e-19,1.52481017427102e-20,1.72203630242833e-21,1.7941921977309e-22,1.72473339453948e-23
"7",4.08247708303178e-07,4.0824873768917e-07,4.08252350557579e-07,4.08263942727602e-07,5.05645926013242e-11,1.41493689731223e-10,3.63394925579893e-10,8.56653339446079e-10,1.85384742816831e-09,3.68366118755126e-09,6.72307018195657e-09,1.12760022954471e-08,1.73923492448559e-08,2.46959573168094e-08,3.23281338842908e-08,3.90897588366118e-08,4.37693822916678e-08,4.55277532847931e-08,4.41574546181992e-08,4.00987362823055e-08,3.42294793945947e-08,2.75590706860919e-08,2.09706630553557e-08,1.50863226740141e-08,1.02458947159098e-08,6.55041266991588e-09,3.9277440647394e-09,2.20035855170068e-09,1.14752428481716e-09,5.55430416275617e-10,2.48917567967506e-10,1.0310122923433e-10,3.94191068125575e-11,1.39001382021652e-11,4.51829599459159e-12,1.35347156942124e-12,3.73585651350753e-13,9.50155232671614e-14,2.22684961407663e-14,4.80980135938094e-15,9.57550553687599e-16,1.75734550181873e-16,2.97355471240648e-17,4.63956914015766e-18,6.67601531430929e-19,8.86021851762333e-20,1.08468215680626e-20,1.22498005465474e-21,1.27630855013812e-22,1.22689864605556e-23
"8",2.89066834825373e-07,2.89067563699889e-07,2.89070121853711e-07,2.89078329889737e-07,3.58031323635614e-11,1.00187048712086e-10,2.57308048012291e-10,6.06568179906023e-10,1.31264866259042e-09,2.60827987125832e-09,4.76038585956687e-09,7.9841680105842e-09,1.23149530153745e-08,1.74863987460552e-08,2.28904930699646e-08,2.76781783000117e-08,3.09916664416844e-08,3.22367113668454e-08,3.12664477492881e-08,2.83926021919403e-08,2.42367735692659e-08,1.95136755747351e-08,1.48486398583756e-08,1.06821311077463e-08,7.25478256275372e-09,4.63813272868742e-09,2.78110696448832e-09,1.5580018432062e-09,8.12524372215231e-10,3.9328209107618e-10,1.76250379466579e-10,7.30026045345001e-11,2.79113788178014e-11,9.84223272296044e-12,3.19925744932978e-12,9.58348901025989e-13,2.64523767251474e-13,6.72773808927738e-14,1.57675929706676e-14,3.405662853256e-15,6.78010193591093e-16,1.2443188083449e-16,2.10547672751926e-17,3.28512699280818e-18,4.72706784852289e-19,6.27363061851778e-20,7.68027919036582e-21,8.67368266670814e-22,9.0371229365237e-23,8.68726758420498e-24
"9",2.0378766385349e-07,2.03788177698791e-07,2.03789981157813e-07,2.0379576769672e-07,2.52406565679357e-11,7.06303253977432e-11,1.81398208572779e-10,4.2762121924359e-10,9.25397078399911e-10,1.83879711403391e-09,3.35599867050942e-09,5.62871540650328e-09,8.68185209480966e-09,1.23276416397679e-08,1.61374448576939e-08,1.95126891636918e-08,2.18486472406729e-08,2.27263847260004e-08,2.20423638279839e-08,2.00163469977881e-08,1.70865518626876e-08,1.37568405623996e-08,1.04680622734468e-08,7.53073781272549e-09,5.11450990606287e-09,3.26981209723563e-09,1.96063755138885e-09,1.09836728969003e-09,5.72817160909498e-10,2.77257813488865e-10,1.24253801396771e-10,5.14657111816138e-11,1.96770919349695e-11,6.93862239480412e-12,2.25542719924493e-12,6.75621206475059e-13,1.86485179437715e-13,4.7429516743428e-14,1.11159100559779e-14,2.40093982817821e-15,4.77986737926024e-16,8.77225584162061e-17,1.48432864620476e-17,2.31596390409453e-18,3.33250998617453e-19,4.42281290553378e-20,5.41447847136366e-21,6.11481261322409e-22,6.3710324026051e-23,6.1243897707074e-24
"10",1.43095731468586e-07,1.43096092280756e-07,1.43097358634583e-07,1.43101421829586e-07,1.77234978115888e-11,4.95952398959759e-11,1.27374291711174e-10,3.00267297843614e-10,6.49795818493358e-10,1.2911675470414e-09,2.35651695241672e-09,3.95237441311045e-09,6.09622757588518e-09,8.65623004046707e-09,1.1331399714194e-08,1.37014305772945e-08,1.53416948768347e-08,1.59580250566175e-08,1.54777188943571e-08,1.40550893062729e-08,1.19978441817019e-08,9.65978570905324e-09,7.35046960033116e-09,5.28793752984396e-09,3.59130931810259e-09,2.29599841801588e-09,1.3767215309091e-09,7.71252134537251e-10,4.0222106229665e-10,1.94685040675933e-10,8.72486011292923e-11,3.61382207726697e-11,1.38168710037002e-11,4.87216560705377e-12,1.58371708447538e-12,4.74408062333659e-13,1.30946263650558e-13,3.33040835900733e-14,7.80537570489415e-15,1.68589322056423e-15,3.35632984855165e-16,6.15970732746972e-17,1.04226668755155e-17,1.62622478046319e-18,2.34002365541051e-19,3.10561314604922e-20,3.80194140670712e-21,4.29370241130841e-22,4.47361496089514e-23,4.30042730490378e-24
